科目,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"18,440,871.07","35,396,691.54","205,210,486.42","21,726,114.05","1,624,749,954.61","1,389,841,799.99","1,318,939,984.22","1,387,594,591.01","1,285,680,651.99","1,060,408,317.98","1,099,165,428.63","982,383,625.30","925,384,185.97","819,725,880.04","940,958,907.43","824,625,485.28","725,090,699.46","703,174,815.87","720,321,347.33","586,029,304.63","596,347,831.81","599,456,331.74","661,784,793.83","560,236,276.23","699,259,410.61","661,402,712.65","960,788,371.08","774,787,967.58","775,178,631.49","732,670,805.21","1,217,387,315.70","934,732,802.29","710,929,105.18","573,512,119.78","1,000,141,181.09","578,492,054.72","633,685,497.03"
短期借款,"232,400,000.00","217,200,000.00","280,600,000.00","299,600,000.00","327,000,000.00","391,200,000.00","569,400,000.00","559,400,000.00","624,400,000.00","534,400,000.00","565,400,000.00","610,400,000.00","637,600,466.59","714,400,000.00","759,400,000.00","748,600,000.00","745,400,000.00","709,400,000.00","940,600,000.00","865,600,000.00","790,600,000.00","760,600,000.00","751,600,000.00","751,600,000.00","751,600,000.00","751,600,000.00","751,600,000.00","751,600,000.00","751,600,000.00","801,600,000.00","801,600,000.00","801,600,000.00","771,600,000.00","801,600,000.00","861,600,000.00","861,600,000.00","913,600,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"27,365,372.93","149,961,972.78","185,334,797.10","273,995,597.55","102,703,739.64","154,764,229.19","429,793,499.62","90,253,870.05","105,050,429.54","26,919,062.92","295,036,516.51","59,607,328.21","113,979,622.29","76,086,092.35","351,656,934.49","189,391,541.14","185,446,170.39","204,217,908.05","535,062,898.79","297,819,851.77","208,675,882.13","228,259,031.68","573,992,273.20","519,375,587.62","301,188,321.93","414,727,296.03","716,471,630.82","608,980,330.28","703,669,142.74","779,463,712.55","562,869,278.41","687,261,894.00","790,873,353.72","732,486,587.11","674,498,380.75","638,241,546.59","567,450,485.16"
应付票据,"14,600,000.00","8,400,000.00","43,315,000.00","25,516,000.00","34,916,000.00","28,920,000.00","36,590,000.00","17,970,000.00",,"12,180,000.00","17,930,000.00","6,450,000.00",,,,,,,,,"55,000,000.00","55,000,000.00",,,,,,,,,,,,,,,
应收账款,"89,810,554.86","109,789,207.84","98,666,510.45","124,025,763.02","128,360,242.03","163,082,444.31","155,559,942.24","341,349,688.65","336,603,355.70","429,040,767.10","238,765,620.56","414,310,126.92","360,126,631.57","424,850,275.01","286,515,595.17","450,079,256.00","407,958,590.39","399,773,721.10","333,458,603.59","463,059,258.43","435,059,082.22","478,000,185.91","408,138,924.48","485,301,644.37","546,550,954.60","606,326,152.13","439,895,073.39","668,322,889.78","638,158,968.12","656,423,207.37","654,936,935.44","839,999,072.73","922,206,532.75","990,589,163.16","958,626,427.76","1,230,628,766.66","1,188,033,096.37"
应付账款,"23,220,067.72","56,155,842.20","47,121,698.51","124,980,273.56","75,431,789.46","68,508,489.30","95,638,176.42","157,106,433.25","127,466,307.80","106,521,944.73","116,015,225.33","133,757,394.48","100,617,319.28","109,649,983.19","106,988,644.05","111,808,857.05","125,571,056.54","130,118,010.58","140,902,788.34","117,568,931.14","231,144,914.25","112,381,199.81","123,175,969.48","130,218,857.00","148,296,826.99","149,985,563.02","157,784,434.27","196,163,278.25","160,898,021.37","152,686,969.37","178,123,270.52","202,492,547.30","226,450,891.90","170,064,417.00","248,171,882.30","260,423,120.32","261,339,178.86"
预付款项,"20,015,055.21","53,226,443.55","96,328,559.52","151,491,647.87","100,903,565.71","265,286,767.20","333,169,731.69","492,438,272.89","260,643,555.85","202,641,747.01","179,324,470.12","322,488,343.72","277,039,436.17","296,046,333.78","94,194,298.60","176,783,984.47","117,461,916.95","141,860,496.71","64,071,064.13","120,626,006.03","161,565,424.61","110,046,128.39","87,456,619.32","73,312,455.20","79,850,208.67","95,260,157.03","86,079,957.80","93,896,361.25","89,706,418.35","80,832,512.76","63,636,777.26","66,177,104.84","95,047,807.82","166,759,555.58","115,786,261.32","210,201,968.59","146,046,717.45"
预收款项,"5,757,868.09","8,285,488.20","35,581,425.58","71,255,250.28","84,381,376.28","79,640,567.69","27,506,619.56","20,405,337.65","22,607,244.23","23,129,237.60","56,057,293.47","33,652,781.75","39,748,649.12","35,329,725.88","77,987,047.54","51,101,201.20","51,965,706.76","45,744,937.35","74,002,845.26","53,925,919.65","63,156,584.94","50,201,828.41","101,020,662.28","67,067,209.71","32,386,321.61","28,746,298.17","58,139,064.59","51,996,785.24","45,521,316.48","37,429,442.83","56,623,319.69","54,248,785.03","55,465,614.54","47,090,438.06","83,849,141.87","57,556,118.30","53,228,019.21"
