科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"371,219,493.02","383,674,605.60","258,169,999.62","393,847,148.18","584,402,365.86","158,807,609.44","381,510,315.26","601,303,355.92","903,467,929.97","289,016,803.08","637,651,017.03","981,883,449.07","1,360,684,741.18","380,780,724.93","809,981,734.27","1,247,772,864.23","1,783,901,144.08","478,908,906.25","953,873,942.43","1,502,822,386.93","2,087,432,830.23","626,794,815.67","1,342,082,413.22","2,023,073,200.53","2,749,223,720.11","688,598,560.00","1,511,227,311.31","2,294,733,404.40","3,271,836,454.02","876,992,023.67","1,797,586,790.53","2,750,234,389.12","3,668,075,369.08","1,074,703,262.47","2,089,509,367.65","3,112,919,802.78"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,"202,719,478.85",,,,"414,237,596.82",,,,,,,
收到的税费返还,,"51,491.64",,,,,,,,,,,,,,,,,,,,,,,,,,"125,235.04","125,235.04","1,701,633.86","194,414.53","222,414.53","248,636.75","154,069.33","165,444.44","189,951.37"
支付其他与投资活动有关的现金,,,,"1,161,449.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"8,538,169.09","4,247,477.23","4,789,577.78","7,073,753.78","6,907,018.33","2,127,955.51","5,649,864.81","20,376,954.04","42,955,886.66","2,339,868.89","16,763,955.82","23,398,433.10","45,187,992.11","16,025,693.82","39,610,964.63","49,782,834.27","68,562,067.64","7,445,945.31","12,647,898.88","21,647,285.09","39,516,814.15","2,517,412.80","14,665,890.71","24,441,840.23","33,685,978.62","2,678,536.00","6,545,162.47","15,364,714.42","35,430,087.24","11,704,068.14","37,027,521.29","48,260,550.14","80,834,217.68","18,096,369.33","46,005,966.88","76,613,719.48"
投资活动现金流出小计,"13,705,205.58","96,479,351.61","31,649,724.06","54,031,307.72","135,676,813.98","15,462,214.27","71,950,176.72","188,419,956.91","273,478,031.22","186,890,680.84","283,473,123.45","327,647,502.41","422,599,524.86","33,847,593.79","64,786,987.12","121,475,429.63","288,248,713.76","223,383,109.77","286,134,188.43","483,651,573.70","627,202,729.79","104,694,376.73","334,000,813.58","767,436,170.02","1,149,373,772.77","654,436,172.18","868,485,674.48","1,235,617,686.55","1,402,307,029.00","50,850,995.59","135,844,512.63","196,213,522.51","557,897,569.78","1,282,408,085.49","1,634,479,359.74","2,725,122,872.09"
经营活动现金流入小计,"379,757,662.11","387,973,574.47","262,959,577.40","400,920,901.96","591,309,384.19","160,935,564.95","387,160,180.07","621,680,309.96","946,423,816.63","291,356,671.97","654,414,972.85","1,005,281,882.17","1,405,872,733.29","396,806,418.75","849,592,698.90","1,297,555,698.50","1,852,463,211.72","486,354,851.56","966,521,841.31","1,524,469,672.02","2,126,949,644.38","629,312,228.47","1,356,748,303.93","2,047,515,040.76","2,782,909,698.73","691,277,096.00","1,517,772,473.78","2,310,223,353.86","3,307,391,776.30","890,397,725.67","1,834,808,726.35","2,798,717,353.79","3,749,158,223.51","1,092,953,701.13","2,135,680,778.97","3,189,723,473.63"
投资活动产生的现金流量净额,"-11,805,205.58","-61,413,812.46","-31,649,724.06","-54,031,307.72","-132,676,813.98","-15,462,214.27","-71,950,176.72","-188,419,956.91","-223,104,058.62","-136,672,078.10","-162,786,575.50","-156,594,173.64","-251,546,196.09","-33,847,593.79","-64,771,987.12","-121,460,429.63","-288,232,163.76","-223,383,109.77","-286,125,188.43","-483,642,573.70","-627,191,839.79","-104,689,290.73","-231,385,119.09","-457,874,695.54","-432,819,021.58","-436,579,910.00","-255,310,233.59","-622,385,197.71","-445,877,621.93","-30,740,555.86","-108,515,859.80","-168,725,294.68","-530,003,368.95","-875,742,071.79","-388,100,651.18","-1,024,769,107.98"
购买商品、接受劳务支付的现金,"197,541,140.55","126,178,188.50","65,859,726.68","106,027,943.26","128,112,477.91","63,787,231.25","114,491,950.97","155,910,787.48","245,121,897.86","130,138,230.13","251,360,008.84","351,020,478.18","457,089,281.76","91,738,377.28","204,743,733.17","270,179,519.29","406,386,550.96","98,121,611.61","148,633,475.53","194,741,371.08","262,008,486.28","66,073,587.65","156,218,598.27","244,936,881.67","328,800,182.30","76,209,365.80","261,505,121.03","366,571,754.71","513,573,917.07","69,706,937.12","154,999,566.67","192,365,322.37","236,310,696.83","56,056,880.58","134,880,034.07","220,375,414.80"
吸收投资收到的现金,,,"1,000,000.00","1,153,537,100.00","1,155,653,100.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
