科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"175,413,256.27","179,181,273.33","281,120,890.21","69,116,094.59","142,911,982.92","224,220,227.61","325,405,479.41","89,600,546.67","169,162,235.22","269,387,168.63","488,755,496.42","108,461,937.93","198,812,716.21","305,897,799.82","503,347,308.01","106,702,295.35","202,441,200.08","323,839,568.43","440,173,743.02","120,667,507.31","271,841,469.31","410,345,092.27","579,728,331.65","170,296,936.28","313,928,825.65","487,249,210.71","648,115,561.00","239,985,233.69","467,145,124.82","671,481,692.99","897,940,485.12","234,378,878.14"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"146,119.92",,"530,677.97",,,,,,,,,,,,,,"1,607,561.17","4,981,356.54","9,448,991.46","4,004,037.82","10,341,807.08","17,160,168.91","23,239,020.38","1,918,143.51","3,441,412.22","5,002,359.27","5,002,359.27",,,"21,745.77","4,692,674.57",
支付其他与投资活动有关的现金,,,,,,,"240,000,000.00","50,000,000.00","254,000,000.00","182,000,000.00","12,000,000.00",,,,"1,250,000.00",,"1,340,000.00","1,360,160.00","2,861,600.00","15,000,000.00","21,000,000.00","26,000,000.00",,,"28,158,025.79",,"153,000,000.00",,,,"100,000,000.00",
收到其他与经营活动有关的现金,"315,722.50","1,241,308.00","2,689,334.77","85,995.50","2,790,801.30","2,912,479.37","8,807,575.77","653,238.12","7,046,217.11","8,006,593.60","1,466,988.59","716,296.16","4,920,867.77","11,059,971.41","2,022,179.65","231,827.84","1,796,657.75","1,897,444.30","5,170,303.06","2,096,019.51","3,138,084.78","5,260,805.37","7,801,190.67","2,083,171.38","7,549,547.10","6,899,003.58","11,760,972.35","4,161,889.82","6,783,702.75","47,571,503.08","21,090,093.36","4,081,499.46"
投资活动现金流出小计,"36,949,097.75","26,344,668.31","48,296,109.87","7,504,752.74","23,887,987.51","26,368,768.34","270,546,002.65","60,831,707.72","276,567,695.02","219,026,938.65","54,539,681.59","19,620,070.30","74,004,163.81","128,307,008.35","165,629,013.96","57,184,782.12","138,976,419.28","262,659,908.70","327,885,719.03","49,886,564.16","78,518,278.95","94,612,560.96","94,261,931.10","22,022,568.46","73,918,746.16","52,088,402.09","278,801,221.56","7,746,175.32","60,636,525.43","117,692,615.28","216,287,067.37","41,640,687.08"
经营活动现金流入小计,"175,875,098.69","180,422,581.33","284,340,902.95","69,202,090.09","145,702,784.22","227,132,706.98","334,213,055.18","90,253,784.79","176,208,452.33","277,393,762.23","490,222,485.01","109,178,234.09","203,733,583.98","316,957,771.23","505,369,487.66","106,934,123.19","205,845,419.00","330,718,369.27","454,793,037.54","126,767,564.64","285,321,361.17","432,766,066.55","610,768,542.70","174,298,251.17","324,919,784.97","499,150,573.56","664,878,892.62","244,147,123.51","473,928,827.57","719,074,941.84","923,723,253.05","238,460,377.60"
投资活动产生的现金流量净额,"-29,137,401.33","-25,736,453.43","-48,234,909.87","-7,264,752.74","-23,647,987.51","-26,128,768.34","-269,465,849.05","-60,831,707.72","-36,567,695.02","20,973,061.35","-45,523,314.55","7,129,929.70","-18,016,736.05","-39,466,455.59","-54,988,611.31","4,538,717.88","-34,342,019.28","-97,130,920.05","-157,217,104.27","-34,858,770.16","-57,289,081.06","-68,369,835.30","-94,105,131.10","180,324,088.17","128,802,528.62","122,688,408.54","77,794,507.74","-7,746,175.32","-60,472,355.43","-117,528,445.28","-113,122,392.69","-41,440,277.08"
购买商品、接受劳务支付的现金,"134,232,289.10","108,193,088.92","177,154,661.43","46,577,415.36","98,907,403.89","155,635,387.31","219,031,688.84","65,228,270.72","118,009,496.64","183,385,532.96","356,489,189.33","68,544,184.85","126,844,235.07","184,946,279.44","342,522,464.43","55,538,903.67","119,916,724.13","215,556,308.21","301,534,674.19","62,668,888.31","153,366,016.00","246,776,574.44","355,639,544.31","127,580,709.47","248,223,473.91","382,370,506.62","428,682,528.68","174,086,752.44","316,292,163.62","485,231,634.28","635,234,180.89","141,467,526.00"
吸收投资收到的现金,"13,200,000.00",,,,"390,392,000.00","390,392,000.00","390,392,000.00",,,,,,,,,,,,"3,000,000.00",,,,,,,,"221,863,600.00","54,734,986.54","54,271,666.54","54,271,666.54","54,966,600.00","218,887,500.00"
支付给职工以及为职工支付的现金,"26,646,663.18","28,853,855.42","43,801,171.02","12,619,335.84","29,215,993.24","47,382,771.57","64,392,670.37","16,134,322.60","35,088,632.07","54,347,512.25","72,260,853.35","16,797,923.02","38,299,157.91","58,312,582.81","82,288,790.92","19,698,284.64","43,277,613.00","66,825,074.04","97,560,110.09","27,331,142.09","58,198,319.72","90,100,862.55","124,604,541.58","33,002,817.06","69,896,408.51","107,387,797.20","153,749,503.48","42,393,433.99","86,334,100.45","127,475,457.29","174,818,182.80","46,819,027.43"
取得借款收到的现金,"56,497,590.46","60,000,000.00","80,000,000.00","10,000,000.00","26,290,000.00","47,290,000.00","66,863,948.79","7,360,000.00","7,360,000.00","28,360,000.00","64,080,000.00",,,"22,900,000.00","39,594,000.00","42,600,800.00","72,600,800.00","122,600,800.00","77,600,800.00","35,000,000.00","115,000,000.00","151,693,677.00","199,873,327.00","8,500,000.00","27,868,484.50","76,170,012.50","126,067,636.39","45,984,540.00","66,327,940.00","106,718,280.00","182,036,372.00","122,495,472.90"
支付的各项税费,"8,551,601.46","7,374,156.25","7,926,167.24","3,772,238.62","6,884,047.82","9,560,672.13","12,919,830.84","4,776,974.38","8,936,877.48","12,610,813.97","16,385,554.33","4,051,926.63","7,212,616.10","11,308,783.80","12,544,878.03","5,007,320.48","6,347,138.03","8,131,850.54","9,013,091.48","1,997,245.46","2,489,967.17","5,824,054.39","6,064,899.04","5,550,086.34","9,804,370.49","12,911,136.84","46,908,329.38","8,644,263.13","15,974,682.26","19,988,246.93","21,597,753.37","8,059,499.46"
收到其他与筹资活动有关的现金,,,,,,"1,499,758.51",,,,,,,,,,,,,"84,572,908.70","28,881,358.11","44,308,449.39","44,308,449.39","44,308,449.39",,"16,043,649.00","16,043,649.00","16,278,548.72",,,"262,845.09","70,790,347.09","77,000,000.00"
支付其他与经营活动有关的现金,"4,949,753.27","7,503,011.93","12,951,883.96","1,794,014.20","5,314,453.28","11,165,229.86","14,937,265.94","3,217,645.26","6,694,534.77","7,067,883.47","27,745,587.04","8,824,106.46","17,409,918.58","22,552,127.22","23,526,806.65","15,198,790.74","21,682,762.91","30,578,559.06","34,986,479.75","25,960,923.93","27,264,067.20","35,840,420.64","38,926,080.79","8,355,702.97","12,232,037.79","18,442,278.71","39,444,886.25","16,804,278.45","39,413,101.66","30,316,217.30","52,274,828.33","19,217,070.20"
筹资活动现金流入小计,"69,697,590.46","60,000,000.00","80,000,000.00","10,000,000.00","416,682,000.00","439,181,758.51","457,255,948.79","7,360,000.00","7,360,000.00","28,360,000.00","64,080,000.00",,,"22,900,000.00","39,594,000.00","42,600,800.00","72,600,800.00","122,600,800.00","165,173,708.70","63,881,358.11","159,308,449.39","196,002,126.39","244,181,776.39","8,500,000.00","43,912,133.50","92,213,661.50","364,209,785.11","100,719,526.54","120,599,606.54","161,252,791.63","307,793,319.09","418,382,972.90"
经营活动现金流出小计,"174,380,307.01","151,924,112.52","241,833,883.65","64,763,004.02","140,321,898.23","223,744,060.87","311,281,455.99","89,357,212.96","168,729,540.96","257,411,742.65","472,881,184.05","98,218,140.96","189,765,927.66","277,119,773.27","460,882,940.03","95,443,299.53","191,224,238.07","321,091,791.85","443,094,355.51","117,958,199.79","241,318,370.09","378,541,912.02","525,235,065.72","174,489,315.84","340,156,290.70","521,111,719.37","668,785,247.79","241,928,728.01","458,014,047.99","663,011,555.80","883,924,945.39","215,563,123.09"
偿还债务支付的现金,"45,000,000.00","55,000,000.00","60,000,000.00","10,000,000.00","60,000,000.00","96,290,000.00","106,863,948.79",,"17,360,000.00","38,360,000.00","74,080,000.00",,,"21,000,000.00","30,000,000.00",,,"833,300.00","3,733,300.00","39,960,000.00","106,690,000.00","133,420,000.00","112,484,135.00",,"72,682,495.00","99,412,495.00","175,649,164.00","16,629,052.00","53,752,704.50","137,383,554.50","178,353,880.00","68,857,720.00"
经营活动产生的现金流量净额,"1,494,791.68","28,498,468.81","42,507,019.30","4,439,086.07","5,380,885.99","3,388,646.11","22,931,599.19","896,571.83","7,478,911.37","19,982,019.58","17,341,300.96","10,960,093.13","13,967,656.32","39,837,997.96","44,486,547.63","11,490,823.66","14,621,180.93","9,626,577.42","11,698,682.03","8,809,364.85","44,002,991.08","54,224,154.53","85,533,476.98","-191,064.67","-15,236,505.73","-21,961,145.81","-3,906,355.17","2,218,395.50","15,914,779.58","56,063,386.04","39,798,307.66","22,897,254.51"
分配股利、利润或偿还利息支付的现金,"3,892,590.50","3,234,397.69","4,137,160.23","1,055,004.85","2,236,579.62","7,702,487.29","24,055,135.29","763,346.23","3,633,150.17","6,762,368.04","7,360,964.29","450,000.00","3,981,258.95","4,391,972.28","4,930,299.02",,"4,672,800.00","5,097,766.34","12,444,978.95","2,803,995.11","10,343,886.88","15,225,166.16","17,337,908.42","9,238,020.91","16,644,897.98","23,555,606.53","19,398,610.43","1,089,626.34","33,165,092.51","41,090,210.64","42,950,024.64","1,942,308.02"
收回投资收到的现金,"7,780,696.42",,,,,,,,,,,,,,,,,,,,,,,"202,280,656.63","67,500,000.00","67,500,000.00","202,300,000.00",,,,,
支付其他与筹资活动有关的现金,"1,663,000.00",,"1,475,823.24",,"1,144,287.87","8,476,656.51","14,611,118.96","1,850,687.49","3,162,786.72","4,687,660.04","6,207,944.87","1,551,749.10","3,034,116.95","3,514,566.72","3,877,979.23","323,180.72","1,323,180.72","1,523,180.72","1,998,780.72","5,380,119.89","12,723,436.53","20,302,341.26","93,144,546.30","8,129,706.69","17,795,769.88","27,761,035.67","71,059,119.70","7,044,293.74","10,837,991.98","13,872,447.94","18,315,482.57","22,776,367.76"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,"134,800,000.00","106,641,974.21",,,,,,
筹资活动现金流出小计,"50,555,590.50","58,234,397.69","65,612,983.47","11,055,004.85","63,380,867.49","112,469,143.80","145,530,203.04","2,614,033.72","24,155,936.89","49,810,028.08","87,648,909.16","2,001,749.10","7,015,375.90","28,906,539.00","38,808,278.25","323,180.72","5,995,980.72","7,454,247.06","18,177,059.67","48,144,115.00","129,757,323.41","168,947,507.42","222,966,589.72","17,367,727.60","107,123,162.86","150,729,137.20","266,106,894.13","24,762,972.08","97,755,788.99","192,346,213.08","239,619,387.21","93,576,395.78"
处置固定资产、无形资产和其他长期资产收回的现金净额,"31,000.00","608,214.88","61,200.00","240,000.00","240,000.00","240,000.00","1,080,153.60",,,,"802,096.09",,"37,000.00","37,000.00","74,600.00","11,000.00","11,000.00","11,000.00","6,771,114.76",,"141,800.00","141,800.00","156,800.00","66,000.00","199,083.00","199,083.00","240,133.00",,"164,170.00","164,170.00","453,810.00","200,410.00"
筹资活动产生的现金流量净额,"19,141,999.96","1,765,602.31","14,387,016.53","-1,055,004.85","353,301,132.51","326,712,614.71","311,725,745.75","4,745,966.28","-16,795,936.89","-21,450,028.08","-23,568,909.16","-2,001,749.10","-7,015,375.90","-6,006,539.00","785,721.75","42,277,619.28","66,604,819.28","115,146,552.94","146,996,649.03","15,737,243.11","29,551,125.98","27,054,618.97","21,215,186.67","-8,867,727.60","-63,211,029.36","-58,515,475.70","98,102,890.98","75,956,554.46","22,843,817.55","-31,093,421.45","68,173,931.88","324,806,577.12"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-77,691.68","-1,129.83","-200,089.48","-18,029.19","-59,734.59","-137,986.67","-169,152.41","-9,637.12","-36,958.30","-33,595.04","-72,810.75","-14,384.39","-79,836.85","-89,008.07","-138,779.13","49,137.74","29,037.72","5,910.49","-25,246.23",247.98,"-16,250.78","453,996.36",,"-86,909.76","-29,656.43","114,750.79",,"-214,291.23","-1,061,864.17","-2,410,917.37","-488,343.61","-617,425.96"
收到其他与投资活动有关的现金,,,,,,,,,"240,000,000.00","240,000,000.00","8,214,270.95","26,750,000.00","55,950,427.76","88,803,552.76","110,565,802.65","61,712,500.00","104,623,400.00","165,517,988.65","163,897,500.00","15,027,794.00","21,087,397.89","26,100,925.66",,,"222,191.78","435,753.42","154,055,596.30",,,,"102,710,864.68",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"7,811,696.42","608,214.88","61,200.00","240,000.00","240,000.00","240,000.00","1,080,153.60",,"240,000,000.00","240,000,000.00","9,016,367.04","26,750,000.00","55,987,427.76","88,840,552.76","110,640,402.65","61,723,500.00","104,634,400.00","165,528,988.65","170,668,614.76","15,027,794.00","21,229,197.89","26,242,725.66","156,800.00","202,346,656.63","202,721,274.78","174,776,810.63","356,595,729.30",,"164,170.00","164,170.00","103,164,674.68","200,410.00"
