科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"596,982,780.84","764,264,590.62","829,526,821.83","496,752,328.88","1,090,102,512.96","222,287,439.19","716,011,154.33","1,247,108,009.58","1,835,783,132.15","253,814,822.81","574,356,248.25","2,009,393,423.48","2,673,214,955.92","1,088,299,900.93","1,936,634,255.27","2,862,835,162.26","4,172,096,448.74","818,095,195.95","3,643,024,770.42","4,809,463,843.66","7,229,941,589.86"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,"39,891,424.60","8,000,000.00","10,133,220.35","7,593,268.54","22,733,251.93","3,030,027.00","3,030,027.00","3,030,027.00","50,055,811.86",,,"2,450,000.00","6,340,512.00"
收到的税费返还,"25,180,038.57","32,640,511.89","23,264,041.70","13,907,297.00","27,108,118.80","9,148,457.54","17,965,404.12","19,374,156.10","21,694,469.48","2,609,504.68","5,691,262.64","6,253,233.52","8,754,596.53","1,042,876.40","1,263,853.12","3,247,611.74","3,324,167.88","6,274,135.76","6,439,944.45","11,627,522.56","17,161,719.77"
支付其他与投资活动有关的现金,,,,,"5,382,200.00",,,,,,,,,,,,,"260,000,000.00","260,000,000.00","327,130,000.00",
收到其他与经营活动有关的现金,"17,101,863.23","27,623,798.61","22,346,951.97","7,138,713.32","23,717,451.43","3,191,308.06","3,970,104.47","5,120,980.35","24,074,295.87","72,859,553.30","63,590,194.86","68,888,169.03","46,070,869.01","53,401,107.66","57,594,908.60","58,098,984.30","89,388,317.45","14,457,501.60","44,409,152.66","66,822,725.59","132,840,028.24"
投资活动现金流出小计,"25,837,419.79","57,557,100.27","23,533,749.14","29,135,303.97","105,614,067.58","139,761,329.61","325,850,573.94","404,654,117.53","621,250,776.75","36,815,421.07","113,955,704.41","293,922,190.99","504,393,817.71","314,232,842.80","588,710,137.46","814,572,894.86","1,612,945,250.79","693,641,792.82","1,626,351,458.14","1,877,624,077.16","3,268,073,620.90"
经营活动现金流入小计,"639,264,682.64","824,528,901.12","875,137,815.50","517,798,339.20","1,140,928,083.19","234,627,204.79","737,946,662.92","1,271,603,146.03","1,881,551,897.50","329,283,880.79","643,637,705.75","2,084,534,826.03","2,728,040,421.46","1,142,743,884.99","1,995,493,016.99","2,924,181,758.30","4,264,808,934.07","838,826,833.31","3,693,873,867.53","4,887,914,091.81","7,379,943,337.87"
投资活动产生的现金流量净额,"778,596.28","-55,943,844.00","27,898,200.39","-11,169,604.53","-82,263,698.86","-77,497,855.91","-90,958,897.22","-20,477,860.12","-134,194,542.68","-36,544,083.60","-112,410,524.55","-186,727,768.74","-372,360,096.67","-314,232,701.02","-588,709,806.64","-814,572,420.21","-1,234,145,460.07","-593,049,242.09","-1,334,128,716.87","-1,585,171,473.62","-2,596,394,462.76"
购买商品、接受劳务支付的现金,"406,859,239.48","605,645,266.03","575,233,929.48","361,589,456.87","834,331,632.11","309,553,188.14","654,800,845.19","1,072,226,596.34","1,555,966,526.08","224,267,955.48","739,950,175.60","1,687,738,762.40","2,092,529,920.16","955,053,598.30","1,494,370,578.34","2,551,793,251.17","3,232,364,526.49","1,759,752,674.46","3,580,687,871.76","4,739,324,766.33","6,348,718,003.43"
吸收投资收到的现金,"9,196,800.00",,,"2,000,000.00","2,000,000.00","189,576,000.00","189,576,000.00","279,226,000.00","190,076,000.00",,"2,711,000.00","5,999,572.72","11,117,400.00","499,200.00","2,699,200.00","1,933,938,573.72","1,958,029,177.50","11,281,736.14","88,885,666.00","166,957,408.00","158,561,008.00"
支付给职工以及为职工支付的现金,"29,788,564.00","50,104,561.10","64,784,508.21","40,426,447.03","86,320,138.66","25,989,800.96","49,831,139.25","76,621,085.63","107,790,577.71","31,655,542.38","55,020,795.19","84,982,367.88","120,507,973.79","32,576,483.29","62,841,722.38","94,730,655.23","139,423,158.34","32,536,631.22","64,217,427.59","101,938,976.86","141,802,449.03"
取得借款收到的现金,"23,703,784.55","7,825,197.63","30,000,000.00","120,222,411.64","140,180,356.66",,"36,982,500.00","36,982,500.00","216,982,500.00",,"338,091,820.00","389,091,820.00","110,000,000.00","285,000,000.00","285,000,000.00","350,000,000.00","945,000,000.00","300,000,000.00","810,000,000.00","898,000,000.00","1,060,726,215.00"
支付的各项税费,"36,238,733.63","32,195,171.35","33,575,479.49","17,780,308.39","42,928,179.91","16,730,385.49","24,652,275.40","34,112,794.57","44,936,841.90","15,183,701.22","27,876,887.50","56,098,930.09","91,692,147.63","33,343,753.91","59,317,186.38","145,955,704.64","196,481,305.54","59,415,633.42","89,244,279.92","162,027,193.91","241,109,202.71"
收到其他与筹资活动有关的现金,"173,678,691.84","30,756,053.01","31,792,476.31","1,566,393.10","50,641,518.92","16,124,168.08","26,212,793.19","79,162,694.50","92,875,587.65","988,001.30","190,331,185.34","299,072,680.49","943,608,796.70","826,926,075.97","1,517,901,653.43","2,062,620,787.52","2,729,114,014.79","1,971,126,562.72","3,652,963,427.34","5,196,570,513.35","7,141,771,836.21"
支付其他与经营活动有关的现金,"81,155,588.58","88,153,555.64","103,043,059.27","50,575,681.80","117,248,035.92","41,469,958.91","62,505,687.16","94,995,145.11","119,639,533.57","61,524,883.81","47,784,267.68","148,625,642.82","202,292,906.57","56,784,616.83","68,576,056.42","89,152,476.55","133,888,210.89","81,418,681.56","290,252,442.31","220,797,638.40","285,946,279.81"
筹资活动现金流入小计,"206,579,276.39","38,581,250.64","61,792,476.31","123,788,804.74","192,821,875.58","205,700,168.08","252,771,293.19","395,371,194.50","499,934,087.65","988,001.30","531,134,005.34","694,164,073.21","1,064,726,196.70","1,112,425,275.97","1,805,600,853.43","4,346,559,361.24","5,632,143,192.29","2,282,408,298.86","4,551,849,093.34","6,261,527,921.35","8,361,059,059.21"
经营活动现金流出小计,"554,042,125.69","776,098,554.12","776,636,976.45","470,371,894.09","1,080,827,986.60","393,743,333.50","791,789,947.00","1,277,955,621.65","1,828,333,479.26","332,632,082.89","870,632,125.97","1,977,445,703.19","2,507,022,948.15","1,077,758,452.33","1,685,105,543.52","2,881,632,087.59","3,702,157,201.26","1,933,123,620.66","4,024,402,021.58","5,224,088,575.50","7,017,575,934.98"
偿还债务支付的现金,"248,493,141.91","6,326,313.68","2,381,740.20",,"40,065,472.25",,,"36,996,600.00","166,996,600.00",,"50,000,000.00","295,903,600.00","80,000,000.00","15,000,000.00","15,000,000.00","285,000,000.00","465,000,000.00",,,"10,000.00","465,010,000.00"
经营活动产生的现金流量净额,"85,222,556.95","48,430,347.00","98,500,839.05","47,426,445.11","60,100,096.59","-159,116,128.71","-53,843,284.08","-6,352,475.62","53,218,418.24","-3,348,202.10","-226,994,420.22","107,089,122.84","221,017,473.31","64,985,432.66","310,387,473.47","42,549,670.71","562,651,732.81","-1,094,296,787.35","-330,528,154.05","-336,174,483.69","362,367,402.89"
分配股利、利润或偿还利息支付的现金,"54,881,255.43","50,739.55","85,398.65","2,864,533.33","6,305,104.82","1,599,000.00","3,233,533.33","38,189,187.21","39,454,933.33","2,687,500.00","39,898,202.44","46,881,388.60","51,462,841.36","72,123,155.83","84,136,676.74","97,671,903.99","109,382,756.98","11,281,558.32","82,438,536.30","111,701,645.53","147,584,638.99"
收回投资收到的现金,"10,009,100.18",,"19,589,743.59","13,697,948.72","13,697,948.72","60,000,000.00","190,000,000.00","335,000,000.00","435,000,000.00",,,,"24,690,000.00",,,,"281,955,727.29",,,,"475,030,000.00"
支付其他与筹资活动有关的现金,"7,027,947.51","21,742,005.46","25,408,934.05","25,441,675.71","61,709,480.45","18,607,453.08","84,114,922.62","234,751,696.72","184,965,182.90","23,670,330.74","215,671,462.85","409,129,759.92","891,497,406.69","728,243,659.64","1,271,965,634.43","2,100,930,052.87","3,545,118,131.83","1,190,916,070.55","3,345,637,837.63","4,245,215,509.22","6,163,603,068.86"
取得投资收益收到的现金,"691,337.34","1,517,256.27","6,051,488.85","4,248,605.35","9,496,793.99","1,883,473.70","2,276,731.63","5,442,525.09","3,890,949.10","146,337.47","283,223.86","4,954,893.98","27,008.25",141.78,330.82,474.65,"96,836,393.63","592,550.73","1,942,934.35","2,136,048.05","2,638,143.67"
筹资活动现金流出小计,"310,402,344.85","28,119,058.69","27,876,072.90","28,306,209.04","108,080,057.52","20,206,453.08","87,348,455.95","309,937,483.93","391,416,716.23","26,357,830.74","305,569,665.29","751,914,748.52","1,022,960,248.05","815,366,815.47","1,371,102,311.17","2,483,601,956.86","4,119,500,888.81","1,202,197,628.87","3,428,076,373.93","4,356,927,154.75","6,776,197,707.85"
处置固定资产、无形资产和其他长期资产收回的现金净额,"837,050.84","96,000.00","25,790,717.09","19,145.37","155,626.01","380,000.00","381,400.00","1,500,187.23","1,458,924.40","125,000.00","1,261,956.00","1,261,956.00","1,261,956.00",,,,"7,669.80",,"279,806.92","316,555.49","656,134.02"
筹资活动产生的现金流量净额,"-103,823,068.46","10,462,191.95","33,916,403.41","95,482,595.70","84,741,818.06","185,493,715.00","165,422,837.24","85,433,710.57","108,517,371.42","-25,369,829.44","225,564,340.05","-57,750,675.31","41,765,948.65","297,058,460.50","434,498,542.26","1,862,957,404.38","1,512,642,303.48","1,080,210,669.99","1,123,772,719.41","1,904,600,766.60","1,584,861,351.36"
处置子公司及其他营业单位收到的现金净额,"15,078,527.71",,,,,,"42,233,545.09","42,233,545.09","46,706,360.57",,,"100,977,572.27","106,054,756.79",,,,,,,,"193,354,880.45"
四、汇率变动对现金的影响,,,,,"-2,047,675.88","-136,885.69","599,655.82","446,719.77","539,034.04","359,208.86","1,885,125.95","3,298,117.89","4,236,150.44","58,669.75","785,946.95","1,041,133.91","3,898,051.86","-463,541.63","-1,151,839.93","-1,810,429.05","-2,847,697.86"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,"100,000,000.00","290,000,000.00","290,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"26,616,016.07","1,613,256.27","51,431,949.53","17,965,699.44","23,350,368.72","62,263,473.70","234,891,676.72","384,176,257.41","487,056,234.07","271,337.47","1,545,179.86","107,194,422.25","132,033,721.04",141.78,330.82,474.65,"378,799,790.72","100,592,550.73","292,222,741.27","292,452,603.54","671,679,158.14"
五、现金及现金等价物净增加额,"-17,821,915.23","2,948,694.95","160,315,442.85","131,739,436.28","60,530,539.91","-51,257,155.31","21,220,311.76","59,050,094.60","28,080,281.02","-64,902,906.28","-111,955,478.77","-134,091,203.32","-105,340,524.27","47,869,861.89","156,962,156.04","1,091,975,788.79","845,046,628.08","-607,598,901.08","-542,035,991.44","-18,555,619.76","-652,013,406.37"
购建固定资产、无形资产和其他长期资产支付的现金,"25,837,419.79","57,557,100.27","23,533,749.14","29,135,303.97","100,231,867.58","19,761,329.61","48,103,533.94","59,907,077.53","108,612,312.15","18,815,421.07","93,822,484.06","202,423,195.16","442,604,838.49","311,202,815.80","585,680,110.46","776,542,867.86","1,080,124,438.93","229,016,792.82","1,136,780,351.14","1,283,472,970.16","2,623,472,332.69"
期初现金及现金等价物余额,"142,760,487.59","124,938,572.36","127,887,267.31","288,202,710.16","288,202,710.16","348,733,250.07","348,733,250.07","348,733,250.07","348,733,250.07","376,813,531.09","369,953,561.83","407,783,344.67","376,813,531.09","271,473,006.82","271,473,006.82","271,473,006.82","271,473,006.82","1,116,519,634.90","1,116,519,634.90","1,116,519,634.90","1,116,519,634.90"
投资支付的现金,,,,,,"120,000,000.00","277,747,040.00","344,747,040.00","472,747,040.00","10,000,000.00","10,000,000.00","83,905,727.29","39,055,727.29",,,"35,000,000.00","482,765,000.00","204,625,000.00","229,571,107.00","264,571,107.00","638,260,776.21"
期末现金及现金等价物余额,"124,938,572.36","127,887,267.31","288,202,710.16","419,942,146.44","348,733,250.07","297,476,094.76","369,953,561.83","407,783,344.67","376,813,531.09","311,910,624.81","257,998,083.06","273,692,141.35","271,473,006.82","319,342,868.71","428,435,162.86","1,363,448,795.61","1,116,519,634.90","508,920,733.82","574,483,643.46","1,097,964,015.14","464,506,228.53"
