科目,2008年度,2009年度,2010年度,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
一、营业收入,"1,141,283,169.76","1,487,057,222.32","1,801,713,510.61","919,386,572.36","1,549,726,096.80","2,478,932,425.91","492,187,187.99","1,041,790,353.47","1,712,384,193.45","2,561,751,342.91","466,727,693.85","967,780,210.17","1,540,464,674.99","2,246,683,129.60","418,569,200.93","996,482,774.94","1,879,970,925.77","2,873,831,011.52","548,062,924.57","1,614,954,714.67","2,685,352,066.99","4,158,057,000.63","793,530,135.26","1,909,427,086.51","3,156,094,214.47","4,921,721,348.01","925,917,712.24","2,004,142,030.27","3,469,137,508.35"
二、营业利润,"91,514,980.01","189,582,812.15","199,036,922.40","86,234,925.29","143,846,782.51","208,197,625.04","28,678,022.43","89,221,338.00","167,708,626.45","282,848,016.04","35,936,991.00","97,414,938.43","187,522,658.08","309,866,359.63","41,064,460.64","139,375,061.04","273,578,665.24","419,692,600.54","51,217,909.44","234,894,001.40","380,508,252.51","638,167,682.47","66,258,764.15","222,989,168.80","399,211,137.47","869,633,922.39","113,358,297.75","268,105,405.20","500,264,469.51"
减:营业成本,"797,440,633.22","929,297,132.69","1,256,973,417.38","679,884,884.19","1,149,513,231.51","1,853,768,749.38","354,551,662.29","746,832,399.44","1,206,937,978.70","1,803,819,364.23","319,344,915.19","666,873,725.74","1,041,857,405.85","1,476,530,986.63","264,361,530.95","612,387,653.13","1,186,736,172.48","1,828,641,715.16","359,869,564.09","1,088,654,955.34","1,799,703,652.09","2,782,528,648.95","540,679,020.80","1,272,779,671.51","2,102,261,453.93","3,304,437,973.28","640,627,267.47","1,343,205,810.26","2,331,680,417.90"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,475,997.22","11,006,013.23","18,484,947.54","1,701,877.54","3,626,618.12","10,234,845.61","1,154,789.58","2,976,970.79","7,021,323.91","17,655,673.92","1,107,411.19","3,217,865.52","7,402,490.49","15,352,929.39","1,674,320.51","2,983,628.23","7,267,093.18","22,011,091.44","1,909,128.07","3,785,669.62","8,337,689.63","23,905,778.99","3,898,913.70","5,785,001.00","9,148,950.00","34,937,139.80","1,457,897.03","9,609,053.30","15,653,648.60"
营业外收入,"3,335,226.55","19,318,138.10","34,301,827.44","3,129,605.44","6,790,832.77","33,871,923.64","4,900,185.85","5,407,458.29","6,665,113.77","31,648,692.91","595,321.98","5,477,032.03","8,472,127.65","32,635,351.66","3,566,239.04","5,319,342.55","10,418,717.28","36,940,518.61","2,833,780.67","6,382,662.87","31,511,963.09","64,810,527.59","17,654,318.45","37,120,917.66","64,533,614.86","91,449,109.48","14,973,269.73","33,442,415.99","51,050,578.85"
销售费用,"169,137,264.35","258,482,953.21","204,283,392.17","87,888,249.12","146,902,022.02","256,503,530.57","70,886,662.24","116,077,040.79","212,545,129.99","299,451,537.26","69,749,811.56","124,324,243.19","186,688,347.44","277,086,617.31","72,152,970.52","145,108,173.44","218,380,771.90","298,162,886.65","54,359,524.47","134,667,653.63","223,981,838.07","328,564,454.07","60,000,412.41","168,668,324.47","273,612,590.42","377,111,947.07","76,364,482.68","168,192,095.28","293,293,981.65"
减:营业外支出,"2,903,702.46","2,387,535.61","4,252,759.66","1,073,262.28","1,898,461.78","3,730,210.23","1,155,588.04","1,716,990.17","4,332,091.17","5,567,711.75","2,042,386.04","4,344,921.24","6,086,660.28","14,589,497.28","1,276,087.91","2,891,489.66","5,526,585.08","7,042,587.11","981,765.10","3,297,918.25","5,655,655.06","7,844,496.15","2,241,031.12","5,627,560.95","7,431,696.10","13,889,640.38","2,225,727.43","6,320,054.83","13,351,300.27"
管理费用,"68,365,731.09","97,705,894.50","117,575,916.25","60,652,497.80","100,018,118.25","151,111,136.03","37,129,180.77","75,452,750.48","127,046,323.53","171,339,301.27","44,132,149.24","84,792,020.11","133,832,077.33","195,123,866.56","48,588,865.68","108,207,989.03","191,807,877.09","276,525,517.54","72,681,141.29","186,207,478.70","295,846,917.25","415,384,057.89","93,400,592.84","202,659,655.93","326,284,570.64","444,527,952.87","103,951,486.67","226,556,664.64","349,197,763.80"
其中:非流动资产处置净损失,"883,594.02","744,665.41","1,323,043.63","110,162.42","246,932.35","1,162,333.89","275,343.75","275,581.52","1,989,146.63","2,277,580.93","1,531,150.85","2,361,990.81","2,366,582.01","4,271,387.18","732,413.37","1,566,695.97","2,563,910.11","2,522,856.47","11,306.00","169,833.71","502,576.32","1,250,841.07","97,277.32","1,622,458.17","1,837,429.98","2,289,569.21","234,027.36","1,034,158.38","1,965,095.14"
