科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"7,271,722.18","37,015,584.70","56,606,388.70","52,208,330.34","44,384,753.16","349,483,303.20","248,943,207.16","240,888,651.84","229,863,661.08","211,978,235.13","190,191,631.89","137,439,262.07","133,902,876.56","168,767,291.33","250,903,072.24","447,310,727.77","541,078,224.64","469,301,791.63","198,466,913.57","431,771,347.62","390,887,060.40","194,768,892.83","95,949,949.46","96,398,290.48","81,141,194.10","173,552,529.98","57,308,011.24","45,361,510.10","105,560,859.91","125,219,109.38","98,921,537.75","134,329,943.87","83,209,636.80","195,950,914.48","146,516,414.67","193,567,146.89"
短期借款,"8,000,000.00","9,720,000.00","60,400,000.00","68,034,948.67","48,034,948.67","32,000,000.00","10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","40,000,000.00","70,000,000.00","90,000,000.00","150,000,000.00","170,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","140,000,000.00","165,000,000.00","152,000,000.00","192,000,000.00","192,000,000.00","132,000,000.00","135,000,000.00","207,700,000.00","212,700,000.00","202,700,000.00","330,700,000.00","278,000,000.00","270,700,000.00","327,000,000.00","313,150,000.00","313,150,000.00","290,450,000.00","437,050,000.00"
交易性金融资产,,"21,810.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"3,977,800.00","2,480,442.80","42,200,000.00","3,471,315.00","14,175,353.89","149,999.50","5,950,000.00","3,030,000.00","23,934,220.23","5,045,824.00","11,964,400.00","10,007,470.00","29,200,000.00","21,580,000.00","3,800,000.00","8,110,000.00","50,605,350.00","36,649,987.58","8,030,000.00","16,683,727.60","5,637,500.00","3,808,243.97","4,868,240.00","2,756,535.10","9,546,854.59","3,334,382.60","7,530,000.00","9,280,000.00","3,684,505.52","2,508,202.40","2,344,734.45","2,244,220.77","5,823,598.23","1,478,625.91","3,090,000.00"
应付票据,"8,483,032.15","8,850,540.88","40,400,359.94","25,413,241.18","28,400,317.91","23,754,207.50","26,000,000.00","23,584,300.00","5,171,697.37","41,243,858.20","46,483,886.50","70,880,687.80","39,960,410.42","44,654,667.60","129,307,346.89","109,896,466.49","57,655,603.43","50,213,281.37","30,886,801.89","53,902,469.40","105,979,246.53","83,635,362.19","40,506,261.86","23,905,960.68","77,916,405.22","84,167,931.37","42,105,868.17","11,194,823.34","6,767,520.98","8,679,343.00","5,088,942.39","5,865,225.39","26,581,120.05","54,288,109.72","49,943,640.70","51,222,591.31"
应收账款,"34,311,792.06","46,985,227.53","94,705,995.06","59,986,197.36","79,271,941.21","112,984,132.01","104,238,971.72","122,501,438.61","130,552,530.78","165,979,564.15","146,637,917.74","170,922,121.69","178,699,685.06","191,532,555.25","181,784,091.82","247,770,202.53","241,149,305.56","230,795,546.01","233,025,294.83","251,776,551.25","254,299,950.39","265,596,609.51","249,912,405.71","245,218,060.03","275,519,115.40","223,518,405.66","183,713,978.40","185,104,493.12","169,622,957.95","162,568,227.22","139,400,746.24","132,617,737.08","135,179,320.60","153,879,056.73","113,346,182.36","208,087,083.37"
应付账款,"16,271,804.25","32,577,040.31","64,203,967.81","71,086,829.85","90,489,412.25","81,203,078.52","59,035,678.54","42,205,180.61","52,701,632.12","85,132,962.90","80,153,024.02","82,902,263.21","99,074,451.51","107,757,263.09","110,859,225.18","136,080,567.91","184,079,655.40","213,608,728.93","228,745,561.49","239,365,783.84","248,225,087.09","219,724,960.22","223,196,450.18","200,270,043.24","198,207,910.51","175,860,648.49","154,053,848.24","174,915,787.24","159,534,004.28","158,648,985.76","144,928,787.82","146,401,146.20","137,735,948.86","170,496,979.26","144,369,878.34","272,298,633.80"
预付款项,"2,092,757.85","3,856,665.05","19,327,118.38","11,602,664.93","33,195,670.31","35,081,848.27","29,358,066.62","44,603,971.84","25,900,262.75","28,157,529.08","36,313,273.43","80,812,962.67","26,571,355.46","13,934,466.48","66,430,631.82","36,315,069.71","102,642,964.26","25,667,318.02","73,594,996.98","82,350,766.14","101,276,827.34","41,890,227.10","81,880,687.04","64,359,209.52","78,310,913.95","80,286,793.88","28,174,100.10","27,593,019.16","31,819,959.41","13,631,632.36","18,352,264.74","20,864,477.27","48,381,712.53","19,472,333.74","14,057,104.59","55,728,651.71"
预收款项,"2,910,870.13","8,697,553.79","14,166,235.59","17,862,408.34","26,244,738.02","9,651,209.54","13,494,620.99","32,228,942.35","24,605,086.53","11,196,381.16","19,394,233.19","18,974,487.03","26,543,125.14","17,387,723.90","31,556,827.16","21,032,156.53","52,205,998.19","30,183,161.14","54,492,149.52","51,511,267.36","49,646,453.14","51,127,315.40","50,259,229.28","61,757,475.83","54,458,568.39","33,307,928.74","38,249,941.18","46,814,889.06","43,144,093.87","29,750,884.58","36,987,930.64","59,017,031.34","60,057,696.30","38,502,119.96","25,341,131.79","90,727,949.75"
