科目,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"132,628,538.42","210,065,996.75","277,464,309.46","369,275,374.55","736,998,437.96","798,061,694.52","869,995,229.53","789,073,982.28","856,658,533.15","882,321,766.34","878,658,089.81","728,326,992.89","695,849,979.74"
短期借款,,,,,,,,,,"50,000,000.00",,,
交易性金融资产,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,
应收票据,"1,725,000.00","500,000.00","3,100,000.00","5,505,962.10","2,644,990.10","2,362,500.00","1,714,500.00","1,750,000.00",,"1,700,000.00","2,656,870.85","2,192,280.00","6,489,999.61"
应付票据,,,,,,,,,,,,,
应收账款,"53,191,208.16","50,025,598.59","88,277,428.71","57,513,032.73","66,811,921.63","72,380,646.00","81,693,967.61","83,449,731.03","71,483,475.52","75,816,351.39","96,913,575.68","57,629,509.21","73,421,835.02"
应付账款,"34,362,186.47","24,766,908.77","17,370,545.77","24,672,704.49","34,883,817.82","32,168,862.09","31,702,211.46","33,075,792.56","40,556,255.07","46,224,180.19","50,222,755.49","48,946,097.98","100,611,416.39"
预付款项,"22,488,918.21","77,138,455.84","15,488,695.23","30,895,138.57","79,566,044.61","46,430,509.62","16,698,695.86","25,759,644.17","31,982,011.63","17,369,149.36","30,209,840.27","61,897,495.08","37,277,724.95"
预收款项,"97,211,660.39","114,400,490.09","96,915,652.27","83,083,834.75","121,793,522.85","152,832,608.47","166,653,107.69","220,889,578.23","214,325,893.35","223,502,875.90","196,623,981.33","179,198,307.92","177,884,317.50"
其他应收款,"4,466,024.97","7,687,509.25","1,720,693.09","1,745,134.86","2,046,934.06","2,552,011.81","2,321,460.35","2,644,862.42","3,337,446.85","3,121,264.34","3,074,440.88","4,468,283.56","5,076,920.56"
应付职工薪酬,"19,333,023.21","20,986,479.03","21,327,343.76","15,116,789.44","20,827,995.14","22,434,643.42","23,191,365.90","15,297,510.44","19,498,184.36","22,590,133.61","26,714,150.54","16,714,349.38","23,345,354.06"
应收关联公司款,,,,,,,,,,,,,
应交税费,"5,286,028.27","5,310,680.01","7,667,822.26","7,700,500.90","6,168,178.54","6,011,546.40","9,251,726.15","4,524,428.35","7,343,308.48","11,351,405.67","16,240,625.93","8,648,490.04","3,621,733.88"
应收利息,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,"37,947,825.00"
存货,"297,001,090.59","302,324,919.92","270,373,191.65","230,131,954.84","329,038,531.13","348,128,812.22","364,312,173.91","406,273,257.42","400,391,723.00","375,054,256.36","384,219,577.87","450,107,985.26","537,163,799.84"
其他应付款,"114,165.47","203,519.96","60,058.56","62,709.07","90,834.67","79,378.40","218,031.00","517,031.00","54,728,253.50","55,664,013.50","55,071,543.50","62,031,512.50","46,455,790.41"
其中:消耗性生物资产,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,
其他流动资产,"4,774,236.50","4,945,349.48","887,595.00","21,142.29","3,770,662.66","12,807,735.67","3,607,120.23","112,543,000.22","105,309,481.58","145,169,648.41","8,149,624.08","17,981,286.63","38,852,987.38"
其他流动负债,,,,,,,,,,,,,
流动资产合计,"516,275,016.85","652,687,829.83","657,311,913.14","695,087,739.94","1,220,877,522.15","1,282,723,909.84","1,340,343,147.49","1,421,494,477.54","1,469,162,671.73","1,500,552,436.20","1,403,882,019.44","1,322,603,832.63","1,394,133,247.10"
流动负债合计,"156,307,063.81","165,668,077.86","143,341,422.62","130,636,538.65","183,764,349.02","213,527,038.78","231,016,442.20","274,304,340.58","336,451,894.76","409,332,608.87","344,873,056.79","315,538,757.82","389,866,437.24"
可供出售金融资产,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,
