科目,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、经营活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收回投资收到的现金,"42,400,000.00",,,,,,,,,,,"-226,640,187.78","-226,640,187.78",,"3,811,704.67","3,811,704.67",,,,,,,,"28,259,600.00","23,806,583.84",,"21,597,000.00",,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益收到的现金,"105,111,122.77",,"115,121,607.12","115,206,994.12","119,121,607.12","94,056,297.62","94,142,697.62","93,183,273.77","115,321,458.58","214,400.00","73,671,578.00","73,901,721.10","73,706,921.00",,"90,311,421.00","89,525,721.00","89,648,141.00","100,000.00","85,699,721.00","86,579,721.00","86,666,121.00",,"55,887,610.10","55,887,610.10","61,357,210.10",,"17,487,944.55","15,990,000.00","15,990,000.00",,"32,800,000.00","32,800,000.00","32,800,000.00","30,996,000.00","30,996,000.00","30,996,000.00","30,996,000.00",,"18,860,000.00","22,386,800.00","22,386,800.00","35,219,000.00","40,843,869.78"
向中央银行借款净增加额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"13,237,763.97",,,,"78,580.00",,,,"48,980.31",,,,"172,158.40","3,811,704.67",,,"255,286.00",,,,"4,928,005.66",,,,"157,531.94",,,,"3,127,606.39",,"364,835.29","307,428.03","655,926.16","3,378.31","241,418.31",,"5,358,956.59","21,078.21","1,761,460.73","239,783.48","2,517,236.55",,"870,920.32"
向其他金融机构拆入资金净增加额,,,"400,000,000.00",,,,,"111,023,640.00",,,,"43,174,500.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"160,748,886.74",,"115,121,607.12","115,206,994.12","119,200,187.12","94,056,297.62","94,142,697.62","93,183,273.77","115,370,438.89","214,400.00","73,671,578.00","-152,738,466.68","-152,761,108.38","3,811,704.67","94,123,125.67","93,337,425.67","89,903,427.00","100,000.00","85,699,721.00","86,579,721.00","91,594,126.66",,"55,887,610.10","84,147,210.10","85,321,325.88",,"39,084,944.55","15,990,000.00","19,117,606.39",,"33,164,835.29","33,107,428.03","33,455,926.16","30,999,378.31","31,237,418.31","30,996,000.00","36,354,956.59","21,078.21","20,621,460.73","22,626,583.48","24,904,036.55","35,219,000.00","41,714,790.10"
收取利息、手续费及佣金的现金,"8,670,040,042.46","-2,576,083,026.51","-4,801,310,345.96","-3,348,252,044.56","-4,365,611,872.56","2,401,085,742.32","792,384,352.99","7,801,479,821.46","2,022,289,885.77","476,326,201.01","906,520,845.94","1,364,565,764.60","1,930,471,923.45","537,908,412.83","943,352,463.62","1,288,539,991.91","1,851,864,120.98","349,232,684.93","693,525,250.81","962,769,357.40","1,420,582,015.68","318,008,313.03","633,869,150.41","1,045,801,814.08","2,021,848,199.82","516,712,069.65","980,621,360.61","1,742,990,162.08","3,482,000,649.07","1,160,218,312.62","3,153,149,389.39","4,415,986,991.18","5,756,643,300.46","697,130,956.15","1,741,187,516.52","2,672,701,872.51","3,853,937,841.42","790,413,521.99","1,749,898,616.55","2,786,799,111.11","4,165,640,504.01","921,371,620.89","1,677,875,513.58"
投资支付的现金,,,,,,,,,"13,118,100.00","10,177,500.00","256,812,450.00","-140,483,610.58","178,810,389.42",,,,,,"41,500,000.00","41,500,000.00","41,500,000.00",,"15,000,000.00","15,000,000.00","17,722,500.00",,,,,,,"448,330,000.00","448,330,000.00","866,670,000.00","866,670,000.00","1,166,670,000.00","1,166,670,000.00",,,,"180,260,000.00",,"225,000,000.00"
