科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
货币资金,"49,435,787.97","53,793,533.08","95,062,043.06","21,905,757.85","201,148,195.84","225,133,777.58","269,580,797.05","202,772,541.83","175,540,270.17","129,683,650.98","189,938,012.38","165,084,846.76","118,125,338.73","113,699,293.58","135,358,612.28","118,825,133.24","57,768,482.84"
短期借款,,,,"10,000,000.00","7,900,000.00",,,,,,,,"20,000,000.00","40,000,000.00","48,300,000.00","48,300,000.00","123,389,034.70"
交易性金融资产,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,
应收票据,,"3,784,600.00",,,,"4,009,360.00","1,800,000.00","2,476,000.00","500,000.00",,"30,000.00","10,000.00",,,"2,268,000.00","1,600,000.00","4,060,000.00"
应付票据,,,"37,596,803.61","1,671,182.14","22,594,296.22","46,189,834.47","51,248,110.20","56,157,213.30","41,346,000.00","14,282,000.00","58,919,001.18","60,640,800.00","70,213,600.00","60,611,530.00","28,261,543.71","69,808,400.00","6,710,000.00"
应收账款,"42,818,592.26","40,562,174.40","37,748,269.04","87,071,289.80","89,931,747.06","98,996,106.62","65,194,940.51","71,520,183.86","78,170,862.71","93,293,546.22","92,548,869.04","115,912,396.49","126,499,574.62","155,788,374.46","143,622,981.18","170,827,650.71","221,224,732.69"
应付账款,"25,818,893.73","30,071,948.01","12,293,193.18","11,600,519.47","11,198,740.77","12,983,947.95","10,032,210.67","15,432,053.31","12,823,884.18","18,542,762.00","19,742,486.75","21,962,567.94","14,267,899.77","15,708,105.93","16,400,925.79","24,532,608.16","33,805,155.29"
预付款项,"3,780,273.09","6,089,250.98","10,197,278.41","15,224,993.87","16,279,713.16","22,107,071.44","25,872,500.73","31,254,212.41","34,001,586.04","43,470,148.90","24,654,712.42","36,462,116.13","56,648,375.10","37,479,136.56","25,473,275.77","42,429,249.54","36,935,361.80"
预收款项,"1,720,677.02","7,639,493.45","2,078,973.30","3,605,210.30","4,234,956.56","7,807,991.53","6,992,890.30","2,697,951.39","1,595,749.63","3,103,066.01","6,084,713.51","4,657,940.18","4,124,799.79","4,133,185.01","3,513,559.77","3,334,838.69","2,525,023.75"
其他应收款,"1,176,653.76","1,198,186.94","1,015,676.99","2,057,422.80","1,794,178.99","2,181,693.62","1,389,881.41","1,245,403.32","1,069,911.20","1,705,846.99","2,014,421.98","3,827,148.41","3,392,534.22","6,700,071.99","2,397,082.24","6,751,550.12","7,174,970.93"
应付职工薪酬,"8,524,309.06","8,740,042.08","11,076,470.85","6,600,375.44","8,309,240.32","9,244,528.56","10,557,924.01","4,495,679.39","4,731,835.59","4,864,777.09","9,080,765.42","6,185,742.40","6,559,399.67","6,899,398.68","12,271,378.55","8,327,892.93","10,006,003.61"
应收关联公司款,,,,,,,,,,,,,,,,,
应交税费,"5,584,110.41","5,214,949.13","5,561,498.53","5,214,253.68","4,850,550.90","3,588,449.19","7,354,928.73","-3,596,880.42","-3,840,415.49","-5,659,530.94","3,082,763.84","2,221,758.09","1,738,294.51","3,594,392.33","4,921,241.66","6,342,096.95","6,268,228.58"
应收利息,,,,,,,"751,083.33",,,,"317,278.64",,,,,,
应付利息,,,,,,,,,,,,,"32,625.00","64,041.67","84,787.54","84,787.54","199,453.11"
应收股利,,,,,,,,,,,,,,,,,
应付股利,,,,"10,000,000.00",,,,,,,,,,,,,"7,304,363.65"
存货,"21,940,883.90","39,604,753.07","45,273,423.20","47,148,646.08","56,846,952.28","44,624,706.32","50,349,612.42","88,381,632.01","70,440,456.88","71,711,128.42","98,695,956.59","100,004,433.64","121,079,535.93","116,580,488.51","110,567,188.14","121,639,148.95","139,388,207.11"
其他应付款,"516,816.92","753,498.07","732,975.70","188,467.18","4,764,190.38","369,085.13","1,381,138.57","701,175.87","668,264.43","698,411.06","2,267,280.53","260,606.77","12,631,186.84","10,941,941.12","11,207,059.07","10,189,239.78","14,968,689.32"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,"400,000.00","400,000.00",,,,"400,000.00",,,,,,,
其他流动资产,,,,,"5,082,463.52","881,373.51",,,,,"3,224,580.16","1,224,184.19","3,294,328.22","1,327,681.72","4,431,559.96","4,889,335.00","5,035,665.93"
其他流动负债,"400,000.00","400,000.00","400,000.00","400,000.00",,,"400,000.00","400,000.00","400,000.00",,"660,000.00","615,000.00","570,000.00","505,000.00","480,000.00","480,000.00","492,162.40"
流动资产合计,"119,152,190.98","145,032,498.47","189,296,690.70","173,408,110.40","371,083,250.85","397,934,089.09","414,938,815.45","397,649,973.43","359,723,087.00","339,864,321.51","411,423,831.21","422,525,125.62","429,039,686.82","431,575,046.82","424,118,699.57","466,962,067.56","471,587,421.30"
流动负债合计,"42,564,807.14","52,819,930.74","69,739,915.17","49,280,008.21","64,251,975.15","80,583,836.83","87,967,202.48","76,287,192.84","57,725,318.34","36,231,485.22","99,837,011.23","96,544,415.38","130,137,805.58","142,457,594.74","125,440,496.09","171,399,864.05","205,668,114.41"
可供出售金融资产,,,,,,,,,,,"5,000,000.00",,,,"18,000,000.00","24,000,000.00","29,000,000.00"
长期借款,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"18,000,000.00",,"1,470,000.00","1,470,721.43"
专项应付款,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,"139,446.31","283,934.06","375,985.24","593,031.92","774,207.32","898,490.16","1,206,562.23"
固定资产,"27,294,223.79","26,217,516.59","68,667,197.74","67,919,837.32","67,784,179.50","67,580,207.34","69,369,437.63","72,230,016.50","72,436,208.77","72,067,313.96","71,734,621.43","71,692,217.96","71,351,105.23","71,434,178.30","72,130,658.10","71,625,072.85","73,425,855.38"
递延所得税负债,,,,,,,,,,,,,,,,,"2,633,140.16"
在建工程,"13,114,659.52","38,627,830.93",,,"19,000.00","129,577.25",,,,,,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,
非流动负债合计,"2,800,000.00","10,140,000.00","8,657,000.00","8,657,000.00","9,257,000.00","10,457,000.00","6,812,000.00","5,919,974.20","5,819,974.20","5,479,731.52","2,299,446.31","2,323,934.06","2,295,985.24","2,413,031.92","2,454,207.32","2,458,490.16","6,279,702.39"
固定资产清理,,,,,,,,,,,,,,,,,
负债合计,"45,364,807.14","62,959,930.74","78,396,915.17","57,937,008.21","73,508,975.15","91,040,836.83","94,779,202.48","82,207,167.04","63,545,292.54","41,711,216.74","102,136,457.54","98,868,349.44","132,433,790.82","144,870,626.66","127,894,703.41","173,858,354.21","211,947,816.80"
生产性生物资产,,,,,,,,,,,,,,,,,
实收资本(或股本),"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","160,000,000.00","164,932,692.00"
油气资产,,,,,,,,,,,,,,,,,
资本公积,"8,785,192.66","8,785,192.66","8,785,192.66","8,785,192.66","161,439,792.66","161,439,792.66","161,439,792.66","161,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","81,439,792.66","210,362,949.72"
无形资产,"10,712,855.34","10,658,135.61","10,726,664.09","10,596,796.58","10,466,929.07","10,390,553.44","10,256,898.13","10,134,352.82","10,184,030.85","11,362,589.02","15,299,303.94","15,020,006.76","22,680,290.41","22,458,157.73","22,787,762.47","22,293,389.15","37,450,610.81"
盈余公积,"6,789,471.98","10,635,289.61","14,860,541.15","14,860,541.15","17,179,430.06","18,059,543.27","19,803,032.77","20,127,614.60","20,604,570.37","20,800,858.55","21,925,171.72","22,389,537.27","22,410,414.53","22,337,499.26","22,222,876.09","22,222,876.09","22,994,653.57"
开发支出,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,"19,608,105.72","19,608,105.72","19,608,105.72","19,608,105.72","177,207,170.05"
未分配利润,"51,105,247.86","79,717,606.49","109,744,870.31","113,020,698.46","120,614,870.53","128,535,889.38","144,227,294.86","147,148,531.34","127,441,133.21","129,207,726.90","138,710,961.64","146,426,305.85","137,347,584.77","140,051,178.88","145,957,094.36","147,422,349.41","145,055,819.48"
长期待摊费用,"235,042.76","183,760.76","1,411,715.85","1,362,146.04","1,312,576.23","1,263,006.42","4,834,032.69","4,956,578.24","4,706,385.47","4,417,073.54","4,802,275.42","4,748,748.16","4,656,425.72","4,542,397.77","6,165,544.27","5,821,894.46","5,514,904.39"
少数股东权益,,,,,,,,,,"782,365.02","5,734,664.75","6,279,834.20","16,936,966.61","22,654,297.36","29,223,479.58","31,176,883.26","47,042,683.01"
递延所得税资产,"1,535,747.25","1,378,277.14","1,685,250.91","1,316,550.14","2,077,132.75","1,778,628.60","850,138.87","952,184.65","981,076.69","1,230,661.84","1,687,016.31","1,417,720.92","3,232,935.49","3,735,508.48","3,927,175.97","4,339,725.89","6,679,931.22"
外币报表折算价差,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,,,,,,,,,,,
非正常经营项目收益调整,,,,,,,,,,,,,,,,,
非流动资产合计,"52,892,528.66","77,065,521.03","82,490,828.59","81,195,330.08","81,659,817.55","81,141,973.05","85,310,507.32","93,273,132.21","93,307,701.78","94,077,638.36","98,523,217.10","92,878,693.80","121,528,862.57","139,778,348.00","142,619,246.53","149,158,188.07","330,749,193.28"
所有者权益(或股东权益)合计,"126,679,912.50","159,138,088.76","193,390,604.12","196,666,432.27","379,234,093.25","388,035,225.31","405,470,120.29","408,715,938.60","389,485,496.24","392,230,743.13","407,810,590.77","416,535,469.98","418,134,758.57","426,482,768.16","438,843,242.69","442,261,901.42","590,388,797.78"
资产总计,"172,044,719.64","222,098,019.50","271,787,519.29","254,603,440.48","452,743,068.40","479,076,062.14","500,249,322.77","490,923,105.64","453,030,788.78","433,941,959.87","509,947,048.31","515,403,819.42","550,568,549.39","571,353,394.82","566,737,946.10","616,120,255.63","802,336,614.58"
负债和所有者(或股东权益)合计,"172,044,719.64","222,098,019.50","271,787,519.29","254,603,440.48","452,743,068.40","479,076,062.14","500,249,322.77","490,923,105.64","453,030,788.78","433,941,959.87","509,947,048.31","515,403,819.42","550,568,549.39","571,353,394.82","566,737,946.10","616,120,255.63","802,336,614.58"
