科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"202,445,463.82","859,488,752.36","355,801,278.08","1,750,767,420.87","1,638,009,428.95","1,667,485,951.72","1,580,622,489.00","1,155,316,686.06","949,662,242.19","1,618,414,477.88","1,724,865,055.24","1,231,245,165.27","1,030,740,566.41","1,137,833,637.97","1,605,638,692.83","1,505,377,469.79","1,264,135,390.49","1,372,980,911.80","1,260,593,975.18","1,186,342,950.91","1,316,004,866.45","1,485,319,171.69","1,332,411,045.07","1,351,881,502.50","1,374,919,589.03"
短期借款,,,"10,000,000.00",,,,,,,,,,,,,,,,,,,,,,"5,000,000.00"
交易性金融资产,"1,206,020.00","17,100.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"23,378,365.53","35,936,681.45","54,811,054.99","58,911,405.28","59,099,663.75","80,719,671.41","73,028,770.87","129,434,449.56","195,442,048.96","173,144,605.36","98,706,957.83","62,004,214.62","36,337,604.76","126,185,741.08","118,693,685.42","61,569,863.04","103,086,218.86","200,606,296.83","116,523,627.87","35,339,632.44","59,178,696.29","248,653,974.80","207,245,452.45","96,828,005.22","148,051,774.32"
应付票据,"277,680,641.43","479,541,512.89","108,604,458.18","33,333,730.90","34,852,897.86","21,812,435.74","106,044,591.28","143,539,014.08","59,466,154.76","38,946,671.11","144,626,895.12","256,139,513.46","137,076,016.61","69,739,680.87","94,837,123.30","108,370,839.94","93,326,164.94","48,278,143.05","25,838,283.85","61,333,112.54","104,773,812.86","101,774,818.66","121,291,007.82","108,730,891.29","108,445,030.59"
应收账款,"92,778,920.32","99,423,039.68","102,984,682.01","156,799,508.85","161,528,071.15","135,952,280.94","202,230,442.61","221,965,012.58","183,473,019.37","144,660,524.07","144,132,337.54","202,706,856.75","267,132,985.87","327,432,429.50","341,665,933.70","382,867,980.53","343,938,175.75","214,776,249.39","226,600,679.26","329,380,627.26","350,273,993.21","240,495,619.18","307,066,977.53","370,165,132.76","381,351,601.22"
应付账款,"124,217,641.99","72,826,230.06","160,860,890.88","165,860,762.73","163,860,151.71","113,797,920.05","129,101,390.56","123,164,356.73","138,941,216.75","122,785,853.99","147,726,206.13","148,165,928.38","128,430,962.83","116,997,837.88","116,446,554.76","97,052,296.20","89,855,699.33","113,881,389.83","95,629,546.14","82,314,034.64","89,694,070.84","115,418,885.14","112,794,718.77","135,054,540.28","125,154,082.58"
预付款项,"90,545,486.67","142,897,675.29","79,064,798.44","39,456,781.00","43,520,478.56","24,513,769.07","33,985,999.12","35,094,179.08","34,625,046.96","19,108,302.30","64,623,541.69","77,026,426.96","49,972,585.87","13,644,443.50","51,270,291.70","19,383,008.93","26,432,227.35","10,836,184.38","18,289,052.47","25,285,155.55","20,432,719.72","23,352,887.02","37,149,854.28","28,634,918.14","34,286,464.54"
预收款项,"142,634,426.57","333,417,520.19","389,361,497.47","353,224,043.02","321,682,870.25","340,728,067.56","303,560,544.53","257,028,684.58","153,418,765.50","281,744,048.82","241,836,200.65","108,231,843.00","103,297,472.28","158,995,470.88","118,902,546.20","86,757,528.42","88,182,528.44","146,715,448.90","89,951,046.55","89,765,355.39","100,144,961.40","197,699,220.29","173,911,184.02","118,465,532.07","133,948,499.57"
