科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"86,711,736.00","90,641,905.56","122,579,739.45","27,489,115.72","61,450,770.86","98,305,232.99","135,889,095.83","35,053,570.60","75,229,165.51","117,960,590.01","158,868,586.56","49,750,225.28","95,178,221.97","141,508,445.90","174,456,942.78","56,577,346.62","116,408,457.22","180,301,994.38","256,347,121.25","70,530,851.22","126,216,163.33","187,964,233.69","246,605,890.36","60,871,602.90","111,547,278.17","174,710,010.60","256,676,725.87","93,314,494.41","192,746,716.50","301,173,775.69","491,390,465.57","189,421,854.55","324,392,843.63"
取得子公司及其他营业单位支付的现金净额,"11,587,711.81",,,,,,,,,"25,987,587.97","10,390,778.61","750,818.24","750,818.24","750,818.24","750,818.24",,,,,,,"4,779,812.50",,,,,,,"88,979,000.00","88,979,000.00","73,713,525.24",,
收到的税费返还,,,,,,,"222,091.16",485.19,"282,874.36","286,998.47","1,101,131.88",,"166,414.81","575,591.35","2,233,889.75","232,834.60","848,383.31","1,197,340.90","1,656,153.54","681,969.03","1,404,562.03","1,782,791.75","2,506,139.29","504,970.40","1,127,385.36","1,323,356.80","1,326,690.38","4,220.16","724,841.40","1,095,939.92","1,329,667.67",480.48,"698,956.04"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,,,,"203,217.88",,,"5,451,995.92","2,460,445.08","5,607,247.75","9,018,499.38","10,808,725.86","1,860,202.20","4,608,324.72","9,580,541.29","10,094,807.06","2,534,391.70","1,814,549.95","2,411,215.40","12,006,781.84","5,761,494.51","23,527,756.42","25,907,680.26","31,829,182.17","977,604.69","3,280,523.39","28,756,504.72","12,228,094.64","12,341,750.14","9,102,113.89","47,055,599.91","10,316,127.06","22,649,234.41","29,216,728.11"
投资活动现金流出小计,"30,839,846.33","25,654,372.30","34,538,679.23","9,065,890.53","21,857,113.42","40,053,219.40","53,793,189.16","25,456,633.24","49,246,435.22","88,883,849.73","84,660,794.41","23,138,325.03","58,141,151.57","67,615,822.06","91,740,137.54","26,097,178.00","50,568,979.52","87,469,055.17","125,961,916.04","29,545,489.74","51,020,357.25","68,634,571.20","121,190,587.50","6,625,146.17","32,983,750.51","44,818,407.45","56,150,342.63","6,259,519.79","103,674,051.33","123,871,321.01","145,564,613.31","23,325,916.10","50,021,318.07"
经营活动现金流入小计,"86,711,736.00","90,641,905.56","122,579,739.45","27,692,333.60","61,450,770.86","98,305,232.99","141,563,182.91","37,514,500.87","81,119,287.62","127,266,087.86","170,778,444.30","51,610,427.48","99,952,961.50","151,664,578.54","186,785,639.59","59,344,572.92","119,071,390.48","183,910,550.68","270,010,056.63","76,974,314.76","151,148,481.78","215,654,705.70","280,941,211.82","62,354,177.99","115,955,186.92","204,789,872.12","270,231,510.89","105,660,464.71","202,573,671.79","349,325,315.52","503,036,260.30","212,071,569.44","354,308,527.78"
投资活动产生的现金流量净额,"-29,936,053.45","-25,458,372.30","-34,536,619.23","-9,010,890.53","-21,645,113.42","-39,841,219.40","-53,524,730.77","-24,809,984.72","-48,579,625.28","-87,999,810.37","-84,570,264.66","-22,959,125.03","-58,005,651.57","-67,450,822.06","-91,554,914.54","-26,017,178.00","-50,428,913.52","-87,282,989.17","-125,726,080.04","-29,545,189.74","-40,183,387.25","-32,554,901.20","-85,732,869.59","-6,625,146.17","-32,903,491.51","-44,724,648.45","-55,917,695.54","-6,268,491.94","-103,584,441.33","-123,656,111.01","-145,152,147.25","-23,308,116.10","-49,955,188.07"
购买商品、接受劳务支付的现金,"25,603,176.16","31,565,913.38","46,508,110.99","9,949,643.21","20,629,886.68","34,638,874.09","46,047,195.79","12,245,628.56","20,342,597.89","30,043,088.60","47,660,503.27","14,653,174.04","26,373,152.46","38,541,993.33","48,810,931.94","13,303,345.87","27,727,653.67","45,213,235.52","80,569,161.33","17,366,822.33","33,151,537.93","48,671,271.09","74,524,895.62","13,624,819.66","39,473,055.58","64,612,270.08","92,570,812.34","26,960,243.50","66,476,536.78","124,879,605.28","190,095,316.15","60,125,064.10","115,894,163.10"
吸收投资收到的现金,"13,222,383.56",,,,"202,470,400.00","202,470,400.00","202,470,400.00","1,573,500.00","1,573,500.00","1,573,500.00","1,573,500.00",,,"250,000.00","9,367,800.00",,"35,276,200.00","35,276,200.00","35,276,200.00",,"10,900,750.00","10,900,750.00","12,800,750.00",,,,,,"124,394,995.56","125,094,995.56","125,824,995.56","150,000.00","150,000.00"
