科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"188,777,649.98","257,828,654.31","232,102,784.72","148,254,653.31","220,808,888.50","302,064,732.25","79,682,165.89","158,490,771.65","226,970,472.48","305,829,614.29","78,606,669.00","170,131,713.39","257,580,116.84","351,711,157.59","104,001,863.52","188,919,750.63","295,120,415.07","411,312,678.16","113,963,771.11","245,668,065.42","349,650,373.39","466,351,108.10","94,069,496.14","209,555,967.76","302,864,469.62","415,550,819.77","96,307,932.95","193,104,543.52","249,039,378.06","331,189,776.51","99,103,471.15","234,258,689.87","365,655,818.23","535,879,620.51","273,581,968.10","642,636,410.11","1,055,610,191.20","1,418,294,158.04","293,815,663.51"
二、营业利润,"15,804,080.54","31,728,860.20","49,182,034.29","28,631,660.92","44,024,825.79","61,303,604.17","12,151,795.48","21,242,937.20","22,340,377.36","24,575,840.19","4,723,004.21","11,156,996.58","16,869,296.50","14,189,010.76","5,117,754.90","5,943,142.34","26,453,488.10","46,167,181.38","18,850,055.31","36,670,907.84","43,609,364.52","47,770,074.61","7,536,307.70","11,789,443.28","17,942,358.89","27,557,533.61","4,483,307.36","14,038,246.42","18,249,878.72","24,257,668.64","5,658,794.72","26,033,230.92","43,827,719.86","107,951,401.18","134,362,538.47","343,487,682.71","589,928,287.63","787,585,442.02","126,488,155.44"
减:营业成本,"158,272,144.18","197,816,400.51","156,315,502.82","106,057,518.62","157,376,065.17","214,354,254.63","62,149,822.93","123,034,872.43","182,021,968.15","245,892,553.36","65,093,410.15","139,038,504.65","208,628,912.07","287,810,328.18","84,851,128.34","151,328,243.82","222,008,978.40","300,461,899.81","84,109,500.21","175,760,092.87","255,887,633.60","353,085,011.55","75,783,495.98","170,788,553.50","245,994,739.53","333,986,523.38","80,846,380.65","152,672,295.80","194,303,465.68","263,305,110.97","80,321,454.35","174,570,187.84","267,108,176.48","357,716,718.22","109,580,916.06","234,810,583.97","380,069,102.64","513,635,488.76","130,907,257.30"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"565,148.15","819,424.99","1,069,862.01","825,303.72","1,179,770.55","1,535,242.47","49,965.26","177,354.57","183,861.99","186,728.48",179.64,"7,814.44","7,814.44","7,814.44",,"409,537.23","991,425.63","1,852,678.61","594,198.47","1,028,730.43","1,316,381.54","2,793,668.82","843,145.45","1,612,811.92","2,520,883.58","3,374,527.92","1,043,662.97","1,807,373.31","2,607,788.74","4,545,035.89","563,858.92","2,183,488.45","3,579,559.02","5,011,276.82","2,588,547.02","6,660,837.63","12,308,286.59","15,453,779.00","7,705,220.29"
营业外收入,"6,099.00","25,310.51","700,000.00","813,750.00","820,090.40","820,190.40","19,550.00","21,260.00","21,560.00","164,979.77","292,411.91","299,804.75","701,309.07","146,320.33",,"33,500.00","435,475.00","757,825.00","6,500.00","118,769.88","129,769.88","1,080,831.99","10,000.00","129,130.00","143,620.00","2,201,811.44","949,216.35","1,109,608.36","1,749,237.80","1,885,809.74","157,010.00","11,811.17","54,804.70","195,656.44",940.00,"2,690.00","456,941.22","272,403.41",620.00
销售费用,"4,679,786.87","4,687,953.92","4,537,087.72","1,855,665.14","2,915,056.14","4,661,572.64","1,006,703.30","2,159,685.77","3,243,217.79","5,161,922.60","839,436.10","2,465,593.56","4,043,218.32","6,081,937.37","1,219,751.55","2,948,026.84","4,714,549.32","6,252,487.36","973,208.95","3,112,966.06","4,557,608.00","6,033,535.56","1,337,492.01","2,971,479.13","4,267,319.65","5,977,039.25","1,470,118.50","3,707,268.45","4,856,446.89","6,493,320.74","1,575,773.09","3,644,500.97","5,175,260.76","7,102,973.11","2,435,604.58","6,586,115.63","9,789,188.12","9,078,472.79","1,673,196.89"
减:营业外支出,,"1,735,085.60","54,270.84","200,000.00","493,430.50","613,430.50","24,361.59","24,361.59","69,866.89","174,161.59","2,960.00","234,776.19","254,776.19","378,887.19","130,672.96","160,673.93","130,534.93","4,164,864.01","60,020.00","70,020.00","70,020.00","646,472.90","60,000.00","70,000.00","545,644.44","3,038,896.26","17,237.91","26,297.91","172,456.52","170,800.00","64,400.00","2,723,023.54","3,765,517.46","6,180,751.99","920,816.57","12,679,468.20","13,669,075.55","22,353,862.14","267,938.55"
管理费用,"5,910,258.66","14,250,925.91","18,182,207.48","9,384,285.90","14,544,563.46","21,931,804.23","6,820,522.68","16,651,575.45","26,101,854.37","37,481,017.24","9,334,011.03","19,724,656.15","30,070,454.16","47,047,239.98","13,618,720.65","29,971,569.20","43,355,292.79","58,600,121.57","10,546,886.60","29,187,610.15","46,462,223.95","61,756,506.04","9,928,771.69","24,636,946.19","37,299,483.15","52,121,093.27","10,581,133.01","24,338,910.41","35,933,533.67","49,325,695.66","12,496,324.09","26,641,796.05","42,301,599.35","64,481,667.24","22,542,335.35","61,722,739.24","54,684,725.94","76,240,301.12","13,814,828.76"
其中:非流动资产处置净损失,,"734,085.60","54,270.84",,,,,,,,,,,,,,,"4,006,936.35",,,,"475,092.11",,,,"1,992,536.01",,"2,157.91",,"26,660.00",,"2,524,524.80","3,336,942.97",,,,,,
