科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
货币资金,"46,330,417.44","63,884,085.72","73,515,418.87","86,294,533.92","431,947,273.18","366,924,857.01","363,362,452.24","362,799,363.61","386,584,756.62","367,485,211.45","354,601,960.81","367,287,668.79","327,610,224.25","345,512,210.28","375,856,414.05","400,700,918.20","370,462,096.73","323,805,862.32","347,684,087.71","334,530,092.21","343,757,494.18","362,029,104.51","318,311,999.83","383,349,335.91","305,247,769.02","259,903,116.13","224,442,756.68","417,723,908.53","416,682,846.43","445,741,905.66","427,032,268.78","540,099,501.61","402,581,287.37","319,527,929.17","367,453,215.14","477,908,094.47","454,444,392.22","503,859,911.85","470,111,963.38","451,453,078.58","455,764,159.67","479,096,036.19","441,997,784.06"
短期借款,"209,545,110.00","215,144,250.00","213,487,800.00","212,514,090.00","241,723,150.00","214,033,660.00","206,450,195.00","214,496,120.00","207,473,340.00","193,031,900.00","154,614,500.00","139,328,200.00","146,152,600.00","137,999,637.24","176,225,969.61","180,680,580.56","186,233,490.32","225,904,219.04","257,346,914.81","249,997,512.60","259,602,473.07","67,716,654.92","61,000,000.00","61,000,000.00","58,000,000.00","59,000,000.00","59,000,000.00","292,000,000.00","402,000,000.00","446,300,000.00","484,000,000.00","471,000,000.00","406,000,000.00","471,000,000.00","506,000,000.00","511,000,000.00","343,000,000.00","283,000,000.00","128,000,000.00","128,000,000.00","60,000,000.00","19,500,000.00",
交易性金融资产,"4,966,358.35","4,966,358.35",,,,,,,,,,,,,"8,000,000.00",,,"30,000,000.00",,,,,,,,,,,,,,,,,"2,999,397.11","2,755,102.00","2,755,102.00","2,982,848.00","3,336,096.00",,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"58,977,785.97","58,210,243.30","77,218,728.63","66,407,095.21","93,823,025.57","94,309,466.29","101,719,140.77","119,453,310.21","102,207,531.14","104,714,237.50","151,609,637.52","142,131,413.03","156,852,340.34","173,634,281.38","176,986,220.32","187,917,374.66","171,449,699.06","205,862,557.30","260,107,538.84","280,085,440.65","244,878,415.73","194,872,935.23","228,295,662.32","235,149,109.81","235,531,270.13","245,841,888.70","318,172,792.17","332,062,033.68","359,437,317.20","398,322,150.71","413,419,925.82","383,990,414.05","415,201,358.59","351,139,461.87","440,769,981.22","407,022,045.44","370,767,683.39","469,878,850.12","456,739,738.94","440,999,214.30","366,215,193.26","328,744,528.03","358,779,182.53"
应付票据,"27,244,612.60","34,397,694.51","35,797,720.41","33,599,203.50","39,256,055.39","30,335,601.30","26,512,023.61","17,666,796.39","15,101,856.00","23,663,332.70","25,778,187.71","41,051,623.54","62,484,677.40","68,977,027.77","74,668,613.06","79,095,761.29","90,209,064.38","120,991,860.69","139,248,399.47","154,509,625.74","168,362,675.63","170,704,314.27","140,698,350.25","141,806,090.41","172,983,342.62","171,704,687.80","184,877,011.78","158,659,575.03","163,558,339.58","190,293,451.18","215,659,810.59","211,056,899.42","187,369,422.11","179,772,953.14","193,245,679.67","186,163,246.80","168,414,708.56","221,666,857.11","198,393,712.63","193,363,709.58","180,644,968.74","179,462,523.16","132,556,877.28"
应收账款,"201,719,154.06","237,342,440.66","208,043,579.26","230,246,890.91","302,988,004.72","402,335,971.35","329,884,051.34","331,310,551.85","348,617,747.61","438,098,815.98","440,283,492.04","446,076,207.45","550,424,881.96","567,760,935.39","548,763,135.60","486,561,734.58","602,153,001.32","659,560,478.90","613,144,193.65","582,018,340.29","594,924,116.21","646,965,543.07","581,587,165.13","517,795,824.45","543,737,998.45","762,681,970.59","634,050,918.15","709,748,981.64","722,007,944.41","845,854,567.46","805,893,699.97","914,020,764.58","855,325,801.24","981,723,064.03","829,106,509.24","1,021,107,153.14","952,656,135.27","961,872,931.04","950,861,443.35","997,312,985.66","952,422,692.79","885,861,084.33","982,412,569.27"
应付账款,"160,878,287.03","176,447,091.75","157,472,991.75","157,353,310.71","225,208,606.16","258,583,672.09","232,488,951.32","249,825,646.70","235,655,089.21","283,372,376.20","303,527,675.84","333,776,353.92","387,052,291.58","406,044,429.91","369,260,384.00","416,970,530.02","453,777,449.78","458,880,104.14","442,690,239.22","475,175,339.35","490,076,284.06","472,896,950.52","451,609,799.46","452,251,799.35","443,242,636.53","474,994,616.46","418,315,018.44","503,157,480.52","518,272,274.22","560,442,389.52","570,470,100.36","618,800,549.39","594,468,471.60","633,765,519.75","559,524,621.70","673,239,228.04","652,615,224.67","636,497,407.51","777,429,052.47","712,898,499.24","629,566,685.67","607,794,648.84","687,855,312.20"
预付款项,"36,097,633.42","36,335,543.62","34,781,806.62","22,742,542.88","46,540,954.62","50,889,666.28","62,276,002.16","47,974,423.12","51,535,104.13","50,787,323.39","64,432,766.21","62,170,569.81","71,785,006.41","84,349,824.45","79,797,562.44","80,076,285.58","69,239,284.64","91,374,385.55","102,283,843.57","106,487,036.17","86,622,977.36","102,637,574.91","78,758,734.35","48,783,463.67","52,364,625.48","46,098,822.30","64,563,946.46","93,093,938.15","68,703,653.61","72,895,719.64","56,978,960.52","56,996,213.20","66,301,492.07","68,256,642.40","61,691,379.84","47,673,258.63","60,075,643.86","80,094,996.70","51,866,341.07","65,220,487.62","69,326,614.67","76,903,128.89","34,355,891.19"
预收款项,"2,203,432.03","1,443,983.49","3,655,754.27","4,612,733.32","15,031,088.97","22,546,612.89","20,476,243.76","16,925,868.26","18,015,978.03","20,608,683.70","23,130,778.07","21,961,322.84","21,204,455.64","22,599,363.21","21,248,394.97","29,003,466.76","29,735,472.30","29,022,125.80","34,628,936.92","22,484,831.00","25,724,079.07","25,770,443.11","25,221,257.46","19,879,071.20","17,809,667.05","21,486,682.52","18,997,758.65","16,613,970.99","17,888,135.76","13,150,360.86","16,281,008.81","18,295,397.23","19,539,304.38","18,642,446.84","18,622,115.53","18,860,808.29","22,891,386.54","20,933,506.44","21,060,562.09","20,785,944.50","20,344,291.28","12,416,551.65","10,914,332.17"
