科目,2007年度,2008年度,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"549,249,280.54","629,983,139.67","358,679,763.97","491,345,067.76","725,722,962.65","167,642,345.25","385,700,176.72","653,844,511.78","1,023,584,362.78","185,134,244.32","470,596,159.56","711,222,101.83","1,035,943,518.29","252,897,118.33","494,384,121.19","736,783,136.60","2,176,890,295.38","453,200,377.10","996,011,500.72","1,645,407,244.26","2,439,157,597.26","379,818,416.70","1,020,007,096.84","1,688,507,955.37","2,544,082,918.56","794,770,539.64","1,358,771,597.05","2,183,993,133.15","3,241,307,721.71","816,993,264.52","1,811,441,187.54","2,881,078,569.06","4,139,802,453.78","1,054,939,064.56","2,462,917,457.90","3,473,246,372.41","4,389,217,691.09","992,637,254.35","2,207,606,101.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,"16,267,140.31",,"16,224,316.46",,,,,,,,,,,,,,,,,,
收到的税费返还,"8,648,825.64","16,629,800.49","477,741.98","4,175,919.83","10,311,126.37","6,159,675.54","11,131,071.68","25,377,809.61","29,565,989.72","3,759,954.12","8,154,094.07","9,249,360.78","11,969,109.34","2,945,642.17","4,707,156.88","4,707,156.88","9,963,777.23","7,123,075.37","15,085,589.50","24,043,659.35","26,378,877.11","12,715,204.76","21,039,515.71","31,406,183.48","39,958,474.46","9,703,668.89","18,638,212.18","33,807,583.19","44,386,337.58","18,048,599.46","39,000,436.01","71,910,284.43","80,577,884.39","14,268,119.61","46,216,853.95","64,797,071.00","90,123,733.37","23,752,841.80","74,548,000.60"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,"30,000,000.00",,,,,,,,"440,595,000.00",,"500,000,000.00",,"650,000,000.00","130,000,000.00","360,000,000.00","1,890,290.26","120,000,000.00","540,000,000.00","255,000,000.00","1,591,375,000.00","89,375,000.00","868,603,200.00","346,303,200.00"
收到其他与经营活动有关的现金,"8,939,258.92","16,601,075.39","4,264,496.23","10,079,394.17","22,078,865.70","1,918,734.52","5,558,000.16","21,364,606.73","30,499,601.40","4,608,577.06","26,286,996.72","32,764,559.81","59,482,398.54","10,841,606.86","39,938,779.69","43,839,562.06","80,185,242.64","54,931,636.18","82,983,970.27","117,096,240.47","102,334,366.47","10,577,586.73","26,790,506.75","46,407,679.12","55,601,138.04","9,952,966.74","56,793,601.14","59,241,746.79","118,676,082.13","51,821,036.96","70,867,632.60","88,410,320.91","59,583,631.83","7,290,972.43","38,437,112.30","44,117,616.59","59,651,611.28","8,382,361.55","64,233,686.16"
投资活动现金流出小计,"45,574,266.29","24,479,404.87","11,644,260.51","20,126,838.84","38,117,788.21","27,061,264.93","67,987,035.37","97,033,454.24","150,567,688.55","36,455,345.23","98,421,823.23","121,449,861.28","167,328,149.12","44,164,346.27","51,826,499.33","59,345,859.97","150,956,037.11","78,979,573.51","126,444,063.93","145,123,490.94","174,873,249.32","22,885,910.86","44,901,255.95","73,002,436.72","541,553,709.69","20,112,121.37","540,987,893.77","85,055,036.35","803,070,601.62","166,069,652.23","483,943,257.02","194,689,234.29","370,612,409.15","606,223,003.19","405,685,888.25","1,832,836,079.33","487,972,896.71","927,399,541.23","513,634,766.03"
经营活动现金流入小计,"566,837,365.10","663,214,015.55","363,422,002.18","505,600,381.76","758,112,954.72","175,720,755.31","402,389,248.56","700,586,928.12","1,083,649,953.90","193,502,775.50","505,037,250.35","753,236,022.42","1,107,395,026.17","266,684,367.36","539,030,057.76","785,329,855.54","2,267,039,315.25","515,255,088.65","1,094,081,060.49","1,786,547,144.08","2,567,870,840.84","403,111,208.19","1,067,837,119.30","1,766,321,817.97","2,639,642,531.06","814,427,175.27","1,434,203,410.37","2,277,042,463.13","3,404,370,141.42","886,862,900.94","1,921,309,256.15","3,041,399,174.40","4,279,963,970.00","1,076,498,156.60","2,547,571,424.15","3,582,161,060.00","4,538,993,035.74","1,024,772,457.70","2,346,387,787.98"
投资活动产生的现金流量净额,"-44,810,566.29","-24,470,404.87","-11,644,260.51","-20,126,838.84","-38,065,943.59","-27,061,264.93","-67,987,035.37","-97,020,017.70","-150,554,252.01","-36,041,691.94","-98,008,169.94","-121,036,207.99","-166,634,995.83","-44,116,921.27","-51,707,129.98","-59,226,490.62","-90,313,417.76","-78,969,653.51","-126,444,063.93","-145,123,490.94","-174,834,168.21","-22,860,310.86","-44,741,495.95","-72,744,912.72","-541,256,596.82","79,932,963.63","-370,350,364.27","335,607,614.65","-364,355,144.52","63,930,347.77","41,093,509.06","-12,615,472.69","156,721,882.46","-63,628,965.93","-7,161,796.94","-279,210,450.45","-93,428,071.14","-446,227,172.93","-276,849,350.24"
购买商品、接受劳务支付的现金,"400,204,149.22","453,029,834.68","235,659,819.28","367,755,921.76","510,663,836.88","144,633,145.45","310,452,046.33","542,011,345.16","793,523,249.21","186,093,836.99","350,811,538.74","523,956,821.15","729,316,421.95","173,408,429.23","381,372,720.03","556,602,829.40","1,625,926,553.26","391,648,725.43","845,878,909.60","1,263,341,512.13","1,774,732,007.38","393,861,506.70","870,852,725.26","1,347,537,784.92","1,893,160,614.87","647,063,657.13","1,049,548,384.13","1,808,012,836.18","2,481,502,926.02","754,802,304.58","1,543,449,724.46","2,504,663,090.81","3,167,604,086.99","1,001,726,576.69","2,206,918,019.07","2,925,702,860.64","3,402,392,203.43","1,001,957,511.36","2,071,913,245.11"
吸收投资收到的现金,,,,"618,800,000.00","618,800,000.00",,,,,,,,,,,,,,,"72,749,982.54","72,749,982.54",,,"613,229,990.85","700,967,150.85","37,015,160.00","37,015,160.00","37,015,160.00","37,015,160.00",,"77,992,887.03","77,676,639.91","77,920,000.00",,,"71,400,000.00",,"166,170,000.00","178,945,560.00"
