科目,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"94,548,833.38","97,018,377.69","205,669,227.96","191,154,515.29","855,211,750.64","664,965,564.86","270,216,364.73","282,368,359.68","294,952,246.04","199,223,878.06","246,682,044.70","221,777,109.29","255,354,254.36","190,496,709.31","153,539,399.46","213,927,097.81","234,563,456.43","174,464,645.39","160,271,553.27","133,820,273.50","539,955,134.86","497,363,662.55","204,020,160.10","158,495,919.35","256,442,326.50","392,965,147.80","492,048,522.72","466,849,671.65","531,580,493.06","507,836,570.56","535,103,943.27","538,420,709.42"
短期借款,"105,500,000.00","81,500,000.00","187,354,247.53","244,233,994.46","325,997,251.45","286,441,453.92","335,920,993.84","391,648,174.93","432,012,869.47","488,694,979.38","565,023,670.67","517,940,359.29","547,538,090.71","544,919,256.32","563,791,556.76","617,962,674.69","659,753,653.59","667,968,835.78","712,236,310.00","733,130,190.00","661,824,991.00","670,477,385.41","606,038,819.67","556,863,791.81","674,937,568.00","651,107,192.00","633,875,740.00","676,800,000.00","676,300,000.00","646,300,000.00","666,300,000.00","648,300,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"268,270.32","2,523,942.40","22,280,641.13","22,675,506.88","47,279,340.69","67,967,924.12","90,673,526.68","74,080,923.40","87,922,190.40","66,941,212.40","59,677,557.36","68,741,415.32","109,649,887.04","87,591,858.75","104,705,576.09","50,270,166.59","56,826,667.94","44,683,069.04","59,985,737.06","43,621,215.49","52,363,790.65","42,725,340.29","66,674,068.65","70,276,296.06","60,775,626.06","33,037,334.98","45,851,431.20","59,793,071.64","92,774,951.57","62,407,557.75","69,315,736.94","45,604,719.05"
应付票据,"135,317,361.60","192,394,324.81","424,942,598.26","459,577,585.80","489,431,868.80","530,843,608.60","485,798,990.44","525,105,914.94","552,563,152.59","361,403,964.94","251,053,400.21","352,785,527.79","493,708,914.57","376,158,015.52","293,571,202.54","456,317,646.68","444,458,524.21","409,635,553.59","322,996,031.49","315,071,546.41","321,740,547.84","251,208,597.43","190,938,531.38","258,668,152.00","399,408,335.30","534,206,814.24","596,295,490.81","563,739,948.10","596,076,456.98","626,412,117.62","705,501,647.59","972,639,619.65"
应收账款,"86,311,567.52","83,778,679.22","136,224,768.77","190,453,035.63","187,328,709.84","232,539,539.97","220,781,542.33","235,852,441.96","234,317,780.34","226,587,053.56","217,841,853.32","258,318,584.37","276,771,083.76","275,063,269.26","260,570,169.29","314,860,524.26","344,627,579.57","330,815,168.50","331,260,608.86","348,975,048.26","407,610,594.34","378,881,778.61","393,452,053.41","348,219,052.15","461,343,302.67","424,100,226.88","423,255,601.12","377,396,319.82","434,453,865.79","450,324,178.71","480,588,478.12","427,939,758.44"
应付账款,"51,104,803.48","48,229,636.74","98,018,437.82","106,118,222.31","102,706,726.13","97,497,875.47","79,880,756.04","107,100,266.99","96,788,843.03","81,179,489.92","84,954,560.85","102,974,769.30","99,358,862.87","89,978,949.15","88,994,898.65","110,098,572.14","140,827,998.58","136,163,296.35","135,699,485.67","108,348,940.78","124,941,446.64","116,293,311.94","107,759,376.13","93,595,249.53","133,006,479.80","147,593,642.72","112,339,946.26","154,626,981.51","234,974,475.38","282,040,300.88","150,642,473.62","198,761,558.29"
预付款项,"58,933,584.42","87,859,043.66","135,456,537.83","146,706,236.19","152,805,050.70","169,257,231.57","151,397,677.04","281,855,445.51","164,708,330.17","124,595,458.86","70,302,514.59","154,464,412.32","125,093,311.05","93,691,837.21","97,588,544.33","169,187,318.35","94,173,977.70","121,210,184.60","79,168,498.04","95,054,911.02","72,146,020.56","73,490,203.91","40,320,150.06","98,090,322.72","132,412,663.90","146,868,788.82","162,013,952.05","203,321,659.62","185,610,642.66","241,661,348.32","120,494,674.73","180,532,840.71"
预收款项,"93,730,731.63","61,083,574.59","59,652,349.64","36,006,118.43","40,348,376.08","45,231,147.73","74,309,400.41","65,263,057.20","38,931,100.47","43,492,185.93","45,625,838.96","47,748,622.81","38,855,448.22","34,809,128.64","27,959,112.75","39,587,221.48","46,134,500.84","56,495,917.68","43,060,684.88","45,161,576.13","44,328,488.24","40,091,021.54","23,239,156.82","43,347,260.57","41,415,261.40","51,948,300.61","43,533,805.51","60,435,555.55","48,189,627.71","102,792,487.49","127,064,171.99","92,577,460.83"
