科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"231,911,957.02","303,387,333.41","27,588,525.28","358,295,754.03","36,104,304.12","109,761,643.88","184,682,082.43","353,502,334.00","47,598,692.65","103,929,751.12","186,215,591.87","391,821,808.66","59,645,111.88","169,835,244.23","340,211,060.39","705,886,878.09","136,054,340.35","316,891,403.96","529,561,658.04","1,060,002,057.60","140,445,528.04","380,202,873.64","634,322,146.86","1,364,916,239.65","216,592,910.38","470,238,912.22","848,877,404.29","1,892,108,444.90","258,498,746.91","596,660,665.15","941,986,804.33","1,768,809,396.19","294,462,102.60","684,158,661.30","1,176,952,021.65","2,284,520,056.19","414,348,822.36","843,867,731.39"
取得子公司及其他营业单位支付的现金净额,,"301,864.79",,,,,,,,,"15,156,331.22","35,356,331.22","5,615,385.00",,"29,501,356.49","29,501,356.49",,,,,,,,"255,882,409.73",,,,,,"6,041,826.67","28,226,121.43","32,626,121.43","156,441,727.97","146,441,727.97","146,441,727.97","156,441,727.97",,
收到的税费返还,"13,077,135.22","15,594,139.65","7,706,663.01","24,178,304.59","9,892,404.79","13,158,821.62","18,155,384.16","23,200,454.23","10,590,350.65","10,590,350.65","10,590,350.65","28,242,046.93","59,588.30","10,917,920.95","17,475,675.47","24,939,041.94","14,778,178.42","32,831,031.68","42,023,905.04","87,404,553.40","17,540,250.16","31,460,486.44","42,196,116.99","53,127,017.42","38,965,102.71","78,003,670.81","85,833,166.43","121,839,103.60","68,366,470.28","93,080,406.40","102,261,075.34","153,880,317.44","38,074,944.40","43,208,446.51","92,229,202.16","148,023,302.87","36,894,557.55","44,808,268.11"
支付其他与投资活动有关的现金,,,,,,,,,,"2,000,000.00","3,520,000.00","3,520,000.00",,"3,000,000.00","3,000,000.00","2,805,795.63",,,,"135,000,000.00","463,150,000.00","840,150,000.00","1,305,150,000.00","2,158,150,000.00","617,090,000.00","790,090,000.00","1,135,090,000.00","1,418,000,000.00","572,000,000.00","1,175,000,000.00","1,541,400,000.00","2,096,800,000.00","332,100,000.00","435,100,000.00","506,100,000.00","895,100,000.00","377,500,000.00","429,500,000.00"
收到其他与经营活动有关的现金,"15,994,966.30","21,071,314.12","9,078,427.33","26,749,984.12","4,446,312.62","12,999,291.77","19,729,187.33","41,778,585.85","6,291,413.87","13,481,763.19","20,429,830.76","65,818,348.18","4,748,684.01","14,833,274.68","19,533,158.58","52,770,332.18","5,443,882.84","16,521,170.87","33,585,122.52","75,491,376.34","13,629,903.44","46,107,458.49","53,894,542.25","146,218,603.97","10,259,845.85","30,321,366.49","58,907,915.51","103,348,334.95","44,249,553.94","45,317,146.59","128,097,669.14","158,675,181.39","17,768,336.56","157,674,146.85","181,989,339.96","223,795,378.00","17,891,158.78","60,333,969.37"
投资活动现金流出小计,"40,103,802.75","33,747,799.60","13,171,214.80","41,949,771.05","10,395,123.13","16,506,469.64","22,677,024.13","34,401,605.42","11,333,965.59","127,644,497.34","145,502,867.52","172,014,203.57","16,419,343.79","47,012,515.96","87,125,920.74","102,293,417.55","19,695,199.57","50,762,352.14","59,992,326.58","223,949,502.66","488,766,870.12","878,277,250.06","1,383,397,537.73","2,513,764,832.35","626,898,152.78","818,490,654.03","1,230,474,907.21","1,517,012,121.18","663,672,813.76","1,297,388,531.95","1,710,784,117.12","2,335,696,599.74","516,556,295.30","883,594,745.82","999,075,930.48","1,482,795,206.95","425,195,644.85","527,128,860.52"
经营活动现金流入小计,"260,984,058.54","340,052,787.18","44,373,615.62","409,224,042.74","50,443,021.53","135,919,757.27","222,566,653.92","418,481,374.08","64,480,457.17","128,001,864.96","217,235,773.28","485,882,203.77","64,453,384.19","195,586,439.86","377,219,894.44","783,596,252.21","156,276,401.61","366,243,606.51","605,170,685.60","1,222,897,987.34","171,615,681.64","457,770,818.57","730,412,806.10","1,564,261,861.04","265,817,858.94","578,563,949.52","993,618,486.23","2,117,295,883.45","371,114,771.13","735,058,218.14","1,172,345,548.81","2,081,364,895.02","350,305,383.56","885,041,254.66","1,451,170,563.77","2,656,338,737.06","469,134,538.69","949,009,968.87"
投资活动产生的现金流量净额,"-40,100,802.75","-33,434,930.22","-13,171,214.80","-41,948,220.05","-10,395,123.13","-16,291,469.64","-22,462,024.13","-34,184,765.42","-11,333,965.59","-127,638,547.34","-145,496,281.09","-172,007,617.14","-16,419,343.79","-47,011,485.96","-87,124,890.74","-63,995,420.41","-19,695,129.57","-50,757,119.14","-59,987,093.58","-223,943,584.66","-250,456,746.95","-6,875,751.30","-138,191,239.99","-695,600,070.35","137,392,636.17","381,868,183.25","285,819,511.17","193,959,086.46","-30,358,585.33","-291,693,860.06","-230,451,314.84","-412,962,094.78","77,994,216.67","-87,794,992.05","-101,302,087.44","-509,128,655.31","-43,477,725.30","131,687,999.68"
购买商品、接受劳务支付的现金,"67,987,386.07","104,249,480.08","28,034,499.44","104,520,804.32","18,734,592.19","44,930,414.26","62,195,383.95","109,048,444.87","43,457,433.59","61,666,596.44","90,140,437.46","114,852,239.05","44,520,304.59","99,942,216.02","139,701,070.00","214,969,656.80","76,022,756.04","126,416,884.75","186,752,888.58","285,208,551.03","93,368,497.57","195,177,307.75","275,076,910.40","398,452,280.18","158,278,684.67","275,415,987.63","414,246,722.60","557,113,099.60","183,596,300.36","298,678,431.90","400,269,220.74","569,419,891.37","187,944,041.06","311,262,722.03","479,684,448.76","740,944,674.76","222,030,857.82","370,676,514.06"
吸收投资收到的现金,"5,542,986.00","86,482,675.43",,,,"605,250,000.00","605,250,000.00","605,250,000.00",,,,"980,000.00",,,,,,,,,,,,,,,,,"72,299,997.39","68,999,997.39","92,999,997.39","92,999,997.39","164,738,806.87","164,738,806.87","164,738,806.87","164,738,806.87",,
支付给职工以及为职工支付的现金,"77,890,382.93","78,280,644.15","29,014,032.26","95,367,050.93","27,641,915.18","55,300,042.06","83,987,289.74","109,658,018.34","35,732,374.21","83,781,005.82","105,887,228.43","145,699,066.94","46,217,606.52","98,384,401.13","170,876,557.18","239,516,378.22","73,485,321.50","184,761,318.36","291,882,049.50","364,276,161.67","80,877,206.53","217,097,467.99","308,872,735.52","404,766,450.56","97,441,921.83","247,654,503.30","383,301,687.69","555,716,022.16","168,327,325.93","311,094,600.16","470,216,218.73","687,102,980.22","154,238,727.51","424,336,016.21","596,021,573.83","784,366,631.76","170,574,228.15","484,111,030.36"
取得借款收到的现金,"82,100,000.00","110,000,000.00",,"60,000,000.00","20,000,000.00","20,000,000.00","60,000,000.00","80,000,000.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,,,"16,500,000.00","25,000,000.00","25,000,000.00","25,000,000.00",,,,,,,"1,000,000.00","5,900,000.00","5,100,000.00","5,100,000.00"
支付的各项税费,"20,077,054.26","33,960,720.26","15,512,321.29","47,457,125.44","18,856,502.98","31,587,207.20","39,548,774.06","50,765,034.38","19,486,033.04","33,007,624.32","42,526,034.44","53,860,388.86","21,434,040.57","36,911,346.82","49,407,587.74","75,859,374.22","32,689,268.80","59,252,248.98","75,719,877.39","113,119,092.77","43,600,724.72","73,036,891.94","101,074,876.49","136,963,826.46","92,317,911.94","140,696,066.54","203,112,467.27","254,882,783.55","90,377,682.38","144,902,516.06","189,280,135.14","248,778,352.50","89,507,492.88","145,069,649.65","189,886,688.52","273,620,760.49","102,805,077.07","172,725,518.68"
收到其他与筹资活动有关的现金,,,,"3,957,020.97",,,,,,,,,,,,,,,,,,,,,,,,"39,090,000.00","39,090,000.00","6,718,500.00","6,718,500.00","8,318,500.00",,,,,"250,000.00","2,450,000.00"
支付其他与经营活动有关的现金,"54,659,792.56","76,804,058.60","19,161,898.73","93,558,017.87","21,344,610.51","49,876,461.54","78,313,161.43","94,784,066.10","22,054,836.75","42,824,531.02","91,245,191.10","126,970,019.61","21,266,751.65","46,716,218.78","81,251,382.84","140,574,734.26","53,891,694.61","99,630,981.02","152,189,563.01","208,399,799.16","47,151,146.19","103,967,814.10","153,837,175.39","255,938,865.49","83,186,288.38","138,530,744.15","214,978,645.50","332,491,581.42","144,702,868.56","199,938,845.94","350,974,193.04","481,320,622.13","61,578,369.64","174,196,978.12","278,912,131.00","413,158,770.78","106,314,457.24","208,565,965.09"
筹资活动现金流入小计,"87,642,986.00","196,482,675.43",,"63,957,020.97","20,000,000.00","625,250,000.00","665,250,000.00","685,250,000.00",,"5,000,000.00","5,000,000.00","5,980,000.00",,,,,,,,,,,,,"16,500,000.00","25,000,000.00","25,000,000.00","64,090,000.00","111,389,997.39","75,718,497.39","99,718,497.39","101,318,497.39","164,738,806.87","164,738,806.87","165,738,806.87","170,638,806.87","5,350,000.00","7,550,000.00"
经营活动现金流出小计,"220,614,615.82","293,294,903.09","91,722,751.72","340,902,998.56","86,577,620.86","181,694,125.06","264,044,609.18","364,255,563.69","120,730,677.59","221,279,757.60","329,798,891.43","441,381,714.46","133,438,703.33","281,954,182.75","441,236,597.76","670,920,143.50","236,089,040.95","470,061,433.11","706,544,378.48","971,003,604.63","264,997,575.01","589,279,481.78","838,861,697.80","1,196,121,422.69","431,224,806.82","802,297,301.62","1,215,639,523.06","1,700,203,486.73","587,004,177.23","954,614,394.06","1,410,739,767.65","1,986,621,846.22","493,268,631.09","1,054,865,366.01","1,544,504,842.11","2,212,090,837.79","601,724,620.28","1,236,079,028.19"
偿还债务支付的现金,"50,321,907.34","149,498,759.12","25,000,000.00","100,000,000.00","20,000,000.00","20,000,000.00","40,000,000.00","120,000,000.00",,,,"5,000,000.00",,,,,,,,,,,,"10,010,000.00","15,500,000.00","26,350,000.00","39,850,000.00","66,350,000.00","4,270,470.11","4,270,470.11","4,270,470.11","4,270,470.11",,,,,,"1,000,000.00"
经营活动产生的现金流量净额,"40,369,442.72","46,757,884.09","-47,349,136.10","68,321,044.18","-36,134,599.33","-45,774,367.79","-41,477,955.26","54,225,810.39","-56,250,220.42","-93,277,892.64","-112,563,118.15","44,500,489.31","-68,985,319.14","-86,367,742.89","-64,016,703.32","112,676,108.71","-79,812,639.34","-103,817,826.60","-101,373,692.88","251,894,382.71","-93,381,893.37","-131,508,663.21","-108,448,891.70","368,140,438.35","-165,406,947.88","-223,733,352.10","-222,021,036.83","417,092,396.72","-215,889,406.10","-219,556,175.92","-238,394,218.84","94,743,048.80","-142,963,247.53","-169,824,111.35","-93,334,278.34","444,247,899.27","-132,590,081.59","-287,069,059.32"
