科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"2,055,361.43","62,173,998.03","135,647,057.24","93,404,928.00","886,619,374.09","262,668,071.10","253,468,028.35","235,230,519.52","227,202,916.72","112,140,816.80","97,552,170.10","114,357,534.43","291,309,758.56","331,324,086.69","330,546,418.07","386,264,807.73","409,920,172.76","91,121,798.66","66,451,082.41","194,179,897.32","55,605,128.01","105,688,382.37","57,707,977.09","89,784,207.51","44,104,873.20"
短期借款,"2,000,000.00","5,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"1,195,000.00","1,837,835.33","10,259,660.59","21,580,423.05","26,573,821.05","23,376,083.54","27,458,350.63","29,856,922.94","20,587,893.33","26,870,526.07","21,560,414.26","19,278,989.88","33,954,721.52","34,882,691.85","20,653,369.91","29,912,093.08","15,435,612.51","29,065,528.89","23,435,657.24","19,406,094.52","26,114,657.06","28,848,233.17","29,611,550.14","26,369,866.16","42,848,488.38"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"15,822,716.94","3,710,911.28","8,568,628.29","44,453,809.59","37,386,576.26","33,846,088.67","32,933,485.23","40,224,360.22","45,567,992.67","45,578,540.53","54,604,324.56","67,420,600.41","63,095,137.10","59,973,315.89","64,448,285.62","64,775,968.43","68,716,412.17","59,767,065.57","58,634,029.58","64,136,194.39","54,526,469.17","51,285,942.48","49,516,894.10","68,470,439.34","56,673,399.09"
应付账款,"3,000,337.76","17,079,027.95","15,385,308.28","5,253,556.00","7,476,450.67","11,086,054.57","9,310,707.32","14,035,252.14","14,289,208.90","17,798,680.26","17,531,173.19","18,512,494.36","17,878,374.71","12,635,415.60","11,688,756.29","36,600,384.63","25,229,934.38","21,639,166.45","7,015,196.39","8,758,066.84","9,157,541.16","10,712,145.34","7,133,874.54","9,725,343.83","13,329,528.14"
预付款项,"92,775.21","70,202.92","4,098,993.95","7,838,880.88","9,211,403.17","6,754,990.91","6,214,842.74","4,553,639.20","12,246,390.35","5,674,635.82","15,501,549.29","8,374,318.82","20,527,869.92","834,063.10","1,921,013.71","2,566,107.53","4,387,210.72","1,651,043.10","4,324,830.04","7,040,704.00","6,853,135.27","3,773,468.96","7,561,027.90","8,023,440.00","7,631,487.62"
预收款项,"46,374.84","27,043,737.16","29,989,657.40","214,091.90","212,411.04","154,589.65","4,285,497.32","174,143.78","32,966.89","125,950.75","85,021.04","228,801.55","21,191.33","20,466.87","131,107.86","269,269.33","70,643.75","38,740.33","157,757.76","33,840.78","741,154.60","141,422.05","237,224.15","1,008,909.77","2,314,690.58"
其他应收款,"700,323.16","1,427,220.44","3,349,404.26",,"7,838,192.04","1,082,524.31","10,996,670.79","2,111,275.03","3,059,722.86","3,860,773.42","3,712,716.32","18,255,442.12","4,098,918.54","1,403,412.26","1,188,790.34","2,212,411.09","1,455,152.20","782,805.04","909,011.83","1,032,252.56","1,009,018.21","967,728.62","848,074.05","822,125.73","959,544.51"
应付职工薪酬,"1,312,173.59","8,910,700.10","23,028,880.00","13,808,534.91","13,060,516.13","12,999,372.40","3,867,547.08","3,107,596.51","2,962,141.23","6,481,964.68","1,222,639.76","2,301,319.67","5,176,991.47","7,228,588.16","2,228,438.20","4,114,560.76","5,779,926.04","8,097,658.05","1,492,496.36","1,705,990.40","5,035,077.03","8,243,409.39","3,290,952.19","5,086,989.92","8,005,547.40"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"3,480,658.67","6,252,315.18","9,238,742.84","6,907,173.49","5,459,753.32","1,231,105.35","1,834,780.87","4,531,637.46","4,792,096.03","4,800,991.58","3,896,077.52","3,420,579.84","4,066,039.05","6,453,448.42","5,367,171.71","3,902,165.08","4,505,585.16","658,673.17","1,247,807.18","2,398,528.50","2,839,692.46","1,372,151.16","1,695,766.46","4,410,437.41","3,258,430.26"
应收利息,,,,"4,513,449.93",,,,,,,,,,,,,,,,,,,,,
应付利息,"550,800.00","7,522.50",,,,,,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,
存货,"8,695,068.66","44,657,890.12","101,464,497.97","91,376,198.87","92,472,426.73","92,943,173.52","93,933,019.03","94,916,853.30","97,421,416.08","102,643,245.38","103,126,844.50","99,720,354.16","98,291,039.14","93,061,441.81","90,282,610.60","96,476,623.68","93,865,495.02","97,184,987.84","93,615,181.44","88,716,027.91","85,476,784.09","81,672,137.84","82,587,149.75","79,551,888.70","78,749,931.44"
其他应付款,"6,627,351.60","910,195.93","1,198,055.03","2,133,867.90","3,957,955.85","2,202,011.46","981,655.63","2,343,062.85","1,514,448.98","559,748.82","537,286.33","1,236,825.40","286,342.86","10,649,342.87","10,821,440.57","10,579,546.83","10,758,914.79","787,297.29","682,113.27","857,271.09","588,554.46","1,020,415.36","2,345,973.15","648,873.61","382,250.06"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,"619,699,919.77",,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,
其他流动资产,,,,,,,,,,"747,265,632.08","754,333,778.33","716,751,486.67","532,232,020.55","536,274,286.97","539,802,059.62","464,475,877.10","459,146,717.74","639,684,003.20","650,217,917.42","507,888,961.63","660,827,663.40","625,332,686.83","662,083,092.11","638,623,643.09","684,319,445.56"
其他流动负债,,,,"347,205.46",,,"989,695.09","647,564.16",,,,,,"8,843,814.15","8,154,255.30","7,969,352.78","12,438,978.48","8,015,149.21","8,110,155.71","8,120,980.34","8,374,895.22","8,114,395.01","8,015,243.79","7,911,373.77","7,911,373.77"
流动资产合计,"28,561,245.40","113,878,058.12","263,388,242.30","263,167,690.32","1,060,101,793.34","420,670,932.05","425,004,396.77","406,893,570.21","1,025,786,251.78","1,044,034,170.10","1,050,391,797.36","1,044,158,726.49","1,043,509,465.33","1,057,753,298.57","1,048,842,547.87","1,046,683,888.64","1,052,926,773.12","919,257,232.30","897,587,709.96","882,400,132.33","890,412,855.21","897,568,580.27","889,915,765.14","911,645,610.53","915,287,169.80"
流动负债合计,"17,017,696.46","65,203,498.82","78,840,643.55","28,664,429.66","30,167,087.01","27,673,133.43","21,269,883.31","24,839,256.90","23,590,862.03","29,767,336.09","23,272,197.84","25,700,020.82","27,428,939.42","52,831,076.07","45,391,169.93","70,435,279.41","65,783,982.60","39,236,684.50","18,705,526.67","21,874,677.95","26,736,914.93","29,603,938.31","22,719,034.28","28,791,928.31","35,201,820.21"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,"7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00","7,000,000.00",,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,"2,329,282.58",,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,"5,182,384.69","2,425,375.20","2,424,904.82","2,299,183.86","2,212,154.41","2,105,089.70","2,052,380.81","1,937,131.06","1,909,977.02","2,185,139.64","1,780,099.85","1,621,460.37","1,522,187.11","1,436,305.08","1,380,313.47","2,043,298.62","1,979,809.34","1,932,935.98","125,077,731.65","125,332,394.66","122,447,575.15","122,103,040.58","122,006,467.64","121,080,330.92"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,
