科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"34,787,904.30","81,188,173.50","124,521,814.21","160,680,461.23","35,571,528.90","81,548,888.17","134,697,215.55","190,408,036.67","44,385,453.99","100,356,509.89","177,036,396.20","267,818,562.63","60,064,863.15","143,272,183.46","261,136,349.19","370,427,522.61","118,618,547.35","271,604,672.83","408,818,182.93","549,534,221.25","109,073,383.22","310,777,295.43","415,968,342.40","557,779,117.60","99,253,269.49","331,016,087.48","456,273,658.30","578,218,895.18","143,213,499.45","383,764,949.64","578,149,275.54","844,495,254.55","121,090,843.63","173,901,430.65","288,874,743.83","564,827,787.84","90,319,508.20","278,968,346.03","372,930,770.34","826,901,017.11","139,951,704.22","329,296,709.76","511,291,650.80","851,755,169.77","141,937,350.57"
二、营业利润,"6,730,649.93","15,433,179.47","19,865,318.06","24,212,000.67","5,037,636.46","14,492,965.12","22,149,995.20","26,049,760.07","4,337,777.93","13,437,415.21","23,510,398.30","32,482,522.99","5,550,098.55","23,280,566.69","31,512,443.89","43,352,606.02","23,767,806.94","68,292,632.68","95,459,076.98","101,612,337.67","8,216,560.99","45,219,332.14","58,492,075.74","11,563,050.84","1,238,674.44","9,115,322.18","10,652,407.24","-149,432,493.64","-22,915,622.57","-19,093,350.52","-2,901,436.54","-52,997,030.41","-24,252,442.38","-45,211,770.51","-63,886,090.89","-345,879,414.88","-14,144,955.99","-10,368,178.63","762,014.15","22,124,839.86","4,065,878.15","18,440,922.37","24,933,191.77","-41,507,048.58","11,637,387.84"
减:营业成本,"24,876,403.90","59,029,330.28","90,170,034.14","118,098,777.65","26,577,334.07","59,410,432.55","99,541,273.18","143,678,982.12","33,807,328.69","75,339,327.50","134,358,861.85","205,431,810.12","43,920,098.38","101,471,834.91","196,668,395.83","270,441,176.43","79,679,000.36","170,517,725.02","257,417,318.29","344,810,224.77","77,224,833.71","219,394,535.96","294,056,856.25","443,934,489.14","69,342,071.85","256,921,134.13","350,905,435.46","504,578,341.44","123,698,665.12","322,767,729.68","470,766,184.97","653,107,416.02","102,189,471.43","144,050,316.62","239,925,360.42","467,761,160.09","68,644,566.96","217,749,995.59","274,592,346.10","600,431,822.21","107,411,197.67","239,967,066.68","365,303,712.58","658,708,198.56","101,074,600.59"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"188,249.64","403,438.99","605,932.42","671,445.54","144,663.48","460,631.63","815,272.84","1,062,716.96","111,208.38","264,911.88","499,217.77","831,792.58","208,424.37","501,175.73","1,063,174.55","1,888,285.19","515,184.16","1,427,491.92","2,148,427.15","3,492,494.08","671,278.26","1,724,259.94","2,695,386.07","3,557,430.86","368,844.68","1,052,274.41","1,736,161.64","2,725,612.34","603,259.37","1,373,415.25","2,282,076.24","4,589,882.22","187,519.53","244,261.80","269,723.49","1,806,010.58","245,341.44","563,664.35","861,103.98","7,628,024.14","671,045.95","4,224,620.90","5,067,596.81","13,371,570.17","703,812.68"
营业外收入,"231,279.00","239,338.40","531,323.40","538,287.40","1,516,213.00","2,730,613.00","2,746,040.00","3,297,826.14","221,244.00","253,903.80","329,812.58","2,363,366.58","621,862.93","1,111,086.93","4,348,802.92","10,277,986.43","565,005.09","1,401,461.09","2,125,025.74","9,345,327.62","5,019,846.00","5,099,274.72","5,102,174.72","7,146,740.38","7,612,737.00","23,315,416.58","23,766,277.33","51,090,583.54","1,853,113.25","2,184,352.99","13,879,609.58","61,651,922.03","1,213,424.00","2,068,497.68","2,444,059.52","12,197,299.09","56,051.90","272,338.27","4,606,402.44","8,393,895.71","288,145.71","355,542.36","2,213,310.27","7,930,243.58","672,328.82"
销售费用,"1,053,045.39","2,225,077.57","4,837,749.45","5,572,305.93","657,363.09","1,485,052.08","2,514,792.42","3,252,880.79","867,395.65","1,931,595.24","3,722,296.42","5,569,192.19","1,731,319.81","3,177,384.30","4,737,951.47","7,245,246.32","2,162,076.67","4,103,940.90","6,619,446.93","8,609,677.38","1,849,448.73","3,895,139.19","6,518,241.73","8,276,149.04","1,701,973.79","7,794,192.57","10,376,441.94","25,031,003.27","8,088,665.76","22,777,023.58","27,756,172.09","62,468,962.08","2,168,555.05","6,678,112.20","6,781,491.91","35,072,329.12","2,559,034.50","7,369,459.14","10,078,028.34","17,609,993.24","2,459,433.28","5,658,089.24","8,956,544.95","15,514,261.67","3,512,541.79"
减:营业外支出,"20,736.18","20,736.18","53,416.70","119,383.69","21,255.00","476,705.00","480,576.12","504,210.98",15.82,"113,043.24","117,103.24","313,783.24","10,040.31","14,562.65","1,394,151.25","1,234,443.99","168,779.50","335,871.32","2,078,871.45","2,947,671.45","24,091.06","474,091.06","738,646.48","1,670,924.91","321,959.00","471,972.57","888,789.59","1,037,153.02","1,033,635.61","1,083,738.14","1,204,506.19","1,601,528.09","284,500.00","441,842.31","550,355.25","26,917,229.28","401,775.77","1,111,412.44","1,202,014.04","1,882,743.90","220,531.88","1,739,902.90","2,832,522.66","6,123,270.04","510,312.93"
管理费用,"1,220,747.63","2,278,782.31","6,414,329.78","8,130,248.94","1,647,936.62","3,117,847.73","5,352,584.07","9,226,277.62","2,787,598.15","5,636,827.01","9,021,480.35","14,461,050.84","5,251,121.63","8,000,789.38","14,351,076.55","26,125,579.64","8,158,677.17","15,597,742.79","26,962,413.71","59,705,148.25","14,659,196.40","28,235,208.93","37,164,123.13","50,258,624.32","13,780,741.87","27,003,333.50","37,555,840.24","78,419,392.68","14,739,379.65","28,644,541.83","39,551,052.98","63,291,311.12","18,170,563.41","28,136,562.78","40,973,655.94","119,991,486.38","13,271,673.55","27,720,706.85","35,297,053.13","70,295,731.17","13,080,858.46","26,913,947.78","41,500,721.38","68,435,587.14","14,393,896.56"
其中:非流动资产处置净损失,,,,,,,,,,,,,,,,"192,168.00",,,,"264,271.45",,"20,091.06",,"20,302.62",,,,,,"848,535.61","848,535.61",,,,,"18,148,487.67",,"623,806.85","623,806.85","1,091,295.88",,,,,
