科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"75,345,519.40","115,903,139.59","133,276,609.05","21,661,108.41","67,416,018.79","104,680,276.06","178,507,465.98","13,171,467.27","81,470,766.26","150,895,101.61","203,315,156.27","61,101,018.79","146,162,911.48","186,335,774.85","289,745,569.04","47,172,368.51","134,074,414.61","195,575,135.28","333,993,283.55","87,735,009.35","174,592,384.44","220,698,876.73","397,100,927.54","33,965,757.16","120,613,461.81","177,603,613.02","318,389,214.72","157,582,155.36","270,164,538.99","493,356,010.76","752,987,676.92","166,719,653.08","310,444,974.71","479,191,738.99","807,668,255.67","170,264,990.28","314,169,383.21","453,388,795.13","763,779,614.99","177,179,331.22"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"8,751,747.41",,,,,,,,,,,,,,,,,,,,"28,104,896.22",,,,"9,750,000.00",,"9,750,000.00","60,250,000.00","14,750,000.00",
收到的税费返还,"3,121,274.31","7,610,792.10","8,278,553.44","1,462,336.39","2,159,669.96","3,687,470.79","4,786,694.23","2,551,079.16","3,378,950.67","4,283,211.70","7,865,282.61","2,479,929.44","3,930,980.33","6,488,457.24","7,695,697.85","919,283.27","2,243,461.25","3,658,814.18","7,310,844.93","2,081,817.34","4,196,354.57","5,192,672.92","7,442,090.30","5,303,633.73","6,443,289.36","8,705,621.61","9,354,787.57","1,115,277.82","2,540,617.91","3,880,588.70","8,504,358.65","3,989,833.34","6,798,612.25","11,262,140.18","14,476,439.26","3,148,090.45","4,845,023.45","6,268,917.36","9,840,033.87","1,381,087.91"
支付其他与投资活动有关的现金,,"179,628.75",,,,"80,000.00",,,,,,"50,000.00",,,,,,,,,,,"7,600,000.00","1,600,000.00","1,889,143.55","2,359,643.55",,,,,,,,,"245,000,000.00","968,069.22",,,"95,000,000.00","301,597.95"
收到其他与经营活动有关的现金,"5,214,733.43","12,273,789.77","9,575,317.32","1,601,251.65","3,343,496.87","4,669,025.55","10,897,678.49","943,164.77","3,611,981.51","8,182,350.81","13,871,662.75","1,636,479.12","9,947,861.13","12,456,724.46","15,804,376.67","1,989,551.01","8,840,820.28","20,532,171.66","43,109,794.37","2,037,752.81","13,047,860.83","27,388,690.19","17,898,111.36","2,455,381.75","7,115,998.72","14,099,170.12","18,617,661.95","11,489,027.86","12,464,769.80","18,250,129.65","79,694,835.01","35,448,052.51","17,106,597.19","37,290,506.98","65,065,375.17","45,484,875.61","35,810,122.49","37,669,485.59","70,389,121.07","66,458,721.95"
投资活动现金流出小计,"511,221.09","8,522,854.31","20,864,191.86","406,722.05","17,931,179.85","25,957,370.47","34,387,080.44","21,109,484.39","26,945,075.43","50,079,763.46","55,387,036.04","6,970,249.43","7,261,678.97","20,115,122.56","19,718,529.02","4,778,261.69","18,958,243.63","26,832,757.92","39,332,786.28","9,690,542.63","16,120,185.42","18,771,421.06","80,829,717.71","9,317,159.82","18,282,531.43","48,337,208.03","91,585,811.81","19,228,769.04","205,812,296.42","229,855,883.24","1,017,873,134.10","288,112,957.74","1,746,218,655.78","2,550,143,901.40","1,407,357,665.36","34,091,656.27","246,031,351.96","368,691,278.20","516,711,255.12","28,371,630.74"
经营活动现金流入小计,"83,681,527.14","135,787,721.46","151,130,479.81","24,724,696.45","72,919,185.62","113,036,772.40","194,191,838.70","16,665,711.20","88,461,698.44","163,360,664.12","225,052,101.63","65,217,427.35","160,041,752.94","205,280,956.55","313,245,643.56","50,081,202.79","145,158,696.14","219,766,121.12","384,413,922.85","91,854,579.50","191,836,599.84","253,280,239.84","422,441,129.20","41,724,772.64","134,172,749.89","200,408,404.75","346,361,664.24","170,186,461.04","285,169,926.70","515,486,729.11","841,186,870.58","206,157,538.93","334,350,184.15","527,744,386.15","887,210,070.10","218,897,956.34","354,824,529.15","497,327,198.08","844,008,769.93","245,019,141.08"
投资活动产生的现金流量净额,"463,684.60","-8,522,104.31","-20,864,191.86","-406,722.05","-17,931,179.85","-25,320,962.75","-33,180,331.05","-21,109,484.39","-26,945,075.43","-48,745,290.47","-55,371,844.97","-6,882,549.43","-7,111,978.97","-19,884,522.56","-19,481,951.14","-4,778,261.69","-18,918,243.63","-26,775,964.81","-36,486,178.83","-8,095,042.63","-13,825,685.42","-16,476,921.06","-78,221,962.71","-3,157,159.82","-13,916,904.61","-43,536,081.21","203,687,302.48","-19,041,769.04","-138,550,348.72","-71,473,687.49","-239,427,191.11","95,591,670.43","-322,011,694.58","-95,413,682.72","125,421,853.05","-13,946,708.39","-1,318,279.34","-72,787,709.45","-251,496,896.50","-7,011,630.74"
购买商品、接受劳务支付的现金,"48,549,306.45","70,903,598.88","76,853,679.83","19,303,337.60","66,110,312.88","89,277,108.25","144,526,279.04","49,873,791.25","144,443,557.77","281,856,997.66","310,408,395.14","117,034,298.19","141,403,101.81","102,697,519.11","212,421,022.00","103,651,842.40","191,446,349.91","260,216,917.67","289,684,728.57","117,788,670.83","177,889,335.84","236,680,775.79","314,267,347.90","59,662,150.37","94,277,950.45","140,534,492.92","168,643,126.12","148,965,436.94","228,193,290.37","411,703,604.78","404,063,967.36","144,436,115.53","206,436,964.27","360,352,890.05","455,828,270.21","122,978,438.72","183,978,118.63","288,075,039.27","475,227,013.43","134,842,040.58"
吸收投资收到的现金,,"6,000,000.00","30,800,000.00","433,108,800.00","434,333,800.00","434,333,800.00","434,333,800.00","59,000,000.00","54,950,000.00","59,000,000.00","59,000,000.00","9,800,000.00","9,800,000.00","9,800,000.00","9,849,300.00","9,800,000.00","9,800,000.00","9,800,000.00","9,800,000.00",,,,,,,,,,,,,"20,000,000.00","646,000,000.00","646,000,000.00","646,000,000.00",,,,,
支付给职工以及为职工支付的现金,"4,708,192.26","12,409,715.92","11,944,994.97","2,711,110.24","5,909,837.84","11,055,661.62","16,527,348.12","6,805,674.75","12,264,629.33","19,568,235.36","27,797,335.43","11,242,471.54","21,439,423.81","31,973,244.31","43,417,150.82","9,705,791.90","21,348,384.09","29,358,692.81","43,969,384.70","14,299,100.00","26,627,768.78","39,878,986.06","47,150,016.75","8,482,649.49","19,294,218.78","22,668,555.17","40,726,203.49","19,056,254.27","31,758,504.31","48,982,987.82","69,854,862.50","22,243,584.87","37,404,246.17","56,290,230.29","80,214,858.18","20,048,400.40","39,448,586.14","56,140,258.25","80,975,784.88","19,353,286.34"
取得借款收到的现金,"7,000,000.00","13,000,000.00","25,000,000.00",,,,,,,,,,,,"5,000,000.00","5,000,000.00","9,806,032.00","12,667,854.38","14,640,901.00","6,197,000.00","6,136,500.00","16,136,500.00","41,144,800.00",,"20,000,000.00","30,000,000.00","64,000,000.00",,"20,000,000.00","56,427,546.58","56,772,597.82",,,"144,449,000.00","147,441,000.00","10,000,000.00","75,982,666.67","10,000,000.00","49,628,570.51","40,000,000.00"
支付的各项税费,"3,790,602.13","12,174,912.59","11,323,635.75","4,539,854.66","7,218,971.29","13,916,501.19","19,388,201.89","6,094,331.31","10,373,727.70","14,490,917.22","15,388,025.58","5,448,081.27","11,428,244.79","14,097,890.53","14,583,014.80","4,572,372.49","8,939,758.77","14,256,668.75","17,911,011.05","9,814,651.00","17,795,991.26","20,051,736.39","23,108,389.82","7,241,880.48","13,168,468.07","18,255,182.31","18,132,606.24","10,643,328.67","15,110,922.63","18,807,937.72","29,719,375.71","34,620,184.34","45,459,280.73","54,015,264.63","73,504,689.16","19,015,455.54","32,656,384.85","43,894,745.42","71,972,062.71","13,931,335.20"
收到其他与筹资活动有关的现金,"6,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","76,871,500.00",,"65,982,666.67","191,274,096.22",
