科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"1,769,913,374.03","1,957,200,944.48",,"2,456,302,545.58","1,492,304,185.21",,"3,024,637,441.58","859,932,652.89","1,738,938,869.68","2,320,245,643.11","3,390,362,766.89","924,099,730.05","1,730,229,888.10","2,354,454,615.54","3,791,461,559.64","988,767,645.20","2,151,835,937.81","2,923,218,719.67","4,237,078,473.48","1,222,469,326.58"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"96,113,485.64",,,,,"48,316,200.00","38,784,518.04","38,784,518.04","41,784,518.04",
收到的税费返还,,,,,,,,,,,"10,360,000.00",,,,"8,159,383.89",,,,"9,676,000.00",
支付其他与投资活动有关的现金,,"1,015,000.00",,,,,"2,089,130.02","25,896.92",,,,,,,"670,000.00",,,,,
收到其他与经营活动有关的现金,"97,816,403.33","125,885,369.46",,"113,001,176.03","47,780,815.38",,"107,195,355.84","32,561,549.91","57,093,399.80","74,784,759.77","128,812,483.01","80,211,568.92","112,217,383.10","152,064,718.53","154,905,797.82","41,826,003.73","105,076,895.40","189,300,540.86","151,188,282.01","40,824,580.34"
投资活动现金流出小计,"199,096,652.71","115,232,652.23",,"194,438,654.13","93,903,068.40",,"199,799,822.32","57,819,438.17","482,678,833.06","671,160,210.20","702,106,364.66","50,490,664.05","370,244,288.09","404,727,990.42","420,159,868.86","123,191,730.51","699,004,529.50","985,940,756.45","198,668,432.46","54,685,455.75"
经营活动现金流入小计,"1,867,729,777.36","2,083,086,313.94",,"2,569,303,721.61","1,540,085,000.59",,"3,131,832,797.42","892,494,202.80","1,796,032,269.48","2,395,030,402.88","3,529,535,249.90","1,004,311,298.97","1,842,447,271.20","2,506,519,334.07","3,954,526,741.35","1,030,593,648.93","2,256,912,833.21","3,112,519,260.53","4,397,942,755.49","1,263,293,906.92"
投资活动产生的现金流量净额,"-198,697,763.46","-101,839,296.01","-48,288,300.00","-104,769,362.49","-51,267,339.71","-96,249,400.00","-144,608,789.54","-57,720,964.04","-441,986,063.70","-589,997,441.17","-258,603,669.16","-45,737,595.05","-331,493,488.95","-364,283,766.62","-374,317,607.37","-117,205,277.55","71,319,443.61","-193,615,396.89","-153,859,713.67","-19,722,336.57"
购买商品、接受劳务支付的现金,"632,402,640.56","651,256,193.17",,"808,998,846.75","417,016,196.88",,"1,006,625,751.73","234,495,242.35","573,021,815.14","920,894,872.74","1,352,594,599.40","348,050,895.83","713,661,009.69","1,100,775,682.93","1,481,717,904.71","374,313,059.72","809,196,591.92","1,273,467,888.99","1,429,352,938.59","458,042,838.31"
吸收投资收到的现金,"2,100,000.00",,,"6,000.00",,,"1,264,677,750.00",,"35,638,318.59","35,638,318.59","21,756,958.59",,"2,200,000.00","2,200,000.00","3,200,000.00",,,,,
支付给职工以及为职工支付的现金,"235,876,554.03","246,855,280.83",,"273,334,772.19","166,491,402.51",,"321,018,678.62","84,282,052.07","155,976,375.54","238,320,635.11","323,017,203.47","90,494,881.58","177,378,814.86","257,230,365.67","362,557,554.60","113,266,947.51","208,131,069.33","313,308,862.48","447,287,715.57","124,160,542.79"
取得借款收到的现金,"716,500,000.00","674,000,000.00",,"608,361,080.00","335,000,000.00",,"701,000,000.00",,,"130,000,000.00","190,000,000.00",,"130,000,000.00","210,000,000.00","330,000,000.00",,"65,000,000.00","155,000,000.00","215,000,000.00","70,000,000.00"
