科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
销售商品、提供劳务收到的现金,"352,570,659.01","380,419,066.83","400,713,771.00","218,669,233.44","341,205,124.57","478,427,767.14","98,245,900.86","231,071,511.03","348,863,066.76","424,691,900.82","114,769,072.47"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,
收到的税费返还,"9,467.65",,,,,,,,,,
支付其他与投资活动有关的现金,,,"3,000,000.00",,,"5,000,000.00",,,,,"1,306.83"
收到其他与经营活动有关的现金,"1,733,872.92","1,407,007.47","2,571,223.64","1,588,051.53","2,024,443.17","2,424,501.34","1,177,128.84","3,090,935.82","3,293,484.74","3,539,911.76","114,316.02"
投资活动现金流出小计,"76,336,093.83","43,778,636.94","12,315,590.97","4,557,402.60","4,844,892.09","12,289,453.42","261,308,488.83","332,993,155.02","642,703,849.23","1,126,782,708.27","298,725,527.15"
经营活动现金流入小计,"354,313,999.58","381,826,074.30","403,284,994.64","220,257,284.97","343,229,567.74","480,852,268.48","99,423,029.70","234,162,446.85","352,156,551.50","428,231,812.58","114,883,388.49"
投资活动产生的现金流量净额,"-70,534,363.06","-37,068,636.94","-5,512,590.97","-3,807,402.60","-4,094,892.09","-11,219,453.42","-154,408,839.79","-116,682,395.60","-177,982,741.34","-256,654,208.45","130,628,593.01"
购买商品、接受劳务支付的现金,"264,592,324.16","307,235,042.25","315,760,234.36","145,647,829.87","241,586,367.27","381,486,650.19","122,007,633.44","229,124,623.52","280,132,119.01","340,098,641.01","81,582,031.31"
吸收投资收到的现金,"12,000,000.00",,,,,"208,200,000.00",,,,,
支付给职工以及为职工支付的现金,"10,731,084.98","11,444,293.48","14,433,377.18","8,827,729.92","12,798,841.01","17,030,027.02","5,826,320.57","9,030,867.51","13,515,016.37","17,432,898.80","6,017,854.69"
取得借款收到的现金,"4,020,000.00","21,940,000.00",,,,,,,,"100,000,000.00",
支付的各项税费,"15,062,343.42","14,791,407.61","12,708,975.75","8,472,250.79","11,883,730.25","16,917,528.61","8,836,114.41","11,721,526.43","13,720,941.12","21,588,016.40","6,624,194.62"
收到其他与筹资活动有关的现金,,"3,788,239.66",,,,,,,,"3,090,000.00","3,000,000.00"
支付其他与经营活动有关的现金,"10,024,142.16","10,245,393.05","11,705,396.82","6,158,273.53","18,410,848.64","15,954,207.83","5,650,888.78","8,569,793.22","13,031,029.40","15,226,328.08","4,347,069.44"
筹资活动现金流入小计,"16,020,000.00","25,728,239.66",,,,"208,200,000.00",,,,"103,090,000.00","3,000,000.00"
经营活动现金流出小计,"300,409,894.72","343,716,136.39","354,607,984.11","169,106,084.11","284,679,787.17","431,388,413.65","142,320,957.20","258,446,810.68","320,399,105.90","394,345,884.29","98,571,150.06"
偿还债务支付的现金,"3,000,000.00","6,000,000.00","11,485,000.00","11,742,500.00","25,455,000.00","25,455,000.00",,,,,
经营活动产生的现金流量净额,"53,904,104.86","38,109,937.91","48,677,010.53","51,151,200.86","58,549,780.57","49,463,854.83","-42,897,927.50","-24,284,363.83","31,757,445.60","33,885,928.29","16,312,238.43"
分配股利、利润或偿还利息支付的现金,"1,659,715.96","2,067,245.15","2,175,141.26","654,637.96","702,403.16","684,491.21",,"19,200,000.00","19,200,000.00","19,719,715.28","1,185,624.99"
收回投资收到的现金,,,,,,,"106,700,000.00","211,700,000.00","458,700,000.00","865,700,000.00","426,900,000.00"
支付其他与筹资活动有关的现金,"2,779,095.65",,"556,681.43","6,534,618.51","11,974,243.67","18,568,344.76",,"14,607,697.88","21,633,923.41","12,832,192.46",
取得投资收益收到的现金,,,,,,,"199,649.04","1,610,759.42","3,021,107.89","4,428,499.82","2,454,120.16"
筹资活动现金流出小计,"7,438,811.61","8,067,245.15","14,216,822.69","18,931,756.47","38,131,646.83","44,707,835.97",,"33,807,697.88","40,833,923.41","32,551,907.74","1,185,624.99"
处置固定资产、无形资产和其他长期资产收回的现金净额,"1,730.77",,"3,000.00",,,,,,,,
筹资活动产生的现金流量净额,"8,581,188.39","17,660,994.51","-14,216,822.69","-18,931,756.47","-38,131,646.83","163,492,164.03",,"-33,807,697.88","-40,833,923.41","70,538,092.26","1,814,375.01"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-438,319.88","-31,355.13","37,684.29","340,222.73","554,682.96","1,561,905.15","-321,284.97","-435,638.02","-887,113.89","-1,484,145.86","-1,842,870.97"
收到其他与投资活动有关的现金,"5,800,000.00","6,710,000.00","6,800,000.00","750,000.00","750,000.00","1,070,000.00",,"3,000,000.00","3,000,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"5,801,730.77","6,710,000.00","6,803,000.00","750,000.00","750,000.00","1,070,000.00","106,899,649.04","216,310,759.42","464,721,107.89","870,128,499.82","429,354,120.16"
五、现金及现金等价物净增加额,"-8,487,389.69","18,670,940.35","28,985,281.16","28,752,264.52","16,877,924.61","203,298,470.59","-197,628,052.26","-175,210,095.33","-187,946,333.04","-153,714,333.76","146,912,335.48"
购建固定资产、无形资产和其他长期资产支付的现金,"76,336,093.83","42,878,636.94","9,315,590.97","4,557,402.60","4,844,892.09","7,289,453.42","2,608,488.83","3,293,155.02","9,003,849.23","28,182,708.27","51,724,220.32"
期初现金及现金等价物余额,"47,258,443.32","38,771,053.63","57,441,993.98","86,427,275.14","84,326,705.48","86,427,275.14","289,725,745.73","289,725,745.73","289,725,745.73","289,725,745.73","136,011,411.97"
投资支付的现金,,"900,000.00",,,,,"258,700,000.00","329,700,000.00","633,700,000.00","1,098,600,000.00","247,000,000.00"
期末现金及现金等价物余额,"38,771,053.63","57,441,993.98","86,427,275.14","115,179,539.66","101,204,630.09","289,725,745.73","92,097,693.47","114,515,650.40","101,779,412.69","136,011,411.97","282,923,747.45"
