科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30
流动资产合计,"5,730,774,173.14","5,185,919,870.01","5,703,050,389.72","6,723,159,488.13","9,379,232,189.43","8,261,449,262.66","9,028,172,097.89","6,033,388,555.82","5,322,755,112.64","4,462,044,329.43","4,571,432,174.44","4,577,040,650.30","5,116,922,895.41","5,931,754,954.29","5,812,205,827.07","5,727,346,080.34","5,630,124,673.41","6,040,791,857.39","5,660,693,847.54"
流动负债合计,"6,659,015,293.99","6,264,574,006.84","6,273,346,110.86","6,304,942,886.00","6,462,343,280.91","6,403,791,313.43","7,083,829,868.48","5,260,916,233.73","5,233,624,689.72","4,883,396,168.83","5,608,529,964.41","6,271,704,957.70","6,403,061,865.31","6,900,029,336.66","7,050,743,440.57","6,495,279,292.34","5,914,555,959.41","6,205,997,838.41","6,161,185,991.01"
可供出售金融资产,,,,,,,,,,,,,,,,,,,
长期借款,"3,533,874,856.15","3,566,373,752.47","3,989,031,505.40","4,836,573,599.67","5,042,815,335.69","4,350,964,471.60","4,653,103,436.05","4,249,067,314.84","4,061,919,267.43","3,635,878,019.30","2,982,378,019.30","1,969,587,967.88","2,058,587,967.88","2,141,528,711.45","2,021,528,711.45","2,308,181,264.91","2,601,940,764.91","2,436,159,709.32","2,196,159,709.32"
持有至到期投资,,,,,,,,,,,,,,,,,,,
应付债券,,,,,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00"
长期应收款,,,,,,,,,,,,,,,,,,,
长期应付款,"2,100,000.00","4,200,000.00","6,300,000.00",,,,"953,443.42",,,,,,,,,,,,
长期股权投资,"15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","15,000,000.00","185,000,000.00"
专项应付款,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,
固定资产,"9,018,300,531.97","9,189,740,598.74","8,906,679,589.31","9,767,837,992.57","9,564,503,185.60","9,476,555,287.94","9,492,925,281.76","10,089,760,002.68","9,901,330,089.82","9,698,891,777.11","10,199,408,627.11","10,663,614,572.57","10,374,770,364.13","10,165,402,432.53","9,960,997,407.60","10,029,923,599.72","9,754,166,328.33","9,500,417,853.81","9,298,200,922.68"
递延所得税负债,,,,,,,,,,,,,,,,,,,
在建工程,"1,191,493,319.47","1,070,222,519.77","1,499,796,895.00","843,257,518.79","1,037,903,141.55","1,305,683,651.19","1,728,541,072.49","1,224,393,591.60","1,340,007,898.18","1,455,283,326.89","1,343,267,226.43","847,840,333.44","950,750,968.43","1,001,978,007.70","1,127,274,986.10","965,109,205.46","1,077,771,656.28","1,166,003,296.73","1,226,375,586.84"
其他非流动负债,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,
非流动负债合计,"3,535,974,856.15","3,570,573,752.47","3,995,331,505.40","4,836,573,599.67","7,042,815,335.69","6,350,964,471.60","6,654,056,879.47","6,249,067,314.84","6,061,919,267.43","5,635,878,019.30","4,982,378,019.30","3,969,587,967.88","4,058,587,967.88","4,141,528,711.45","4,021,528,711.45","4,308,181,264.91","4,601,940,764.91","4,436,159,709.32","4,196,159,709.32"
固定资产清理,,,,,,,,,,,,,,,,,,,
负债合计,"10,194,990,150.14","9,835,147,759.31","10,268,677,616.26","11,141,516,485.67","13,505,158,616.60","12,754,755,785.03","13,737,886,747.95","11,509,983,548.57","11,295,543,957.15","10,519,274,188.13","10,590,907,983.71","10,241,292,925.58","10,461,649,833.19","11,041,558,048.11","11,072,272,152.02","10,803,460,557.25","10,516,496,724.32","10,642,157,547.73","10,357,345,700.33"
生产性生物资产,,,,,,,,,,,,,,,,,,,
