科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"19,457,038.71","37,989,412.36","57,571,475.03","77,397,077.08","23,330,377.90","46,863,349.32","69,667,415.41","95,328,382.80","18,619,638.71","34,232,310.27","50,856,573.90","63,858,427.99","13,900,902.89","27,252,009.58","39,722,716.86","52,206,770.48","12,664,908.44","25,719,023.19","38,181,537.07","51,256,449.28","12,784,380.07","25,629,931.04","36,563,092.07","45,194,071.86"
三、利润总额,"45,850,583.42","89,116,780.78","179,216,568.89","178,445,972.18","48,276,525.43","82,859,296.03","85,912,835.81","115,966,090.00","41,354,793.64","71,631,705.75","87,180,737.24","117,617,343.45","81,586,759.68","150,720,708.45","206,156,376.72","257,089,118.33","106,088,347.54","200,183,221.49","264,191,692.87","328,292,105.07","119,061,482.27","271,716,458.96","346,859,229.86","440,188,330.62"
资产减值损失,"2,315,399.64","-27,937.20","5,425,517.04","13,667,583.81","1,176,560.90","590,718.11","-212,986.84","15,255,615.60","1,495,661.92","-653,840.40","3,745,211.57","17,597,528.84","1,166,023.33","1,799,672.64","2,322,299.47","3,400,910.76","-282,996.77","-736,415.16","-556,288.25","-748,622.02","587,986.62","-1,068,508.16","-3,505,981.46","1,952,802.10"
减:所得税,"12,350,438.75","24,291,245.40","56,525,104.96","41,714,618.66","12,368,580.53","17,066,032.80","15,135,370.56","31,979,995.02","6,993,710.25","10,546,761.15","11,855,461.48","-3,550,978.80","10,656,798.93","17,330,317.04","25,254,446.39","38,028,339.87","14,846,539.46","28,441,869.76","37,821,556.91","48,076,443.85","16,601,739.43","38,180,753.14","47,652,241.02","66,564,888.40"
加:公允价值变动净收益,,,,"26,317,998.00",,,,"7,874,762.00",,,,"1,875,845.51",,,,"3,008,486.00",,,,"-699,940.00",,"5,266,230.00","5,266,230.00","6,159,990.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"13,058,289.57","24,301,019.92","71,562,895.44","59,732,958.23","1,000,501.91","1,107,290.75","23,972,215.69","35,855,076.42","10,193,384.94","19,598,469.11","25,593,667.02","30,868,982.26","15,397,530.10","29,080,089.68","39,002,530.75","39,967,208.73","15,190,453.29","28,901,932.29","36,987,085.54","53,966,146.86","15,458,577.24","34,782,095.20","44,849,856.85","53,872,780.88"
四、净利润,"33,500,144.67","64,825,535.38","122,691,463.93","136,731,353.52","35,907,944.90","65,793,263.23","70,777,465.25","83,986,094.98","34,361,083.39","61,084,944.60","75,325,275.76","121,168,322.25","70,929,960.75","133,390,391.41","180,901,930.33","219,060,778.46","91,241,808.08","171,741,351.73","226,370,135.96","280,215,661.22","102,459,742.84","233,535,705.82","299,206,988.84","373,623,442.22"
其中:对联营企业和合营企业的投资权益,"8,290,324.94","16,343,663.53","17,302,866.89",,,,"21,047,056.76","32,065,880.70","10,193,384.94","19,593,575.11","25,570,365.86","30,846,281.11","15,397,530.10","25,306,705.62","38,985,016.49","36,182,024.42","15,190,453.29","28,901,932.29","36,958,411.40","53,937,472.72","15,458,577.24","34,775,904.30","44,816,034.50","53,838,958.53"
归属于母公司所有者的净利润,"31,722,409.24","60,746,254.84","116,707,219.44","128,866,949.35","33,648,909.97","61,464,846.93","65,025,380.73","76,407,343.62","32,343,081.68","55,611,391.60","66,635,025.55","107,765,675.43","66,376,756.80","124,119,477.93","168,278,589.29","204,736,590.14","84,541,491.27","159,524,811.37","210,062,874.78","261,085,612.90","94,595,419.83","217,990,076.90","279,508,268.97","348,954,580.28"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"1,777,735.43","4,079,280.54","5,984,244.49","7,864,404.17","2,259,034.93","4,328,416.30","5,752,084.52","7,578,751.36","2,018,001.71","5,473,553.00","8,690,250.21","13,402,646.82","4,553,203.95","9,270,913.48","12,623,341.04","14,324,188.32","6,700,316.81","12,216,540.36","16,307,261.18","19,130,048.32","7,864,323.01","15,545,628.92","19,698,719.87","24,668,861.94"
