科目,2005年1-3月
销售商品、提供劳务收到的现金,"27,364,215.96"
取得子公司及其他营业单位支付的现金净额,
收到的税费返还,
支付其他与投资活动有关的现金,
收到其他与经营活动有关的现金,"3,043,884.27"
投资活动现金流出小计,
经营活动现金流入小计,"30,408,100.23"
投资活动产生的现金流量净额,
购买商品、接受劳务支付的现金,"25,625,054.83"
吸收投资收到的现金,
支付给职工以及为职工支付的现金,"730,602.30"
取得借款收到的现金,
支付的各项税费,"116,036.77"
收到其他与筹资活动有关的现金,
支付其他与经营活动有关的现金,"3,648,889.17"
筹资活动现金流入小计,
经营活动现金流出小计,"30,120,583.07"
偿还债务支付的现金,"30,000.00"
经营活动产生的现金流量净额,"287,517.16"
分配股利、利润或偿还利息支付的现金,
收回投资收到的现金,
支付其他与筹资活动有关的现金,"264,775.25"
取得投资收益收到的现金,
筹资活动现金流出小计,"294,775.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,
筹资活动产生的现金流量净额,"-294,775.25"
处置子公司及其他营业单位收到的现金净额,
四、汇率变动对现金的影响,
收到其他与投资活动有关的现金,
四(2)、其他原因对现金的影响,
投资活动现金流入小计,
五、现金及现金等价物净增加额,"-7,258.09"
购建固定资产、无形资产和其他长期资产支付的现金,
期初现金及现金等价物余额,"1,043,686.35"
投资支付的现金,
期末现金及现金等价物余额,"1,036,428.26"
