科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"719,106,446.64","958,790,213.68","995,011,612.40","501,078,277.45","1,059,267,598.08","201,983,229.53","519,772,553.00","765,083,223.55","1,053,186,652.15","196,653,577.91","491,406,826.49","766,091,042.86","1,020,116,619.02","222,268,210.06","523,182,087.99","805,803,113.61","1,140,012,842.38","237,533,970.34","574,014,947.54","882,347,809.88","1,215,980,530.64","264,975,263.23","612,279,874.87","962,608,071.12","1,341,521,548.40","255,193,701.24"
二、营业利润,"46,642,160.21","105,339,894.20","96,278,619.61","54,657,632.98","104,835,543.07","-16,115,513.02","42,545,032.73","35,193,604.54","53,845,088.75","-16,283,589.48","21,712,412.58","18,044,573.94","-18,828,356.92","-9,045,557.91","18,936,373.19","31,241,958.35","35,385,112.02","-14,423,377.70","40,037,498.64","71,349,449.06","99,149,889.39","6,490,137.77","52,819,299.17","80,375,090.59","115,408,934.63","-11,494,525.26"
减:营业成本,"151,953,912.83","171,823,545.58","178,742,647.32","97,617,119.79","204,219,910.36","38,751,406.07","104,746,325.47","157,478,475.59","205,810,286.15","39,054,738.55","96,859,536.74","155,070,271.11","201,166,105.60","36,032,799.32","88,856,490.89","134,397,451.33","200,293,452.93","42,029,796.75","94,499,568.96","148,210,347.33","209,306,874.49","36,795,671.29","95,579,726.05","160,570,679.91","221,079,362.37","42,985,651.22"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,302,847.99","12,296,551.28","7,659,808.09","3,183,122.23","6,545,454.63","814,141.17","2,655,724.85","3,827,162.85","5,792,618.46","686,820.78","2,456,239.93","4,207,640.93","5,513,142.08","978,073.88","2,663,239.10","3,847,325.41","7,555,155.64","1,103,730.66","4,151,196.71","5,651,095.13","10,189,967.26","1,016,802.61","4,038,821.52","5,595,914.21","10,319,988.39","1,193,259.12"
营业外收入,"14,077,232.06","21,768,360.21","33,173,411.34","8,599,628.48","28,767,594.74","1,796,012.52","7,032,303.63","12,044,965.23","31,250,403.88","1,868,878.98","10,289,713.37","23,562,677.25","37,715,078.54","5,827,871.23","10,173,092.80","12,740,524.16","28,743,647.26","7,777,109.49","5,873,686.56","6,003,988.08","206,999.63","27,227.17","1,108,003.25","1,363,543.91","357,352.38","137,799.52"
销售费用,"296,838,563.02","424,209,314.78","463,138,537.14","229,339,016.25","482,513,623.43","110,173,533.35","235,245,327.28","364,361,867.19","494,498,427.46","110,530,894.25","218,097,273.69","371,097,879.15","508,082,908.19","127,468,424.96","245,728,217.63","399,142,371.44","547,619,618.70","135,950,697.55","284,976,912.56","439,363,450.06","629,633,140.11","153,839,926.65","307,036,831.37","483,530,463.94","688,693,933.21","154,057,210.17"
减:营业外支出,"664,601.32","830,782.56","714,439.03","328,924.84","1,204,126.80","259,940.57","662,897.10","712,163.36","2,007,705.62","183,962.27","630,808.32","779,606.51","810,928.83","370,144.42","829,799.12","1,021,698.00","4,702,172.48","246,007.73","392,157.66","487,325.28","3,673,745.69","212,362.69","1,440,126.92","1,645,578.83","2,610,563.45","473,894.13"
管理费用,"186,860,018.65","226,250,418.85","224,743,676.23","101,741,304.12","235,865,992.02","61,928,857.32","109,532,712.90","172,897,233.50","244,393,986.53","58,229,820.80","127,832,123.07","185,470,722.81","279,279,311.38","62,125,254.37","130,087,112.15","204,706,669.68","290,515,105.63","64,402,891.78","149,648,639.95","227,034,188.77","300,721,855.87","72,501,563.97","162,199,519.93","140,679,919.09","192,724,117.36","35,681,097.01"
其中:非流动资产处置净损失,"419,756.59","202,601.72","290,361.73","71,478.16","191,504.91","206,988.66","295,818.56","362,811.85","272,895.06","59,779.33","486,994.60","629,056.80","384,627.55","160,272.41","304,617.88","410,746.19","415,207.09","63,622.63","199,574.98","271,927.09",,,,,,
