科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"150,120,082.76","670,911,570.21","997,114,470.25","3,327,163,237.20","2,975,365,170.48","2,514,859,748.22","2,569,234,788.35","2,622,618,728.77","2,752,049,696.55","2,660,670,574.25","2,580,512,655.76","2,471,589,384.19","2,223,434,373.52","2,040,395,033.71","2,053,709,138.19","2,000,200,769.40","2,014,450,574.82","1,680,667,191.54","815,316,403.11","863,500,180.03","851,801,873.15","614,552,397.61","276,290,288.95","383,948,750.67","542,500,371.21","300,251,741.91","344,295,228.44","446,995,496.12"
短期借款,"20,000,000.00","225,639,314.68","506,600,000.00","496,600,000.00","150,000,000.00",,,,,"61,480,000.00","60,969,000.00","239,931,900.00","239,959,200.00","183,652,125.00","293,712,000.00","257,972,400.00","250,657,600.00",,,,,,,"40,000,000.00","144,000,000.00","211,000,000.00","176,000,000.00","233,000,000.00"
交易性金融资产,"3,013,347.87",,,,,,,,,,"2,019,190.00","2,019,190.00","990,220.00","497,200.00","806,930.00",,,,"1,826,052.00","1,826,052.00",,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"3,617,578.72","541,136.69","50,000.00","828,775.53","604,545.00","3,953,527.24","27,363,852.60","16,859,017.84","18,397,034.40","11,269,000.00","23,885,679.39","17,957,000.00","10,846,473.54","15,093,213.00","11,420,571.46","5,187,798.46","13,888,014.69","20,351,374.00","15,221,203.40","18,876,140.20","15,406,963.48","20,391,570.34","12,907,900.00","2,190,000.00","2,681,730.05","5,588,373.00","6,642,600.00"
应付票据,"66,260,000.00","218,000,000.00","251,435,000.00","65,155,000.00",,,"20,000,000.00",,,"13,350,000.00","65,528,207.66","38,309,264.98","12,843,618.90","12,066,121.58","11,551,560.00",,,,,,,,"18,609,000.00","35,654,500.00","51,158,596.40","72,846,670.31","72,080,305.77","63,288,795.46"
应收账款,"55,962,878.29","68,368,089.44","149,866,439.28","161,770,617.50","141,424,875.79","179,727,652.26","180,725,719.94","199,130,135.53","225,752,934.08","244,409,786.21","189,846,584.49","280,536,838.91","328,713,293.82","304,981,894.09","276,961,872.44","294,555,748.46","387,207,022.67","427,108,599.50","381,426,890.81","435,575,141.56","528,995,874.11","577,809,023.60","561,008,826.73","575,387,989.76","593,875,412.86","564,700,372.67","548,035,744.15","594,351,631.85"
应付账款,"156,828,518.00","126,331,818.07","83,931,508.28","178,845,283.87","291,075,235.91","310,615,342.29","178,605,796.76","236,120,771.35","393,682,537.45","297,531,007.71","217,847,849.71","167,940,701.58","147,968,832.99","77,897,586.32","91,204,224.14","92,626,892.74","95,211,740.12","61,163,989.47","94,689,997.94","161,081,577.36","162,502,340.69","172,343,020.09","197,369,860.74","260,590,227.96","322,125,289.01","305,840,652.67","288,173,967.08","291,601,013.57"
预付款项,"9,040,592.34","132,859,336.26","69,807,968.15","61,249,718.27","16,102,028.20","38,615,750.71","17,409,220.24","94,119,011.59","19,446,585.87","29,184,132.34","21,192,696.43","53,780,852.39","39,507,585.15","33,557,662.53","18,559,618.64","51,507,745.09","52,342,848.96","42,057,984.09","30,820,487.52","35,558,516.80","32,846,331.06","32,398,085.74","18,131,710.29","27,275,439.27","36,232,344.12","43,623,697.08","24,036,014.52","23,492,361.53"
预收款项,"232,223,756.38","628,981,911.52","197,699,870.15","114,651,750.80","58,015,502.31","140,886,570.29","179,307,556.92","263,116,869.66","244,630,291.97","127,616,312.59","59,512,468.87","118,454,650.91","89,141,568.82","77,964,912.34","43,478,529.85","73,014,698.68","67,241,803.17","63,570,948.82","63,661,365.56","86,262,470.03","86,400,999.64","84,253,103.06","64,607,484.05","90,025,766.28","89,501,920.81","82,688,453.32","62,022,188.42","86,999,570.40"
其他应收款,"288,034,904.37","329,033,323.52","289,138,684.01","311,972,158.88","344,764,532.77","392,470,023.02","399,235,163.57","463,903,468.69","456,907,434.50","478,441,193.63","432,945,039.55","461,655,582.81","392,557,975.42","335,931,516.52","249,801,401.86","271,551,454.59","223,496,918.44","193,566,503.38","220,372,842.13","217,714,728.33","184,003,695.19","150,419,659.04","140,774,338.38","126,384,167.30","123,527,295.20","94,652,692.78","87,497,186.08","90,901,954.46"
应付职工薪酬,"15,239,637.00","58,328,089.14","60,458,631.47","14,799,852.91","25,539,217.80","21,529,877.46","28,134,314.06","17,295,878.58","25,516,407.43","28,700,551.01","29,974,909.64","10,794,252.65","13,926,337.59","10,895,468.71","18,784,915.73","14,503,245.68","10,703,650.86","16,080,624.90","24,148,313.31","10,001,935.60","19,588,098.34","21,053,567.44","31,763,248.08","16,799,803.99","19,456,849.78","24,347,941.59","57,928,868.99","41,882,804.47"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-6,841,900.44","-58,470,277.42","-23,495,966.95","72,838,224.74","23,291,070.51","-19,441,754.43","13,093,276.78","76,701,580.33","91,100,295.83","24,280,255.79","9,684,823.21","4,153,904.93","14,664,661.03","7,076,724.56","3,507,171.33","8,100,063.78","10,306,802.79","26,750,924.54","16,103,872.07","20,689,724.16","47,848,701.72","25,724,255.34","26,137,981.15","37,561,930.59","57,815,235.75","50,950,220.62","61,867,064.12","48,797,446.46"
应收利息,,,,,"33,468,401.76","50,115,904.00","38,478,810.76","53,107,723.60","45,747,363.13","54,271,931.26","24,438,677.32","28,055,334.23","32,076,401.41","22,642,778.39","16,284,445.78","12,220,674.79","10,854,403.81","8,411,777.66","3,597,928.43","3,272,821.10","4,453,002.47","3,045,269.60","663,670.84","1,001,169.40","628,588.13","1,230,109.62","888,916.67","1,559,052.39"
应付利息,,"837,997.21","756,471.11",,"269,861.11",,,,,,"157,901.24",,,,"498,855.95",,,,,,,,,,,"22,701.00","256,891.69",
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
