科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其他应收款,"110,382,375.11","90,244,448.84","97,955,524.05","57,756,145.98","64,612,614.46","61,647,107.15","71,748,089.27","49,162,189.18","69,401,890.68","54,136,081.19","41,759,543.32","41,145,154.32","34,556,844.20","29,941,497.46","43,647,326.54","49,760,135.85","55,952,269.31","60,155,414.44","51,728,223.74","62,923,170.63","74,749,480.37","79,648,098.57","80,694,846.52","48,229,675.54","64,426,320.86","92,999,574.17","123,935,436.02","58,032,164.72","109,333,297.05","105,581,322.95","109,757,815.75","69,940,277.99","109,121,797.14","127,447,734.45","141,870,106.97","83,470,214.61","93,469,982.74","98,258,930.03","123,672,929.94","88,629,542.03","131,282,345.63","111,933,243.74","102,233,356.45"
应付职工薪酬,"20,250,014.57","17,832,482.29","17,972,570.43","10,179,515.87","5,151,995.74","5,894,744.28","8,306,232.68","11,113,525.23","9,905,298.92","9,730,037.76","9,672,941.42","14,083,807.50","12,949,234.77","15,417,161.56","14,436,996.05","28,657,595.91","26,731,546.66","18,213,536.67","19,767,776.92","46,238,239.77","41,167,759.35","36,584,725.34","39,631,989.28","65,313,829.97","61,870,486.24","54,251,234.84","56,793,018.67","72,069,568.27","72,684,973.72","52,160,500.95","57,121,336.03","69,284,926.86","64,820,520.70","53,917,169.69","61,973,615.06","89,567,366.45","80,730,964.84","76,497,275.67","65,738,804.62","65,699,482.08","52,172,509.40","49,150,075.19","55,740,892.26"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"7,368,068.99","19,636,457.33","18,183,032.14","28,362,966.94","20,688,370.50","16,907,235.58","15,540,394.12","29,903,210.91","23,957,630.83","15,968,713.37","24,510,096.34","27,656,627.18","25,985,647.47","18,984,390.97","32,129,041.69","33,657,360.31","20,445,997.60","26,391,443.00","38,448,884.43","35,619,211.84","41,316,829.20","36,768,332.32","33,163,458.75","15,333,008.48","49,147,567.08","28,242,037.64","39,340,747.40","36,785,516.08","44,592,548.86","47,733,149.24","46,120,639.53","43,374,717.30","54,371,283.07","80,025,344.19","102,247,963.78","80,130,650.38","76,249,072.99","58,447,200.10","65,765,029.00","98,987,026.47","96,548,683.32","84,371,326.86","95,525,016.93"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,958.33","18,958.33","117,541.66","117,541.66","751,506.85","751,506.85",,
应付利息,"9,775.00",,,,,,"8,820.00",,,"29,400.00","29,400.00","25,200.00","25,200.00","25,200.00","25,200.00","25,200.00","25,200.00","25,200.00","25,200.00",,,"32,166.67","32,166.67",,,,,"5,366,666.67","5,366,666.67","51,250.00","50,225.00","668,881.67","570,000.00","1,425,000.00","32,465.99","5,733,898.05","8,846,521.17","11,987,645.27","2,358,533.42","5,675,249.77","8,794,017.60","12,002,703.84","2,686,867.93"
应收股利,"-44,539.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,"31,384.63",,,,,,,,,,,,,,,,,,,,,,"339,424.48","349,634.08","365,262.88","9,683.20",,"57,992,130.09",,,,,,,,,,"5,897,675.79"
存货,"246,918,255.77","267,251,951.64","263,375,344.33","228,662,018.35","260,612,375.19","223,880,014.03","229,323,492.27","228,724,424.39","228,100,131.81","223,393,541.28","238,243,926.11","272,053,409.22","284,094,649.64","315,847,093.54","302,333,277.72","330,688,109.12","331,678,784.13","328,728,676.00","323,424,789.95","387,718,051.01","417,402,060.67","406,738,920.71","390,209,269.20","602,715,659.62","668,288,426.81","637,743,659.05","536,582,184.95","565,336,126.74","538,425,851.29","482,182,813.64","454,961,811.14","488,982,018.34","427,628,565.65","426,501,184.23","536,123,902.75","616,045,395.64","650,142,718.67","605,445,284.14","700,875,726.95","862,146,986.15","900,984,419.67","946,844,737.78","1,020,019,187.92"
其他应付款,"56,566,810.16","52,705,406.53","65,727,042.77","43,834,133.59","39,476,577.97","42,959,008.07","31,714,830.09","30,927,184.33","38,533,792.84","34,769,758.40","39,856,424.06","40,280,994.90","51,180,900.82","60,144,670.61","68,917,824.14","65,297,006.23","81,571,155.68","81,026,389.17","82,909,279.33","96,020,071.47","112,165,773.25","158,430,490.27","209,231,415.04","190,812,710.95","227,503,922.36","200,652,068.15","221,346,233.46","170,055,987.79","223,875,397.34","238,912,429.36","264,793,661.03","187,681,978.95","248,609,870.06","253,871,773.74","360,229,223.69","306,498,332.60","328,128,045.80","281,694,705.79","289,488,687.13","443,942,932.00","437,430,940.31","446,498,941.96","540,184,723.09"
