科目,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"16,775,635.75","101,085,994.33","103,327,742.34","80,244,133.10","63,451,267.73","115,635,258.76","259,771,680.76","241,289,741.35","239,014,169.40","282,736,707.01","238,391,370.52","203,373,351.14","199,189,161.80","291,377,979.46","207,638,765.76","137,276,731.66","132,230,312.29","268,884,369.40","163,419,674.83","107,608,110.06","75,004,288.07"
短期借款,,,,,,,,,,,,,,,,,"40,000,000.00","49,980,000.00","29,980,000.00","40,000,000.00","40,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,,
应付票据,,"692,160.00",,,,,,,,"10,919,000.00",,,,,,,,,,,
应收账款,"37,734,610.83","47,589,600.53","67,720,661.44","85,567,820.93","71,912,402.82","76,136,185.77","82,351,324.09","90,427,575.29","90,023,267.47","80,646,808.56","101,386,331.36","115,711,915.79","117,475,306.62","92,301,527.68","136,114,953.79","164,561,366.47","195,404,919.18","122,195,754.51","163,348,535.78","187,299,046.03","194,536,898.09"
应付账款,"192,460.00","3,728,582.62","5,336,477.92","3,075,079.64","1,080,000.00","7,375,100.84","9,101,854.70","8,350,432.80","4,440,731.11","4,135,652.05","4,013,664.43","4,151,376.07","2,158,540.25","3,798,200.02","6,622,765.22","10,940,841.46","7,113,295.23","4,173,802.18","4,668,285.80","5,452,968.85","5,331,572.64"
预付款项,,"692,160.00",,,"2,367,000.00","780,000.00","11,758,216.42","9,985,814.00","9,985,814.00","10,919,000.00","529,014.74","257,158.00","893,953.31","75,135.60","293,103.50","12,414,948.10","625,031.87","332,189.80","349,007.08","1,644,098.46","329,004.16"
预收款项,"5,184,683.34","5,448,039.55","4,166,279.30","5,190,861.18","4,095,736.84","10,187,176.86","12,476,216.97","10,065,092.83","10,844,024.24","20,060,088.52","12,116,200.71","17,784,736.18","28,279,063.25","43,182,990.49","46,378,765.20","40,045,249.50","42,909,129.78","68,754,426.87","47,846,681.54","52,276,526.30","54,346,934.51"
其他应收款,"16,081,797.47","2,196,609.23","8,712,464.83","9,064,887.98","11,881,831.28","9,638,096.84","5,057,475.53","4,897,912.44","4,855,997.59","4,605,407.12","7,035,938.46","7,362,978.23","9,022,919.19","7,204,739.54","10,756,178.36","8,640,983.01","9,972,671.53","6,522,629.46","14,700,538.06","8,798,367.30","9,433,296.97"
应付职工薪酬,"3,056,853.23","9,599,212.49","12,416,696.31","12,059,326.81","14,000,340.80","15,425,425.23","15,821,338.01","14,547,553.82","18,034,906.60","20,933,943.03","25,061,174.09","19,602,228.25","24,613,615.80","36,416,970.48","44,309,607.03","31,303,939.78","39,740,456.36","52,562,492.95","56,611,753.83","50,429,942.38","49,930,796.51"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,
应交税费,"5,380,807.01","3,380,151.03","4,013,721.29","2,531,659.13","132,386.24","1,427,726.14","-2,512,247.88","-270,700.75","456,787.79","2,355,517.90","2,568,505.51","2,606,541.91","2,479,454.70","4,408,060.27","3,141,455.38","1,412,634.60","320,812.18","3,154,164.85","3,365,933.02","4,609,127.24","5,357,620.54"
应收利息,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,"66,431.75","66,431.75","66,431.75","66,431.75"
应收股利,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,"12,251,459.97",,,,"5,996,454.20",,,,,,,,"4,952,928.94",,,,,
存货,"5,395,056.18","9,788,779.79","21,427,752.99","36,987,911.51","58,756,638.91","39,961,565.25","58,558,508.43","67,216,100.91","68,623,710.46","50,532,529.41","63,277,232.09","72,484,319.55","81,566,017.16","68,453,481.67","93,344,447.34","107,024,880.72","124,604,140.68","101,192,380.19","113,053,848.41","136,023,714.48","174,059,174.27"
