科目,2012年度,2013年度,2014年度,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"541,150,544.67","546,902,139.51","1,298,353,963.10","1,001,429,188.50","1,476,329,444.73","274,789,744.71","644,035,434.13","1,057,834,083.73","1,358,768,504.57","335,891,291.73","684,438,627.21","1,116,965,769.77","1,587,801,750.18","347,761,389.99","688,558,274.33","998,972,226.90","1,403,061,089.89","359,271,159.37"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,"16,626,564.54","16,626,564.54","45,126,564.54",,"44,500,000.00","40,163,527.90",,
收到的税费返还,"11,801,110.36","5,274,298.99","6,512,145.82","2,499,575.93","2,499,575.93",,,,,"5,610,059.92","17,110,294.18","9,098,138.11","13,278,417.73","7,495,035.23","9,030,644.33","34,144,663.11","37,636,367.14","3,662,751.84"
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"41,395,452.61","52,462,872.47","19,152,146.57","33,124,942.85","89,870,053.38","48,774,781.87","46,143,126.28","79,831,988.60","99,732,947.56","7,364,275.07","35,900,935.65","66,819,865.00","65,519,953.90","143,133,259.64","45,778,992.07","58,570,746.76","199,145,598.21","13,807,347.13"
投资活动现金流出小计,"23,836,757.37","13,224,873.28","27,328,280.43","164,170,309.20","472,262,603.09","55,678,957.48","630,092,324.36","979,121,092.00","1,449,183,129.19","113,794,913.21","268,558,785.03","357,156,642.76","486,596,593.79","56,691,170.55","579,506,516.76","617,781,273.64","177,751,118.05","23,918,448.93"
经营活动现金流入小计,"594,347,107.64","604,639,310.97","1,324,018,255.50","1,037,053,707.30","1,568,699,074.04","323,564,526.58","690,178,560.41","1,137,666,072.33","1,458,501,452.13","348,865,626.72","737,449,857.04","1,192,883,772.88","1,666,600,121.81","498,389,684.86","743,367,910.73","1,091,687,636.77","1,639,843,055.24","376,741,258.34"
投资活动产生的现金流量净额,"-15,795,565.06","-13,150,922.19","-26,120,480.68","-163,241,748.65","-350,603,996.13","11,527,192.53","103,512,847.59","-149,908,522.79","-339,525,822.89","392,268,115.42","342,344,563.30","253,755,105.57","332,224,865.23","-56,652,087.22","-443,264,571.42","-488,121,637.72","-158,853,056.75","-20,313,494.59"
购买商品、接受劳务支付的现金,"261,746,619.18","310,584,624.35","518,560,348.26","606,584,644.24","819,057,737.73","261,660,200.20","462,047,439.54","607,688,149.28","770,914,332.36","260,577,080.64","451,978,474.80","658,361,003.70","928,474,451.39","263,271,433.49","561,650,288.14","678,540,153.10","996,755,872.15","305,306,732.88"
吸收投资收到的现金,,,,,,"623,394,880.00","623,394,966.50","623,393,931.69","646,723,580.00","3,564.00",,,,"496,693.33",,,,"1,240,976.54"
支付给职工以及为职工支付的现金,"106,123,193.61","115,195,940.78","194,789,929.24","191,791,711.06","236,282,127.67","59,980,012.37","131,302,102.92","186,306,769.66","242,023,925.93","63,304,513.62","158,435,442.32","218,073,841.04","276,266,554.98","63,195,948.97","139,888,141.28","199,432,812.23","285,334,309.67","75,871,860.40"
取得借款收到的现金,"20,000,000.00",,,,,,,,,,,,,,,,"16,000,000.00","-1,913,321.24"
支付的各项税费,"28,248,781.27","26,411,851.89","123,863,983.10","77,628,801.71","125,481,886.27","25,759,485.71","65,328,570.46","87,254,153.21","119,252,210.08","13,559,955.57","60,521,928.73","63,137,176.46","76,817,785.14","11,761,067.65","29,563,729.37","46,950,105.84","41,310,959.53","27,657,420.43"
收到其他与筹资活动有关的现金,"10,500,000.00","20,620,000.00",,,,"160,848,720.00","161,560,187.00","161,560,187.00","161,560,187.00",,,,,,,,,
支付其他与经营活动有关的现金,"122,959,971.95","84,260,531.35","204,569,995.72","126,015,151.54","155,595,211.21","44,713,132.27","69,336,368.30","154,058,902.26","155,536,376.11","9,699,279.21","108,406,934.84","194,501,004.72","358,077,174.54","271,769,880.49","137,366,381.52","227,781,203.02","295,129,182.35","38,568,106.40"
筹资活动现金流入小计,"30,500,000.00","20,620,000.00",,,,"784,243,600.00","784,955,153.50","784,954,118.69","808,283,767.00","3,564.00",,,,"496,693.33",,,"16,000,000.00","-672,344.70"
经营活动现金流出小计,"519,078,566.01","536,452,948.37","1,041,784,256.30","1,002,020,308.60","1,336,416,962.88","392,112,830.55","728,014,481.22","1,035,307,974.41","1,287,726,844.48","347,140,829.04","779,342,780.69","1,134,073,025.92","1,639,635,966.05","609,998,330.60","868,468,540.31","1,152,704,274.19","1,618,530,323.70","447,404,120.11"
偿还债务支付的现金,"10,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,
经营活动产生的现金流量净额,"75,268,541.63","68,186,362.60","282,233,999.21","35,033,398.73","232,282,111.16","-68,548,303.97","-37,835,920.81","102,358,097.92","170,774,607.65","1,724,797.68","-41,892,923.65","58,810,746.96","26,964,155.76","-111,608,645.74","-125,100,629.58","-61,016,637.42","21,312,731.54","-70,662,861.77"
分配股利、利润或偿还利息支付的现金,"48,555,794.49","13,675,000.01","45,000,000.00","30,000,000.00","30,000,000.00",,"60,000,000.00","60,000,000.00","60,000,000.00",,"45,000,050.80","45,006,851.63","45,007,967.95",,"12,157,695.92","16,518,209.87","15,422,768.57","222,720.01"
收回投资收到的现金,,,,,"120,186,986.85","65,000,000.00","730,000,000.00","820,000,000.00","1,100,000,000.00","500,000,000.00","600,000,000.00","600,000,000.00","800,000,000.00",,"130,000,000.00","130,010,000.00","13,000,000.00","3,604,954.34"
支付其他与筹资活动有关的现金,"20,620,000.00","1,200,000.00",,"560,000.00","560,000.00","4,070,653.69","169,070,752.86","169,070,752.86","172,030,187.00",,,"997,220.00","1,006,182.07",,,"15,587,461.10","15,587,480.16",
取得投资收益收到的现金,,"6,000.00","17,100.00","423,560.55","966,620.11","2,090,150.01","3,435,152.02","5,542,549.28","6,007,432.83","5,997,561.64","6,994,286.14","6,994,286.14","8,956,465.75",,"6,241,945.34","-351,364.08","3,987,699.01",
筹资活动现金流出小计,"79,175,794.49","34,875,000.01","45,000,000.00","30,560,000.00","30,560,000.00","4,070,653.69","229,070,752.86","229,070,752.86","232,030,187.00",,"45,000,050.80","46,004,071.63","46,014,150.02",,"12,157,695.92","32,105,670.97","31,010,248.73","222,720.01"
处置固定资产、无形资产和其他长期资产收回的现金净额,"41,192.31","67,951.09",99.75,,,"116,000.00","170,019.93","170,019.93","349,873.47","65,466.99","3,909,062.19","3,917,462.19","369,993.27",,,"1,000.00","1,910,362.29",
筹资活动产生的现金流量净额,"-48,675,794.49","-14,255,000.01","-45,000,000.00","-30,560,000.00","-30,560,000.00","780,172,946.31","555,884,400.64","555,883,365.83","576,253,580.00","3,564.00","-45,000,050.80","-46,004,071.63","-46,014,150.02","496,693.33","-12,157,695.92","-32,105,670.97","-15,010,248.73","-895,064.71"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-146,705.05","-1,407,110.32","-370,385.83","1,262,769.56","1,551,637.79","-897,688.69","-171,015.40","1,115,923.36","2,477,008.41","823,708.57","-118,763.89","-2,793,633.32","-2,281,939.52","-3,374,000.53","-821,529.76","949,358.33","3,671,814.95","-5,286,470.91"
收到其他与投资活动有关的现金,"8,000,000.00",,"1,190,600.00","505,000.00","505,000.00",,,"3,500,000.00","3,300,000.00",,,,"9,495,000.00","39,083.33",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"8,041,192.31","73,951.09","1,207,799.75","928,560.55","121,658,606.96","67,206,150.01","733,605,171.95","829,212,569.21","1,109,657,306.30","506,063,028.63","610,903,348.33","610,911,748.33","818,821,459.02","39,083.33","136,241,945.34","129,659,635.92","18,898,061.30","3,604,954.34"
五、现金及现金等价物净增加额,"10,650,477.03","39,373,330.08","210,743,132.70","-157,505,580.36","-147,330,247.18","722,254,146.18","621,390,312.02","509,448,864.32","409,979,373.17","394,820,185.67","255,332,824.96","263,768,147.58","310,892,931.45","-171,138,040.16","-581,344,426.68","-580,294,587.78","-148,878,758.99","-97,157,891.98"
购建固定资产、无形资产和其他长期资产支付的现金,"23,836,757.37","13,197,273.28","27,328,280.43","43,983,322.35","61,075,616.24","55,678,957.48","61,091,845.58","90,122,544.36","140,183,129.19","13,791,349.21","23,432,220.49","112,030,078.22","141,295,879.30","40,194,477.22","51,006,516.76","91,992,639.43","124,705,052.57","23,918,448.93"
期初现金及现金等价物余额,"163,361,307.07","174,011,784.10","213,385,114.18","424,128,246.88","424,128,246.88","276,797,999.70","276,797,999.70","276,797,999.70","276,797,999.70","686,777,372.87","686,777,372.87","686,777,372.87","686,777,372.87","997,680,938.09","997,670,304.32","998,036,331.65","997,670,304.32","848,791,545.33"
投资支付的现金,,"27,600.00",,"120,186,986.85","411,186,986.85",,"569,000,478.78","888,998,547.64","1,309,000,000.00","100,003,564.00","228,500,000.00","228,500,000.00","300,174,149.95","16,496,693.33","484,000,000.00","485,625,106.31","53,046,065.48",
期末现金及现金等价物余额,"174,011,784.10","213,385,114.18","424,128,246.88","266,622,666.52","276,797,999.70","999,052,145.88","898,188,311.72","786,246,864.02","686,777,372.87","1,081,597,558.54","942,110,197.83","950,545,520.45","997,670,304.32","826,542,897.93","416,325,877.64","417,741,743.87","848,791,545.33","751,633,653.35"
