科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"51,288,020.79","77,486,148.41","106,483,324.83","80,466,798.92","115,623,386.40","22,771,224.23","64,236,311.71","106,516,040.57","141,369,657.74","23,770,518.02","45,647,476.68","75,239,618.11","121,112,520.72","44,635,596.66","105,333,087.68","390,507,991.64","823,772,761.99","368,657,798.63","705,996,201.02","1,180,749,913.89","1,635,730,742.83","326,891,323.08","658,351,029.82","1,232,712,789.93","1,696,184,817.07","390,597,554.96","846,300,438.59","1,321,092,015.24","1,298,951,939.86"
二、营业利润,"13,112,502.65","23,021,195.87","28,289,789.06","16,046,953.16","24,627,083.73","3,799,399.59","8,676,945.96","9,615,928.31","10,505,616.53","201,154.41","-3,359,316.82","-8,634,807.01","-14,971,965.97","-3,990,342.52","-1,197,103.34","21,087,570.69","32,891,872.06","15,568,604.32","42,420,828.36","103,115,984.18","-70,118,458.46","29,274,075.13","64,253,923.66","131,485,150.35","176,733,561.44","26,720,729.82","71,147,188.48","105,702,522.55","52,122,399.58"
减:营业成本,"22,534,670.80","30,587,154.82","46,930,997.50","37,878,581.95","55,443,077.51","11,029,453.32","35,383,842.92","62,512,336.01","87,695,967.14","14,803,584.88","28,591,552.52","49,872,391.19","85,200,389.59","33,322,431.60","75,859,838.22","303,112,299.65","677,900,390.29","308,188,986.71","584,573,492.48","964,127,015.36","1,313,798,293.08","254,618,453.46","505,099,503.13","958,205,344.90","1,318,637,069.72","308,717,167.36","654,418,053.78","1,017,394,350.70","966,582,794.57"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"516,570.55","1,167,434.39","1,193,999.97","975,571.45","1,152,564.06","70,377.11","191,712.18","384,524.82","876,634.87","133,163.44","350,456.84","511,048.62","703,234.40","230,468.90","682,730.99","2,073,241.74","5,708,279.51","699,819.61","2,102,196.73","5,462,055.35","8,246,129.17","4,288,647.25","4,287,099.48","7,319,518.33","14,706,509.42","4,017,663.94","6,057,299.97","7,135,157.73","9,344,435.23"
营业外收入,"1,000,000.00","999,530.29","4,657,225.99","669,552.69","1,579,628.39","1,687,720.18","1,833,126.93","2,211,414.07","3,779,795.39","87,239.31","4,069,803.79","4,465,246.86","7,914,007.21","823,674.33","1,292,714.85","1,646,470.23","3,118,259.03","2,333,705.00","2,656,813.31","3,626,659.44","7,151,550.65","939,350.91","2,898,849.22","7,508,370.84","11,385,013.98","1,967,338.23","2,975,604.68","9,801,313.64","5,901,373.07"
销售费用,"5,474,834.05","9,287,576.83","11,191,218.22","9,456,688.76","11,113,408.98","3,071,471.56","6,569,690.57","10,462,151.50","15,048,395.26","2,738,289.78","5,758,723.80","8,919,976.08","14,180,897.21","4,117,113.86","7,975,381.05","15,973,618.22","26,346,121.81","10,630,942.29","19,730,589.67","28,922,098.20","39,310,233.40","6,905,353.05","16,427,432.06","26,476,571.51","34,937,493.05","9,958,612.65","21,544,034.70","40,413,349.75","40,604,443.33"
减:营业外支出,"1,000.00","4,967.02","2,781.06",,"128,600.22",7.41,107.41,107.41,107.41,,,,"10,872.42","102,553.84","102,553.84","1,874,777.07","3,593,835.53","540,130.57","877,972.83","1,706,258.78","2,207,680.68","766,178.44","984,787.63","1,440,732.02","888,099.77","53,173.11","313,997.28","2,173,564.18","990,041.88"
管理费用,"7,952,737.55","13,792,342.95","18,508,154.58","15,590,234.32","22,631,143.88","5,937,785.57","15,273,479.40","26,739,291.09","31,749,133.93","7,010,047.44","16,505,361.32","27,351,034.38","38,013,852.99","11,753,152.31","23,541,191.70","44,767,546.76","78,748,417.10","34,145,925.02","62,025,126.08","83,544,898.49","133,905,259.76","30,426,148.81","62,915,040.66","99,470,400.76","145,381,613.72","36,403,855.35","74,634,075.27","119,307,134.42","131,114,600.30"
其中:非流动资产处置净损失,,,"2,743.98",,"128,564.82",,,,,,,,,,,,"225,346.94",,"12,946.75",,"2,051,772.68",,"33,244.91","92,626.05","563,369.33","4,378.09","49,986.84","59,992.21",
