科目,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,"59,803,623.64","183,652,731.31","207,010,725.04","176,774,079.22","178,113,305.63","128,700,644.39","159,288,709.42","158,708,007.31","147,970,296.54","150,757,298.08","168,839,358.76","131,323,698.59","106,070,334.78","58,225,093.59","354,150,116.47","285,278,129.58","252,436,378.63","145,845,764.36","219,652,794.73","115,139,849.01","164,944,802.75","144,614,817.62","256,573,004.76","145,213,407.35","135,971,880.87","119,368,088.41","267,193,274.47","105,444,868.58","203,068,002.78","266,481,885.95","251,399,120.02","82,856,319.46","137,964,205.57","309,140,876.71","494,601,495.03","234,106,494.80","1,610,307,939.94","466,176,429.93","614,576,873.81","769,967,354.10","1,281,235,369.82","745,637,598.21","1,342,305,064.57","1,276,382,926.23","1,121,346,349.31","1,271,173,067.55","1,526,502,745.43","1,083,297,249.40"
短期借款,"13,000,000.00",,,,,,,,,,,"19,000,000.00","41,000,000.00","41,000,000.00","45,741,666.63","74,900,000.00","101,000,000.00","81,000,000.00","129,000,000.00","125,519,745.12","180,000,000.00","175,100,000.00","174,500,000.00","156,987,162.38","270,908,851.43","241,339,775.47","230,817,210.63","65,080,000.00","64,560,000.00","72,500,000.00","35,000,000.00","35,000,000.00","84,910,000.00","194,708,376.13","180,310,000.00","193,800,000.00","46,800,000.00","82,000,000.00","84,617,068.00","56,607,068.00","439,825,496.00","603,203,199.08","535,426,391.51","633,663,327.55","402,930,000.00","546,540,976.72","512,084,686.79","255,990,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"224,975.70","372,103.20",,,,,,,
应收票据,,,"740,000.00",,"400,000.00","90,000.00","90,000.00","1,020,000.00","4,701,500.00","966,700.00","4,225,000.00","400,000.00","2,978,500.00","7,558,312.25","18,945,580.00","19,260,000.00","13,883,000.00","16,554,280.13","17,012,019.89","14,366,543.47","18,055,703.22","21,061,507.30","36,300,103.91","48,756,051.56","34,304,333.86","26,986,564.23","31,974,135.36","22,630,733.52","20,406,537.51","14,802,330.55","9,746,174.60","16,914,330.63","27,170,429.01","47,359,445.05","82,621,480.78","81,676,461.17","80,002,270.04","76,225,475.08","124,215,818.18","159,783,708.68","145,136,310.06","185,595,551.39","226,912,332.20","272,060,002.16","259,267,864.52","223,087,345.33","236,018,134.47","200,066,109.75"
应付票据,,,,,,,,,,,,"295,152.00","295,152.00",,"1,743,801.87","555,152.00",,,"880,000.00","6,610,817.00","11,173,367.00","9,211,032.30","8,770,800.00","10,670,800.00","8,647,800.00","5,936,000.00","8,013,000.00","4,729,000.00","7,092,000.00","9,880,000.00","8,412,375.68","2,666,343.34","4,590,000.00","7,100,000.00","19,533,104.76","21,814,047.86","21,398,203.76","12,495,409.76","13,410,608.25","38,544,341.19","58,220,029.73","48,464,973.00","46,873,208.10","64,787,719.43","88,377,304.60",,"139,328,417.56",
应收账款,"16,447,687.82","35,317,723.33","26,486,986.40","55,131,123.38","55,262,796.66","73,420,259.75","71,578,834.42","100,826,726.34","108,012,208.04","110,307,917.64","96,472,295.75","117,047,805.74","159,049,387.21","171,431,376.06","185,897,534.96","223,338,807.04","265,651,606.04","288,410,749.57","291,770,795.26","285,357,119.04","307,715,026.96","329,956,604.63","264,814,931.37","282,792,191.70","332,811,273.37","347,928,815.26","316,653,270.20","308,050,580.90","330,769,345.95","390,855,866.38","411,102,399.93","425,881,686.86","426,573,610.61","590,398,609.11","523,998,509.84","543,213,026.82","683,830,058.32","803,313,622.24","748,509,138.16","747,381,167.04","782,523,970.10","792,924,423.43","1,070,033,195.64","967,036,235.59","1,173,177,352.77","1,114,227,331.95","1,011,343,171.68","992,263,422.17"
应付账款,"15,281,683.06","12,042,375.61","25,439,007.38","18,929,933.46","23,298,704.57","24,958,523.79","22,325,479.65","45,830,393.88","36,867,971.64","46,961,610.87","46,805,265.81","46,409,351.61","48,603,841.34","43,917,898.23","72,281,200.66","90,393,261.37","95,354,209.40","90,061,229.62","122,295,840.43","120,689,946.05","133,770,108.55","120,821,427.33","149,376,936.70","143,540,480.39","134,577,403.14","147,787,981.18","238,196,357.81","232,093,847.27","211,008,141.93","220,838,402.83","248,674,112.98","218,351,133.59","215,712,708.68","273,883,166.87","283,309,882.31","252,243,937.36","296,817,247.34","332,530,631.60","410,988,446.22","374,651,187.51","460,295,667.48","488,256,656.04","488,320,879.30","474,333,746.14","524,681,845.84",,"364,166,298.07",
预付款项,"4,171,877.92","5,807,130.60","1,490,713.70","5,634,783.95","7,371,561.41","37,647,292.42","12,739,822.74","10,918,319.86","10,400,763.18","11,258,285.83","1,264,823.38","8,240,567.49","16,829,689.58","27,969,351.62","18,000,104.67","44,735,018.05","71,529,743.61","77,980,225.65","48,405,583.13","68,311,678.37","84,042,151.55","90,424,232.68","62,993,603.05","82,022,581.75","83,606,235.37","97,131,252.09","85,643,602.04","121,891,331.14","112,046,959.60","114,152,031.57","77,151,893.35","105,557,088.08","107,373,675.29","188,866,597.27","42,631,073.38","151,512,525.91","65,942,991.05","83,165,190.27","41,420,345.56","60,497,576.69","125,342,191.91","715,840,487.99","72,372,186.62","116,052,623.63","126,387,226.99","133,785,454.88","68,268,363.31","137,023,260.27"
预收款项,"25,628,308.09","28,977,544.23","24,115,096.46","22,167,835.46","15,735,328.42","24,995,244.80","26,411,126.76","28,417,877.76","35,919,604.16","34,199,549.03","21,386,086.18","7,890,748.26","4,337,988.76","8,094,831.76","9,444,946.81","11,350,840.37","12,595,226.20","15,905,316.00","22,149,698.08","19,379,687.99","25,333,543.52","19,836,806.72","16,682,839.94","33,989,607.02","20,973,443.28","38,956,908.48","44,803,119.13","51,625,712.41","49,356,984.61","51,920,867.11","40,849,370.61","48,741,979.42","54,121,514.22","59,977,959.45","94,610,240.28","96,079,545.25","82,480,251.02","88,927,287.73","73,676,586.81","81,502,510.86","59,980,955.20","76,815,878.94","86,979,468.56","100,136,518.40","102,263,293.92","108,016,638.92","132,477,021.43","121,133,275.65"
其他应收款,"1,063,466.31","2,845,147.89","650,199.58","4,096,376.16","1,003,671.19","7,665,464.99","6,354,909.58","8,108,689.82","8,191,778.79","13,984,597.89","2,408,005.02","5,169,511.07","5,460,505.03","7,071,623.23","9,060,905.48","11,054,350.68","9,511,792.18","10,775,526.47","7,889,780.78","9,971,046.92","10,600,629.66","11,130,009.16","6,676,566.83","13,375,410.96","17,959,272.57","14,628,268.80","5,360,923.52","6,926,292.01","5,943,495.33","9,192,376.34","12,679,078.01","13,316,029.14","16,709,699.53","20,690,943.50","55,983,496.77","36,150,441.54","51,713,573.74","45,460,357.15","17,845,186.57","21,456,497.58","21,228,213.17","66,419,480.53","67,171,559.06","46,908,784.59","28,390,833.93","31,759,001.76","29,729,217.26","36,482,472.61"
