科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他应收款,"33,536,200.28","832,921.57","1,037,639.63","791,019.24","510,378.25","997,005.30","1,118,192.37","7,858,603.65","1,963,626.69","8,120,754.20","10,775,345.84","5,509,718.08","17,401,759.45","13,604,197.93","8,895,753.53","2,846,262.59","29,067,398.37","39,533,289.44","28,010,973.40","8,429,124.34","10,857,779.51","14,900,288.02","21,676,731.58","1,973,288.83","20,995,561.66","28,493,880.03","17,568,771.57","2,934,982.30","9,453,090.88","23,979,910.59","21,737,376.79","15,238,195.08","11,362,012.41","11,881,005.31","10,106,214.55","10,038,410.22","8,898,516.96","12,895,724.81","8,579,249.67","1,424,317.37","1,810,612.76","14,457,451.90","113,002,288.63","109,552,693.03","214,948,391.54","138,917,284.79","122,597,199.25","181,662,220.20","204,793,429.31"
应付职工薪酬,"18,788,166.25","27,512,766.91","29,477,432.01","16,461,544.27","5,858,474.50","9,742,103.63","6,150,046.89","16,905,647.26","6,033,425.20","10,090,061.81","6,212,645.60","17,009,213.94","8,116,014.64","13,940,310.29","13,791,300.63","19,650,923.28","7,199,530.85","16,512,104.54","11,799,381.93","24,772,050.42","16,253,586.89","14,321,566.08","16,706,618.84","24,412,184.39","13,277,250.67","14,206,042.61","15,218,748.10","21,812,115.69","13,217,791.82","14,937,507.52","18,096,239.53","22,533,917.91","15,222,032.13","18,502,185.83","20,270,823.46","33,881,586.63","25,840,387.88","20,150,561.94","22,272,247.02","27,978,640.93","19,319,831.01","18,006,069.59","20,875,443.73","25,998,397.89","16,558,766.88","17,083,965.44","16,691,338.38","40,158,854.78","24,928,515.06"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"17,719,470.27","9,030,104.63","13,339,109.63","11,121,741.16","-11,073,322.93","-5,055,239.10","4,410,603.38","18,676,242.78","28,697,028.70","-43,448,094.37","-70,681,330.73","-105,732,776.31","-118,682,283.25","-115,129,667.90","-109,129,458.93","-120,318,403.47","-121,188,821.89","-119,798,376.06","-121,318,257.96","-114,716,629.45","-116,633,670.83","-114,512,019.74","-124,426,805.65","-126,428,181.95","-152,355,564.41","-205,189,544.83","-243,915,274.61","525,001.22","300,402.85","168,383.26","200,669.21","3,095,588.99","711,058.24","583,037.42","2,838,936.45","1,241,935.46","1,119,113.73","358,613.17","1,999,316.31","358,492.21","298,319.41","272,313.26","267,557,494.39","284,631,529.52","258,359,914.79","270,947,250.11","251,430,683.72","252,980,440.68","248,065,606.96"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,"1,429,219.18",,,,"3,271,587.62","5,115,368.44","10,309,748.51","13,307,128.49","17,385,979.16","21,038,376.42","25,291,801.08","29,545,225.74","10,416,525.16","4,298,374.48",,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,,,,,,"10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00","58,575,000.00","10,650,000.00","26,625,000.00","42,600,000.00",,,,,"2,503,375.85","1,171,590.06","1,497,274.12","2,003,344.68",,"6,318,214.22","5,981,232.30"
应收股利,,,,,,,,,"122,707.52","122,707.52",,,,"293,792.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,662,937.54","13,541,549.70","11,045,349.70","11,460,288.93",,"2,497,684.54","2,497,684.54"
存货,"189,184,996.28","201,945,989.10","107,679,530.75","121,933,836.38","155,198,516.31","245,604,469.79","200,472,020.76","198,033,242.58","188,404,264.82","186,665,914.55","171,367,237.37","113,596,332.86","174,509,151.93","144,697,866.46","132,706,019.16","215,795,248.34","191,858,732.75","182,582,831.41","203,289,559.01","270,285,560.77","295,576,478.40","274,079,930.27","320,718,721.91","293,035,778.08","310,714,464.49","317,847,122.80","355,880,634.20","289,787,167.75","407,699,114.50","347,486,457.83","348,926,097.11","380,104,090.02","434,298,668.66","443,664,094.31","352,057,932.95","295,204,117.27","348,683,324.96","367,325,713.87","302,844,183.52","257,205,266.22","264,115,031.75","237,867,045.78","2,074,767,483.10","2,212,938,056.97","2,471,932,358.24","2,447,355,194.12","2,878,517,802.06","2,749,562,051.18","3,055,491,621.12"
其他应付款,"43,735,004.53","45,044,439.85","6,491,996.59","5,352,078.55","7,213,627.74","286,765,203.60","236,990,085.05","127,008,720.98","128,930,556.16","145,695,054.14","64,753,180.20","15,706,170.08","21,820,074.69","13,903,411.89","14,551,557.74","92,962,880.57","98,861,229.01","96,218,113.69","153,280,856.84","101,744,029.89","133,532,945.06","122,125,634.66","116,802,839.19","123,594,398.36","160,063,337.11","226,000,330.65","39,942,908.68","41,647,715.68","45,193,538.29","47,141,999.59","51,551,220.72","23,854,148.26","15,903,671.68","25,854,967.66","33,152,750.65","27,287,830.32","23,693,953.17","186,693,628.98","1,303,968,807.25","213,332,193.16","414,799,478.47","396,050,401.67","516,455,545.97","593,594,758.89","729,532,149.19","784,859,966.85","898,541,247.90","1,305,027,096.54","1,257,036,782.15"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350,000.00","53,121,517.36","51,771,517.36","80,771,517.36","74,771,517.36","103,027,960.31","35,000,000.00"
一年内到期的非流动负债,"17,945,742.81","12,029,126.01","6,049,931.76","25,004,820.14","19,277,648.85","12,693,809.92","5,690,561.98","22,642,150.84","15,726,576.41","11,299,743.65","5,675,026.38","22,965,878.04","16,074,980.24","9,876,961.43","5,128,090.14","93,150,262.26","52,506,500.00","43,655,878.42","37,473,851.88","156,452,129.35","152,063,239.49","26,209,802.30","21,507,794.81","216,997,706.95","81,904,102.28","9,570,679.20","4,763,410.34","257,799,195.34","254,519,255.93","143,660,013.59","27,962,247.52","411,057,049.21","301,743,589.19","139,806,083.03","117,278,790.86","559,572,217.34","446,270,556.41","201,620,746.26","92,905,489.79","310,078,239.60","271,427,751.41","107,438,123.51","10,940,747.63","10,996,770.83","9,871,407.95","11,338,638.19","10,381,638.19","74,896,135.11","64,317,008.80"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"275,392,131.51","290,045,625.81","315,771,672.12","312,456,692.37","317,109,620.18","308,170,738.98","307,272,586.85","296,974,414.16","283,906,146.23","279,447,778.62","267,106,463.96","253,436,996.82","226,480,636.74","202,957,910.64","194,936,519.20","2,372,109.71","343,951,914.58","31,371,354.37","38,834,918.74","31,304,920.33","127,333,520.09","38,163,952.11"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"677,641,210.39","793,831,517.16","755,708,035.90","755,166,325.68","903,458,039.20","1,056,395,490.93","976,845,203.04","1,790,261,620.70","1,682,705,204.36","1,514,408,826.76","1,869,411,163.33","1,319,456,821.22","1,135,106,012.94","1,116,587,694.28","1,014,589,615.53","1,116,421,783.64","960,257,286.76","1,175,987,824.18","1,079,172,101.45","1,260,393,618.51","1,626,044,308.43","1,039,592,806.21","1,522,263,473.16","1,933,374,221.19","1,579,019,808.80","1,269,005,889.90","1,423,645,383.10","1,763,145,894.61","1,812,909,868.48","1,860,268,434.67","2,033,308,893.61","1,337,779,780.62","1,485,735,291.87","1,563,541,166.09","1,459,166,843.72","1,071,656,572.86","1,111,176,005.92","978,250,099.56","893,528,478.86","836,822,214.25","903,323,934.46","832,696,019.50","12,964,515,890.65","12,293,544,630.70","14,315,560,368.47","14,706,087,117.90","15,746,630,395.55","16,401,884,830.87","18,260,697,313.28"
流动负债合计,"271,200,375.83","292,372,405.27","218,446,900.28","153,714,886.85","204,726,174.38","590,708,838.21","510,640,444.49","415,329,590.25","499,949,245.17","597,136,029.50","541,831,928.26","368,129,268.03","353,123,236.41","286,134,832.64","152,567,395.96","407,430,063.18","307,806,171.59","406,955,549.76","413,600,971.57","472,034,636.01","876,815,179.41","389,952,093.44","661,107,555.44","555,068,258.83","472,459,163.10","833,612,556.54","692,219,901.96","1,280,229,486.87","1,420,858,481.77","1,261,044,537.76","1,314,460,551.24","1,525,989,078.86","1,684,517,757.10","1,785,651,160.02","1,658,925,166.24","1,681,501,735.73","1,801,090,495.60","1,721,340,135.30","2,766,076,389.11","1,885,375,852.78","1,991,253,727.19","1,778,946,042.85","8,317,811,510.08","7,704,480,706.59","9,612,873,006.14","9,894,556,886.82","10,496,463,892.31","10,848,469,768.51","12,898,596,552.77"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","115,637,925.50","119,740,110.50","119,740,110.50","118,354,536.35","115,708,805.18","117,591,487.19","117,591,487.19","117,591,487.19","83,869,864.17","74,367,680.76","51,325,735.92","39,939,192.00","43,150,884.97","37,053,919.39",
长期借款,"322,749,090.70","321,380,660.61","332,907,413.85","309,020,510.28","320,750,479.12","313,751,317.67","289,691,700.19","1,091,179,456.94","1,074,493,012.30","1,120,694,865.43","1,129,524,010.05","1,071,890,613.99","1,058,178,716.62","1,138,619,776.77","1,182,810,024.37","1,314,560,882.91","1,341,676,595.90","1,528,260,791.49","1,512,020,510.31","1,340,641,426.74","1,295,556,184.70","1,334,463,539.95","1,537,192,456.09","1,123,930,821.81","1,118,666,216.21","1,228,954,610.29","1,983,567,030.59","1,758,041,059.15","1,885,375,613.53","2,322,060,206.78","2,558,804,520.39","2,142,229,678.78","2,132,296,451.95","2,100,552,709.96","2,104,206,700.46","1,578,130,482.51","1,580,590,997.87","1,580,989,152.74","1,582,143,655.01","1,270,224,125.04","1,270,738,211.28","1,273,710,149.37","40,400,000.00","38,600,000.00","185,800,000.00","235,000,000.00","633,200,000.00","978,400,000.00","1,176,600,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,"992,431,126.67","992,821,126.67","993,211,126.67","993,601,126.67","993,909,135.48","994,299,135.48","994,689,135.48","995,079,135.48","995,327,312.44","995,717,312.44","996,107,312.44","996,497,312.44","996,919,849.60","997,309,849.60","997,699,849.60",,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"170,731,940.62","166,679,783.17","166,536,316.31","166,390,704.25","166,180,914.92","20,000,000.00","20,000,000.00"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,151,200,000.00","1,050,000,000.00","1,151,200,000.00","42,330,029.14","41,027,148.83","42,027,148.83","38,661,904.44","38,229,130.09","36,320,141.11","36,000,000.00"
长期股权投资,"900,000.00","900,000.00","1,152,917.13","1,030,207.00","1,030,207.00","1,030,207.00","1,030,207.00","859,714.49","737,006.97","737,006.97","737,006.97","1,273,203.47","1,273,203.47","40,979,411.36","40,979,411.36","41,199,408.07","41,199,408.07","40,976,194.81","40,976,194.81","41,257,857.52","41,257,857.52","41,030,151.45","61,030,151.45","61,202,706.35","61,202,706.35","61,015,331.33","61,015,331.33","61,268,643.35","61,268,643.35","61,268,643.35","1,041,523.36","1,277,475.89","3,277,475.89","3,067,073.64","3,067,073.64","2,679,282.58","2,679,282.58","2,344,984.18","2,322,647.45","2,793,307.41","2,793,307.41","2,793,307.41","1,212,895,052.83","1,265,356,783.52","1,316,103,571.81","1,351,369,020.29","1,396,674,807.93","1,439,484,412.64","1,521,295,462.75"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,786,057.02",,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,"672,878.58","669,070.92","732,602.34","1,193,701.83",,,,,,,,,,,,,,,,,,,,,,"81,937,954.22","83,792,126.51","80,279,448.19","82,219,261.39","81,245,768.22","83,692,983.35","82,781,901.56"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,247,179.00","18,301,230.42","14,380,040.36","17,127,221.42","15,060,965.58","19,310,878.16"
固定资产,"474,927,746.66","422,624,663.48","394,139,908.33","413,632,064.08","388,352,958.46","365,763,719.17","342,296,021.43","327,493,855.66","324,011,860.75","303,785,290.37","281,269,223.07","266,775,311.98","245,118,454.71","230,790,920.73","213,449,530.45","611,446,218.83","584,022,181.32","566,164,674.11","548,056,920.13","535,822,796.28","518,948,306.45","2,758,269,917.76","2,807,718,499.60","2,786,992,895.98","2,732,578,984.76","2,830,156,354.19","2,772,854,346.97","2,736,462,697.83","2,683,781,053.74","2,638,600,343.50","2,597,412,106.95","4,646,416,241.16","4,557,727,064.24","4,472,477,186.30","4,387,579,685.25","4,348,626,511.75","4,264,082,645.94","4,179,303,765.49","4,077,107,149.87","3,970,169,351.18","3,886,223,045.25","3,796,513,610.71","489,864,595.68","500,591,666.61","505,727,391.17","505,009,306.06","515,602,788.18","517,489,118.76","516,297,207.36"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,"25,430.14","25,430.14","25,430.14","25,430.14",,,,,,,,,,,,,,,,"778,795.37","835,323.28","835,323.28","835,323.28","835,323.28","4,573,746.73","4,573,746.73"
在建工程,"6,316,299.59","9,673,165.18","45,295,240.06","9,490,553.97","11,885,038.78","277,623,639.48","354,679,086.45","271,063,239.12","468,563,869.52","633,333,180.60","1,453,983,316.90","1,896,082,950.95","2,135,517,907.65","2,217,826,273.59","2,282,157,008.63","2,193,249,412.98","2,365,044,353.42","2,392,649,128.55","2,554,917,884.32","2,342,073,673.92","2,400,316,892.43","180,439,497.14","104,319,014.77","158,034,932.27","487,621,419.90","725,452,925.84","1,395,299,831.88","1,577,436,898.73","1,789,263,448.77","1,958,401,109.45","2,099,354,744.04","45,431,296.26","54,971,290.01","64,305,705.20","57,750,981.82","1,621,749.35","8,294,065.33","4,839,529.98","6,718,627.44","14,826,458.49","29,569,575.66","33,613,850.09","15,012,575.35","5,025,581.58","5,362,569.10","8,643,576.08","9,261,526.14","17,164,263.01","42,613,854.79"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,"80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","92,711,634.40","6,460,566.40","6,460,566.40",,,,,,,,,"16,994,840.52","15,997,214.22","15,997,214.22","15,994,840.52","15,994,840.52","13,994,840.52","13,994,840.52"
工程物资,,,,,,"1,789,716.38","2,611,574.43","3,941,024.69","65,858,922.44","225,489,073.79","233,715,234.94","141,389,878.36","82,768,717.55","60,393,596.41","60,383,071.71","22,486,051.92","23,687,929.30","23,527,099.70","43,890,565.98","27,897,047.98","22,900,073.58","18,305,838.84","18,139,851.60","4,845,615.50","17,426,631.16","381,083,224.87","219,653,593.09","70,279,369.67","55,280,905.40","52,169,068.67","12,078,974.88",,,,,,,,,,,,,,,,,,
非流动负债合计,"322,749,090.70","321,380,660.61","332,907,413.85","309,020,510.28","320,750,479.12","313,751,317.67","289,691,700.19","1,091,179,456.94","1,074,493,012.30","1,120,694,865.43","1,129,524,010.05","1,071,890,613.99","1,058,178,716.62","1,138,619,776.77","1,182,810,024.37","1,314,560,882.91","1,341,676,595.90","1,528,260,791.49","1,512,020,510.31","1,340,641,426.74","1,295,556,184.70","1,334,463,539.95","1,537,192,456.09","2,196,387,378.62","2,191,512,773.02","2,302,191,167.10","3,057,193,587.40","2,831,950,194.63","2,959,674,749.01","3,396,749,342.26","3,633,883,655.87","3,230,268,625.62","3,220,725,398.79","3,207,371,656.80","3,211,415,647.30","2,692,227,779.35","2,688,669,438.27","2,687,162,200.70","1,688,629,460.93","2,531,449,460.37","2,427,730,686.89","2,530,223,232.54","252,582,669.07","248,620,617.40","385,473,035.31","426,947,405.24","830,171,817.49","1,158,779,840.36","1,359,177,776.66"
固定资产清理,,,,,,,,,"990,129.98",,"990,129.98",,,,,,"162,838.13",,,,,,,,,,,,,,"55,639.87",,,,,,,,"3,843.86",,"4,009.35",,"856,648.26","112,237.83","854,063.88","109,737.83",,,
负债合计,"593,949,466.53","613,753,065.88","551,354,314.13","462,735,397.13","525,476,653.50","904,460,155.88","800,332,144.68","1,506,509,047.19","1,574,442,257.47","1,717,830,894.93","1,671,355,938.31","1,440,019,882.02","1,411,301,953.03","1,424,754,609.41","1,335,377,420.33","1,721,990,946.09","1,649,482,767.49","1,935,216,341.25","1,925,621,481.88","1,812,676,062.75","2,172,371,364.11","1,724,415,633.39","2,198,300,011.53","2,751,455,637.45","2,663,971,936.12","3,135,803,723.64","3,749,413,489.36","4,112,179,681.50","4,380,533,230.78","4,657,793,880.02","4,948,344,207.11","4,756,257,704.48","4,905,243,155.89","4,993,022,816.82","4,870,340,813.54","4,373,729,515.08","4,489,759,933.87","4,408,502,336.00","4,454,705,850.04","4,416,825,313.15","4,418,984,414.08","4,309,169,275.39","8,570,394,179.15","7,953,101,323.99","9,998,346,041.45","10,321,504,292.06","11,326,635,709.80","12,007,249,608.87","14,257,774,329.43"
