科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"76,521,022.69","120,724,451.29","375,541,648.37","411,046,049.88","421,852,204.01","498,416,626.74","1,072,255,145.17","1,029,622,883.41","1,233,022,497.25","1,289,913,630.24","1,071,878,526.71","1,258,021,793.94","1,042,460,120.78","1,054,519,306.91","1,102,033,377.27","1,020,041,168.05","854,899,281.93","858,045,148.31","1,071,885,234.41","820,079,601.48","984,717,352.65","1,194,198,756.40","894,343,819.70","1,159,113,539.04","958,850,788.60","1,147,069,150.50","1,331,893,363.17","1,210,296,227.02","725,171,164.95"
短期借款,,"12,060,000.00",,,,,,,"50,000,000.00","50,000,000.00",,"95,000,000.00","230,000,000.00","229,688,223.00","100,000,000.00","300,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","400,000,000.00","600,000,000.00","500,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00","600,000,000.00","500,000,000.00","600,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,"61,506.00",,,,,,,,,,,"1,000,000.00","1,000,000.00",,,,"4,552,184.62",,,,"16,181,781.33","3,037,183.30","840,000.00",,"7,298,289.53","7,161,646.52","13,668,198.09","9,681,392.55"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"58,114,487.15","2,542,393.80",,,"17,739,220.11","2,155,241.96","3,141,621.26","7,608,026.22","6,188,409.06","13,721,669.61","8,905,443.47","9,593,792.82","10,958,566.16","18,271,129.13","15,653,286.56","14,870,880.49","14,292,638.47","21,562,350.44","13,325,335.35","18,081,299.64","16,716,302.06","27,831,130.27","22,407,313.77","164,305,700.76","182,412,004.72","199,276,950.97","217,939,540.85","265,753,696.77","402,441,881.86"
应付账款,"27,760,568.85","18,229,432.56","21,279,230.17","14,229,312.25","12,258,069.39","7,114,443.31","8,450,147.10","12,949,324.75","12,680,096.17","28,858,117.69","20,873,732.90","19,860,279.48","26,614,219.00","57,019,895.59","18,560,678.59","22,565,364.00","23,723,934.69","49,851,617.49","32,438,522.44","30,704,012.32","34,318,434.91","93,049,241.85","36,914,893.12","90,766,845.49","85,247,312.85","79,179,273.39","58,671,610.25","49,959,698.08","37,397,348.48"
预付款项,"44,713,416.19","14,994,647.53","20,247,607.03","21,750,278.94","42,715,150.22","48,598,333.91","51,317,028.83","56,499,884.19","51,710,079.44","82,382,938.31","70,394,996.24","73,968,857.25","115,152,574.15","77,563,162.09","100,138,394.49","118,485,525.86","123,770,494.11","98,139,112.67","177,649,186.31","124,644,947.77","101,678,229.17","46,742,137.81","66,723,382.94","51,116,122.55","60,726,757.57","23,924,396.88","48,567,060.74","76,525,580.36","82,337,026.35"
预收款项,"30,500,417.08","33,548,168.52","17,620,983.90","12,123,343.87","12,496,528.28","22,234,159.25","17,795,504.98","15,999,481.31","20,989,913.56","34,910,405.11","16,526,772.67","29,546,308.20","51,910,982.97","80,171,619.91","75,228,347.69","70,590,721.67","50,487,190.70","72,336,624.60","82,492,625.23","75,262,988.44","71,050,709.99","69,908,703.64","62,941,511.37","65,574,205.48","49,087,863.04","48,542,124.88","41,114,813.34","57,612,438.29","49,975,284.47"
其他应收款,"57,726,682.18","49,644,900.53","14,897,827.48","15,063,882.96","14,521,541.72","14,615,927.63","19,664,597.80","17,475,917.48","19,069,130.99","7,606,225.25","8,127,817.64","7,212,882.37","20,328,975.23","11,055,397.65","13,884,102.00","13,708,538.47","12,309,935.41","12,148,977.32","10,784,654.62","12,680,757.42","16,408,855.12","17,255,676.35","14,884,771.73","21,909,286.76","24,412,247.05","40,370,191.54","49,318,976.90","47,215,745.10","40,893,938.91"
应付职工薪酬,"335,129.20","10,522,970.80","4,328,342.66","3,234,791.74","3,069,772.24","2,908,008.07","3,472,704.84","3,241,455.25","3,365,753.58","8,332,934.65","5,791,333.97","7,141,741.08","6,893,814.11","10,500,694.75","8,392,365.33","8,402,716.22","8,732,257.97","23,103,628.66","9,125,113.57","9,160,055.75","9,864,648.22","29,715,756.23","9,554,712.13","11,574,936.58","12,216,679.17","28,685,157.43","12,385,848.90","14,753,012.67","13,880,508.02"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"13,857,546.83","88,070,569.72","38,901,981.17","17,814,932.93","17,140,478.38","17,690,126.86","34,102,299.54","7,081,335.61","22,695,796.04","13,449,656.65","45,683,790.96","16,302,091.47","15,314,788.62","15,501,335.71","14,373,101.24","25,414,996.59","27,426,280.58","32,018,629.58","23,936,646.45","16,792,442.27","16,560,499.11","27,773,075.50","-2,811,946.68","47,662,726.95","24,756,439.19","66,796,379.14","45,892,512.15","64,934,206.46","63,417,026.67"
应收利息,,,,,,,,"7,122,638.89","13,108,071.45","21,073,991.18","21,500,645.64","24,269,388.61","29,317,142.29","27,773,093.09","16,820,039.28","16,291,186.53","13,844,240.00","15,216,772.58","3,410,370.85","3,257,112.77","368,689.71","1,710,773.08","3,439,644.80","7,239,109.24","6,724,452.74","5,125,240.52","7,027,831.62","7,617,286.44","6,084,971.15"
应付利息,,,,,,,,,,,,,,,,,,,,,,"253,250.40","36,584.74","248,751.10","27,586.79","245,091.98","25,312.77","2,030,058.96","4,534,101.53"
应收股利,,,,,,,,,,,,,,,,,"132,179.25",,,,,,,,,,,,
应付股利,,,,,,,,,,,"74,632,000.00",,,,,,,,,,,,,,,,,,
存货,"14,857,777.18","39,186,695.24","20,666,355.20","23,480,024.29","23,859,124.21","28,013,163.09","26,642,650.58","26,330,244.65","27,986,186.39","32,807,545.88","43,007,822.13","53,219,475.47","64,037,111.75","65,192,285.71","65,914,476.77","67,295,857.00","66,960,554.31","69,032,391.35","79,906,821.44","74,773,363.07","80,530,699.90","78,775,858.48","89,897,466.85","82,203,715.99","105,889,295.85","121,146,574.67","144,325,099.19","131,251,938.39","136,608,934.92"
其他应付款,"39,728,758.50","42,636,188.88","40,906,038.86","26,084,849.48","17,284,572.08","27,157,375.45","29,092,812.29","34,281,808.94","37,818,977.56","60,625,317.12","48,559,560.41","76,226,093.87","94,785,636.59","89,451,414.11","89,936,644.47","98,298,323.65","94,148,068.22","144,106,327.20","130,577,435.68","120,860,652.58","136,216,837.88","172,092,454.17","156,553,503.39","243,308,376.75","250,096,275.02","167,009,144.01","228,955,890.54","492,513,464.95","289,082,342.68"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,"435,000,000.00","435,000,000.00","435,000,000.00","120,000,000.00",,,,,"680,000,000.00","530,000,000.00","230,000,000.00","230,000,000.00"
