科目,2007-12-31,2008-12-31,2009-12-31,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30
货币资金,"38,723,871.46","193,628,937.52","199,638,087.65","81,687,756.13","232,877,165.70","1,557,150,397.91","1,377,558,968.70","1,365,624,957.14","1,575,965,487.52","1,483,099,009.84","1,327,002,863.45","1,309,735,364.06","1,489,968,789.00","1,321,013,662.26","1,162,746,811.77","1,138,397,569.29","1,180,454,703.86","1,170,593,136.42","961,265,275.30","971,770,907.28","1,106,045,521.09","998,886,540.11","876,029,317.12","869,116,432.99"
短期借款,,"140,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","80,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,,,,,,,"250,000.00","250,000.00",,"100,000.00","250,000.00"
应付票据,,,,,,,,,,,,,,,,,,,,,,,,
应收账款,"40,385,314.70","63,300,327.63","67,610,023.85","219,501,933.79","123,067,732.17","187,659,561.12","248,604,010.11","288,521,301.67","147,317,904.94","205,060,355.87","198,873,871.69","274,327,115.49","159,491,133.12","218,292,275.02","230,825,222.17","336,256,943.56","322,210,997.80","320,884,425.70","284,108,384.01","317,283,180.56","216,879,293.93","276,338,275.65","277,496,860.32","388,615,586.90"
应付账款,"45,714,501.48","29,584,540.95","65,457,099.75","37,760,766.49","69,227,123.92","41,534,075.48","45,330,141.00","60,321,578.57","71,237,980.51","56,364,118.82","45,430,434.16","61,557,471.46","63,200,026.64","62,361,194.68","45,297,014.58","60,072,881.78","119,901,285.01","78,507,858.07","70,159,958.24","83,091,863.23","115,179,783.66","100,637,617.65","120,647,510.50","134,833,954.95"
预付款项,"15,687,042.02","7,788,112.61","17,811,177.67","9,608,641.16","9,193,583.81","16,706,218.41","27,088,386.80","29,875,009.39","18,334,391.52","25,459,662.73","37,509,989.08","42,818,129.07","5,726,303.08","6,762,351.67","12,578,419.38","11,662,784.93","6,712,424.96","11,576,023.29","14,688,078.45","23,811,903.61","9,022,038.00","29,360,044.00","19,260,987.04","22,171,639.96"
预收款项,"29,114,735.22","50,089,252.67","7,516,863.25","2,960,460.87","4,078,899.39","5,239,877.18","2,745,085.16","2,208,748.50","13,920,638.71","2,877,001.29","2,105,851.79","1,636,318.47","4,268,087.71","5,358,800.82","5,739,551.95","10,197,574.26","11,563,909.92","8,202,167.25","10,955,418.95","21,848,311.08","17,144,879.75","18,995,606.98","23,883,068.75","17,519,653.30"
其他应收款,"2,522,262.86","10,412,693.62","7,066,510.03","6,812,274.73","9,065,587.32","11,401,832.43","8,051,419.39","6,671,183.88","7,746,213.08","7,736,261.12","5,289,366.50","6,579,529.49","9,180,297.30","15,149,987.50","8,491,105.91","11,972,483.04","8,270,939.54","10,142,419.23","12,622,969.70","10,591,277.46","15,288,090.41","21,607,931.35","26,151,979.22","10,435,318.47"
