科目,2008年度,2009年度,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"234,580,739.84","263,368,544.32","376,403,382.09","90,994,960.31","213,615,826.92","322,082,155.75","443,589,696.34","111,733,458.92","256,288,939.09","397,612,534.71","601,990,528.74","183,959,016.23","418,566,721.10","672,188,639.32","919,711,440.40","247,686,418.66","530,108,044.68","831,775,678.31","1,112,612,626.64","245,328,589.29","670,745,196.89","1,067,463,604.47","1,516,064,342.19","389,367,368.42","857,137,527.64","1,301,855,282.93","1,767,919,840.42","409,449,735.97","925,725,510.90","1,505,398,886.59","2,027,190,741.15","447,930,337.71"
二、营业利润,"30,317,684.35","36,002,085.58","56,030,466.68","11,824,619.50","31,237,247.36","48,221,574.97","66,576,847.96","14,130,629.38","41,978,917.43","67,881,841.00","98,780,584.70","20,980,546.66","50,350,225.86","82,957,683.18","116,975,790.45","30,210,331.98","69,475,634.49","118,245,911.93","160,958,360.56","42,350,372.65","101,783,408.29","171,648,306.02","233,883,656.45","59,962,412.71","152,382,191.74","233,982,904.77","306,464,295.70","68,596,313.09","125,308,564.79","192,144,806.23","233,307,923.93","47,227,986.86"
减:营业成本,"169,861,315.70","191,563,760.67","258,859,421.11","65,285,855.77","152,207,049.19","227,232,265.90","311,979,039.79","80,676,595.98","180,441,217.41","274,061,636.05","429,329,751.69","137,957,164.25","317,422,853.96","508,262,380.38","692,041,494.32","186,300,721.66","392,353,290.09","608,535,435.65","811,932,716.99","172,169,002.84","474,934,443.96","729,631,792.53","1,043,584,502.43","261,159,043.68","573,215,786.70","871,582,829.19","1,204,307,854.40","293,157,862.11","678,704,488.14","1,112,308,837.89","1,513,693,143.53","326,734,106.23"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"740,633.28","447,147.43","1,715,231.40","497,904.08","1,496,510.99","1,848,394.69","2,308,199.12","236,967.28","484,494.30","1,006,569.12","1,338,808.83","284,764.99","638,579.31","1,030,370.00","1,208,751.17","989,486.81","2,861,738.51","4,999,162.99","7,058,875.25","1,492,833.78","4,618,732.81","6,447,351.58","9,777,626.52","3,266,302.03","6,753,512.27","10,243,423.37","18,797,356.21","4,180,530.26","10,232,230.80","15,154,179.37","19,430,020.21","3,149,181.83"
营业外收入,"1,938,267.45","4,279,352.92","2,235,767.28","2,264,449.56","3,077,256.32","2,079,482.14","4,185,551.45","2,898,901.80","4,661,773.02","5,791,354.11","6,468,960.42","1,008,836.96","2,610,639.30","4,539,651.76","5,881,669.75","1,785,750.19","5,911,637.94","7,665,388.13","12,432,638.94","3,152,059.38","13,809,582.94","26,088,449.71","29,708,708.93","1,783,357.72","4,944,235.52","7,516,775.69","11,407,500.87","2,523,827.04","1,493,815.29","2,512,511.59","3,081,574.80","1,287,740.69"
销售费用,"5,318,806.56","7,450,635.96","12,571,529.67","2,982,258.13","6,907,483.63","13,035,365.36","20,052,672.66","5,454,494.77","13,498,610.45","21,577,727.43","31,466,092.68","7,731,579.25","19,030,348.88","33,014,058.00","44,226,197.48","10,772,764.85","26,487,143.57","40,480,379.77","54,315,301.21","13,423,426.92","34,678,792.79","57,107,199.77","82,310,748.34","17,690,526.28","42,009,144.08","64,893,620.57","92,868,896.38","21,878,544.54","47,002,930.23","72,048,944.03","103,105,893.45","17,961,372.89"
减:营业外支出,"287,738.75","672,404.45","426,866.56","63,490.48","205,091.71","529,958.20","686,551.10","10,000.00","151,632.04","165,934.87","1,016,521.60","11,806.35","1,794,097.88","1,908,957.88","2,338,329.68","57,900.00","122,574.24","136,743.49","381,685.44","27,374.82","2,267,612.41","2,936,071.46","3,149,450.93","444,420.74","1,394,701.52","1,669,021.02","2,925,904.48","34,853.02","248,222.97","622,700.61","544,215.09","191,748.44"
管理费用,"17,538,874.83","19,145,877.43","39,623,067.19","8,774,262.50","18,914,655.21","28,510,681.96","42,717,140.81","11,055,776.72","22,629,913.78","34,607,158.64","42,720,584.58","13,394,511.53","29,001,639.69","44,772,190.84","60,026,312.58","18,315,450.22","37,994,045.88","58,335,778.43","70,505,021.97","16,284,152.05","50,876,078.77","96,929,340.79","127,230,773.28","41,227,186.99","75,398,222.04","111,574,714.27","137,858,932.49","28,068,670.08","67,546,558.76","111,246,224.93","151,713,467.36","37,659,811.88"
其中:非流动资产处置净损失,"1,533.60","6,228.75","260,456.68",,,,"18,571.17",,"1,600.00","1,600.00","21,444.32","11,806.35","1,334,097.88","1,334,097.88","1,334,097.88",,,,,,"62,114.91","62,114.91","87,936.13","61,301,349.69","470,297.08","470,297.08","548,994.71","16,199.32","16,199.32","55,683.60",,
