科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
销售商品、提供劳务收到的现金,"22,363,000,000.00","41,670,000,000.00","90,080,000,000.00","26,374,000,000.00","54,866,000,000.00","84,264,000,000.00","118,178,000,000.00","35,011,000,000.00","67,635,000,000.00","104,341,000,000.00","138,574,000,000.00","37,548,000,000.00","80,405,000,000.00","127,425,000,000.00","174,929,000,000.00","52,445,000,000.00","113,688,000,000.00","175,873,000,000.00","237,665,000,000.00","64,824,000,000.00","134,765,000,000.00","204,010,000,000.00","277,299,000,000.00","69,793,000,000.00","136,859,000,000.00","219,035,000,000.00","312,789,000,000.00","62,038,000,000.00","139,752,000,000.00","213,817,000,000.00","278,659,000,000.00","47,050,000,000.00","95,105,000,000.00","138,792,000,000.00","188,284,000,000.00","48,856,000,000.00","103,384,000,000.00","161,422,000,000.00","228,041,000,000.00","69,731,000,000.00","136,786,000,000.00","211,434,000,000.00"
取得子公司及其他营业单位支付的现金净额,,,"3,328,000,000.00","50,000,000.00","367,000,000.00","367,000,000.00","367,000,000.00",,,,,,,,,"7,666,000,000.00",,,"1,666,000,000.00",,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,,,"48,000,000.00","7,000,000.00","18,000,000.00","31,000,000.00","45,000,000.00","1,000,000.00","5,000,000.00","11,000,000.00","14,000,000.00","4,000,000.00","64,000,000.00","90,000,000.00","64,000,000.00","2,000,000.00","1,000,000.00","1,000,000.00","8,000,000.00","1,000,000.00","77,000,000.00","78,000,000.00","118,000,000.00",,"41,000,000.00","58,000,000.00","69,000,000.00","44,000,000.00","70,000,000.00","75,000,000.00","85,000,000.00","1,000,000.00","29,000,000.00","35,000,000.00","43,000,000.00","13,000,000.00","33,000,000.00","36,000,000.00","46,000,000.00","12,000,000.00","16,000,000.00","16,000,000.00"
支付其他与投资活动有关的现金,,"90,000,000.00","541,000,000.00",,"101,000,000.00","169,000,000.00","442,000,000.00","13,274,000,000.00","60,975,000,000.00","62,261,000,000.00","20,667,000,000.00","10,344,000,000.00","8,670,000,000.00","8,711,000,000.00","9,432,000,000.00","353,000,000.00","17,034,000,000.00","18,491,000,000.00","16,565,000,000.00","618,000,000.00","7,211,000,000.00","13,942,000,000.00","11,860,000,000.00","50,000,000.00","844,000,000.00","1,233,000,000.00","1,627,000,000.00","1,000,000.00","1,330,000,000.00","1,699,000,000.00","1,547,000,000.00","1,031,000,000.00","2,457,000,000.00","1,478,000,000.00","1,425,000,000.00","1,066,000,000.00","2,585,000,000.00","4,464,000,000.00","6,556,000,000.00","281,000,000.00","2,021,000,000.00","1,085,000,000.00"
收到其他与经营活动有关的现金,"199,000,000.00","269,000,000.00","1,150,000,000.00","356,000,000.00","700,000,000.00","808,000,000.00","1,422,000,000.00","470,000,000.00","522,000,000.00","640,000,000.00","1,698,000,000.00","208,000,000.00","556,000,000.00","908,000,000.00","1,660,000,000.00","746,000,000.00","16,987,000,000.00","14,791,000,000.00","7,071,000,000.00","926,000,000.00","6,485,000,000.00","10,584,000,000.00","11,859,000,000.00","2,549,000,000.00","4,910,000,000.00","6,089,000,000.00","15,768,000,000.00","1,196,000,000.00","7,525,000,000.00","15,776,000,000.00","8,648,000,000.00","2,715,000,000.00","12,172,000,000.00","5,298,000,000.00","9,502,000,000.00","1,895,000,000.00","2,648,000,000.00","3,841,000,000.00","5,761,000,000.00","1,864,000,000.00","2,796,000,000.00","4,198,000,000.00"
投资活动现金流出小计,"6,923,000,000.00","12,458,000,000.00","34,666,000,000.00","5,632,000,000.00","14,954,000,000.00","23,234,000,000.00","37,764,000,000.00","18,072,000,000.00","71,653,000,000.00","79,543,000,000.00","52,355,000,000.00","17,612,000,000.00","21,806,000,000.00","27,800,000,000.00","40,313,000,000.00","14,837,000,000.00","34,504,000,000.00","55,312,000,000.00","63,293,000,000.00","8,453,000,000.00","23,580,000,000.00","44,415,000,000.00","66,915,000,000.00","8,043,000,000.00","22,441,000,000.00","33,205,000,000.00","53,528,000,000.00","5,758,000,000.00","19,490,000,000.00","31,781,000,000.00","47,233,000,000.00","5,826,000,000.00","13,177,000,000.00","17,202,000,000.00","31,349,000,000.00","4,097,000,000.00","11,598,000,000.00","18,292,000,000.00","69,120,000,000.00","21,408,000,000.00","38,878,000,000.00","47,021,000,000.00"
经营活动现金流入小计,"22,562,000,000.00","41,939,000,000.00","91,278,000,000.00","26,737,000,000.00","55,584,000,000.00","85,103,000,000.00","119,645,000,000.00","35,482,000,000.00","68,162,000,000.00","104,992,000,000.00","140,286,000,000.00","37,760,000,000.00","81,025,000,000.00","128,423,000,000.00","176,653,000,000.00","53,193,000,000.00","130,676,000,000.00","190,665,000,000.00","244,744,000,000.00","65,751,000,000.00","141,327,000,000.00","214,672,000,000.00","289,276,000,000.00","72,342,000,000.00","141,810,000,000.00","225,182,000,000.00","328,626,000,000.00","63,278,000,000.00","147,347,000,000.00","229,668,000,000.00","287,392,000,000.00","49,766,000,000.00","107,306,000,000.00","147,962,000,000.00","204,818,000,000.00","51,020,000,000.00","106,685,000,000.00","166,294,000,000.00","235,287,000,000.00","72,434,000,000.00","142,636,000,000.00","228,519,000,000.00"
投资活动产生的现金流量净额,"-6,811,000,000.00","-9,942,000,000.00","-30,742,000,000.00","-5,328,000,000.00","-14,342,000,000.00","-21,971,000,000.00","-36,020,000,000.00","-17,600,000,000.00","-42,465,000,000.00","-45,571,000,000.00","-37,103,000,000.00","-11,914,000,000.00","-13,412,000,000.00","-15,140,000,000.00","-23,204,000,000.00","-14,125,000,000.00","-28,124,000,000.00","-48,724,000,000.00","-53,882,000,000.00","-7,376,000,000.00","-18,994,000,000.00","-37,490,000,000.00","-61,180,000,000.00","-5,689,000,000.00","-19,844,000,000.00","-28,157,000,000.00","-47,773,000,000.00","-5,020,000,000.00","-18,257,000,000.00","-29,802,000,000.00","-43,163,000,000.00","-5,150,000,000.00","-11,623,000,000.00","-14,978,000,000.00","-26,123,000,000.00","-3,668,000,000.00","-10,794,000,000.00","-16,377,000,000.00","-64,654,000,000.00","16,472,000,000.00","1,949,000,000.00","19,018,000,000.00"
购买商品、接受劳务支付的现金,"9,575,000,000.00","16,176,000,000.00","36,431,000,000.00","11,056,000,000.00","19,387,000,000.00","30,908,000,000.00","46,439,000,000.00","9,031,000,000.00","22,006,000,000.00","34,669,000,000.00","47,555,000,000.00","13,338,000,000.00","28,919,000,000.00","48,897,000,000.00","73,385,000,000.00","21,478,000,000.00","49,718,000,000.00","76,777,000,000.00","112,423,000,000.00","31,098,000,000.00","72,717,000,000.00","106,872,000,000.00","150,624,000,000.00","40,806,000,000.00","75,252,000,000.00","127,010,000,000.00","187,161,000,000.00","39,906,000,000.00","79,771,000,000.00","118,136,000,000.00","148,498,000,000.00","24,608,000,000.00","45,595,000,000.00","67,374,000,000.00","87,375,000,000.00","17,605,000,000.00","31,550,000,000.00","53,670,000,000.00","83,903,000,000.00","27,909,000,000.00","57,060,000,000.00","88,451,000,000.00"
吸收投资收到的现金,,"337,000,000.00","654,000,000.00","50,000,000.00","1,113,000,000.00","1,113,000,000.00","1,739,000,000.00","294,000,000.00","1,383,000,000.00","1,689,000,000.00","1,994,000,000.00","26,000,000.00","77,000,000.00","275,000,000.00","355,000,000.00","325,000,000.00","693,000,000.00","1,550,000,000.00","2,005,000,000.00","364,000,000.00","3,073,000,000.00","3,162,000,000.00","3,959,000,000.00","403,000,000.00","910,000,000.00","1,726,000,000.00","2,860,000,000.00","93,000,000.00","400,000,000.00","562,000,000.00","971,000,000.00","77,000,000.00","296,000,000.00","1,425,000,000.00","2,288,000,000.00","416,000,000.00","240,000,000.00","743,000,000.00","1,111,000,000.00","489,000,000.00","610,000,000.00","1,044,000,000.00"
支付给职工以及为职工支付的现金,"1,194,000,000.00","2,265,000,000.00","5,950,000,000.00","1,564,000,000.00","3,050,000,000.00","4,533,000,000.00","7,252,000,000.00","1,786,000,000.00","3,724,000,000.00","5,351,000,000.00","9,018,000,000.00","2,197,000,000.00","4,079,000,000.00","5,972,000,000.00","10,519,000,000.00","2,417,000,000.00","5,713,000,000.00","8,517,000,000.00","14,335,000,000.00","2,610,000,000.00","6,665,000,000.00","10,048,000,000.00","17,186,000,000.00","3,689,000,000.00","7,645,000,000.00","11,952,000,000.00","18,823,000,000.00","4,281,000,000.00","8,387,000,000.00","13,258,000,000.00","20,450,000,000.00","4,600,000,000.00","8,484,000,000.00","12,761,000,000.00","20,034,000,000.00","4,428,000,000.00","8,382,000,000.00","12,863,000,000.00","20,514,000,000.00","4,521,000,000.00","8,730,000,000.00","13,810,000,000.00"
取得借款收到的现金,"16,399,000,000.00","20,654,000,000.00","48,140,000,000.00","10,677,000,000.00","19,331,000,000.00","29,847,000,000.00","41,004,000,000.00","12,777,000,000.00","21,701,000,000.00","34,581,000,000.00","49,255,000,000.00","8,419,000,000.00","20,862,000,000.00","28,127,000,000.00","29,638,000,000.00","2,146,000,000.00","2,486,000,000.00","7,893,000,000.00","4,671,000,000.00","312,000,000.00","4,583,000,000.00","17,686,000,000.00","36,099,000,000.00","5,776,000,000.00","14,625,000,000.00","38,294,000,000.00",,"16,211,000,000.00",,"41,081,000,000.00","44,500,000,000.00","3,089,000,000.00","10,909,000,000.00","17,520,000,000.00","26,458,000,000.00","7,684,000,000.00","15,501,000,000.00","18,319,000,000.00","28,037,000,000.00","3,242,000,000.00","9,487,000,000.00","15,968,000,000.00"
