科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"173,876,067.34","128,944,799.05","443,790,432.63","475,407,624.79","478,276,126.64","395,590,024.77","357,541,946.29","374,578,080.66","270,799,106.45","193,058,962.37","321,497,783.76","315,982,715.25","211,825,649.08","314,912,159.94","241,627,269.50","269,289,516.87","329,998,596.30","241,653,857.50","184,566,825.01","203,198,083.99","217,462,398.67","341,644,381.52","333,957,066.65","726,071,377.38","670,129,325.17","462,913,213.64","461,560,649.07","289,621,140.31","262,866,867.61","284,024,740.71","366,430,247.02","321,134,187.65","313,605,587.55","362,631,779.77","446,762,968.70","512,055,793.78","481,286,440.70","515,018,612.09","558,542,188.81","872,339,630.73","459,715,811.92"
短期借款,"45,000,000.00","74,000,000.00","30,000,000.00",,"50,000,000.00","50,000,000.00","130,000,000.00","150,000,000.00","210,000,000.00","216,414,160.50","299,000,000.00","150,000,000.00","230,000,000.00","170,000,000.00","130,000,000.00","60,000,000.00","120,000,000.00","168,724,500.00","195,724,500.00","297,724,500.00","313,724,500.00","90,000,000.00","345,000,000.00","845,615,862.32","935,060,087.01","1,244,661,294.26","1,060,580,818.77","660,000,000.00","780,000,000.00","980,000,000.00","860,000,000.00","730,000,000.00","748,000,000.00","908,000,000.00","908,000,000.00","290,000,000.00","396,600,000.00","539,500,000.00","552,663,400.00","529,104,771.21","548,856,500.00"
交易性金融资产,,,,,,,,,,,,,,,,"256,809.92","256,809.92","256,809.92","141,620.00",,"17,005.00",,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,"41,097.64",,"62,783.43",,,,,,,,,,,,,,,,,,,
应收票据,"47,500,000.00","6,655,281.08","10,000,000.00","28,562,842.31","16,100,000.00","2,940,000.00","320,000.00","5,178,157.64",,"3,850,000.00","17,000,000.00","79,490,758.00","38,900,000.00","29,650,000.00","32,754,500.00","70,241,600.00","31,650,400.00","26,317,550.00","19,258,750.00","19,600,000.00","13,800,000.00","10,342,500.00","57,433,750.00","59,743,750.00","9,697,000.00","45,329,719.40","9,100,000.00","27,180,000.00","1,280,000.00","500,000.00","528,850.00","36,730,000.00","2,900,000.00","3,248,668.90","3,010,000.00","13,852,000.00","19,454,399.00","19,220,000.00","17,158,649.00","11,423,600.00","3,010,000.00"
应付票据,"19,000,000.00","11,100,000.00","17,600,000.00","49,907,000.00","82,471,100.00","117,027,451.54","134,587,784.94","145,746,481.40","75,370,086.94","90,102,236.84","141,302,733.26","148,115,524.50","113,779,976.64","103,801,658.78","129,156,700.97","145,314,820.50","195,254,555.95","150,348,961.00","167,763,748.12","135,912,301.60","153,000,674.00","167,774,724.00","167,571,936.57","153,027,096.24","124,214,595.26","128,921,623.47","159,764,740.47","149,541,124.69","128,149,755.35","140,777,583.38","282,860,552.99","118,154,077.73","118,867,865.07","119,176,741.07","154,614,638.31","167,680,196.99","114,675,940.22","136,204,383.95","189,424,515.21","162,823,171.56","201,629,974.86"
应收账款,"122,761,019.70","160,340,943.69","220,098,286.83","218,926,989.16","265,596,551.80","295,307,394.12","395,916,061.56","630,493,354.84","627,873,526.18","818,111,876.48","893,522,336.86","846,802,621.33","945,157,190.64","870,121,831.74","1,009,999,220.63","741,249,244.69","790,177,642.31","750,135,477.41","638,909,777.35","534,660,155.81","601,854,619.30","487,651,989.57","563,712,080.51","375,162,310.16","320,365,564.11","336,786,243.13","462,513,624.30","317,171,666.99","329,052,539.59","438,785,520.97","305,177,103.49","346,773,912.29","352,078,623.42","397,354,923.90","423,568,744.36","412,637,060.46","353,457,163.09","471,074,551.79","538,064,414.54","208,969,157.82","316,935,404.60"
应付账款,"74,526,544.85","110,244,224.38","128,746,087.18","198,325,189.65","188,868,209.19","245,232,960.74","244,569,731.83","219,521,154.37","253,850,231.25","257,979,664.28","276,866,293.86","283,448,039.96","179,290,859.76","275,510,498.90","320,016,265.50","463,949,566.58","390,012,379.28","471,403,091.16","448,656,073.14","428,060,393.36","389,669,072.95","352,446,582.14","333,592,464.99","417,870,690.41","301,971,728.48","338,066,844.67","282,889,881.41","402,288,418.33","359,047,212.50","325,265,219.05","327,530,204.20","387,643,089.54","377,616,012.69","455,656,649.95","446,726,520.04","539,454,146.91","596,990,979.83","529,229,507.86","568,433,898.22","627,096,952.14","592,595,310.61"
预付款项,"48,721,349.32","175,468,490.73","177,653,654.58","178,938,800.05","230,454,803.69","320,279,407.08","222,553,495.70","21,123,583.59","72,486,355.00","24,925,250.54","77,042,682.91","45,307,663.56","48,313,301.54","70,825,756.94","95,718,707.70","59,867,114.33","63,488,836.76","101,265,153.88","105,233,780.55","14,685,511.60","17,686,555.84","67,516,292.65","83,967,463.07","12,719,998.22","10,016,064.34","36,128,745.41","48,143,305.35","57,858,366.58","73,512,694.81","129,941,782.92","152,563,898.12","73,548,292.89","100,975,288.92","193,475,771.91","236,372,965.51","72,886,896.11","94,773,171.31","90,220,701.99","74,072,432.55","69,195,372.45","121,613,706.92"
预收款项,"396,334,456.10","447,974,819.40","225,538,631.82","296,987,931.69","277,051,514.71","122,791,189.41","63,696,721.07","107,925,450.72","52,002,358.41","74,427,873.83","91,416,613.98","138,959,777.73","357,440,386.19","75,442,924.88","120,385,609.81","33,537,167.98","79,791,276.28","60,245,437.11","43,878,821.57","30,194,496.14","38,556,148.22","24,897,290.99","70,141,131.26","29,795,433.09","46,216,248.52","43,646,275.60","82,842,468.82","32,597,336.77","73,488,293.35","75,059,300.97","73,318,967.09","62,916,678.31","65,649,046.72","158,617,538.57","135,947,340.36","441,041,896.18","479,710,133.39","388,774,781.14","439,101,593.44","509,992,633.96","420,858,336.56"
