科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
一、营业收入,"60,507,203.16","73,890,622.27","95,771,127.35","65,454,885.62","109,353,731.27","167,931,537.22","49,876,090.20","91,718,439.28","145,852,712.89","207,569,407.92","52,482,734.49","95,016,107.27","157,958,728.76","247,828,230.65","59,630,702.24","103,037,805.42","175,464,723.35","254,837,544.23","78,618,805.11","135,164,818.19","217,837,162.84","307,842,534.93","70,881,658.67","124,413,463.78","199,178,340.23","280,137,234.37","80,992,387.68","173,290,339.49","296,204,300.90","432,454,072.41","38,843,858.60","128,650,017.83","244,445,561.25","329,229,598.14","143,077,357.84","250,803,427.41","386,218,507.02","504,024,414.00","106,548,469.56"
二、营业利润,"7,792,291.92","8,734,823.33","17,591,056.11","9,645,320.67","18,251,063.75","36,759,480.15","11,609,433.07","11,803,301.11","19,933,770.52","41,082,085.62","4,498,881.53","-11,935,659.03","-12,748,838.16","-1,020,046.37","-15,792,571.95","-50,767,395.29","-64,362,372.81","-169,285,934.20","2,889,066.22","-23,817,279.15","-43,458,393.92","-302,621,606.14","1,436,570.87","-9,431,889.18","-5,515,696.04","-4,810,513.92","8,811,340.42","10,332,108.18","25,058,897.86","49,988,748.19","36,497,044.24","75,080,115.99","136,804,901.58","161,180,647.64","55,046,822.64","72,917,497.13","106,803,337.12","93,128,733.16","7,329,980.93"
减:营业成本,"41,664,436.26","47,215,604.22","56,931,033.46","41,213,064.89","66,739,845.71","93,178,584.29","27,811,219.08","58,968,827.90","93,634,637.92","128,330,343.99","36,176,075.66","79,857,871.40","127,484,276.94","182,975,622.70","52,708,521.09","107,959,627.77","167,461,584.83","233,547,135.14","54,764,085.09","114,996,078.61","191,942,403.42","263,957,375.19","48,823,717.11","92,769,209.28","143,961,819.48","192,741,490.38","45,915,985.60","107,384,334.72","176,738,276.56","258,491,868.73","9,442,754.21","43,143,836.14","87,996,007.70","141,907,091.85","60,607,780.88","129,029,413.27","201,202,331.05","274,945,302.69","67,362,008.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"7,463.33",,,,,,"1,510.00","1,667.42","3,133.44","9,263.05",254.72,303.52,"1,453.85","14,922.89",796.79,"1,071.60","1,941.98","99,429.82",,,,"1,943.68",,9.96,9.96,"3,485.66","67,475.55","671,571.71","1,612,722.44","4,547,178.28","357,934.36","2,053,195.59","2,963,889.69","3,762,140.89","753,135.31","827,644.37","1,682,715.36","2,763,615.47","30,803.65"
营业外收入,"2,819,981.93","3,015,890.50","2,814,374.07","3,969,606.96","4,774,410.47","6,080,951.36","305,328.49","21,688,776.98","22,429,198.47","22,995,286.96","2,400,778.24","2,859,441.71","4,592,790.18","5,865,991.65","592,463.47","1,131,126.94","3,309,790.41","5,665,880.61","815,143.00","8,751,237.69","10,210,592.09","11,319,901.44","1,815,362.77","16,409,396.10","18,505,503.97","20,899,774.39","741,363.82","3,212,115.27","7,805,484.40","13,741,155.67","18,617,079.10","18,643,868.09","19,835,438.37","5,195,044.71","3,022.81","5,501,816.56","6,328,423.30","6,939,734.16","709,096.28"
销售费用,"3,038,789.04","3,759,391.79","6,455,016.63","5,369,229.72","8,818,587.55","12,309,783.38","3,859,871.32","8,565,975.72","13,597,728.50","18,958,576.15","5,416,901.54","11,528,575.30","18,771,275.44","27,874,377.81","9,536,852.17","17,718,321.77","27,975,245.69","41,283,735.76","7,889,464.04","15,692,764.92","23,584,947.56","33,022,771.18","6,865,001.59","12,313,895.38","19,004,441.77","25,419,589.23","6,878,088.19","13,006,508.21","19,761,989.54","28,175,945.53","296,082.56","620,133.29","1,030,599.26","2,743,167.23","275,224.91","836,852.16","1,263,590.06","2,334,745.69","662,119.31"
减:营业外支出,"185,994.68","150,465.56","16,213.06","156,566.34","203,166.34","278,166.34",,"200,200.00","200,200.00","220,200.00","41,764.29","74,245.16","157,045.16","227,519.67","65,721.91","142,133.68","181,858.16","3,593,059.18",,"24,290.07","74,427.52","8,033,403.03","29,108.13","469,442.23","794,591.68","946,488.33","77,083.98","217,089.95","247,835.92","485,822.00",,"430,261.19","497,909.83","1,169,822.45","906,707.72","1,134,660.19","1,659,424.45","3,298,995.03","907,284.96"
管理费用,"5,615,575.09","8,777,230.58","11,583,940.39","7,383,986.60","12,315,826.89","21,166,596.28","6,588,636.99","13,216,240.08","19,745,542.27","27,001,168.02","7,839,154.88","17,002,367.33","24,997,639.61","37,163,310.76","10,647,905.48","23,855,281.13","37,040,223.30","55,489,317.35","9,311,281.39","20,785,912.22","33,540,802.00","62,647,710.24","9,398,426.51","19,384,230.96","29,276,887.70","43,373,739.88","15,011,452.82","32,790,515.38","53,996,026.22","62,238,667.88","8,348,676.86","33,985,345.04","57,096,857.54","72,897,754.51","22,025,848.96","45,577,043.76","69,242,275.11","86,461,529.03","21,048,885.25"
其中:非流动资产处置净损失,"15,824.24","18,914.60",,,,,,,,,,"34,967.50","34,967.50","36,767.06",,,,"1,704,095.96",,,,"7,037,187.15",,,,"116,189.89",,,,"244,581.77",,,,,,,,,
