科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2015年度
一、营业收入,"125,010,458.27","325,417,197.48","570,582,979.66","696,498,852.15","169,943,892.95","341,739,570.65","539,953,100.10","694,699,364.48","117,643,538.03","247,628,863.72","386,175,205.60","545,942,843.51","90,181,153.61","165,014,526.60","186,660,017.77","192,679,068.76","11,687,639.49","46,425,370.33","99,656,595.30","123,503,700.33","21,732,340.61","38,787,538.58","68,443,066.63","79,142,721.98","12,839,325.00","22,130,157.31","33,340,509.53","53,201,970.95","10,530,411.97","40,005,439.92"
二、营业利润,"-22,718,321.58","-38,154,941.54",,"-73,024,629.59","-21,589,812.19","-43,135,537.18","-58,421,070.32","-101,032,084.57","-21,879,397.51","-42,516,177.95","-64,700,105.90","-112,045,091.02","-30,996,874.46","-61,879,596.92","-99,494,113.07","-130,925,451.46","-12,063,306.63","-23,381,816.96","-32,881,421.10","-29,701,038.51","-10,515,758.70","-21,693,257.65","-30,763,995.01","-39,126,856.13","-10,092,215.68","-23,209,686.70","-33,799,184.84","-43,973,263.78","-8,420,270.36","-103,791,673.48"
减:营业成本,"124,800,426.00","315,392,545.83","546,618,482.97","675,894,023.16","167,885,667.07","336,689,156.73","524,969,631.41","680,364,323.28","120,735,358.43","254,771,101.09","396,396,954.65","559,155,635.86","97,660,540.69","179,995,534.40","213,378,695.36","219,253,870.51","11,058,327.37","44,543,654.40","95,342,334.63","118,396,236.53","20,812,213.25","37,221,024.91","65,442,976.66","74,974,558.62","12,373,436.08","21,353,466.40","31,898,959.01","51,113,030.76","10,157,888.41","38,190,299.56"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,,"44,287.73","246,193.31","311,783.95","177,414.24","496,241.39","496,241.39","693,121.98",,"464,217.90","464,217.90","464,217.90","-1,310,000.51","-1,310,000.51","-1,310,000.51","64,187.96","46,781.06","67,480.79","176,307.52","178,830.83",,"8,561.04","31,303.19","41,674.47","4,400.00","16,286.32","25,497.20","26,634.77",84.00,"80,358.00"
营业外收入,"1,770.00","685,323.07","755,683.57","80,121,637.70",,"169,156.50","216,372.13","2,689,669.19",,516.57,"206,718.83","9,395,717.63","5,609,225.33","9,255,252.64","15,714,650.01","33,697,043.70","73,589.59","76,688.42","14,823,588.42","18,406,802.38",,"40,000.00","40,000.00","6,462,907.21",,,,,,"8,443,717.54"
销售费用,"3,921,908.12","9,274,736.64","15,084,474.63","19,327,400.52","4,388,143.51","9,774,085.23","15,309,862.02","20,604,126.33","4,686,897.84","9,471,200.00","14,192,996.82","18,828,602.19","4,076,659.98","7,515,330.68","8,416,510.69","8,428,739.28","100,277.59","611,360.44","695,410.20","816,447.51","62,676.15","721,008.38","340,244.99","1,070,595.42","-297,084.09","-292,959.21","-12,591.48","-14,056.61","30,790.48",
减:营业外支出,,"58,059.44","99,174.51","286,664.13","13,641.34","93,286.40","129,053.01","156,098.32",369.21,458.46,"65,058.46","65,058.46","1,701.88","34,369.62","3,072,272.08","107,659,912.16","400,210.63","532,900.40","2,764,563.54","2,764,563.54",,,"8,385.46","8,385.46",,,,,,"746,267.58"
管理费用,"10,655,680.93","18,848,017.38","26,870,965.34","36,284,175.63","9,695,761.33","18,613,577.98","27,798,484.97","36,558,639.72","8,525,884.33","16,780,154.53","25,055,444.62","33,395,101.40","10,333,766.95","18,960,906.61","33,277,825.71","49,346,375.54","4,848,419.49","10,233,057.17","15,216,550.56","22,110,823.17","5,090,229.44","10,211,202.00","15,068,229.62","20,496,523.42","4,738,262.25","12,162,051.74","17,178,854.70","23,856,971.62","4,608,584.51","12,973,295.79"
其中:非流动资产处置净损失,,,,,,,,"57,425.00",,,,,,,,"107,632,844.81",,,,,,,,,,,,,,
