科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"1,304,842,871.36","1,208,989,840.87","1,120,990,931.11","596,448,769.63","914,116,364.40","1,205,889,476.40","250,348,663.24","551,964,305.95","834,208,956.13","1,149,089,039.55","282,682,461.28","621,640,056.09","984,082,801.18","1,309,755,568.06","441,034,721.11","995,748,643.89","1,523,009,046.55","2,119,601,121.07","536,727,945.91"
二、营业利润,"81,965,077.75","79,554,114.00","92,350,533.51","38,498,051.50","68,991,271.78","93,808,280.71","22,305,950.57","46,846,232.24","89,707,065.10","127,649,043.30","33,272,800.96","75,723,309.31","144,753,426.32","168,878,752.09","39,475,482.82","71,703,189.27","130,118,806.38","203,023,099.60","47,884,131.47"
减:营业成本,"1,100,681,490.04","987,495,644.95","885,545,734.49","473,507,635.86","724,526,424.11","954,860,531.11","193,352,737.12","428,605,412.30","638,844,824.89","881,858,006.80","204,096,922.72","445,919,151.23","703,932,489.88","950,110,274.41","332,762,695.86","762,191,558.22","1,160,798,719.23","1,613,015,376.86","403,527,200.83"
加:补贴收入,,,,,,,,,,,,,,,,,,,
营业税金及附加,"3,712,555.52","5,026,434.85","4,790,385.46","2,049,972.20","2,997,624.24","4,019,140.40","1,464,526.98","2,154,071.37","3,531,213.66","4,718,060.75","1,033,124.26","3,458,048.63","4,440,061.53","9,115,576.58","2,639,111.36","5,051,142.20","7,656,379.12","15,444,760.52","3,597,796.35"
营业外收入,"7,678,900.49","7,397,082.90","11,238,235.29","5,648,082.01","6,555,505.37","8,359,321.05","2,702,375.18","8,008,401.03","8,463,441.64","9,287,078.39","6,505,424.32","4,733,575.10","9,790,080.15","10,092,890.44","5,214,931.23","14,617,790.05","26,773,305.18","744,213.35",
销售费用,"51,793,844.99","48,034,776.38","50,972,906.84","25,241,977.82","39,704,024.14","49,578,787.10","12,018,401.72","26,238,262.38","41,165,319.02","57,105,663.54","14,748,307.15","42,659,831.57","49,563,254.92","70,780,905.24","18,670,550.85","53,907,612.69","77,582,146.77","96,802,734.49","26,367,543.88"
减:营业外支出,"1,837,149.40","1,992,201.71","1,467,027.22","708,236.88","1,201,131.71","1,596,194.15","185,995.10","771,963.47","1,474,150.78","2,611,799.19","565,726.82","1,205,610.69","1,988,374.64","1,460,290.86","490,841.18","494,669.32","798,152.10","1,133,918.73","168,712.31"
管理费用,"62,752,649.81","79,667,725.07","82,520,868.61","40,025,491.35","61,494,327.26","82,337,673.24","23,204,631.32","48,257,317.73","72,852,388.56","96,714,619.63","26,511,901.80","51,970,203.27","80,576,938.31","127,916,269.98","42,650,499.22","87,140,556.39","129,983,460.47","201,379,922.81","47,177,079.24"
其中:非流动资产处置净损失,"77,309.65","1,795.82","21,670.59",276.92,"18,752.39","114,752.25",,"1,935.15","2,650.01","74,111.65",,"32,129.96","32,129.96","32,129.96",,"10,000.33","10,000.33",,
堪探费用,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,
