科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"234,570,930.48","289,896,230.67","86,105,330.55","345,212,251.02","88,334,475.03","154,267,463.64","229,347,630.38","379,939,872.80","140,121,720.54","214,593,356.45","322,544,389.90","483,683,147.90","136,330,189.97","269,064,354.00","361,667,161.60","574,392,560.72","184,279,157.67","291,550,986.60","412,346,649.48","571,769,596.63","133,841,432.57","243,642,480.12","337,041,699.81","574,731,724.52","135,244,277.03","267,967,143.49","380,357,311.62","611,726,467.61","133,685,064.97","298,099,358.13","403,371,712.66","602,985,890.14","120,211,992.24","237,295,371.73","315,964,906.23","541,641,987.08","172,677,113.41","386,642,427.35"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,"-1,235,806.85",,"23,079,329.90","23,079,329.90","10,231,494.90",,,,,,,,,,"311,024,484.67","378,524,484.67","371,774,434.67",,"307,139,657.02","428,947,657.02","456,153,433.33",,"152,700,000.00","208,200,000.00","208,200,000.00",,"115,100,000.00"
收到的税费返还,,,,"328,699.32",,,,"76,874.91",,,,,,,"854,394.61","1,546,577.33",,"99,116.74","99,116.74",,,,,,,,,,,"4,971,901.98","4,973,435.69","4,405,765.00",,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,"12,640,000.00","352,000.00",,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"4,335,144.94","5,180,437.79","1,958,632.42","8,091,556.18","2,635,125.87","3,071,776.11","2,611,500.59","7,082,737.63","2,015,685.62","4,082,741.21","12,742,362.07","14,519,861.16","1,698,003.17","6,797,123.98","8,932,915.11","5,841,465.66","3,063,422.13","6,270,560.44","14,855,065.56","19,156,970.18","4,612,652.27","6,542,615.36","19,511,802.14","10,626,963.12","5,762,051.79","13,076,385.31","16,598,744.23","28,196,265.86","11,465,997.90","21,280,154.82","41,224,057.68","42,040,823.05","22,680,264.19","25,975,806.06","30,311,708.92","27,603,727.78","3,820,726.76","7,702,696.43"
投资活动现金流出小计,"13,528,250.53","19,203,422.21","1,450,445.38","14,136,737.76","40,889,831.35","56,545,419.05","97,643,485.51","187,951,845.99","106,202,589.89","132,640,379.99","173,028,174.21","205,230,613.00","54,136,973.02","75,354,265.12","82,350,789.84","104,358,635.15","17,492,812.44","31,431,379.22","39,933,293.21","480,302,195.27","82,205,721.11","86,100,208.36","240,810,104.69","278,626,770.88","24,072,437.56","407,483,635.59","526,119,793.19","651,974,417.33","37,342,191.61","592,657,974.06","821,823,311.99","1,014,726,668.39","49,009,311.33","221,306,648.04","351,892,602.83","566,326,502.90","119,075,821.59","308,337,112.32"
经营活动现金流入小计,"238,906,075.42","295,076,668.46","88,063,962.97","353,632,506.52","90,969,600.90","157,339,239.75","231,959,130.97","387,099,485.34","142,137,406.16","218,676,097.66","335,286,751.97","498,203,009.06","138,028,193.14","275,861,477.98","371,454,471.32","581,780,603.71","187,342,579.80","297,920,663.78","427,300,831.78","590,926,566.81","138,454,084.84","250,185,095.48","356,553,501.95","585,358,687.64","141,006,328.82","281,043,528.80","396,956,055.85","639,922,733.47","145,151,062.87","324,351,414.93","449,569,206.03","649,432,478.19","142,892,256.43","263,271,177.79","346,276,615.15","569,245,714.86","176,497,840.17","394,345,123.78"
投资活动产生的现金流量净额,"-13,438,913.33","-19,203,422.21","-1,450,445.38","-13,986,737.76","-40,828,308.35","-56,540,534.32","-97,643,485.51","-187,919,845.99","-106,202,589.89","-132,640,379.99","-173,028,174.21","-205,222,787.16","-42,136,973.02","-63,354,265.12","-70,350,789.84","-92,228,867.48","-15,385,702.44","-29,324,269.22","-37,826,183.21","-471,842,776.73","-74,825,706.88","55,325,472.83","-85,183,617.35","-127,535,025.04","16,688,305.90","-78,279,776.67","-186,027,833.70","-243,030,707.43","-35,866,970.91","-587,988,013.61","-815,229,772.82","-901,764,941.49","-28,589,167.10","-76,774,888.83","-228,369,674.19","-415,112,185.62","-81,573,723.85","-96,220,331.41"
购买商品、接受劳务支付的现金,"132,022,257.70","143,604,850.60","34,471,296.38","189,156,215.51","46,763,765.01","92,937,501.45","181,485,927.77","275,304,375.53","49,647,252.60","126,825,668.71","206,577,010.34","334,541,457.27","65,263,704.07","159,927,971.11","222,770,110.22","330,081,139.12","79,544,715.57","134,268,682.09","193,965,107.45","269,806,133.48","85,436,254.55","141,105,484.28","182,008,283.66","312,754,834.30","64,447,156.08","271,814,428.92","312,249,233.45","378,045,309.39","34,271,073.23","59,837,511.17","121,387,849.21","137,696,331.57","95,607,024.92","206,674,143.66","249,946,064.94","162,145,195.76","62,005,072.31","125,652,051.13"
吸收投资收到的现金,"782,912.00",,,"400,000.00","400,000.00","566,780,000.00","566,780,000.00","566,780,000.00",,,,,,,,,,,"524,047,329.00","524,047,329.00",,"18,047,800.00","54,143,400.00","68,167,300.00","13,910,000.00","32,809,441.00","32,809,441.00","37,209,441.00",,"607,189,998.00","608,189,998.00","602,789,998.00",,,,,,
