科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
一、营业收入,"159,742,098.54","164,317,413.21","152,035,399.92","106,961,736.15","215,795,678.94","53,626,748.55","111,130,765.96","170,130,722.32","229,934,196.56","55,563,683.88","112,939,944.37","172,899,025.26","235,815,260.01","61,389,682.78","131,806,251.71","196,885,045.57","267,801,865.72","71,917,679.39","150,797,778.75","227,872,355.31","301,353,545.14","73,376,705.29","151,947,478.36","229,214,996.14","302,156,784.24","68,735,471.31","152,700,289.95","233,925,456.09","320,036,398.27","88,671,425.00","192,160,485.46","286,131,043.15","389,347,225.41","96,490,519.66"
二、营业利润,"39,154,654.73","25,833,558.78","28,312,476.67","20,510,417.01","41,545,538.36","9,002,342.49","20,626,916.50","31,914,615.58","41,312,988.11","11,817,346.90","23,294,329.94","33,512,952.77","45,905,884.50","12,742,456.41","25,957,867.75","39,597,990.92","53,977,897.51","20,279,706.27","39,980,066.88","58,885,041.65","75,160,863.34","21,315,362.92","45,653,034.56","64,810,055.82","75,984,180.82","18,208,368.85","45,680,419.59","68,191,585.12","83,498,693.27","26,848,823.09","53,294,338.94","74,457,784.22","94,157,787.92","26,808,625.22"
减:营业成本,"107,090,972.26","111,472,183.13","100,125,941.68","69,396,121.62","139,704,939.69","35,614,705.21","74,074,535.69","113,070,050.29","152,406,972.93","38,926,680.54","78,809,303.40","119,900,980.20","162,047,695.77","42,653,145.36","91,717,439.33","133,312,923.87","179,110,913.91","47,963,518.19","100,715,254.43","150,602,327.40","197,804,084.90","49,803,267.88","101,318,374.48","150,371,985.81","196,741,735.92","43,588,957.88","94,370,180.16","145,895,677.00","198,937,323.04","50,839,452.94","112,416,108.82","169,691,047.27","227,645,743.63","59,332,509.51"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,399,330.06","1,561,313.96","1,207,761.37","680,734.58","1,537,744.62","457,758.88","979,624.90","1,399,099.06","2,099,025.37","495,738.12","966,213.69","1,458,089.75","2,050,481.74","493,431.56","1,105,233.88","1,809,063.75","2,636,069.56","560,406.58","1,490,117.54","2,175,871.21","2,900,716.23","721,326.70","1,466,633.69","2,306,169.85","3,173,983.15","856,141.85","1,614,740.53","2,595,920.91","3,488,528.53","1,285,564.07","2,713,045.34","3,909,436.94","4,904,141.74","1,123,745.76"
营业外收入,"5,342,415.05","2,105,715.00","2,461,187.00","1,280,000.00","2,045,000.00","1,350,900.00","1,357,848.67","2,026,848.67","3,496,848.67","2,044,150.00","2,044,150.00","2,044,150.00","2,133,609.31","1,194,000.00","1,214,000.00","1,264,000.00","2,001,800.00","50,000.00","940,347.26","951,904.76","1,581,174.76","438,000.00","589,892.85","1,054,892.85","1,794,746.25","407,334.99","877,357.14","2,468,464.83","1,577,298.16","51,000.00","188,000.00","1,628,500.00","1,296.44","56,300.00"
销售费用,"6,686,809.98","9,732,440.66","8,520,497.23","7,270,453.11","13,516,865.51","4,393,818.95","6,955,658.60","10,360,894.61","14,452,973.21","3,239,952.64","5,761,143.63","7,858,427.10","13,360,788.44","3,200,479.79","6,367,537.18","9,728,021.15","14,540,157.47","2,482,232.46","5,680,165.24","8,101,280.62","12,806,990.11","3,479,578.92","6,697,875.71","10,734,789.10","15,910,178.51","3,416,021.40","7,652,850.50","11,071,086.30","16,049,749.97","2,977,612.25","9,119,039.66","11,276,022.44","18,868,352.98","3,184,818.79"
减:营业外支出,"1,164,701.93","1,133,649.20","661,668.41","1,027,076.30","1,413,300.23","157,604.12","534,642.03","547,642.03","668,383.85","1,361,962.30","1,400,000.00","1,400,000.00","1,767,173.34","321,642.45","355,180.61","422,350.00","679,489.23","272,380.68","392,164.47","452,742.55","716,764.26","35,956.01","293,961.54","331,336.76","787,917.32","44,013.55","44,013.55","351,945.18","782,494.44","5,940.27","1,941,918.52","1,960,387.66","2,164,494.13","201,392.29"
管理费用,"3,932,326.13","10,094,608.83","10,629,275.43","7,119,538.97","15,298,306.98","3,450,433.18","7,376,331.25","13,360,391.03","19,135,435.95","4,539,619.67","8,958,663.53","15,642,664.66","19,928,898.47","4,862,984.78","10,717,898.36","17,298,153.74","23,085,817.57","5,611,589.64","11,920,483.90","19,003,378.18","28,134,542.66","7,010,976.49","15,485,957.74","22,523,935.26","33,276,722.33","6,692,177.94","14,898,379.72","23,656,216.77","37,071,658.96","8,532,662.71","18,791,953.57","31,924,649.67","49,546,667.60","8,642,625.55"
其中:非流动资产处置净损失,,,,,,,,,,,,,"7,183.39",,,,,,,"4,399.50","4,399.50",,"1,570.15","1,570.15","315,115.30",,,"118,756.38","446,185.41",,"1,741,963.81",,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"2,523,947.83","4,619,367.36","2,326,872.05","1,639,211.43","3,812,379.24","876,862.13","1,005,881.06","54,722.66","-393,034.06","-3,255,901.25","-5,085,522.35","-6,246,510.77","-8,368,733.49","-2,462,123.90","-4,269,468.24","-4,869,395.18","-5,082,370.58","122,124.78","-1,659,049.85","-1,850,298.15","-3,018,924.78","-2,066,411.38","-6,629,035.11","-7,516,891.07","-9,218,681.81","-229,781.28","-1,340,352.64","-2,148,973.30","-3,633,946.78","308,666.11","-115,293.61","572,363.90","1,836,364.23","665,167.00"
三、利润总额,"43,332,367.85","26,805,624.58","30,111,995.26","20,763,340.71","42,177,238.13","10,195,638.37","21,450,123.14","33,393,822.22","44,141,452.93","12,499,534.60","23,938,479.94","34,157,102.77","46,272,320.47","13,614,813.96","26,816,687.14","40,439,640.92","55,300,208.28","20,057,325.59","40,528,249.67","59,384,203.86","76,025,273.84","21,717,406.91","45,948,965.87","65,533,611.91","76,991,009.75","18,571,690.29","46,513,763.18","70,308,104.77","84,293,496.99","26,893,882.82","51,540,420.42","74,125,896.56","91,994,590.23","26,663,532.93"
资产减值损失,"-1,045,942.45","1,003,940.49","912,575.49","345,259.43","379,904.54","-169,172.29","111,817.96","-29,050.91","919,835.05","-199,752.74","235,812.53","772,421.55","890,244.58","-100,691.22","209,743.45","8,287.32","827,512.21","45,457.11","335,489.48","221,969.02","2,029,707.96","-30,347.11","369,466.66","199,921.30","1,223,637.65","-371,757.79","270,784.42","549,559.73","3,709,897.24",,"883,761.07","905,284.25","2,761,818.14","438,300.61"
减:所得税,"15,367,401.22","5,266,382.75","4,181,305.43","3,486,013.85","6,170,609.50","1,513,510.65","3,035,813.31","4,884,252.89","6,221,085.82","1,874,930.19","3,584,258.15","5,013,135.55","6,903,846.22","2,097,980.82","4,206,177.39","6,461,811.73","8,105,292.43","2,819,890.08","6,064,586.25","8,852,822.28","10,757,085.53","3,048,040.08","6,478,561.59","9,301,829.68","11,768,844.72","2,795,802.93","6,563,610.98","9,847,333.75","12,013,536.35","4,043,572.64","7,414,183.17","9,998,147.17","13,448,835.83","4,121,395.53"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,,,"1,294,131.93","5,147,355.64","7,664,748.87","9,267,214.62","14,464,435.28","6,857,049.13","12,414,829.37","14,214,969.93","14,934,972.33","3,424,657.54","10,446,712.33","15,885,616.44","19,085,505.96","2,121,356.17","4,942,468.33","6,530,545.54","9,128,375.83","3,705,272.78"
四、净利润,"27,964,966.63","21,539,241.83","25,930,689.83","17,277,326.86","36,006,628.63","8,682,127.72","18,414,309.83","28,509,569.33","37,920,367.11","10,624,604.41","20,354,221.79","29,143,967.22","39,368,474.25","11,516,833.14","22,610,509.75","33,977,829.19","47,194,915.85","17,237,435.51","34,463,663.42","50,531,381.58","65,268,188.31","18,669,366.83","39,470,404.28","56,231,782.23","65,222,165.03","15,775,887.36","39,950,152.20","60,460,771.02","72,279,960.64","22,850,310.18","44,126,237.25","64,127,749.39","78,545,754.40","22,542,137.40"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,040,581.15",,,,"-3,527,169.47","-900,000.00"
归属于母公司所有者的净利润,"27,964,966.63","21,539,241.83","25,930,689.83","17,277,326.86","36,006,628.63","8,682,127.72","18,414,309.83","28,509,569.33","37,920,367.11","10,624,604.41","20,354,221.79","29,143,967.22","39,368,474.25","11,516,833.14","22,610,509.75","33,977,829.19","47,194,915.85","17,237,435.51","34,463,663.42","50,531,381.58","65,268,188.31","18,669,366.83","39,470,404.28","56,231,782.23","65,222,165.03","15,775,887.36","39,950,152.20","60,460,771.02","72,279,960.64","22,850,310.18","44,126,237.25","64,127,749.39","78,545,754.40","22,542,137.40"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
