科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"519,485,073.66","528,147,149.47","562,091,548.43","551,296,699.51","486,889,499.90","1,292,095,824.40","1,343,023,116.44","1,195,767,292.37","1,174,249,479.09"
短期借款,"282,000,000.00","440,000,000.00","470,000,000.00","483,000,000.00","519,000,000.00","669,000,000.00","1,006,000,000.00","1,006,000,000.00","1,100,000,000.00"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"1,504,797.81","1,682,823.00","1,779,300.00","17,788,202.55","25,823,754.05","8,000,000.00","1,600,000.00","5,700,000.00","4,282,865.71"
应付票据,"5,507,000.00","37,400,000.00","73,821,522.76","121,767,984.00","80,200,000.00","22,688,837.98","8,488,837.98","30,000.00","4,576,000.00"
应收账款,"913,053,130.22","1,213,867,633.86","1,422,794,067.87","1,536,159,406.96","1,693,259,688.26","1,753,029,741.39","1,978,778,629.63","2,101,665,419.83","2,251,902,311.09"
应付账款,"526,525,483.77","510,737,979.74","548,449,052.07","532,373,387.29","577,851,542.23","576,962,861.20","525,342,073.53","620,012,665.02","661,798,007.17"
预付款项,"9,193,436.56","15,105,302.55","16,690,071.56","20,716,025.15","25,715,734.12","12,403,413.57","21,653,352.12","32,004,557.88","36,737,606.78"
预收款项,"23,828,651.42","18,009,547.02","14,652,051.93","24,200,188.95","24,628,195.02","21,521,257.11","28,326,333.97","34,498,525.32","20,148,579.88"
其他应收款,"39,266,232.95","37,003,204.70","38,447,760.24","42,153,672.09","44,691,246.85","45,328,199.21","71,957,681.84","83,887,726.79","85,764,840.10"
应付职工薪酬,"4,797,485.72","4,711,043.24","5,039,815.03","4,705,888.36","5,116,358.58","5,681,684.69","4,688,669.28","4,859,896.75","5,677,610.25"
应收关联公司款,,,,,,,,,
应交税费,"76,555,174.92","93,320,699.95","79,474,268.86","83,279,615.90","99,272,702.46","122,230,999.49","141,546,818.79","150,287,695.35","161,597,491.46"
应收利息,,,,,,,,,
应付利息,,,,,,,,,
应收股利,,,,,,,,,
应付股利,,,,,,,,,
存货,"51,382,803.07","56,180,848.22","65,363,196.06","64,380,100.62","65,336,470.99","76,584,304.52","94,312,357.94","122,928,383.36","92,379,612.33"
其他应付款,"2,642,512.76","2,672,099.23","2,446,073.61","924,611.03","1,642,501.21","9,730,095.32","11,880,188.45","2,609,291.00","15,827,012.81"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,
其他流动资产,,,"1,977.00","1,977.00","1,977.00","1,977.00","1,977.00","1,977.00","95,811,799.55"
其他流动负债,,,,,,,,,
流动资产合计,"1,533,885,474.27","1,851,986,961.80","2,107,167,921.16","2,232,496,083.88","2,341,718,371.17","3,187,443,460.09","3,511,327,114.97","3,541,955,357.23","3,741,128,514.65"
流动负债合计,"921,856,308.59","1,106,851,369.18","1,193,882,784.26","1,250,251,675.53","1,307,711,299.50","1,427,815,735.79","1,726,272,922.00","1,818,298,073.44","1,969,624,701.57"
可供出售金融资产,,,,,,,,,
长期借款,,,,,,,,,
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,,,,,,,,,
长期应付款,,,,,,,,,
长期股权投资,,,,,,,,"47,889,998.48","48,383,888.48"
专项应付款,,,,,,,,,
投资性房地产,,,,,,,,,
预计负债,,"1,533,545.65",,"107,627.75","107,627.75","20,000.00","20,000.00","20,000.00",
固定资产,"147,159,488.82","145,598,512.74","133,373,119.80","128,971,971.65","127,916,764.03","125,579,699.24","122,856,262.90","120,170,783.43","117,752,141.82"
递延所得税负债,,,,,,,,,
在建工程,"1,890,702.70",,,,,,,"70,100.01","2,763,617.19"
其他非流动负债,,,,,,,,,
工程物资,,,,,,,,,
非流动负债合计,,"3,524,536.64","3,314,389.73","3,326,867.50","3,279,292.51","4,636,514.08","4,636,514.08","4,495,909.54","4,475,909.54"
固定资产清理,,,,,,,,,
负债合计,"921,856,308.59","1,110,375,905.82","1,197,197,173.99","1,253,578,543.03","1,310,990,592.01","1,432,452,249.87","1,730,909,436.08","1,822,793,982.98","1,974,100,611.11"
生产性生物资产,,,,,,,,,
实收资本(或股本),"225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","225,000,000.00","300,000,000.00","300,000,000.00","600,000,000.00","600,000,000.00"
油气资产,,,,,,,,,
资本公积,"354,773,546.20","354,773,546.20","354,773,546.20","354,773,546.20","354,773,546.20","960,660,373.06","960,660,373.06","660,660,373.06","660,660,373.06"
无形资产,"53,447,759.88","52,151,653.78","50,820,519.36","50,102,187.36","52,300,317.32","51,939,428.74","51,466,933.88","50,988,216.33","50,619,854.99"
盈余公积,"23,117,916.18","35,848,380.25","51,702,930.39","51,702,930.39","51,702,930.39","67,105,347.56","67,105,347.56","73,735,680.51","73,735,680.51"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,"144,882.75","144,882.75","144,882.75","144,882.75","144,882.75","144,882.75","144,882.75","144,882.75","144,882.75"
未分配利润,"213,607,470.87","328,137,611.84","466,094,297.58","529,309,181.84","581,704,907.84","606,875,083.65","628,941,635.95","606,731,801.28","654,931,637.94"
长期待摊费用,"2,836,624.72","4,943,386.07","3,838,595.85","2,560,170.90","2,305,335.24","2,050,499.58","1,795,663.92","2,679,868.88","2,422,884.50"
