科目,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"58,267,386.88","36,412,103.48","65,673,604.88","71,409,254.57","49,082,998.68","297,446,965.48","249,681,733.29","248,906,671.59","220,534,371.60","230,597,523.42","196,991,312.06","190,516,498.83","159,737,333.64","216,137,746.04","182,954,767.99","143,650,338.28","635,981,859.57","543,953,385.21","481,577,750.25","463,637,749.10","424,031,804.53","946,659,945.97","824,076,858.00","866,916,899.50","813,630,972.99","641,883,574.17","656,683,573.43","312,934,026.56","195,246,695.17"
短期借款,"112,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","75,000,000.00","40,000,000.00",,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","40,000,000.00","40,000,000.00","140,000,000.00","140,000,000.00",,,"310,000,000.00","225,000,000.00","225,000,000.00","135,000,000.00","100,000,000.00","110,000,000.00","105,000,000.00","134,000,000.00"
交易性金融资产,,,,,,,,"5,500,000.00","3,600,000.00",,"7,500,000.00","12,000,000.00","29,600,000.00",,,"1,000,000.00",,,"6,400,000.00","17,400,000.00","19,900,000.00",,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"18,970,573.83","74,636,882.11","111,330,000.00","91,081,450.00","111,152,050.00","138,370,393.00","153,606,006.45","149,851,402.00","180,821,809.20","164,369,608.20","203,597,108.20","237,060,637.04","196,138,827.43","161,734,669.35","170,005,359.02","211,664,057.46","183,114,246.93","103,305,000.00","130,205,000.00","155,664,486.15","149,214,486.15","138,633,306.43","194,212,508.43","91,527,978.37","47,926,530.64","91,341,012.38","81,135,589.20","91,433,365.00","50,600,936.28"
应付票据,,"26,120,000.00","36,630,000.00","27,280,000.00","33,220,000.00","25,240,000.00","41,300,000.00","67,800,000.00","76,600,000.00","69,500,000.00","73,700,000.00","76,900,000.00","71,864,000.00","67,464,000.00","71,147,000.00","71,300,000.00","57,000,000.00","40,570,000.00","59,070,000.00","69,900,000.00","53,900,000.00","50,300,000.00","44,900,000.00","81,470,725.00","108,895,525.00","110,776,100.00","112,262,060.43","95,906,226.13","89,073,759.50"
应收账款,"24,938,624.23","47,280,595.83","47,917,159.89","66,949,081.06","69,771,809.84","63,775,611.41","64,746,760.11","72,468,621.43","55,235,510.43","63,990,039.28","49,256,404.59","50,743,033.78","76,169,596.41","75,083,066.07","99,201,160.86","102,846,503.98","62,791,968.93","89,711,188.51","127,633,650.26","82,969,683.43","50,490,032.38","68,210,785.71","68,195,825.20","89,997,063.05","100,263,448.82","60,235,900.38","77,273,431.98","69,625,010.33","71,326,834.31"
应付账款,"37,271,651.44","63,196,638.70","68,832,691.55","62,904,880.83","52,376,681.52","71,267,059.71","72,284,035.32","66,833,133.98","65,238,216.80","82,894,437.42","83,077,345.88","88,062,220.03","79,821,299.56","74,803,867.37","87,071,827.66","71,565,813.16","76,515,453.16","85,226,068.82","93,321,405.91","94,822,264.79","93,679,631.76","107,767,567.38","149,059,154.22","153,695,266.47","150,332,753.78","138,630,619.48","153,113,114.86","102,922,048.59","121,056,100.06"
预付款项,"14,946,196.71","3,408,772.57","6,231,890.32","12,290,415.05","15,038,004.15","5,076,358.07","11,873,069.65","26,645,079.04","53,671,631.79","22,445,038.72","29,950,933.65","36,385,513.65","49,137,469.14","42,535,987.97","38,435,233.93","58,018,271.08","38,905,666.97","14,199,309.83","17,353,180.06","12,396,012.26","16,819,801.80","15,379,694.32","10,832,857.42","17,396,667.08","8,869,677.55","8,912,715.26","5,199,017.89","8,195,234.64","7,818,072.99"
预收款项,"2,288,768.46","751,527.09","834,090.08","2,197,165.18","990,281.85","1,100,609.04","1,721,221.38","1,657,575.90","2,700,597.88","2,546,011.83","2,211,951.33","2,631,911.52","2,854,069.06","1,440,687.71","1,784,026.49","1,802,139.19","2,767,413.85","770,319.90","837,124.28","611,536.49","1,003,638.01","1,341,204.64","1,507,188.86","2,000,385.69","892,292.11","1,493,598.10","1,740,225.09","751,243.64","1,347,138.23"
其他应收款,"2,662,407.29","2,454,168.07","1,661,744.53","3,495,417.99","4,674,586.57","2,202,187.37","3,539,761.96","3,092,405.31","3,723,220.81","3,340,422.81","4,242,230.43","4,764,910.44","4,925,488.57","3,314,697.98","3,684,194.53","3,470,214.17","3,697,942.69","153,347,652.44","157,913,182.92","10,679,191.12","12,213,999.02","11,062,696.80","12,637,246.33","11,548,530.97","12,270,639.36","9,032,654.00","9,131,878.46","7,401,517.19","7,028,974.35"
应付职工薪酬,"1,634,042.43","3,743,035.11","6,199,293.18","2,107,009.92","783,050.73","6,000,143.64","3,487,481.02","4,512,645.74","5,130,911.58","7,227,624.32","3,491,514.70","5,237,286.83","6,270,018.29","7,492,829.34","5,033,971.69","6,372,392.43","7,047,792.09","11,539,279.92","5,612,524.11","7,258,640.79","8,459,553.19","12,264,464.20","9,572,979.09","7,702,957.16","8,983,212.45","10,897,080.86","5,504,369.89","6,683,952.73","8,349,302.57"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"1,142,687.04","2,093,796.60","3,323,050.89","4,974,319.91","4,270,877.27","2,943,329.35","2,546,882.41","1,888,024.82","875,775.97","2,982,408.56","3,597,267.03","11,457,491.68","6,355,157.56","-3,427,397.01","1,180,172.54","12,668,558.39","2,099,213.17","7,516,132.36","12,632,369.15","10,958,066.90","990,796.03","13,030,968.90","3,727,856.26","6,002,315.17","6,761,663.56","5,033,881.78","4,602,132.60","6,839,848.20","5,900,299.82"
应收利息,,,,,,,,,,,,,,,,,,"2,425,109.04","3,294,437.60","1,702,625.73","1,680,734.20","3,881,356.16","2,168,175.35","3,167,167.13",,"6,986.30",,,
应付利息,,,,,,"97,215.56",,,,,,,,,,,,"286,000.00","259,999.00",,,"399,958.33","289,093.75","260,184.38","155,240.63","119,120.00","131,203.33","116,723.63","148,261.13"
应收股利,,,,,,,,,,,,,,"10,919,304.93","7,919,304.93",,,,,,,"70,000.00","70,000.00",,,,,,"40,909,090.79"
应付股利,,"25,338.39","31,394.85","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","16,626.21","9,913.37","40,591,756.97","9,913.37","9,913.37","9,913.37","9,913.37","11,729.85","9,913.37","9,913.37","9,913.37","9,913.37","9,913.37","9,913.37","9,913.37","70,842,702.62","9,922.82"
存货,"61,215,425.09","56,602,516.86","68,819,273.73","71,935,125.87","77,658,483.51","80,881,252.30","99,529,987.10","96,967,214.17","109,814,485.21","110,918,833.64","120,698,976.28","102,965,417.57","100,826,105.64","100,526,931.15","114,466,583.40","89,024,988.71","97,471,939.72","91,885,116.76","101,070,063.90","95,510,902.92","119,019,187.54","104,981,045.26","124,574,412.64","134,435,308.44","134,854,193.07","131,311,785.40","128,465,837.85","99,079,063.23","107,763,727.66"
其他应付款,"3,812,438.38","2,068,701.98","984,369.44","661,786.71","678,697.20","913,178.18","1,652,812.90","3,590,807.68","1,991,607.58","580,743.82","1,958,089.19","6,091,502.53","1,729,094.61","10,699,803.50","14,101,626.24","12,351,259.82","3,687,825.70","1,431,972.46","1,115,458.88","985,140.44","771,979.03","2,261,709.43","32,245,668.91","43,836,193.73","457,537.21","1,571,499.08","753,400.92","600,428.92","704,679.39"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,"18,147,422.70","14,153,680.65","15,118,353.84","17,640,838.38","22,051,350.53","26,178,690.53","328,604,320.42","508,572,408.95"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"181,000,614.03","220,795,038.92","301,633,673.35","317,160,744.54","327,377,932.75","587,752,767.63","582,977,318.56","603,431,393.54","627,401,029.04","595,661,466.07","612,236,965.21","634,436,011.31","616,534,820.83","610,252,403.49","616,666,604.66","609,674,373.68","1,021,963,624.81","998,826,761.79","1,025,447,264.99","839,960,650.71","793,370,045.62","1,307,026,253.35","1,250,921,564.02","1,230,107,968.38","1,135,456,300.81","964,775,978.42","984,068,019.34","917,272,537.37","989,266,740.50"
流动负债合计,"158,149,587.75","172,999,037.87","191,834,889.99","175,141,788.76","167,336,214.78","147,578,161.69","123,009,059.24","146,298,814.33","152,553,736.02","165,747,852.16","168,052,794.34","210,397,038.80","188,910,265.29","178,483,704.28","240,910,381.59","216,070,076.36","189,127,611.34","287,349,686.83","312,858,794.70","184,547,379.26","158,815,511.39","497,375,786.25","466,311,854.46","519,977,940.97","411,488,138.11","368,531,812.67","388,116,420.49","389,663,174.46","360,589,463.52"
可供出售金融资产,,,,,,,,,,,,,,,,,"48,000,000.00","48,000,000.00","48,000,000.00","57,152,000.00","57,152,000.00","57,152,000.00","57,152,000.00","350,752,000.00","57,152,000.00","450,752,000.00","450,752,000.00","450,752,000.00","390,752,000.00"
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"29,109,818.07","29,499,687.74","30,823,061.40","34,169,503.52","34,879,323.91","31,854,168.15","33,859,946.14","35,124,601.00","36,666,289.98","89,902,134.24","89,561,040.01","90,283,602.68","91,499,352.92","84,149,038.76","95,938,922.92","100,303,883.33","144,516,153.26","235,671,205.96","251,870,823.47","261,669,872.21","268,405,496.61","616,781,202.41","628,951,809.01","290,952,454.02","620,547,044.00","335,145,369.66","355,521,052.02","366,053,290.08","332,452,583.94"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,"4,462,572.18","4,350,262.94","4,282,211.99","4,214,160.14","4,146,108.29","4,078,056.44","4,010,004.59","3,941,952.74","3,873,900.89","3,805,849.04","3,737,797.19","3,669,745.34"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"60,480,241.47","78,725,509.14","88,100,113.51","88,421,626.65","89,380,787.99","90,817,500.53","87,515,114.78","85,879,129.42","84,839,796.32","84,286,565.81","89,726,883.98","93,530,582.79","94,825,138.56","112,066,471.96","120,518,000.65","156,177,027.43","154,236,607.47","165,677,896.94","172,433,987.93","169,552,728.37","214,513,961.40","249,699,200.78","247,087,945.23","252,110,093.23","242,799,885.32","271,418,697.31","271,337,232.19","272,904,020.91","275,914,335.50"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"20,332,155.70","25,265,631.39","16,002,659.77","18,813,846.97","16,403,966.01","34,398,939.15","36,349,267.65","19,987,468.75","19,314,789.13","32,958,576.20","35,456,195.64","43,240,653.93","55,075,135.46","65,184,682.35","70,707,620.33","42,371,573.98","97,430,588.17","111,107,975.50","109,702,531.81","125,727,616.08","112,970,051.54","167,549,593.23","201,676,912.03","291,599,862.32","327,541,925.70","344,889,627.93","366,271,733.61","392,059,993.53","406,276,783.84"
其他非流动负债,"11,180,000.00","26,349,612.92","31,231,830.14","33,788,835.02","33,167,337.46","35,163,908.05","34,250,295.79","33,336,683.53","32,423,071.27","31,583,533.08","30,825,149.58","30,066,766.08","29,308,382.58","28,549,999.08","27,791,615.58","30,233,232.08","32,474,848.58","31,966,465.08",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"11,180,000.00","26,349,612.92","31,231,830.14","33,788,835.02","33,167,337.46","35,163,908.05","34,250,295.79","33,336,683.53","32,423,071.27","31,583,533.08","30,825,149.58","30,066,766.08","29,308,382.58","28,549,999.08","27,791,615.58","30,233,232.08","32,474,848.58","31,966,465.08","34,835,581.58","33,814,698.08","35,167,814.58","34,763,726.68","33,563,939.88","32,829,153.08","32,816,866.28","31,799,134.53","30,619,700.60","29,190,266.67","29,185,832.74"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"169,329,587.75","199,348,650.79","223,066,720.13","208,930,623.78","200,503,552.24","182,742,069.74","157,259,355.03","179,635,497.86","184,976,807.29","197,331,385.24","198,877,943.92","240,463,804.88","218,218,647.87","207,033,703.36","268,701,997.17","246,303,308.44","221,602,459.92","319,316,151.91","347,694,376.28","218,362,077.34","193,983,325.97","532,139,512.93","499,875,794.34","552,807,094.05","444,305,004.39","400,330,947.20","418,736,121.09","418,853,441.13","389,775,296.26"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"56,619,166.00","56,619,166.00","56,619,166.00","56,619,166.00","56,619,166.00","75,519,166.00","75,519,166.00","98,174,915.00","98,174,915.00","98,174,915.00","98,174,915.00","176,714,847.00","176,714,847.00","176,714,847.00","176,714,847.00","176,714,847.00","249,336,569.00","249,336,569.00","249,336,569.00","249,336,569.00","249,336,569.00","283,331,157.00","283,331,157.00","283,331,157.00","283,331,157.00","283,331,157.00","283,331,157.00","283,331,157.00","283,331,157.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"9,810,468.54","9,810,468.54","9,810,468.54","9,810,468.54","9,810,468.54","265,600,104.55","265,600,104.55","242,944,355.55","242,944,355.55","242,944,355.55","242,944,355.55","164,404,423.55","164,404,423.55","164,404,423.55","164,404,423.55","164,404,423.55","657,541,192.55","657,541,192.55","657,541,192.55","657,541,192.55","657,541,192.55","1,197,891,287.52","1,197,891,287.52","1,197,891,287.52","1,197,891,287.52","1,196,611,432.21","1,196,611,432.21","1,196,611,432.21","1,196,611,432.21"
无形资产,"21,822,053.22","21,376,927.76","20,909,238.20","25,191,496.09","25,078,901.16","25,352,228.48","25,194,953.36","42,850,735.96","42,759,109.69","42,529,246.80","42,303,892.55","43,664,775.95","43,967,300.91","44,200,553.44","44,123,683.78","43,866,867.91","44,313,067.22","58,163,176.50","58,041,885.82","57,620,685.03","58,820,533.17","58,394,556.31","57,961,789.48","74,118,461.85","57,525,723.79","57,153,444.60","56,740,094.57","56,293,298.81","56,409,533.33"
盈余公积,"17,663,372.11","25,625,048.14","36,555,337.75","36,555,337.75","36,555,337.75","48,351,094.78","48,351,094.78","48,351,094.78","48,351,094.78","61,503,562.56","61,503,562.56","61,503,562.56","61,503,562.56","75,172,537.20","75,172,537.20","75,172,537.20","75,172,537.20","89,486,159.53","89,486,159.53","89,486,159.53","89,486,159.53","107,791,121.51","107,791,121.51","107,791,121.51","107,791,121.51","125,490,992.55","125,490,992.55","125,490,992.55","125,490,992.55"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
