科目,2012年度,2013年度,2014年度,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
偿还债务支付的现金,,,"57,538,658.85","13,220,822.49",,"47,143,747.42","15,256,677.76","38,141,694.39","105,230,726.46","20,000,000.00","35,665,105.46","40,570,000.00","216,770,000.00","1,000,000.00","30,000,000.00","396,270,000.00","728,003,594.09","174,340,100.00"
经营活动产生的现金流量净额,"407,977,530.88","415,471,807.01","521,689,600.27","209,581,641.82","242,206,800.00","346,363,082.85","127,863,196.99","216,410,636.34","243,504,453.06","133,712,436.85","216,955,746.31","286,168,147.97","293,611,397.88","375,462,477.67","329,231,400.02","586,409,126.81","-254,241,541.36","152,212,137.39"
分配股利、利润或偿还利息支付的现金,"132,000,000.00","132,247,975.70","221,803,797.34","89,515,092.89",,"210,771,578.97",,"119,756,250.00","130,076,784.29","52,441.67","35,955,922.14","135,031,406.39","141,985,456.77","12,966,178.77","131,854,011.91","145,274,085.38","161,955,067.86","11,191,047.74"
收回投资收到的现金,"482,104,109.59","130,590,000.05","101,158,904.11",,,,,,"681,597,983.94","475,000,000.00","1,070,000,000.00","1,580,500,000.00","2,080,719,209.05","200,000,000.00","200,000,000.00","500,000,000.00","801,320,000.00","50,000,000.00"
支付其他与筹资活动有关的现金,,"16,600,000.00",,,,"20,000,000.00","10,654,909.50","13,354,909.50","40,000,000.00","2,570,000.00",,,"2,650,000.00",,,,"59,536,268.91","60,463,703.75"
取得投资收益收到的现金,,,,,,,,,,"4,502,545.21","9,218,772.59","14,301,301.34","20,126,598.59","1,073,347.61","1,073,347.61","4,584,580.49","26,179,651.83","150,000.00"
筹资活动现金流出小计,"132,000,000.00","148,847,975.70","279,342,456.19","102,735,915.38",,"277,915,326.39","25,911,587.26","171,252,853.89","275,307,510.75","22,622,441.67","71,621,027.60","175,601,406.39","361,405,456.77","13,966,178.77","161,854,011.91","541,544,085.38","949,494,930.86","245,994,851.49"
处置固定资产、无形资产和其他长期资产收回的现金净额,"328,500.00","1,682,700.00","120,200.00",,,"320,000.00",,,"30,000.00",,"150,000.00","150,000.00","1,297,300.00",,"154,700.00","154,700.00","10,102,000.00",50.00
筹资活动产生的现金流量净额,"-82,800,000.00","-25,038,555.94","-113,233,604.36","-92,735,915.38","-196,504,700.00","-225,915,326.39","787,968,412.74","632,639,146.11","764,727,559.75","122,987,578.33","204,888,992.40","159,708,613.61","142,533,563.23","225,034,121.23","303,600,108.09","317,180,034.62","301,075,369.14","10,405,148.51"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"117,221,056.31",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,"1,043,781.99",,,,,,,,,,"40,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"482,432,609.59","132,272,700.05","101,279,104.11",,,"320,000.00",,"1,043,781.99","681,627,983.94","479,502,545.21","1,079,368,772.59","1,594,951,301.34","2,102,143,107.64","201,073,347.61","201,228,047.61","504,739,280.49","954,822,708.14","90,150,050.00"
五、现金及现金等价物净增加额,"338,080,227.58","-66,965,131.90","46,604,869.58","29,907,174.53","-52,808,100.00","-140,747,153.67","831,005,711.73","334,301,528.74","164,615,546.89","80,181,471.72","-5,645,623.96","34,569,620.29","199,366,470.99","783,353,767.62","-104,538,913.10","-256,922,798.36","-340,966,111.13","49,026,143.60"
购建固定资产、无形资产和其他长期资产支付的现金,"129,529,912.89","459,671,083.02","363,130,230.44","86,938,551.91",,"261,514,910.13","84,825,898.00","115,792,035.70","281,788,709.52","92,173,088.67","131,263,117.85","142,598,691.94","279,168,908.85","18,216,178.89","573,527,468.82","1,036,001,240.28","552,367,957.73","199,741,192.30"
期初现金及现金等价物余额,"159,042,813.06","497,123,040.64","430,157,908.74","476,762,778.32",,"476,762,778.32","336,015,624.65","336,015,624.65","336,015,624.65","503,065,154.13","500,631,171.54","500,631,171.54","500,631,171.54","705,441,380.77","705,441,380.77","705,441,380.77","699,997,642.53","359,032,239.80"
投资支付的现金,"340,000,000.00","130,000,000.00","100,000,000.00",,,,,"400,000,000.00","1,197,730,000.00","563,848,000.00","1,193,400,000.00","1,681,463,733.28","1,880,895,900.00",,"306,071,000.00","550,000,000.00","790,254,689.32","4,000,000.00"
期末现金及现金等价物余额,"497,123,040.64","430,157,908.74","476,762,778.32","506,669,952.85",,"336,015,624.65","1,167,021,336.38","670,317,153.39","500,631,171.54","583,246,625.85","494,985,547.58","535,200,791.83","699,997,642.53","1,488,795,148.39","600,902,467.67","448,518,582.41","359,031,531.40","408,058,383.40"
