科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"576,186,483.50","651,466,480.48","760,554,893.47","475,166,888.17","1,003,513,501.87","271,789,122.94","555,938,599.71","819,856,638.64","1,099,154,241.73","272,398,369.19","517,378,987.70","722,109,147.47","985,322,097.89","245,895,556.60","512,307,892.32","763,055,619.30","1,087,838,512.57","278,229,315.56","559,699,928.01","830,352,100.04","1,142,786,769.84"
二、营业利润,"72,252,219.88","80,280,057.89","84,509,684.01","66,539,040.08","110,674,906.66","34,531,221.85","77,694,158.41","106,240,150.18","135,763,874.54","35,209,938.50","70,569,990.33","95,383,713.40","140,604,989.33","34,484,589.60","70,948,374.38","112,140,591.04","161,197,282.98","39,623,180.25","69,306,803.63","92,674,330.29","140,531,910.10"
减:营业成本,"422,686,767.00","481,538,200.32","582,874,794.43","350,773,768.19","769,053,071.51","199,052,030.43","404,763,093.02","600,088,242.87","801,322,526.56","194,630,698.69","368,255,483.73","515,400,824.89","690,636,350.59","169,969,640.28","359,322,677.46","531,909,072.06","756,003,041.47","196,296,876.74","408,782,767.61","613,257,506.74","846,305,584.99"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"2,858,956.86","3,179,875.79","3,829,813.25","3,317,105.62","6,731,613.03","2,032,320.83","4,397,122.54","6,089,334.05","7,937,925.15","2,365,886.88","4,219,397.69","5,453,504.22","7,050,640.55","1,163,313.47","2,565,181.04","3,655,785.59","10,367,060.88","1,803,961.95","5,274,002.28","7,239,359.78","10,844,601.28"
营业外收入,"2,877,637.29","1,879,533.81","5,950,976.57","2,210,568.05","3,377,494.04","726,646.39","5,406,227.03","8,822,213.24","8,645,494.59","1,772,839.05","3,389,216.64","5,050,719.89","6,994,704.79","1,610,120.24","3,583,500.27","5,851,502.78","20,472,556.44","1,502,619.62","7,123,243.90","8,726,261.79","1,124,714.46"
销售费用,"28,377,956.40","23,293,172.99","26,646,179.75","16,212,445.57","34,299,469.80","8,880,905.46","18,775,378.92","26,507,454.73","35,281,686.37","8,175,194.15","15,073,371.87","20,824,272.08","30,960,711.84","10,513,610.57","20,744,206.59","29,675,292.37","41,651,249.99","11,108,444.05","18,967,337.31","29,585,682.27","45,818,458.56"
减:营业外支出,"564,795.84","98,439.70","75,800.49","163,332.54","190,244.18","222,728.35","301,941.11","491,292.95","702,191.53","68,095.97","314,402.33","485,951.34","485,923.37","43,162.35","289,351.98","889,425.15","910,423.73","61,058.50","276,785.90","799,098.49","4,197,556.37"
管理费用,"45,788,262.24","59,868,303.20","61,592,165.30","36,394,035.92","80,888,001.36","23,980,079.04","48,558,187.16","79,728,766.97","117,779,149.38","28,036,036.26","58,734,724.37","87,283,800.60","117,281,272.37","27,809,669.93","58,888,010.48","87,747,336.73","120,148,740.72","28,334,840.79","59,368,251.32","91,460,524.99","124,935,742.44"
其中:非流动资产处置净损失,"490,795.84","47,377.20","58,941.88","113,332.54","120,888.62","222,728.35","281,941.11","464,292.95","507,008.25","68,095.97","154,166.49","225,715.50","220,657.82","23,256.35","239,093.71","839,166.88","839,685.02",,,"149,720.61",
堪探费用,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,
财务费用,"3,977,106.69","3,126,594.87","508,744.98","-397,743.79","-893,528.12","-88,355.20","353,983.34","412,915.07","91,342.94","246,261.79","-346,344.94","-1,611,815.45","-2,316,319.89","-456,655.19","-1,499,616.50","-2,435,018.91","-3,398,703.59","-779,356.33","-2,451,651.88","-3,086,004.04","-3,706,916.05"
三、利润总额,"74,565,061.33","82,061,152.00","90,384,860.09","68,586,275.59","113,862,156.52","35,035,139.89","82,798,444.33","114,571,070.47","143,707,177.60","36,914,681.58","73,644,804.64","99,948,481.95","147,113,770.75","36,051,547.49","74,242,522.67","117,102,668.67","180,759,415.69","41,064,741.37","76,153,261.63","100,601,493.59","137,459,068.19"
