科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月
一、营业收入,"63,648,018.93","156,066,320.74","237,581,139.24","361,318,550.98","23,764,714.61","56,676,792.72","83,624,668.75","113,666,799.77","23,661,159.81","55,590,142.53","86,367,328.95","115,289,155.75","78,842,007.78","88,855,213.22","139,301,655.56","3,661,391,689.85","608,162,055.78","667,798,795.53","727,928,985.03","1,854,053,063.43","506,899,527.82","1,757,966,589.44","3,003,071,812.26","3,755,746,050.07","574,456,130.58","848,949,490.13","994,936,176.23","1,119,394,506.23","193,222,161.44","2,317,530,333.77","2,372,976,258.45","2,484,976,917.28","50,854,167.76","678,838,431.21","958,269,450.19","1,290,121,821.26","291,992,298.30","896,586,307.25","2,165,503,888.80","4,452,108,161.72","963,686,997.57","2,271,911,085.60","2,842,399,739.93","1,016,052,308.24","1,150,296,483.35","2,477,339,137.56","3,261,427,803.59"
二、营业利润,"-25,667,259.47","-117,754,675.32","-170,408,256.86","-193,513,168.81","-25,802,323.92","-31,311,862.61","-50,036,401.69","-86,247,542.53","-13,601,875.83","-32,478,804.74","-34,031,154.42","-58,191,005.80","-6,290,557.15","-49,414,605.33","-61,924,473.00","1,214,510,854.05","131,497,954.18","104,755,524.05","82,613,204.00","557,320,427.01","144,871,161.70","475,761,422.96","667,241,295.15","1,209,627,461.50","203,171,535.17","252,618,110.16","273,926,038.23","175,431,227.04","16,120,415.41","622,766,038.43","411,798,645.52","432,404,258.37","42,859,901.82","708,535,003.97","595,876,113.90","262,611,112.13","22,004,574.71","62,126,198.30","120,014,478.93","207,030,752.67","11,816,408.41","74,404,912.22","166,444,566.30","-2,570,422,025.34","-307,809,456.87","-1,377,630,417.57","-1,952,239,495.44"
减:营业成本,"59,330,519.52","148,638,200.08","222,843,485.46","313,363,855.40","23,038,235.18","54,084,864.22","79,242,274.29","108,201,180.60","20,884,849.20","48,103,905.02","72,790,885.62","100,119,558.06","36,628,815.29","41,656,414.26","65,188,418.23","1,547,962,685.38","302,708,157.70","328,919,442.68","348,329,834.35","841,866,304.64","238,040,948.64","741,596,291.13","1,311,665,780.43","1,488,297,187.32","173,629,701.09","324,527,100.54","385,012,975.84","484,602,853.42","93,768,264.45","1,191,016,149.26","1,233,717,162.39","1,345,177,806.64","53,856,517.19","172,431,779.42","382,383,808.41","797,492,304.63","180,941,062.85","446,816,992.79","1,519,326,986.11","3,261,875,769.61","773,631,433.58","1,764,479,761.59","2,091,669,041.15","1,203,066,968.05","908,828,384.93","1,959,362,076.77","2,425,696,058.27"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"82,091.57","226,331.04","1,314,279.16","1,938,150.01","39,174.89","71,524.20","116,772.88","171,502.62","73,468.26","158,340.11","256,142.41","383,371.30","10,067,050.43","11,311,858.77","17,613,271.15","717,322,878.79","119,404,540.95","128,013,349.53","139,876,652.15","219,466,535.63","72,011,913.05","303,676,515.00","683,858,843.03","620,953,733.79","105,362,466.80","132,559,964.08","146,510,555.75","79,436,715.17","9,907,558.09","171,979,285.74","175,735,476.62","147,449,763.65","2,928,255.54","38,007,423.51","54,117,976.75","71,345,537.80","22,168,522.29","51,215,908.77","60,469,891.24","165,210,666.80","15,735,445.22","44,342,109.80","61,889,181.84","-22,048,147.83","2,828,054.12","8,411,287.21","11,307,429.07"
营业外收入,"105,662.70","1,411,464.10","1,646,847.63","1,652,912.63",184.06,"26,969.00","69,896.76","1,667,058.01","68,919.28","69,636.32","226,153.32","185,401,044.43","13,553,915.00","18,292,023.00","29,310,653.00","54,615,482.20","19,526,400.00","97,416,400.00","117,451,846.50","233,512,227.69","26,197,576.00","75,269,016.00","75,269,016.00","187,886,610.96","43,071,130.00","79,359,011.67","113,007,974.60","128,133,204.60","10,090.00","229,279.00","338,397.16","46,627,583.68","7,460.00","225,239,554.96","225,404,510.15","225,464,024.33","100,638.88","559,987.14","2,032,445.52","2,201,890.59","3,547,403.84","2,087,756.10","1,985,977.10","1,235,836.91","2,755,896.95","3,133,338.61","3,183,738.61"
销售费用,"1,468,552.37","3,279,111.03","6,680,289.19","17,299,958.09","1,209,896.79","2,953,787.48","4,250,645.36","7,532,057.54","470,038.68","1,648,233.95","3,474,578.57","6,276,174.29","7,066,114.22","39,591,489.37","49,794,706.59","68,253,625.94","23,335,735.90","44,406,810.27","60,219,200.51","87,432,766.18","11,871,211.96","29,884,056.51","55,221,598.03","70,296,251.53","15,124,992.18","25,276,861.27","39,407,741.62","44,530,287.21","9,986,008.01","19,116,412.35","35,113,976.50","140,190,977.51","22,192,825.66","118,735,172.36","177,413,540.10","246,518,505.87","23,796,205.02","97,903,088.15","129,773,546.65","150,575,349.85","47,288,310.37","38,805,833.77","58,121,056.50","119,595,889.96","82,611,221.82","176,675,199.62","235,124,120.53"
减:营业外支出,"694,442.47","24,282,567.09","29,443,783.41","34,334,837.17","3,230,807.71","6,799,008.03","6,911,588.73","19,479,428.82","447,933.10","713,376.68","754,906.65","769,111.73","53,011.65","14,153,011.65","21,302,996.65","28,367,846.65","193,467.31","2,188,170.14","25,674,130.91","58,060,693.27","899,559.62","1,377,126.46","28,092,875.67","28,395,898.44","1,435,498.00","6,549,259.58","8,432,051.58","8,587,233.66","53,109.65","497,817.88","10,657,505.49","16,844,654.64","287,700.00","475,127.22","3,199,802.85","5,625,492.12","802,317.20","3,253,275.25","9,444,327.99","13,339,693.89","192,228.09","5,738,977.78","6,188,129.33","40,515,163.77","189,761.52","564,478.21","2,373,749.09"
管理费用,"8,949,158.52","17,644,320.06","25,093,166.73","34,431,145.65","4,911,223.21","9,781,531.23","14,746,050.75","18,449,164.63","8,883,902.13","8,508,141.99","14,248,538.47","26,826,924.86","26,815,403.11","46,358,723.33","71,194,277.60","102,974,383.32","29,710,881.13","67,995,520.28","103,236,519.28","148,270,194.07","37,727,153.73","94,834,605.42","147,120,779.88","206,554,568.01","54,314,498.53","94,968,157.47","140,793,754.51","194,870,465.05","56,552,287.19","113,751,316.58","210,789,411.70","277,405,155.30","83,781,078.24","180,430,361.68","289,061,281.57","423,051,829.09","81,576,264.94","215,843,704.01","288,439,703.80","428,645,814.80","109,539,548.46","263,643,599.46","391,725,313.71","663,731,008.50","224,400,272.85","562,330,293.79","828,603,477.82"
其中:非流动资产处置净损失,"575,911.01","19,490,053.99","22,684,719.45","22,484,152.92","403,531.52","403,531.52","403,531.52",,"408,883.10",,"408,883.10",,,,,,,,,"29,229.65",,,,,,"1,155.58","1,155.58","105,337.66","2,867.65","371,241.38","378,395.99","394,782.66","7,700.00",,,"80,633.96","8,890.26","2,114,564.65","2,383,339.68","3,912,846.00","3,174.86","5,342,298.69","5,592,290.03",,,,
