科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
销售商品、提供劳务收到的现金,"681,381,321.78","947,448,708.36","564,985,294.79","1,159,385,658.69","625,134,787.30","1,001,749,829.24","1,339,619,715.93","317,967,680.53","827,227,097.35","1,305,805,607.90","1,913,975,962.12","576,029,960.39","1,230,337,543.39","1,864,732,806.37","2,635,648,911.83","769,602,921.35","1,717,280,427.17","2,518,671,702.04","3,550,199,644.25","1,197,300,342.61","2,405,504,627.47","3,805,551,841.06","5,476,831,348.64","1,693,465,531.05","3,683,208,912.96","5,977,565,067.28","8,627,806,315.37","2,397,219,323.07","5,347,384,099.62","8,364,047,502.43","11,824,054,142.07","3,305,213,457.88","6,841,304,701.73","11,647,468,728.25","15,146,999,604.04","3,886,921,881.47","8,760,806,573.55","14,122,213,442.43","19,318,488,512.04","5,540,391,846.75"
取得子公司及其他营业单位支付的现金净额,"16,459,497.08",,,,,,,,,,,,,,,,,,"16,246,451.08",,"28,391,895.53","81,992,309.40","119,769,687.56","100,440,600.00","100,440,600.00","165,179,200.00","4,727,657.37",,,,,,,,"60,153,171.24",,,,,
收到的税费返还,,,,,,,,,,,,,,,,,,,,,"184,868.17","211,516.67",,,"1,278,330.94","2,908,745.05","2,142,589.16","927,800.00","2,200,927.45","2,595,411.28","2,427,704.26","716,000.00","1,933,797.29","2,250,518.00","2,125,262.66","4,180,806.02","4,114,993.72","6,331,358.69","6,129,257.91","514,364.00"
支付其他与投资活动有关的现金,"53,090,555.52","4,969,421.54",,,,,,,"55,000.00","97,000.00","7,536,500.00",,,,,,,,"10,540,600.00",,,,"24,250,996.93",,,,,,,,,,,,,,,,,
收到其他与经营活动有关的现金,"40,977,643.87","42,174,600.85","22,104,894.09","32,018,984.45","16,936,197.49","38,008,134.23","18,826,377.50","2,386,490.17","26,053,540.99","37,949,914.03","39,167,719.75","4,089,972.58","7,708,651.32","25,162,009.43","12,173,202.24","4,505,855.48","127,595,294.50","40,712,545.46","65,445,385.01","436,813.31","39,950,685.43","32,961,389.29","20,491,509.06","5,550,122.83","33,907,369.02","40,158,370.93","74,918,160.49","18,674,781.41","33,802,215.82","47,053,699.03","115,759,874.61","25,988,416.88","44,031,694.40","58,575,863.41","245,194,184.30","35,275,504.48","73,556,317.35","162,115,680.98","398,546,635.81","54,867,237.81"
投资活动现金流出小计,"84,398,712.64","27,217,300.45","19,683,614.26","63,826,002.92","33,364,919.78","45,962,851.71","65,425,214.83","14,908,579.17","77,758,510.83","71,945,293.87","99,317,072.70","12,475,046.13","36,592,628.51","50,460,579.65","65,668,257.63","5,698,464.70","37,938,640.52","32,885,073.12","50,436,130.14","12,883,751.02","41,212,679.65","106,353,757.10","208,474,413.90","113,478,566.27","124,484,472.56","193,403,170.27","227,428,158.19","9,949,677.66","125,644,681.24","128,736,140.17","176,976,648.37","2,288,618.68","83,413,878.76","133,169,318.21","150,576,659.45","4,514,078.35","28,804,950.99","32,204,935.46","45,494,502.08","2,496,174.63"
经营活动现金流入小计,"722,358,965.65","989,623,309.21","587,090,188.88","1,191,404,643.14","642,070,984.79","1,039,757,963.47","1,358,446,093.43","320,354,170.70","853,280,638.34","1,343,755,521.93","1,953,143,681.87","580,119,932.97","1,238,046,194.71","1,889,894,815.80","2,647,822,114.07","774,108,776.83","1,844,875,721.67","2,559,384,247.50","3,615,645,029.26","1,197,737,155.92","2,445,640,181.07","3,838,724,747.02","5,497,322,857.70","1,699,015,653.88","3,718,394,612.92","6,020,632,183.26","8,704,867,065.02","2,416,821,904.48","5,383,387,242.89","8,413,696,612.74","11,942,241,720.94","3,331,917,874.76","6,887,270,193.42","11,708,295,109.66","15,394,319,051.00","3,926,378,191.97","8,838,477,884.62","14,290,660,482.10","19,723,164,405.76","5,595,773,448.56"
投资活动产生的现金流量净额,"138,175,808.42","50,974,604.92","-14,803,597.19","-14,624,796.73","-23,113,855.99","-33,764,331.96","-53,171,532.08","-14,881,614.19","33,055,528.07","41,070,041.71","9,801,733.75","-12,475,046.13","-36,562,478.51","-46,478,453.45","-63,679,022.77","-5,692,077.17","-3,347,092.99","10,267,149.58","40,490,674.28","146,193,397.36","114,385,562.69","50,357,814.65","-58,754,309.62","-113,440,352.87","-124,396,189.91","-193,312,032.08","-197,935,322.20","-9,947,222.14","-125,252,095.51","-128,039,711.95","-173,413,627.04","-1,764,061.64","-81,897,749.26","-131,403,508.55","-139,703,301.78","-3,652,079.60","-27,395,299.79","-30,635,564.74","-41,683,396.58","-2,482,735.59"
购买商品、接受劳务支付的现金,"636,263,672.12","802,732,014.46","494,538,752.75","987,444,731.59","545,737,046.69","925,455,791.16","1,277,105,988.64","413,524,639.43","808,728,124.17","1,296,798,986.12","1,716,519,443.84","580,951,986.02","1,162,437,377.33","1,832,740,152.12","2,449,408,504.97","722,892,570.61","1,635,981,539.65","2,337,567,249.02","3,509,628,015.17","1,156,783,118.30","2,280,684,992.25","3,795,610,269.23","5,492,510,111.82","1,534,248,956.86","3,589,989,451.24","5,919,046,732.13","8,049,296,893.93","2,469,413,873.73","5,009,902,376.90","7,758,104,073.11","10,859,801,711.46","3,201,309,034.89","6,553,256,648.15","10,486,830,015.78","14,513,873,420.08","4,064,778,159.55","8,422,848,045.83","13,691,530,843.95","18,517,488,554.90","5,192,380,946.13"
吸收投资收到的现金,"10,000,000.00","10,000,000.00",,,,"443,500,000.00","443,500,000.00",,"9,700,000.00","19,500,000.00","26,300,000.00",,"12,800,000.00","12,800,000.00","12,800,000.00",,"52,400,000.00","34,780,000.00","63,690,000.00","10,030,000.00","24,190,000.00","66,010,000.00","162,100,000.00",,"14,700,000.00","246,630,000.00","245,610,000.00","389,819,343.68","389,819,343.68","399,619,343.68","404,349,343.68","35,000.00",,,"20,410,000.00","660,000.00","5,060,000.00","14,460,000.00","78,760,000.00","11,670,000.00"
支付给职工以及为职工支付的现金,"42,137,855.79","41,835,666.78","18,514,494.54","49,324,248.98","23,990,767.83","36,713,097.42","52,389,367.87","14,222,799.51","25,882,990.64","39,226,894.60","55,039,547.45","14,849,868.48","28,694,734.99","45,171,614.61","62,658,020.32","19,725,016.13","33,144,106.81","51,485,549.99","79,209,262.50","27,737,511.61","52,394,505.51","85,042,084.47","125,128,957.90","40,389,073.59","77,361,602.99","118,071,623.52","188,300,776.53","51,618,306.63","97,282,756.68","148,404,676.19","207,523,430.65","75,980,122.29","131,611,895.06","192,902,574.87","266,436,818.73","94,645,908.90","166,139,757.69","238,077,994.38","331,526,892.18","117,513,499.25"
取得借款收到的现金,"100,500,000.00","83,500,000.00","500,000.00","73,600,000.00","30,000,000.00","60,000,000.00","60,000,000.00",,,,,,,,"10,000,000.00",,"25,000,000.00","25,200,000.00","134,000,000.00",,"525,157,000.00","898,157,000.00","1,058,157,000.00","75,000,000.00","1,259,041,010.61","1,765,000,000.00","2,073,000,000.00","472,000,000.00","1,335,000,000.00","1,764,436,490.96","2,233,600,000.00","779,000,000.00","1,278,000,000.00","2,003,559,540.11","2,468,659,540.11","979,000,000.00","1,904,000,000.00","3,037,000,000.00","3,447,800,000.00","1,561,300,367.71"
支付的各项税费,"56,612,981.92","38,086,314.96","24,751,469.82","41,503,804.85","17,230,043.44","27,666,386.89","37,333,008.48","7,541,171.74","19,622,186.09","34,686,581.27","48,698,720.38","9,983,428.65","26,773,863.46","47,872,747.74","66,820,394.83","17,414,005.20","42,873,197.31","73,506,473.46","102,967,639.60","41,231,648.01","122,046,949.63","170,450,635.75","209,909,541.37","69,034,279.80","134,080,918.86","216,277,505.63","282,069,796.68","73,678,803.02","164,738,947.77","265,768,681.22","335,624,611.26","89,586,360.37","197,122,245.47","314,927,904.99","403,663,272.00","133,236,686.55","250,113,077.28","371,859,922.84","472,608,665.35","148,415,648.32"
收到其他与筹资活动有关的现金,,,,,,,"3,000,000.00",,"877,415.46",,,,,,,,,,"17,500,000.00","1,467.97",,"25,004,427.50","25,000,000.00","10,100,000.00","19,600,000.00","71,000,000.00","57,100,000.00","23,196,646.53","59,366,720.84","59,366,720.84","47,345,494.00","7,850,000.00","27,650,000.00","27,650,000.00","51,300,000.00","9,292,763.90","44,200,000.00","44,200,000.00","26,200,000.00","41,035,980.28"
支付其他与经营活动有关的现金,"51,860,518.62","52,136,261.56","35,928,461.13","63,015,744.08","26,752,894.31","73,842,176.01","41,224,936.44","24,092,055.05","46,530,572.03","67,246,234.40","84,311,359.78","15,333,396.55","31,855,435.94","71,867,001.63","105,825,965.65","21,033,956.25","164,323,155.64","108,904,987.06","236,234,904.10","19,580,899.04","122,321,822.70","162,275,535.82","434,233,513.12","11,727,802.77","123,067,473.50","249,888,124.44","495,538,376.76","106,886,584.36","178,017,993.00","282,830,622.30","422,987,954.01","168,959,877.72","293,580,165.09","393,478,236.44","584,383,969.59","168,346,618.83","320,040,592.99","421,913,522.17","693,296,802.21","187,645,837.08"
筹资活动现金流入小计,"110,500,000.00","93,500,000.00","500,000.00","73,600,000.00","30,000,000.00","503,500,000.00","506,500,000.00",,"10,577,415.46","19,500,000.00","26,300,000.00",,"12,800,000.00","12,800,000.00","22,800,000.00",,"77,400,000.00","59,980,000.00","215,190,000.00","10,031,467.97","549,347,000.00","989,171,427.50","1,245,257,000.00","85,100,000.00","1,293,341,010.61","2,082,630,000.00","2,375,710,000.00","885,015,990.21","1,784,186,064.52","2,223,422,555.48","2,685,294,837.68","786,885,000.00","1,305,650,000.00","2,031,209,540.11","3,286,369,540.11","988,952,763.90","1,953,260,000.00","3,095,660,000.00","3,552,760,000.00","1,614,006,347.99"
