科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"59,421,515.90","77,263,045.29","38,026,642.65","20,796,647.73","27,093,180.05","31,120,482.80","166,638,383.02","122,949,983.34","106,472,592.96","97,833,533.81","96,674,657.01","87,231,656.29","102,796,906.41","98,390,153.79","117,484,417.15","112,899,853.69"
短期借款,"1,800,000.00","15,500,000.00","20,000,000.00","20,000,000.00","35,000,000.00","35,000,000.00","41,000,000.00","26,000,000.00","26,000,000.00","15,500,000.00",,,"25,000,000.00","25,000,000.00","25,000,000.00","15,000,000.00"
交易性金融资产,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,
应收票据,,,"1,000,000.00","1,500,000.00","500,000.00",,"1,200,000.00","3,078,747.00","3,298,747.00","2,420,000.00","2,500,000.00","279,500.00","2,815,840.00","10,140,551.28","8,104,211.28","7,988,600.00"
应付票据,,,,,,,,,,,,,,"635,000.00","422,000.00",
应收账款,"77,199,959.40","90,283,230.88","141,691,395.43","143,598,846.56","147,487,039.60","143,329,297.17","146,575,200.44","146,695,383.89","149,127,033.02","154,411,859.94","152,321,442.71","163,388,648.94","171,412,076.46","164,929,735.37","166,786,538.41","159,977,985.27"
应付账款,"3,393,824.20","5,845,544.33","9,979,893.84","12,373,382.07","11,409,862.53","11,126,454.63","11,378,143.88","8,930,860.82","7,406,785.09","7,978,600.01","9,668,600.13","8,220,313.59","11,010,362.61","11,007,660.93","13,234,351.48","11,672,282.62"
预付款项,"6,127,463.82","3,456,020.59","3,149,816.12","8,173,288.53","8,079,088.66","8,525,912.75","1,191,021.49","3,079,439.72","1,965,626.38","1,210,474.90","1,243,499.97","862,656.15","2,022,645.62","2,669,703.33","917,670.79","586,919.86"
预收款项,"7,923,503.70","9,692,983.34","11,977,483.79","10,645,338.82","5,641,393.91","4,934,178.01","4,704,397.15","5,256,190.79","4,645,410.35","6,791,125.25","1,440,336.50","4,068,718.70","3,377,532.70","6,759,706.20","4,343,792.08","5,128,337.06"
其他应收款,"1,868,414.70","2,199,333.45","1,482,011.84","1,473,875.62","1,357,073.68","2,401,643.04","2,038,988.54","5,022,250.71","5,021,565.62","4,877,445.19","4,317,453.52","5,915,894.47","4,874,300.48","5,630,174.99","4,833,930.31","4,694,819.78"
应付职工薪酬,"22,484,897.38","27,124,883.96","21,298,667.69","15,698,283.21","14,886,910.18","16,422,532.11","15,141,799.73","8,292,181.11","5,724,715.93","6,186,367.68","6,302,813.96","5,943,728.32","5,374,276.69","3,431,206.54","11,097,885.66","7,792,196.57"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"5,596,336.09","11,745,541.43","10,878,457.56","3,673,946.74","3,952,204.82","2,416,703.25","5,813,843.86","3,208,941.09","4,161,896.69","3,322,932.81","7,053,171.14","5,987,140.27","3,293,373.03","3,176,824.58","3,517,541.16","3,953,218.98"
应收利息,,"143,000.00",,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,
应付股利,,"2,583,750.00","8,130,000.00","8,130,000.00",,,,,,,,,"3,896,750.00",,,
存货,,,,,,,,,,,,,,,,
其他应付款,"1,045,478.33","2,560,122.01","2,711,846.64","2,756,902.69","3,600,675.00","2,457,431.63","12,065,017.29","1,568,413.54","778,473.76","833,451.66","840,006.76","863,266.88","768,331.77","693,887.01","1,163,085.82","754,149.65"
其中:消耗性生物资产,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,"2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04","2,600,000.04"
其他流动资产,,,,,"703,363.70",,,,,,,,,,,
其他流动负债,,,,,,,,,,,,,,,,
流动资产合计,"144,617,353.82","173,344,630.21","185,349,866.04","175,542,658.44","185,219,745.69","185,377,335.76","317,643,593.49","280,825,804.66","265,885,564.98","260,753,313.84","257,057,053.21","257,678,355.85","283,921,768.97","281,760,318.76","298,126,767.94","286,148,178.60"
流动负债合计,"42,244,039.70","77,652,825.11","87,576,349.56","75,877,853.57","77,091,046.48","74,957,299.67","92,703,201.95","55,856,587.39","51,317,281.86","43,212,477.45","27,904,928.53","27,683,167.80","55,320,626.84","53,304,285.30","61,378,656.24","46,900,184.92"
可供出售金融资产,,,,,,,,,,,,,,,,
长期借款,,"22,749,999.95","20,149,999.91","19,499,999.90","18,849,999.89","18,199,999.88","17,549,999.87","16,899,999.86","16,249,999.85","15,599,999.84","14,949,999.83","14,299,999.82","13,649,999.81","12,999,999.80","12,349,999.79","11,699,999.78"
持有至到期投资,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,"203,039.71","185,124.43","167,209.15","149,293.87"
长期应付款,"238,491.12","175,355.00","124,959.92","119,759.01","110,885.05","101,873.95","92,723.59","86,969.82","77,534.46","64,415.29","54,686.05","48,344.45","38,312.17","24,586.86","21,318.11","10,814.00"
长期股权投资,,,,,,,,,,,,,,,,
专项应付款,,,,,,,,,,,,,,,,
投资性房地产,,"2,169,059.86","2,090,504.86","2,070,866.11","12,667,162.44","12,667,162.44","12,437,566.28","11,342,599.84","11,247,633.40","10,533,474.60","10,443,494.04","9,581,845.13","11,604,341.26","11,513,786.53","11,417,991.54","11,318,076.34"
预计负债,,,,,,,,,,,,,,,,
固定资产,"11,063,651.13","62,890,131.77","61,231,775.24","60,152,824.10","59,053,449.88","57,989,263.57","56,747,014.22","56,703,150.47","56,894,243.43","56,052,758.48","55,228,540.60","53,945,910.02","53,170,413.85","53,308,974.79","52,543,969.06","51,908,061.26"
递延所得税负债,"1,038.76",,,,,,,,,,,,,,,
在建工程,"20,000.00",,,,,,,,"1,207,842.29",,,,,,,
其他非流动负债,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,
非流动负债合计,"239,529.88","22,925,354.95","20,274,959.83","19,619,758.91","18,960,884.94","18,301,873.83","17,642,723.46","16,986,969.68","16,327,534.31","15,664,415.13","15,004,685.88","14,348,344.27","13,688,311.98","13,024,586.66","12,371,317.90","11,710,813.78"
固定资产清理,,,,,,,,,,,,,,,,
负债合计,"42,483,569.58","100,578,180.06","107,851,309.39","95,497,612.48","96,051,931.42","93,259,173.50","110,345,925.41","72,843,557.07","67,644,816.17","58,876,892.58","42,909,614.41","42,031,512.07","69,008,938.82","66,328,871.96","73,749,974.14","58,610,998.70"
生产性生物资产,,,,,,,,,,,,,,,,
实收资本(或股本),"62,400,000.00","62,400,000.00","62,400,000.00","62,400,000.00","62,400,000.00","62,400,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00","83,200,000.00"
油气资产,,,,,,,,,,,,,,,,
资本公积,"8,995,633.27","8,995,633.27","8,995,633.27","8,995,633.27","9,645,633.27","9,645,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27","96,215,633.27"
无形资产,"1,543,510.98","1,540,920.28","1,940,049.41","1,997,673.96","1,835,591.64","1,822,979.27","1,635,431.40","1,356,529.76","1,568,295.05","1,292,202.98","1,249,969.71","1,009,417.64","1,503,438.53","2,901,941.41","2,838,183.46","2,444,869.77"
盈余公积,"5,499,771.11","9,316,016.71","11,833,938.57","11,833,938.57","11,833,938.57","11,833,938.57","14,486,057.30","14,486,057.30","14,486,057.30","14,486,057.30","16,740,272.74","16,740,272.74","16,740,272.74","16,740,272.74","18,761,446.23","18,761,446.23"
开发支出,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,
未分配利润,"38,552,074.41","64,563,880.66","72,059,607.73","79,685,661.82","87,576,720.52","89,185,074.56","96,208,652.82","95,218,046.10","87,514,007.27","91,025,454.91","101,629,491.27","102,419,967.00","101,836,998.04","104,232,435.09","116,061,400.86","117,990,790.51"
长期待摊费用,"889,416.99","6,880,545.29","8,915,990.40","8,182,290.72","7,193,742.33","6,530,009.02","5,857,511.66","5,194,143.26","4,609,108.21","6,910,596.60","6,554,456.05","6,170,499.36","5,843,758.67","5,461,750.20","5,201,908.36","4,871,370.88"
少数股东权益,"1,427,335.72","2,685,935.09","2,736,050.71","2,385,371.29","2,895,102.75","2,496,564.71","2,781,885.37","2,956,299.02","2,870,287.69","2,442,234.76","2,455,274.97","1,950,476.93",,,,
递延所得税资产,"1,223,910.54","1,714,358.38","3,271,824.72","3,460,635.14","4,433,634.55","4,433,634.55","5,605,897.12","5,739,404.77","6,760,154.34","6,945,966.32","8,858,813.05","10,413,874.01","10,308,261.88","11,138,496.94","9,645,064.99","9,891,657.99"
外币报表折算价差,,,,,,,,,,,,,,,,
其他非流动资产,,,"3,076,529.00","9,391,268.96",,,"3,311,140.00","3,757,960.00","3,757,960.00","3,757,960.00","3,757,960.00","3,757,960.00","446,820.00","446,820.00","8,047,360.00","8,047,360.00"
非正常经营项目收益调整,,,,,,,,,,,,,,,,
非流动资产合计,"14,740,489.64","75,195,015.58","80,526,673.63","85,255,558.99","85,183,580.84","83,443,048.85","85,594,560.68","84,093,788.10","86,045,236.72","85,492,958.98","86,093,233.45","84,879,506.16","83,080,073.90","84,956,894.30","89,861,686.56","88,630,690.11"
所有者权益(或股东权益)合计,"116,874,273.88","147,961,465.73","158,025,230.28","165,300,604.95","174,351,395.11","175,561,211.11","292,892,228.76","292,076,035.69","284,285,985.53","287,369,380.24","300,240,672.25","300,526,349.94","297,992,904.05","300,388,341.10","314,238,480.36","316,167,870.01"
资产总计,"159,357,843.46","248,539,645.79","265,876,539.67","260,798,217.43","270,403,326.53","268,820,384.61","403,238,154.17","364,919,592.76","351,930,801.70","346,246,272.82","343,150,286.66","342,557,862.01","367,001,842.87","366,717,213.06","387,988,454.50","374,778,868.71"
负债和所有者(或股东权益)合计,"159,357,843.46","248,539,645.79","265,876,539.67","260,798,217.43","270,403,326.53","268,820,384.61","403,238,154.17","364,919,592.76","351,930,801.70","346,246,272.82","343,150,286.66","342,557,862.01","367,001,842.87","366,717,213.06","387,988,454.50","374,778,868.71"
