科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
销售商品、提供劳务收到的现金,"4,543,836,518.84","5,587,913,215.62","8,062,295,040.87","3,497,061,383.66","4,813,457,105.17","6,451,030,149.92","1,273,508,269.48","2,931,524,955.30","4,019,414,343.22","5,842,111,942.08","1,809,883,592.15","3,519,309,028.99","4,873,081,110.51","7,859,617,868.81","831,199,883.16","2,864,466,931.85","4,042,157,168.12","4,627,214,360.67","886,268,582.85","1,968,502,345.40","3,934,667,125.46","7,644,877,598.25","5,249,360,539.27","12,174,124,800.00","17,426,804,100.00","24,594,249,547.53"
取得子公司及其他营业单位支付的现金净额,,"278,604,268.32",,,,,,,,"4,846,769,844.81",,,,,,"180,761.10","180,761.10","86,272.98",,,"11,262,201,220.92","28,104,661,705.58","-229,437,000.00",,"65,854,300.00",
收到的税费返还,"11,066,598.49",,,"1,000,000.00","2,597,275.96","2,873,917.14","1,339,180.54","1,339,180.54","1,339,180.54",,"7,920,152.12","23,870,952.98","27,291,568.24",,"4,916,264.63",,"15,212,636.11",,,,,,,,,
支付其他与投资活动有关的现金,"111,800,000.00","52,000,000.00",,,"121,470.64",,"3,812,758.24",,"250,000,000.00","125,391,150.21","2,425,111.28","26,841.16","30,998.03","131,158,843.62",,,,"100,000,000.00",,"537,163.62","537,163.61","908,964,508.15","142,562,628.00","82,867,400.00","259,490,800.00","331,596,665.00"
收到其他与经营活动有关的现金,"117,979,263.77","69,697,627.65","53,148,751.48","58,497,868.66","81,092,172.17","114,756,555.13","77,075,602.57","76,304,299.67","114,517,979.16","74,521,419.31","46,533,387.87","65,475,400.56","135,106,028.41","119,587,736.21","65,686,475.06","183,832,536.93","400,875,993.73","488,703,678.64","49,904,767.24","156,511,412.91","315,341,954.01","424,655,803.23","42,365,764.53","136,955,800.00","1,104,743,000.00","654,815,073.95"
投资活动现金流出小计,"14,339,118,504.34","5,731,680,312.62","7,807,778,385.01","2,519,385,271.07","2,683,493,235.17","9,868,680,759.73","743,044,480.58","2,941,261,396.38","3,483,162,892.26","9,910,866,248.54","430,625,012.91","703,920,225.30","1,287,077,424.38","9,961,724,429.05","1,472,219,074.48","10,664,893,433.46","11,325,632,530.03","12,815,916,244.28","537,098,303.86","2,075,226,113.37","14,076,679,809.49","31,284,080,646.18","705,755,132.67","838,796,200.00","14,988,101,500.00","6,232,360,348.47"
经营活动现金流入小计,"4,672,882,381.10","5,657,610,843.27","8,115,443,792.35","3,556,559,252.32","4,897,146,553.30","6,568,660,622.19","1,351,923,052.59","3,009,168,435.51","4,135,271,502.92","5,916,633,361.39","1,864,337,132.14","3,608,655,382.53","5,035,478,707.16","7,979,205,605.02","901,802,622.85","3,048,299,468.78","4,458,245,797.96","5,115,918,039.31","936,173,350.09","2,125,013,758.31","4,250,009,079.47","8,069,533,401.48","5,291,726,303.80","12,311,080,600.00","18,531,547,100.00","25,249,064,621.48"
投资活动产生的现金流量净额,"610,119,600.01","-196,552,712.46","-587,079,935.42","-37,877,103.82","-12,018,669.86","-2,666,855,571.08","-163,087,520.57","-1,400,231,508.13","-1,017,679,741.70","-4,310,352,500.76","202,408,046.89","1,197,368,641.11","1,181,120,636.28","-4,079,258,102.91","-1,472,189,074.48","-6,898,441,097.87","-3,351,963,686.29","-165,508,027.24","1,297,758,266.40","640,271,589.81","-10,427,393,066.06","-27,647,990,729.21","-200,255,059.39","587,439,000.00","-12,441,068,000.00","-4,109,226,229.18"
购买商品、接受劳务支付的现金,"2,737,126,929.98","4,101,925,888.22","4,937,071,732.46","1,794,930,342.05","2,546,354,647.57","3,237,677,311.10","584,404,790.62","1,070,444,021.88","1,712,294,631.50","2,772,092,075.27","885,006,365.03","1,357,712,001.56","1,770,601,306.93","2,372,217,158.40","484,648,624.61","776,087,026.95","1,344,739,790.99","1,887,827,372.50","370,558,741.41","883,519,327.97","2,339,757,760.34","3,270,936,032.65","2,753,764,872.22","5,949,832,000.00","8,614,680,500.00","11,736,234,356.47"
吸收投资收到的现金,"10,000,000.00","180,480,000.00",,,"570,000,000.00","570,000,000.00",,,,,,,,,,,,,,,,,,,"21,045,990,000.00","17,858,632,663.30"
