科目,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"3,995,053,481.67","3,594,815,403.29","5,617,698,070.97","3,054,280,914.41","3,083,824,462.90","4,944,239,456.44","3,626,459,719.25","3,982,855,135.89","3,749,919,000.34"
短期借款,"9,309,559,880.50","8,379,000,000.00","9,925,116,868.78","10,256,496,868.78","10,142,696,868.78","9,453,096,868.78","8,521,296,868.78","9,660,576,338.24","9,546,806,338.24"
交易性金融资产,,,,,,,,,
交易性金融负债,,,,,,,,,
应收票据,"93,712,081.80","254,284,866.85","301,323,129.97","259,727,249.60","285,232,452.01","336,233,867.51","363,145,314.45","293,219,976.12","531,027,130.10"
应付票据,"1,649,823,747.90","1,344,834,319.06","1,132,960,259.48","855,036,841.64","783,404,840.70","730,858,744.05","752,998,762.52","771,312,163.80","997,782,295.21"
应收账款,"9,293,598,921.80","10,389,500,422.63","12,731,486,609.82","13,532,740,595.11","13,016,447,138.05","13,291,383,047.07","11,774,420,019.43","12,731,629,047.28","12,578,251,782.66"
应付账款,"14,208,165,236.41","17,111,528,240.90","20,768,681,169.22","20,883,264,300.54","20,440,742,816.26","23,709,625,831.15","20,149,987,983.18","21,178,465,420.52","21,112,588,653.53"
预付款项,"2,543,643,197.13","1,693,568,686.77","1,884,547,071.01","2,394,601,857.10","2,253,895,872.51","1,964,462,992.28","2,020,008,022.59","2,058,956,522.56","2,282,212,021.92"
预收款项,"7,486,555,794.07","4,295,714,949.65","5,174,775,620.64","6,035,634,247.09","6,218,912,399.44","5,350,225,554.73","6,218,173,304.43","5,753,601,291.83","6,079,579,250.15"
其他应收款,"5,122,268,961.35","4,770,651,204.47","8,653,952,953.40","9,173,463,373.52","9,195,755,936.65","8,302,021,260.85","8,353,384,049.76","7,471,736,607.17","6,762,954,337.64"
应付职工薪酬,"17,723,351.71","11,045,166.25","20,120,337.85","30,826,371.76","16,465,447.15","20,743,305.02","9,292,300.45","13,762,751.54","14,243,802.22"
应收关联公司款,,,,,,,,,
应交税费,"924,446,020.44","1,132,508,996.96","1,231,489,527.15","819,748,863.48","830,881,063.12","754,947,719.50","641,462,559.43","625,475,989.71","581,225,827.62"
应收利息,,,,,,,,,
应付利息,"130,651,726.85","210,188,448.79","270,956,143.86","105,039,666.22","152,415,752.21","221,166,118.75","182,133,464.86","64,473,435.45","79,189,515.90"
应收股利,,,,"96,000.00","96,000.00",,,,
应付股利,"5,367,852.02","7,824,851.32","13,497,976.89","14,600,878.87","14,600,878.87","14,600,878.87","14,600,878.87","12,369,518.69","12,369,518.69"
存货,"14,042,569,178.09","15,776,180,214.13","18,443,510,580.77","19,528,394,013.78","19,932,015,768.25","21,842,136,825.35","22,358,055,800.44","22,426,209,507.50","23,534,267,935.01"
其他应付款,"4,983,210,334.19","6,060,799,259.01","6,877,869,335.30","7,857,147,518.22","7,844,874,895.85","8,170,191,028.14","9,000,065,821.66","9,298,057,521.08","9,296,541,456.49"
其中:消耗性生物资产,,,,,,,,,
应付关联公司款,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,
一年内到期的非流动负债,"1,068,000,000.00","818,081,166.71","1,300,750,000.00","3,361,500,000.00","3,305,750,000.00","3,507,300,000.00","3,647,800,000.00","1,586,300,000.00","1,531,500,000.00"
其他流动资产,"7,938.73","17,016,421.44","23,200,347.07","41,768,865.63","82,004,101.09","101,801,337.18","100,717,718.19","143,656,167.65","141,770,903.85"
其他流动负债,"140,532,870.04","508,000,000.00","510,000,000.00",,,"773,246,786.23","845,495,806.23","1,044,700,677.03","1,104,832,381.42"
流动资产合计,"35,090,853,760.57","36,496,017,219.58","47,655,718,763.01","47,985,072,869.15","47,849,271,731.46","50,782,278,786.68","48,596,190,644.11","49,108,262,964.17","49,580,403,111.52"
流动负债合计,"39,924,036,814.13","39,879,525,398.65","47,226,217,239.17","50,219,295,556.60","49,750,744,962.38","52,706,002,835.22","49,983,307,750.41","50,009,095,107.89","50,356,659,039.47"
可供出售金融资产,"256,875,000.73","301,192,894.39","287,034,159.57","267,223,832.81","293,472,529.26","304,693,354.00","348,993,997.19","332,415,230.28","322,120,469.08"
长期借款,"8,819,890,000.00","9,084,850,000.00","5,143,900,000.00","5,306,500,000.00","5,556,100,000.00","5,131,800,000.00","5,728,800,000.00","6,307,800,000.00","6,221,800,000.00"
持有至到期投资,,,,,,,,,
应付债券,,,,,,,,,
长期应收款,"3,912,551,501.04","4,172,858,438.86","3,058,116,565.92","3,206,189,218.88","2,869,356,384.19","2,486,715,534.84","2,315,010,309.70","2,524,416,357.57","2,287,749,281.00"
长期应付款,"48,550,632.76","19,776,546.27","11,535,442.41",,,,,,
长期股权投资,"220,868,936.77","236,407,487.82","326,145,716.53","326,347,873.20","326,423,516.17","385,983,023.69","386,004,140.24","442,044,887.31","496,968,347.19"
专项应付款,"14,351,067.94","10,136,770.16","9,213,847.46","42,783,347.64","23,074,982.83","9,592,886.31","26,318,737.69","10,699,948.06","8,164,459.86"
投资性房地产,"162,163,691.98","189,027,581.25","184,111,674.62","184,253,255.59","182,201,752.98","193,767,191.01","190,277,660.44","189,448,561.49","186,028,394.77"
预计负债,"5,933,900.00","324,577.81","324,577.81","2,138,173.49","2,138,173.49","26,466,259.97","25,725,399.13","25,725,399.13","23,818,059.43"
固定资产,"1,195,970,007.43","1,190,585,305.69","1,096,393,716.85","1,161,231,279.37","1,137,043,248.75","1,292,830,186.72","1,261,895,281.11","1,254,323,104.21","1,264,012,331.38"
递延所得税负债,"3,775,920.42","4,289,560.82","5,647,637.33","4,725,714.36","5,187,657.34","5,597,120.85","5,791,256.13","5,115,151.10","5,100,657.69"
在建工程,"155,535,817.34","312,248,537.80","379,154,277.80","350,688,628.39","366,647,865.96","209,138,770.70","193,051,808.96","195,321,359.60","207,949,858.19"
其他非流动负债,"1,800,000,000.00","3,300,000,000.00","3,600,000,000.00","800,000,000.00","800,000,000.00","800,000,000.00",,,
工程物资,,,,,,,,,
非流动负债合计,"11,182,586,802.12","12,990,196,874.46","9,251,396,443.58","6,631,537,990.86","6,860,657,004.32","6,442,131,377.86","6,264,385,473.70","6,821,716,040.82","6,725,300,265.28"
固定资产清理,"150,976.25","223,004.48","360,810.20","301,475.02","280,093.74","429,561.35","429,561.35","436,454.10","424,095.11"
负债合计,"51,106,623,616.25","52,869,722,273.11","56,477,613,682.75","56,850,833,547.46","56,611,401,966.70","59,148,134,213.08","56,247,693,224.11","56,830,811,148.71","57,081,959,304.75"
生产性生物资产,,,"1,508,079.42","1,491,883.56","1,491,883.56","1,475,687.70","1,467,589.77","1,459,491.84","1,451,393.91"
实收资本(或股本),"1,633,000,000.00","1,633,000,000.00","1,633,000,000.00","1,633,000,000.00","1,633,000,000.00","1,633,000,000.00","1,814,500,000.00","1,814,500,000.00","1,814,500,000.00"
油气资产,,,,,,,,,
资本公积,"1,013,519,211.30","1,032,809,199.30","781,952,299.30","786,100,299.30","786,100,299.30","792,292,299.30","1,148,752,299.30","1,150,300,299.30","1,150,300,299.30"
无形资产,"13,549,015,290.97","13,470,859,139.78","7,528,397,144.33","7,591,925,065.33","7,655,998,552.77","7,629,435,433.44","7,645,570,350.48","7,603,934,793.43","7,575,544,315.25"
盈余公积,"96,956,353.05","113,718,606.99","134,156,430.52","149,373,255.89","149,373,255.89","142,550,935.34","142,550,935.34","142,550,935.34","142,550,935.34"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"714,132,899.27","687,182,263.56","1,447,493,959.19","1,623,649,307.08","1,407,384,766.31","1,488,788,635.97","1,528,802,774.55","1,628,784,670.44","1,674,675,162.07"
长期待摊费用,"94,412,065.26","72,039,018.45","55,663,123.13","41,807,057.16","36,466,287.17","30,671,088.22","30,577,577.15","28,633,885.65","32,055,955.79"
少数股东权益,"126,688,170.82","149,337,370.04","224,405,765.49","230,221,657.30","237,168,137.70","244,093,658.42","244,198,784.81","248,808,556.42","250,326,563.92"
递延所得税资产,"191,993,018.65","198,708,603.16","239,893,441.52","256,639,758.11","249,888,833.43","256,329,872.72","258,843,510.13","266,072,928.76","260,796,667.30"
外币报表折算价差,,,,,,,,,
其他非流动资产,"83,893,546.02","73,981,424.81","87,049,583.63","86,409,055.65","83,445,453.28","88,899,384.77","85,032,750.17","81,956,047.65","92,990,253.68"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"19,823,429,852.44","20,218,131,436.49","13,243,828,293.52","13,474,508,383.07","13,202,716,401.26","12,880,369,089.16","12,717,154,536.69","12,920,463,101.89","12,728,091,362.65"
所有者权益(或股东权益)合计,"3,807,659,996.76","3,844,426,382.96","4,421,933,373.78","4,608,747,704.76","4,440,586,166.02","4,514,513,662.76","5,065,651,956.69","5,197,914,917.35","5,226,535,169.42"
资产总计,"54,914,283,613.01","56,714,148,656.07","60,899,547,056.53","61,459,581,252.22","61,051,988,132.72","63,662,647,875.84","61,313,345,180.80","62,028,726,066.06","62,308,494,474.17"
负债和所有者(或股东权益)合计,"54,914,283,613.01","56,714,148,656.07","60,899,547,056.53","61,459,581,252.22","61,051,988,132.72","63,662,647,875.84","61,313,345,180.80","62,028,726,066.06","62,308,494,474.17"
