科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"128,955,962.92","585,632,563.14","185,758,351.82","1,900,989,603.28","1,592,559,018.93","1,227,645,789.38","999,250,904.99","922,113,112.75","650,907,567.19","596,132,959.93","731,354,702.77","657,071,836.20","778,858,834.70","606,222,375.27","1,172,307,335.09","815,423,719.71","1,417,146,897.97","999,842,140.74","2,245,926,339.33","1,928,942,715.91","2,336,213,178.87","4,592,819,320.00","5,816,566,784.05","5,051,971,805.33","6,617,868,973.33","6,366,949,414.21","8,546,040,327.88","7,218,388,161.24"
短期借款,"187,346,943.34","35,717,124.62","316,193,596.30","620,230,629.93","761,265,693.28","728,957,984.59","529,386,967.20","541,018,646.93","190,000,000.00","251,326,300.00","305,885,870.70","220,258,893.37","264,239,140.62","286,601,250.00","820,049,500.00","360,293,100.00","623,342,800.00","519,637,279.59","504,307,292.89","109,532,253.70","154,207,281.45","274,653,498.52","822,164,495.39","1,128,497,111.65","2,150,236,475.08","1,928,666,928.02","1,611,789,619.09","1,466,162,466.08"
交易性金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,"86,306.80",,,,,,,"2,431,562.00",,,,,,,,,,
应收票据,"33,223,897.92","28,120,182.56","334,512,586.38","282,917,829.29","167,155,128.49","192,304,159.17","95,174,822.70","52,332,838.64","68,656,964.17","52,819,065.60","55,079,465.48","46,938,256.24","49,298,367.50","121,904,119.28","157,599,677.10","107,135,267.63","101,119,251.48","119,854,406.80","372,611,212.43","413,084,415.24","781,281,264.18","1,011,176,534.42","1,533,185,657.15","1,809,730,788.56","1,742,262,223.73","2,300,316,260.06","2,205,568,990.63","1,760,386,822.67"
应付票据,"9,373,750.00","19,883,274.00","141,429,207.30","184,035,422.56","148,303,119.95","140,460,312.27","260,196,007.54","311,151,708.48","334,534,860.54","272,566,782.16","313,272,431.30","361,909,903.20","367,745,483.55","309,522,927.50","408,062,215.65","487,115,866.36","506,914,910.42","810,560,945.63","746,424,393.92","671,297,696.97","682,207,343.11","688,813,039.54","1,067,449,235.54","1,935,311,254.01","3,250,661,627.75","4,011,148,933.13","3,801,774,265.25","5,144,751,194.08"
应收账款,"118,032,037.41","81,836,085.03","187,338,996.52","355,087,909.08","347,124,253.46","313,437,539.88","369,578,775.96","442,128,756.55","367,438,077.87","397,059,608.02","236,121,369.31","354,785,495.84","399,517,618.89","399,283,648.13","507,478,980.08","703,183,930.65","708,669,981.88","1,077,414,227.31","1,708,421,671.98","1,746,681,446.89","2,561,486,419.85","1,748,876,256.91","2,299,698,674.51","2,600,342,420.89","3,262,233,937.04","3,349,011,848.59","3,925,763,775.89","4,288,972,871.14"
应付账款,"108,758,698.45","87,948,593.12","241,894,440.22","249,098,043.43","346,234,508.98","220,646,390.77","180,307,774.45","178,196,729.36","260,082,042.87","322,776,551.51","306,586,404.55","394,021,617.58","541,186,718.72","515,846,073.09","667,707,881.45","487,231,864.75","695,442,865.28","986,949,225.92","1,379,454,922.18","1,583,766,507.52","1,801,709,795.92","1,419,689,377.76","2,009,338,331.85","2,266,444,769.09","3,270,652,003.68","3,508,117,119.83","3,548,411,046.39","3,636,291,859.65"
预付款项,"181,876,376.96","59,431,904.33","61,133,869.65","70,566,848.25","47,256,230.47","39,858,639.06","24,631,430.46","121,317,258.12","64,677,142.71","36,186,872.32","81,591,914.60","72,860,945.56","70,245,423.32","97,286,512.75","55,165,177.28","56,777,505.09","134,746,401.71","141,154,044.83","165,778,714.26","537,912,043.83","237,537,234.73","314,498,553.97","727,786,016.74","871,863,740.78","359,664,529.22","545,328,127.32","443,672,896.91","930,998,642.20"
预收款项,"139,137,285.91","239,610,056.10","94,123,029.68","70,904,504.92","43,211,401.91","36,859,502.78","32,344,394.14","71,334,288.42","57,567,173.27","29,703,755.60","11,681,273.06","22,271,271.08","32,187,650.83","47,654,144.04","7,770,682.22","49,177,268.39","76,964,292.14","141,517,658.66","513,478,582.10","693,736,890.18","425,807,821.20","636,900,891.73","1,161,010,374.20","1,197,217,792.41","844,836,913.85","1,111,654,026.31","771,594,195.23","912,385,978.41"
其他应收款,"14,562,223.23","45,537,050.17","70,660,533.28","65,445,967.74","60,775,425.61","58,688,033.21","86,804,828.69","66,282,554.92","64,752,423.61","56,292,285.94","42,454,135.14","38,937,598.82","41,785,642.87","39,225,555.84","61,159,865.23","157,060,742.90","349,628,426.92","408,509,002.47","206,549,186.86","200,079,469.38","79,967,846.48","69,214,101.34","59,047,007.85","74,957,771.52","65,001,830.95","72,515,099.34","295,146,183.08","387,247,742.65"
应付职工薪酬,"13,457,501.12","23,761,683.90","27,029,524.29","32,293,456.50","30,042,866.84","31,110,888.51","38,483,184.62","29,198,107.26","31,477,603.53","33,424,018.13","55,325,633.16","35,689,122.22","39,566,252.83","41,370,101.68","70,213,390.86","52,933,884.39","69,004,789.83","84,715,888.95","107,584,861.20","85,403,864.50","218,116,492.46","241,631,058.06","186,178,862.57","139,099,496.15","163,294,368.29","192,399,385.18","248,680,508.90","193,777,066.76"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-40,013,383.45","2,944,748.46","-190,123,847.01","-180,109,356.65","-219,138,497.77","-249,260,209.55","4,833,385.47","5,148,386.11","6,343,646.80","11,037,149.20","9,318,883.99","9,210,011.36","12,001,038.44","20,225,558.25","39,449,549.51","20,283,449.85","22,099,071.90","41,598,992.15","58,194,367.94","64,874,298.10","190,399,199.65","103,516,995.14","136,605,377.06","131,387,144.54","299,407,109.74","209,521,240.99","230,156,500.18","115,352,032.88"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,821.82"
应付利息,"639,978.70","1,139,618.11","3,030,246.90","3,436,235.56","3,317,327.91","3,825,173.44","2,589,426.48","3,094,935.23","2,089,958.83","2,807,837.96","707,377.89","606,248.38","912,209.18","733,492.73","3,163,594.62","5,632,133.27","8,135,795.40","7,804,594.36","1,443,682.12","2,625,876.83","18,942,574.29","32,872,213.81","48,987,959.45","9,216,000.54","26,111,949.68","42,304,865.93","59,536,541.09","18,333,721.90"
应收股利,,,,,,,"28,000,000.00","28,000,000.00","28,000,000.00","28,000,000.00",,,,,,,,,,,,,,,,,"29,065,322.08","80,412,099.52"
应付股利,,,,,,,,,,,,,"26,926,200.00","1,900,000.00",,,"1,205,399.00","1,205,399.00","7,566,039.09","960,367.20","964,255.20","968,677.40","873,995.00",,"161,113.36","255,692.12",,"17,813.25"
存货,"185,178,297.87","210,368,599.92","413,644,479.94","415,334,447.77","694,387,694.32","775,534,073.05","764,863,167.74","792,926,461.14","838,756,404.28","792,272,934.55","766,911,055.91","816,747,971.39","976,943,885.26","968,344,101.59","1,113,831,013.39","1,293,757,439.67","1,670,426,898.62","2,192,233,196.67","1,534,168,395.50","1,693,341,980.75","1,006,917,282.80","1,781,472,222.55","1,213,415,890.42","1,700,921,983.31","1,561,992,810.62","2,030,570,166.04","2,380,398,156.96","4,223,950,693.30"
其他应付款,"70,888,254.53","110,264,329.82","212,316,783.76","212,355,053.68","189,444,288.61","237,791,067.41","184,726,939.82","174,548,021.11","161,534,333.99","136,334,044.52","129,145,802.41","131,800,583.40","133,301,305.72","178,978,206.09","288,351,000.00","202,761,936.26","243,589,581.98","302,888,176.08","319,618,582.93","359,321,089.47","480,430,933.78","638,454,315.00","819,596,580.39","754,230,761.84","1,408,882,028.61","1,486,704,526.44","1,508,088,778.30","1,753,741,026.99"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,"3,084,800.00","3,128,387.13","3,218,231.80","3,280,809.55",,,,,,"14,690,760.68","7,681,411.57","2,011,846.48",,,,,"31,850,000.00","33,650,000.00","17,813,518.38"
一年内到期的非流动负债,,"50,000,000.00","200,000,000.00","177,000,000.00","109,000,000.00","109,000,000.00","182,614,228.85","177,215,107.44","136,227,106.15","144,888,063.17","68,566,030.02","70,299,289.81","223,499,783.86","224,706,199.68","245,225,659.97","283,035,729.39","136,471,997.10","164,444,933.19","143,229,255.58","136,204,360.67","136,875,245.37","145,406,820.70","199,164,659.96","197,659,916.42","388,822,181.29","567,700,544.20","560,088,032.47","785,375,222.50"
其他流动资产,,,,,,,"245,435,075.76","236,903,010.19","239,722,065.28","241,739,456.60","242,258,867.89","218,225,965.02","244,950,696.99","304,413,019.59","273,623,736.21","181,236,329.52","1,003,343,986.54","1,114,778,201.02","191,341,662.56","907,358,020.47","173,861,966.52","409,077,116.48","392,300,789.61","1,270,188,348.72","948,325,915.38","1,103,304,481.54","1,068,093,887.38","1,493,599,941.67"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"661,828,796.31","1,010,926,385.15","1,253,048,817.59","3,090,342,605.41","2,909,257,751.28","2,607,468,233.75","2,613,739,006.30","2,662,003,992.31","2,322,910,645.11","2,203,587,982.96","2,158,899,898.23","2,208,786,300.87","2,564,881,279.08","2,536,679,332.45","3,341,165,784.38","3,314,574,935.17","5,385,081,845.12","6,053,785,219.84","6,439,487,943.60","7,435,081,504.04","7,179,277,039.91","9,927,134,105.67","12,042,000,820.33","13,379,976,859.11","14,557,350,220.27","15,799,845,397.10","18,927,399,540.81","20,401,826,314.59"
流动负债合计,"489,589,028.60","571,269,428.13","1,045,892,981.44","1,369,243,989.93","1,411,680,709.71","1,259,391,110.22","1,415,482,308.57","1,490,905,930.34","1,179,856,725.98","1,204,864,502.25","1,200,576,013.88","1,246,066,940.40","1,641,565,783.75","1,627,537,953.06","2,549,993,474.28","1,948,465,232.66","2,383,171,503.05","3,063,754,655.53","3,781,301,979.95","3,707,723,205.14","4,109,660,942.43","4,182,906,887.66","6,451,369,871.41","7,759,064,246.65","11,803,065,771.33","13,058,473,262.15","12,340,119,486.90","14,026,188,382.50"
可供出售金融资产,,,,,,,,,,,,,,"75,471,929.98","67,353,384.78","125,021,088.72","75,604,461.53","72,982,864.62","152,168,996.73","144,049,507.89","144,043,309.32","162,312,302.05","152,323,864.60","120,193,548.39","120,193,548.39","60,193,548.39","60,193,548.39","60,193,548.39"
长期借款,"216,000,000.00","326,000,000.00","138,000,000.00","132,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00","82,000,000.00","73,000,000.00","73,000,000.00","209,000,000.00","200,000,000.00","195,000,000.00","186,000,000.00","186,000,000.00","177,000,000.00","37,000,000.00","178,000,000.00","198,000,000.00","450,678,600.00","389,000,000.00","591,346,070.00","1,023,931,628.41","1,750,071,628.41","1,812,281,628.41","1,662,781,628.41","1,655,781,628.41","1,168,869,916.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,"47,164,057.15","48,112,735.70","48,365,487.38","48,618,239.06","48,870,990.74",,,,,,,,,,,,,,"992,095,626.67","992,462,195.56","992,828,764.45","993,195,333.34","993,574,803.84","993,954,274.35","994,333,744.86","3,148,179,879.56","3,177,561,136.45"
长期应收款,,,,,,,,,,,,,,,,,,,"50,802,571.00","50,802,571.00","50,802,571.00","50,802,571.00","52,063,868.35","52,113,323.98","52,096,394.89","31,055,915.50","32,076,415.78","32,009,858.44"
长期应付款,,,"426,953,630.06","410,303,858.51","393,322,431.34","375,937,459.23","281,835,990.09","261,089,830.77","242,852,856.72","262,536,856.07","252,749,429.08","238,763,322.74","250,566,967.80","235,045,698.63","304,719,094.72","364,634,935.60","337,760,788.11","484,181,244.17","472,423,806.49","446,129,247.97","541,670,315.49","510,054,010.22","366,462,638.27","339,263,680.14","406,646,854.98","799,987,689.78","645,377,397.72","716,128,966.57"
长期股权投资,"41,927,076.05","15,162,935.13","31,803,723.27","31,803,723.27","111,790,777.06","113,290,777.06","77,279,115.91","77,279,115.91","77,104,689.37","77,104,689.37","76,993,059.46","76,993,059.46","76,908,198.33",,,"31,432,995.86","97,905,456.47","107,572,240.46","131,143,221.40","130,139,770.85","135,960,133.86","161,329,277.35","232,914,646.75","237,006,881.52","298,590,006.28","350,676,847.40","515,189,968.88","636,192,211.57"
专项应付款,,,,,,,,,"1,400,000.00","1,400,000.00",,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,"91,795,770.00","91,795,770.00","91,795,770.00","99,496,037.87","24,230,698.05","33,783,219.69","55,395,852.76","61,200,617.99","82,742,576.62","95,481,893.24","117,295,389.66","142,968,251.05","181,876,231.26","202,906,389.33"
固定资产,"510,328,616.18","696,141,242.25","1,566,396,892.13","1,589,885,013.68","1,586,873,966.99","1,708,038,182.38","1,672,092,933.87","1,635,374,074.23","1,635,943,021.70","1,739,002,268.23","1,988,843,392.21","1,985,553,817.66","2,114,052,921.25","2,168,549,457.14","2,376,672,107.67","2,104,007,350.59","2,130,822,661.12","2,321,806,639.51","2,621,042,774.74","2,789,041,544.83","4,214,864,328.55","4,488,255,821.35","4,590,664,554.37","4,790,864,294.04","7,513,359,573.20","10,198,415,293.87","10,803,548,307.89","10,611,865,266.93"
递延所得税负债,,,,,,,,,,,,,,"62,302.42",,,,,487.69,487.69,"60,264.05",487.69,"1,855,145.68","1,855,145.68",,,,
在建工程,"56,074,196.52","330,994,260.70","171,660,692.80","131,492,053.71","185,631,587.10","164,796,802.77","185,488,842.19","215,453,991.93","250,027,193.72","330,731,292.36","288,308,989.89","314,203,460.59","272,996,307.20","279,831,850.76","459,129,473.88","223,657,634.93","271,936,039.73","502,370,848.30","577,384,042.89","846,204,340.44","544,555,478.41","750,255,017.10","1,320,648,679.77","2,456,275,145.52","3,325,152,709.70","2,210,307,487.86","1,358,593,723.02","1,747,663,210.12"
其他非流动负债,,,"16,850,000.00","15,732,070.00","16,167,734.04","15,958,359.05","29,241,024.05","28,965,399.05","28,689,774.05","30,862,542.94","32,924,071.19","32,786,369.76","33,111,433.07","39,722,486.01","54,271,867.36",,,,,,,,,"225,000,000.00","225,000,000.00","425,000,000.00","425,000,000.00","425,000,000.00"
工程物资,,,,,,,,,,,,,,,,,,,"36,725.22","3,205.13","20,170.51","2,393,514.52","67,502,335.51","24,450,561.95","5,191,050.42","22,414,371.94","22,488,232.85","96,173,875.42"
非流动负债合计,"216,000,000.00","373,164,057.15","629,916,365.76","606,401,415.89","540,108,404.44","522,766,809.02","393,077,014.14","372,055,229.82","345,942,630.77","367,799,399.01","494,673,500.27","471,549,692.50","478,678,400.87","460,830,487.06","636,786,732.08","690,470,647.28","522,952,810.75","838,998,007.81","773,685,121.27","2,002,908,267.87","2,060,770,844.87","2,241,232,398.63","2,627,424,885.12","3,563,873,490.55","3,721,233,222.71","4,210,873,634.49","6,299,436,253.63","5,931,284,304.40"
固定资产清理,,,,,,,,,,,,,,,,"83,182.74",,,,,,,,,,"150,880.86",,
负债合计,"705,589,028.60","944,433,485.28","1,675,809,347.20","1,975,645,405.82","1,951,789,114.15","1,782,157,919.24","1,808,559,322.71","1,862,961,160.16","1,525,799,356.75","1,572,663,901.26","1,695,249,514.15","1,717,616,632.90","2,120,244,184.62","2,088,368,440.12","3,186,780,206.36","2,638,935,879.94","2,906,124,313.80","3,902,752,663.34","4,554,987,101.22","5,710,631,473.01","6,170,431,787.30","6,424,139,286.29","9,078,794,756.53","11,322,937,737.20","15,524,298,994.04","17,269,346,896.64","18,639,555,740.53","19,957,472,686.90"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
