科目,2008年度,2009年度,2010年度,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
一、营业收入,"298,485,172.15","228,716,538.06","386,914,110.44","226,411,381.07","451,745,820.58","105,366,207.00","226,740,682.62","331,548,181.01","421,549,388.95","100,252,952.30","210,308,258.24","325,739,647.84","507,049,283.14","129,813,890.86","286,346,358.06","476,482,042.12","653,623,608.32","131,364,077.64","323,177,132.16","522,195,222.43","705,260,903.48","157,968,271.93","317,525,906.95","512,032,395.02","716,028,565.33","163,462,156.92","351,426,682.11","584,189,721.42","786,940,122.75","166,320,265.25","365,601,575.27"
二、营业利润,"64,667,379.46","12,257,981.57","51,014,986.01","21,503,752.40","54,962,409.31","7,726,864.44","22,552,532.81","29,030,882.87","41,304,084.46","5,625,504.97","12,867,235.50","13,350,977.52","-8,810,164.60","1,628,592.14","5,133,567.33","11,679,541.41","17,864,805.52","-2,304,151.05","3,260,745.60","8,474,515.77","11,220,541.64","1,272,768.02","5,178,019.46","10,924,360.84","11,341,316.36","-1,904,596.21","-923,948.56","-3,971,745.20","-178,570,154.18","-13,851,446.18","-11,341,637.83"
减:营业成本,"193,892,962.63","164,776,194.58","264,064,531.95","157,157,262.56","310,151,023.11","73,529,067.78","158,310,087.11","233,888,555.12","292,459,131.41","73,011,076.43","152,722,043.37","240,969,741.69","384,302,949.53","103,738,478.40","222,473,145.79","359,056,463.26","481,439,656.28","97,927,075.32","243,070,424.97","387,394,647.00","514,760,049.45","112,634,849.39","221,340,119.88","354,283,936.35","504,421,800.27","119,645,372.86","247,642,946.35","416,367,048.70","571,026,900.55","127,271,722.42","277,329,621.23"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"64,329.85","92,329.28","323,972.10","1,646,723.09","3,077,526.84","1,148,106.60","2,178,431.64","2,281,478.02","2,388,399.93","86,256.94","215,845.27","448,666.20","2,238,502.14","392,399.43","1,790,299.52","3,006,087.15","4,103,318.75","806,409.10","2,010,026.82","2,641,895.59","3,340,444.64","1,314,915.81","2,322,729.22","3,099,027.96","8,532,890.09","2,481,214.77","5,377,185.29","8,778,397.46","11,935,369.88","2,931,655.00","5,729,780.24"
营业外收入,"992,884.12","5,393,146.77","8,295,798.43","3,359,734.69","7,533,005.39","1,307,746.44","2,579,911.63","4,459,600.48","8,342,458.28","1,455,485.78","5,032,392.81","8,270,359.96","24,537,176.54","1,553,827.44","3,864,998.46","5,077,085.19","10,432,064.68","5,988,418.66","7,202,666.70","8,566,554.80","11,563,618.47","1,174,994.50","3,702,099.63","5,278,481.13","8,216,780.05","4,551,462.37","6,070,093.71","10,451,181.04","214,732.86",0.18,0.18
销售费用,"9,878,819.15","11,083,072.73","14,705,589.97","7,398,632.00","13,234,955.93","3,255,423.50","6,834,904.28","10,539,168.60","13,727,104.16","4,189,661.41","7,271,693.60","11,300,091.48","15,557,910.14","3,458,591.04","7,836,542.16","12,841,135.92","18,915,131.24","4,502,818.61","8,324,867.70","12,647,698.74","17,961,849.84","2,695,116.51","6,661,955.73","10,821,831.60","15,667,507.45","3,865,566.62","8,608,134.24","12,370,110.35","19,942,848.87","2,792,289.15","7,514,525.97"
减:营业外支出,"345,369.04","280,397.32","415,564.41","123,576.44","126,431.03","8,456.05","118,870.87","126,829.66","127,641.17","302,603.75","469,985.48","1,637,317.87","1,637,435.37","17,120.00","583,613.79","779,903.67","2,193,472.62","14,248.60","14,848.60","16,220.37","317,450.37",,"75,615.00","130,815.00","601,872.78","325,250.00","475,786.10","675,786.10","1,256,486.08",,"27,115.52"
管理费用,"26,151,977.20","34,892,045.35","47,682,812.43","31,811,789.25","56,523,379.85","16,672,446.45","32,881,203.75","51,400,537.65","65,305,190.40","15,451,658.05","31,536,978.00","50,782,875.02","94,886,401.34","18,563,514.34","45,235,205.47","81,598,141.62","116,306,118.15","29,394,932.42","59,388,614.38","97,194,469.72","136,751,145.37","32,403,859.58","64,378,219.49","99,706,365.63","138,943,941.59","36,965,428.84","73,681,215.96","119,776,464.47","178,022,549.66","37,708,674.21","71,194,903.89"
其中:非流动资产处置净损失,"41,542.94","197,264.18","79,617.12",536.56,,,,,178.65,,"343,296.12",,"343,413.62","14,120.00","14,120.00","132,982.99","827,447.94",,,,"1,230.00",,"20,615.00","20,615.00","20,615.00",,,,,,
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
