科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
取得借款收到的现金,"150,000,000.00","142,000,000.00","146,000,000.00","206,000,000.00","78,000,000.00","79,000,000.00","79,000,000.00","90,000,000.00","90,000,000.00","280,000,000.00","386,400,000.00","265,363,292.58","499,664,135.87","623,114,145.87","1,022,114,015.20","46,000,000.00","125,000,000.00","235,000,000.00","627,999,540.00","56,000,000.00","95,000,000.00","440,000,000.00","451,000,000.00","120,000,000.00","243,900,000.00","550,000,000.00","927,780,000.00","30,000,000.00","632,550,000.00","1,028,550,000.00","2,023,550,000.00","425,000,000.00","657,800,000.00","911,800,000.00","1,737,300,000.00","270,000,000.00","1,025,000,000.00"
支付的各项税费,"21,573,399.75","26,820,684.60","15,467,233.98","35,181,964.69","12,753,956.82","22,672,945.91","24,452,216.17","9,217,646.25","12,353,157.95","23,471,180.28","29,185,695.72","9,187,038.26","22,959,237.55","39,971,588.42","48,611,788.09","44,412,976.30","47,387,706.85","50,172,268.68","57,030,811.63","8,361,010.60","18,515,585.79","27,196,778.65","32,629,098.58","68,416,182.92","102,428,019.18","129,983,190.68","129,596,781.28","12,181,059.22","30,272,153.81","50,196,580.78","63,526,816.72","49,298,755.62","70,300,207.81","91,234,364.78","107,996,896.73","32,389,494.36","54,911,634.25"
收到其他与筹资活动有关的现金,,"25,340,000.00",,,,"712,229.54",,,,"3,829,983.78","2,309,856.42",,,,,,,,,,,,,,"1,910,500.00","3,677,700.00",,"125,000,000.00",,,"100,000,000.00",,,,,,
支付其他与经营活动有关的现金,"23,762,412.48","40,123,254.38","11,141,423.15","26,359,618.39","47,182,631.98","28,536,282.27","40,021,508.71","24,972,076.94","22,529,063.83","31,977,499.88","58,509,114.28","11,840,115.95","34,606,109.30","26,990,620.58","64,241,971.32","17,727,900.96","123,682,156.13","117,799,187.55","61,114,890.81","8,461,893.78","28,288,663.37","28,063,317.07","72,123,298.27","32,237,908.65","69,247,991.20","85,996,692.84","113,861,357.09","84,171,191.83","94,948,571.65","146,089,180.42","115,943,602.38","159,173,642.62","84,891,607.02","152,977,346.66","182,817,998.82","81,956,726.21","92,245,188.05"
筹资活动现金流入小计,"177,437,900.00","167,340,000.00","146,000,000.00","206,000,000.00","78,000,000.00","645,512,229.54","635,270,899.00","90,000,000.00","90,000,000.00","283,829,983.78","388,709,856.42","265,363,292.58","499,664,135.87","623,114,145.87","1,022,114,015.20","46,000,000.00","125,000,000.00","235,000,000.00","627,999,540.00","56,000,000.00","95,000,000.00","440,000,000.00","651,000,000.00","285,327,854.36","411,138,354.36","719,005,554.36","1,089,940,621.06","160,000,000.00","1,316,045,200.00","2,564,995,183.45","3,068,482,168.39","425,000,000.00","657,800,000.00","911,800,000.00","1,737,300,000.00","270,000,000.00","1,025,000,000.00"
经营活动现金流出小计,"307,353,553.56","444,727,825.83","186,592,666.11","379,364,364.87","153,355,251.74","310,331,155.87","434,409,326.81","107,783,959.34","358,041,402.06","685,797,139.36","664,395,179.80","135,763,369.24","248,605,656.23","550,402,685.35","827,040,358.72","323,532,067.64","791,568,650.08","1,148,708,839.87","809,877,935.36","384,947,308.40","563,311,380.22","781,630,954.68","484,020,221.92","400,484,067.43","586,305,990.78","885,070,311.53","820,663,268.77","256,501,837.61","641,611,933.11","963,217,312.74","1,048,812,138.12","774,485,464.21","829,913,482.24","1,189,643,200.84","1,384,229,957.16","597,849,987.25","694,371,393.65"
偿还债务支付的现金,"98,000,000.00","90,000,000.00","136,000,000.00","230,000,000.00","70,000,000.00","136,000,000.00","154,000,000.00","30,000,000.00","42,000,000.00","113,000,000.00","133,000,000.00","220,000,000.00","321,400,000.00","431,793,302.60","730,064,145.87","106,950,000.00","283,693,869.33","408,449,869.33","722,777,647.19","109,999,540.00","178,999,540.00","338,999,540.00","434,999,540.00","130,000,000.00","207,000,000.00","630,010,850.00","895,000,000.00","20,000,000.00","277,900,000.00","787,780,000.00","1,217,780,000.00","65,000,000.00","614,350,000.00","775,350,000.00","1,108,350,000.00","292,000,000.00","1,022,166,666.67"
经营活动产生的现金流量净额,"46,601,217.73","14,801,901.67","27,082,357.67","33,309,519.95","51,342,130.87","32,754,600.45","7,155,930.95","44,814,062.37","-19,091,292.93","81,219,614.96","-77,928,164.53","-9,380,215.78","36,160,772.33","4,279,521.06","-54,778,402.61","-94,296,190.17","111,411,891.37","99,685,885.70","146,855,881.96","-59,025,270.84","60,216,035.54","-100,845,266.79","-304,866,466.77","117,597,439.44","157,330,889.33","251,534,890.30","195,371,862.73","80,244,774.57","-82,116,303.75","-145,247,893.81","113,941,149.26","-228,891,771.30","-15,368,191.65","-51,145,899.96","170,914,528.79","-272,589,021.30","41,394,391.35"
分配股利、利润或偿还利息支付的现金,"6,451,833.83","8,727,631.91","4,133,642.00","8,587,474.84","2,964,897.50","4,136,031.55","5,724,070.49","1,330,669.79","27,289,258.46","30,405,191.91","34,154,342.18","5,411,445.00","37,279,714.91","42,029,754.76","54,165,425.50","7,635,177.25","26,155,804.06","33,705,036.98","41,288,106.24","5,080,586.10","17,407,708.30","22,752,782.79","28,398,542.16","9,205,598.23","18,828,630.92","35,478,451.95","63,479,423.02","10,844,322.44","42,712,760.24","47,343,803.44","75,991,242.43","6,946,357.05","83,647,172.38","126,364,650.75","176,150,729.57","27,688,463.37","102,925,915.10"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"40,000,000.00","6,000,000.00","26,000,000.00","48,525,059.02","102,787,722.34","205,831.90","29,586,708.13","48,499,751.61","96,991,450.93","15,260,869.57","81,187,883.57"
支付其他与筹资活动有关的现金,,,"23,921,100.00","23,921,100.00",,"7,656,914.16",,,,"394,000.00",,,,"67,150,000.00","1,325,333.33",,,"520,000.00",,"20,000.00","120,000.00","120,000.00","800,000.00","600,000.00","600,000.00","34,200,000.00","2,000,000.00","2,857.61",,,"100,810,000.00",,"23,521,387.55","23,521,387.55","26,634,595.10","80,000.00","80,000.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,"16,698.68",,,,,"3,712.50",,,,,,,"468,805.20","47,819.18","47,819.18","107,720.55","1,101,738.44","9,826,667.20","21,782,945.84","33,357,216.87","62,482,503.56","967,445.55","17,656,734.16"
筹资活动现金流出小计,"104,451,833.83","98,727,631.91","164,054,742.00","262,508,574.84","72,964,897.50","147,792,945.71","159,724,070.49","31,330,669.79","69,289,258.46","143,799,191.91","167,154,342.18","225,411,445.00","358,679,714.91","540,973,057.36","785,554,904.70","114,585,177.25","309,849,673.39","442,674,906.31","764,065,753.43","115,100,126.10","196,527,248.30","361,872,322.79","464,198,082.16","139,805,598.23","226,428,630.92","699,689,301.95","960,479,423.02","30,847,180.05","320,612,760.24","835,123,803.44","1,394,581,242.43","71,946,357.05","721,518,559.93","925,236,038.30","1,311,135,324.67","319,768,463.37","1,125,172,581.77"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"83,000.00","10,000.00","10,000.00",,,,,,,,,,,"18,860,000.00",,,"26,884,580.00","26,994,013.19",,"288,000.00","288,000.00","577,542.88",,"307,500.00","307,500.00","685,395.15",,,,"83,699.02","220,000.00","-3,351,084.72","-3,351,084.72","918,092.42","111,111.12","15,613,811.50"
筹资活动产生的现金流量净额,"72,986,066.17","68,612,368.09","-18,054,742.00","-56,508,574.84","5,035,102.50","497,719,283.83","475,546,828.51","58,669,330.21","20,710,741.54","140,030,791.87","221,555,514.24","39,951,847.58","140,984,420.96","82,141,088.51","236,559,110.50","-68,585,177.25","-184,849,673.39","-207,674,906.31","-136,066,213.43","-59,100,126.10","-101,527,248.30","78,127,677.21","186,801,917.84","145,522,256.13","184,709,723.44","19,316,252.41","129,461,198.04","129,152,819.95","995,432,439.76","1,729,871,380.01","1,673,900,925.96","353,053,642.95","-63,718,559.93","-13,436,038.30","426,164,675.33","-49,768,463.37","-100,172,581.77"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,119,213.54",,,,"437,078.59",,,,"-1,164,989.12",,
收到其他与投资活动有关的现金,,,"20,000,000.00","20,000,000.00",,,,,,,"14,817,863.00",,,,,,,,,,,,,,,,,"20,000,000.00","20,000,000.00","20,000,000.00","15,000,000.00","40,401,986.58","83,600,000.00","103,600,000.00","5,000,000.00","97,000,000.00","167,500,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"83,000.00","20,010,000.00","20,010,000.00",,,,,,,"14,817,863.00",,,,"18,876,698.68",,,"26,884,580.00","26,994,013.19","3,712.50","288,000.00","288,000.00","577,542.88",,"307,500.00","307,500.00","41,154,200.35","26,047,819.18","46,047,819.18","68,632,779.57","118,973,159.80","50,654,485.68","131,618,569.25","182,105,883.76","165,392,046.91","113,339,426.24","281,958,429.23"
五、现金及现金等价物净增加额,"56,411,635.42","44,695,233.00","19,078,573.21","-31,252,052.99","18,677,671.07","468,346,346.74","391,893,749.14","48,989,199.80","-97,762,713.89","54,847,365.22","-40,681,647.92","-23,750,967.37","77,934,419.46","-95,050,036.79","-15,757,819.35","-256,340,376.95","-160,541,189.82","-202,979,443.34","-103,776,834.18","-150,385,260.93","-80,095,621.61","-158,943,546.82","-296,893,122.31","68,947,951.53","12,977,874.65","-76,421,837.24","74,028,180.72","-46,816,308.21","165,856,172.44","143,270,244.72","274,336,129.62","25,257,523.32","-194,737,919.59","-217,975,494.19","29,857,538.82","-303,687,001.60","-325,172,500.83"
购建固定资产、无形资产和其他长期资产支付的现金,"38,535,648.48","38,802,036.76","9,959,042.46","28,062,998.10","37,699,562.30","62,127,537.54","90,809,010.32","54,494,192.78","99,382,162.50","101,247,041.61","151,866,711.97","54,322,599.17","97,707,493.00","181,470,646.36","213,695,065.92","93,459,009.53","57,103,407.80","91,875,002.73","111,560,515.90","32,263,576.49","39,072,408.85","98,337,198.07","49,906,116.26","20,343,889.68","25,872,383.76","38,448,575.40","19,206,680.38","15,111,721.91","17,308,801.75","15,088,446.81","20,520,238.84","15,058,834.01","15,371,009.11","17,106,844.37","388,189,994.94","1,048,943.17","6,660,238.89"
期初现金及现金等价物余额,"31,187,974.38","87,599,609.80","132,294,842.80","132,294,842.80","101,042,789.81","101,042,789.81","101,042,789.81","492,936,538.95","492,936,538.95","532,884,390.29","492,936,538.95","452,254,891.03","452,254,891.03","452,254,891.03","452,254,891.03","436,497,071.68","436,497,071.68","436,497,071.68","436,497,071.68","332,720,237.50","332,720,237.50","332,720,237.50","332,720,237.50","69,080,414.91","69,080,414.91","167,503,355.99","35,827,115.19","109,855,295.91","109,855,295.91","109,855,295.91","109,855,295.91","384,191,425.53","384,191,425.53","384,191,425.53","384,191,425.53","414,048,964.35","414,048,964.35"
投资支付的现金,,,,,,,,,,"65,156,000.00","47,260,148.66",,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,,"29,500,000.00","129,500,000.00","173,827,854.36","303,497,854.36","309,131,904.55","77,000,000.00","267,150,000.00","776,198,981.00","949,780,743.14","857,500,000.00","94,500,000.00","60,000,000.00","70,000,000.00","150,900,000.00","13,620,000.00","91,292,116.48"
期末现金及现金等价物余额,"87,599,609.80","132,294,842.80","151,373,416.01","101,042,789.81","119,720,460.88","569,389,136.55","492,936,538.95","541,925,738.75","395,173,825.06","587,731,755.51","452,254,891.03","428,503,923.66","531,692,591.32","357,204,854.24","436,497,071.68","180,156,694.73","275,955,881.86","233,517,628.34","332,720,237.50","182,334,976.57","252,624,615.89","173,776,690.68","35,827,115.19","138,028,366.44","82,058,289.56","91,081,518.75","109,855,295.91","63,038,987.70","275,711,468.35","253,125,540.63","384,191,425.53","409,448,948.85","189,453,505.94","166,215,931.34","414,048,964.35","110,361,962.75","88,876,463.52"
