科目,2009-12-31,2010-12-31,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"12,608,656.88","33,899,956.36","18,940,696.64","12,475,719.11","389,871,322.49","277,903,413.53","248,814,182.92","238,243,638.41","212,395,565.96","225,509,513.03","153,480,053.11","169,071,440.03","79,189,492.13","102,396,462.07","222,451,369.98","216,918,999.02","59,738,766.86","77,633,320.79","158,730,812.21","745,704,240.02","766,474,589.58","689,263,458.88","504,358,254.53","535,615,671.70","616,901,051.04","481,717,388.60","697,137,102.88","764,784,860.95"
短期借款,,"20,000,000.00","30,000,000.00","38,000,000.00","38,000,000.00",,,,,"10,000,000.00",,,,,,"100,000,000.00","65,000,000.00","65,000,000.00","85,000,000.00","65,000,000.00","15,000,000.00","13,986,420.00","13,986,420.00","13,986,420.00","22,829,051.19","113,829,051.19","150,770,580.00","186,285,304.00"
交易性金融资产,,"963,794.96","142,755.79","90,490.03","14,178.23","-6,206.34","2,261.85",,"-235,962.32","330,835.40","181,939.51",,"-157,115.69","-21,177.52",,"34,816.00",,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据,"5,365,263.00","43,200,000.00","14,060,193.36","190,000.00","1,000,000.00","6,440,000.00","25,890,477.86","15,388,124.13","13,602,292.88","13,952,723.10","30,050,000.00","14,199,213.06","9,455,000.00","2,136,279.74","7,210,000.00","25,432,727.49","17,790,000.00","504,963.14","27,849,200.00","37,805,500.00","68,415,318.59","7,851,885.37","32,142,212.72","20,700,000.00","17,884,320.00","135,824,754.57","241,458,629.19","66,924,654.89"
应付票据,,,"7,300,000.00","9,950,000.00",,,,,,,,,"13,684,016.00","27,584,016.00","40,390,000.00","26,490,000.00","18,150,000.00","18,150,000.00","26,958,920.00","103,272,086.18","91,563,166.18","21,151,682.52","69,337,955.90","86,133,538.75","69,603,580.00","362,766,539.54","221,163,075.89","222,890,695.71"
应收账款,"74,118,890.91","97,157,817.41","156,170,067.86","113,246,602.15","128,639,574.90","255,785,198.96","179,078,386.73","183,509,890.90","234,829,506.91","262,120,885.39","205,495,364.58","212,338,521.32","222,827,340.48","235,906,666.89","237,487,532.04","227,979,251.94","275,362,646.18","290,453,763.94","309,381,153.06","258,189,939.40","155,350,570.75","253,094,333.72","185,575,887.13","245,162,289.32","351,469,811.88","736,905,932.34","965,477,519.49","1,187,850,219.44"
应付账款,"39,667,185.58","53,788,880.46","80,850,859.87","80,105,229.58","75,814,033.86","82,470,769.40","87,809,485.20","66,068,298.71","69,578,579.68","71,405,210.82","63,333,212.23","41,827,638.97","54,368,463.08","80,542,419.73","66,762,543.75","76,351,481.19","118,950,900.13","84,139,650.65","108,652,768.43","93,677,495.48","137,802,617.06","89,523,968.17","114,646,739.74","87,611,834.78","157,084,730.94","311,895,050.44","326,475,968.54","199,077,576.63"
预付款项,"20,098,954.23","8,281,130.74","14,766,808.34","26,148,369.78","21,287,442.39","15,207,466.27","17,578,878.78","31,501,146.44","56,146,049.69","49,176,509.28","34,902,052.98","46,100,528.72","71,645,825.43","81,406,440.26","32,980,655.85","189,910,555.42","230,344,888.08","188,721,857.18","191,233,212.01","146,105,837.40","86,815,836.18","132,950,989.77","153,875,484.13","229,216,594.90","149,412,718.61","193,635,084.26","164,583,748.47","232,918,468.38"
预收款项,"189,037,344.68","101,794,594.62","91,783,400.00","118,109,118.08","102,168,390.73","75,953,970.98","33,059,474.13","74,448,322.78","115,839,496.62","86,682,765.75","143,625,169.39","128,586,056.51","156,387,533.28","153,009,047.49","132,536,006.66","196,252,337.71","157,526,892.10","168,945,649.55","96,355,271.10","139,713,697.67","154,620,578.78","220,855,495.37","307,593,879.83","380,724,992.84","320,749,102.95","360,936,290.43","166,677,969.74","216,035,624.30"
其他应收款,"17,151,188.46","10,340,608.60","10,340,400.39","12,371,595.39","9,473,899.48","10,712,580.23","9,719,243.67","6,259,466.46","8,518,532.28","7,287,586.33","6,178,429.86","13,339,214.75","12,726,927.10","10,302,241.78","26,313,412.87","22,952,833.88","20,920,255.35","24,457,205.39","23,136,740.27","18,889,831.77","22,389,297.93","33,593,284.66","28,515,248.68","33,855,072.20","33,973,812.25","46,071,082.57","34,893,983.41","28,334,482.15"
应付职工薪酬,"7,499,840.51","7,391,084.14","8,217,133.56","5,754,462.29","5,781,708.20","5,774,266.92","9,043,298.13","5,827,729.85","5,856,915.69","5,966,260.77","8,882,513.83","6,172,611.43","8,120,370.60","10,060,257.07","13,179,233.76","5,904,972.82","7,036,030.05","7,687,082.04","14,949,486.05","6,861,193.99","7,614,078.12","9,451,100.48","17,759,183.67","8,240,815.41","10,057,490.43","18,044,604.26","67,483,117.72","50,466,004.24"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"-3,059,792.99","-1,550,750.49","5,587,604.60","6,663,415.32","-7,982,557.89","13,997,273.92","3,805,475.97","-6,076,862.93","3,448,824.67","4,646,809.90","941,840.85","3,163,362.32","2,704,904.21","1,685,640.05","3,410,850.77","7,347,722.39","12,799,074.80","6,620,866.11","17,997,919.42","-8,093,749.88","5,197,865.37","2,710,138.86","11,605,243.16","14,816,943.56","9,071,154.26","15,963,595.22","72,952,240.16","102,893,168.81"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,,,,,,"132,654.87",,"19,575.00","99,575.00","22,566.63","23,757.44","24,731.47","24,731.47","173,173.92","213,476.40"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,,,"103,413.20",,,,,,,,
存货,"188,042,570.36","93,584,443.17","117,708,555.92","194,428,139.17","204,338,021.34","168,356,314.15","190,476,866.79","205,539,370.00","204,282,789.51","162,915,792.85","221,951,265.20","218,060,668.90","195,960,800.19","229,048,644.27","269,010,407.61","271,243,025.69","315,231,543.34","315,985,577.12","208,914,867.34","251,186,996.39","349,738,064.53","299,255,104.44","487,802,734.03","546,182,233.94","524,782,460.72","1,063,778,866.67","860,541,370.46","688,372,676.72"
其他应付款,"1,578,250.00","945,250.00","10,000.00","10,000.00","10,000.00","10,000.00","7,232.70","17,403.46","17,403.46","10,170.76","10,858.03","10,947.46","10,948.59","10,948.10","22,798,798.33","7,197,031.42","11,657.83","202,494.32","17,057.44","200,860.62","28,230.33","12,175.28","85,294.29","8,942.00","25,055.76","693,207,612.76","344,904,366.06","125,482,795.57"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,792,200.00","2,121,500.00"
其他流动资产,,,,,,,"285,405.56",,,,"96,349,315.98","42,169,997.55","180,015,987.95","145,015,276.75","13,862,761.77","1,445,095.48","2,067,731.81","14,214.18","381,736.31","10,119.35","15,580,567.60","1,598,181.35","233,375,506.05","86,033,230.43","9,243,108.91","58,248,916.54","241,581,709.77","28,427,472.69"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,"107,560,000.00","3,000,000.00"
流动资产合计,"317,385,523.84","287,427,751.24","332,129,478.30","358,950,915.63","754,624,438.83","734,398,766.80","671,845,704.16","680,441,636.34","729,538,774.91","721,293,845.38","748,588,421.22","715,279,584.33","771,664,257.59","806,190,834.24","809,316,140.12","955,917,304.92","921,455,831.62","897,770,901.74","919,627,721.20","1,457,892,464.33","1,464,764,245.16","1,417,607,238.19","1,625,645,327.27","1,696,765,092.49","1,703,667,283.41","2,716,182,025.55","3,205,674,063.67","2,997,612,835.22"
流动负债合计,"234,722,827.78","182,369,058.73","223,748,998.03","258,592,225.27","213,791,574.90","178,206,281.22","133,724,966.13","140,284,891.87","194,741,220.12","178,711,218.00","216,793,594.33","179,760,616.69","235,276,235.76","272,892,328.44","279,077,433.27","419,543,545.53","379,474,554.91","350,745,742.67","350,064,077.31","400,734,997.26","411,846,110.84","357,790,555.68","535,037,283.22","591,547,244.78","589,444,897.00","1,876,667,475.31","1,460,952,692.03","1,108,466,145.66"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,"133,500.00","133,500.00"
长期股权投资,,,"4,393,235.76","4,550,306.60","11,593,957.03","11,867,475.85","11,648,897.65","11,855,220.25","12,112,069.74","12,117,303.35","12,531,239.94","12,470,790.80","10,822,464.83","12,713,480.87","40,975,243.74","41,267,838.72","41,766,264.43","41,962,445.41","42,121,377.30","41,951,757.93","42,041,286.82","42,123,496.38","42,241,230.97","42,478,300.70","42,228,332.72","66,808,464.56","32,127,880.73","31,367,577.39"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000.00"
投资性房地产,"8,976,880.02","8,505,790.02","8,034,700.02","7,916,927.52","7,799,155.02","7,681,382.52","7,563,610.02","7,445,837.52","7,328,065.02","7,210,292.52","7,092,520.02","6,974,747.52","6,856,975.02","6,739,202.52","8,878,860.02","7,040,999.61","6,912,914.13","6,784,828.65","6,688,116.72","6,559,246.89","6,430,377.06","5,797,022.52","5,679,250.02","5,561,477.52","5,443,705.02","5,325,932.52","5,208,160.02","5,090,387.52"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"28,011,395.12","23,869,796.92","58,077,145.26","59,543,420.23","126,308,231.71","129,372,844.03","134,491,485.55","135,659,872.54","138,115,021.23","144,289,032.96","142,166,167.64","139,662,507.03","137,687,182.33","169,839,527.14","167,793,886.91","167,017,032.99","165,517,439.09","162,244,678.68","159,257,876.83","156,349,837.91","154,993,384.16","153,288,501.29","155,765,598.66","153,527,165.58","150,821,350.69","219,960,097.40","258,446,327.81","254,435,923.34"
递延所得税负债,,"144,569.24","21,413.37","21,413.37","2,126.73",-930.96,339.28,,"-35,394.35","49,625.31","27,290.93",,"-23,567.35","-3,176.63",,"5,222.40",,,,"47,013.60","264,655.71",,"46,950.26","46,950.26","46,950.26","8,444,929.59","8,206,540.85","8,015,716.05"
在建工程,,"1,815,118.75","39,102,332.35","46,260,158.93","1,362,549.34","3,602,871.04","29,319,013.40","28,354,305.64","28,105,859.95","23,272,417.13","29,520,717.13","30,604,717.13","33,284,462.77","2,077,550.45","52,400.00",,,,,,"4,671,192.13","4,671,192.13",,,,"3,094,772.33","11,410,311.53","11,596,178.51"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,,"144,569.24","21,413.37","21,413.37","2,126.73",-930.96,339.28,,"-35,394.35","49,625.31","27,290.93",,"-23,567.35","-3,176.63",,"5,222.40",,,,"47,013.60","264,655.71",,"46,950.26","46,950.26","46,950.26","10,826,556.66","8,340,040.85","8,649,216.05"
固定资产清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"234,722,827.78","182,513,627.97","223,770,411.40","258,613,638.64","213,793,701.63","178,205,350.26","133,725,305.41","140,284,891.87","194,705,825.77","178,760,843.31","216,820,885.26","179,760,616.69","235,252,668.41","272,889,151.81","279,077,433.27","419,548,767.93","379,474,554.91","350,745,742.67","350,064,077.31","400,782,010.86","412,110,766.55","357,790,555.68","535,084,233.48","591,594,195.04","589,491,847.26","1,887,494,031.97","1,469,292,732.88","1,117,115,361.71"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"93,026,951.02","150,000,000.00","150,000,000.00","150,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","200,000,000.00","560,000,000.00","560,000,000.00","560,000,000.00","689,442,857.00","689,442,857.00","689,442,857.00","689,442,857.00","689,442,857.00","689,442,857.00","928,632,046.00","1,007,690,641.00","1,007,690,641.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,,"31,637,244.61","31,637,244.61","31,637,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","437,827,244.61","77,827,244.61","77,827,244.61","77,827,244.61","426,963,064.22","426,963,064.22","426,963,064.22","426,963,064.22","426,963,064.22","426,963,064.22","2,305,988,201.54","3,025,085,695.35","3,025,085,695.35"
无形资产,"13,395,411.00","63,517,084.97","62,428,424.72","62,081,695.58","61,764,784.35","61,418,126.55","61,071,468.75","60,724,810.95","60,378,153.15","60,031,495.35","59,684,837.55","59,338,179.75","58,991,521.95","58,644,864.15","58,298,206.35","57,995,394.71","57,658,822.37","57,317,477.95","56,967,444.07","56,617,410.19","56,271,364.67","56,388,067.10","56,258,274.36","55,929,343.45","56,077,146.32","119,729,358.76","118,334,310.53","116,673,947.38"
