科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"29,859,460.70","57,806,348.65","108,407,063.74","179,109,374.53","43,605,354.08","69,365,723.05","128,289,290.61","228,960,430.46","35,014,259.30","80,566,522.98","112,457,586.88","168,276,236.33","42,209,385.47","97,290,564.40","150,141,252.72","217,717,319.36","42,917,269.39","88,827,069.10","150,076,498.41","253,387,913.57","73,372,122.39","121,787,257.02","156,992,672.68","235,875,980.38","16,353,693.11","46,720,255.37","64,523,725.21","80,198,498.44","5,622,673.60","12,837,804.23","20,741,970.76","35,893,979.85","6,678,378.64","14,452,990.92","13,536,544.19","16,104,568.73","6,266,466.53","13,907,979.43","19,239,579.95","21,146,169.07","7,549,943.52","18,518,802.41","28,444,190.63"
三、利润总额,"13,292,596.94","28,797,764.68","26,670,752.35","62,579,687.28","46,536,032.37","53,415,108.86","42,006,809.66","-44,399,038.05","26,961,964.22","35,616,219.55","18,952,081.53","16,553,602.19","-28,845,059.23","-247,288,520.43","-283,389,890.22","-340,497,072.55","-72,667,567.32","-206,303,945.85","-349,168,498.33","-1,252,381,271.45","-92,046,738.82","-209,422,832.72","-364,817,930.77","74,436,271.54","-56,178,330.44","-109,367,014.35","-168,918,806.91","-467,698,379.75","-7,444,613.14","-29,749,029.98","-54,016,136.67","108,802,971.12","-10,340,340.48","-30,870,500.66","-72,562,651.90","-59,099,675.34","-22,715,259.65","-58,208,037.42","-94,620,778.80","-269,033,780.11","-21,338,663.30","-39,376,241.12","159,173,340.51"
资产减值损失,"-167,286.90","-7,132,576.90","5,201,209.91","22,131,735.82","4,619,222.97","-4,931,535.10","4,247,860.65","54,100,761.81",,"-1,106,955.07","-1,114,711.05","9,512,933.12","2,633,302.05","84,189,299.28","28,113,300.36","197,710,243.25","-33,041,486.68","22,923,004.65","21,401,657.63","779,670,293.22","-250,937.66","6,781,378.45","17,630,880.94","210,699,163.14","4,966,676.06","13,176,167.26","14,697,694.58","180,515,927.16","-5,086,724.62","1,523,543.85","1,421,202.48","153,346,719.99","544,100.14","19,044,870.05","21,739,163.63","72,366,488.06","-197,762.54","2,053,991.57","3,024,386.25","121,758,772.30","-316,446.59","2,181,981.93","1,803,081.84"
减:所得税,"1,961,850.15","1,959,104.78","1,972,072.02","3,638,047.49","1,387,626.73","1,756,640.36","5,237,314.65","26,333,448.81","607,203.80","-13,914.68","-13,914.68","1,867,497.15","910,735.58","551,571.34","551,571.34","12,428,364.60",,,,"64,825,859.19","275,294.16","352,045.85","191,197.70","68,518,873.31",,"1,350.00","1,350.00","1,142,869.50",,,"172,346.15","637,821.61",,"16,622.86","282,756.90","60,449.41",,"43,193.62","93,052.87","-361,603.28",,"1,993,278.36","7,944,761.55"
加:公允价值变动净收益,,,,,,,,"-37,321,994.87","3,482,782.62","15,658,605.83","17,857,453.17","34,409,264.13","1,739,494.22","-5,331,421.86","-6,027,005.26","1,811,509.71",,"1,022,100.03","1,022,100.03",,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"-610,296.76","-5,017,667.35","-3,952,008.76","-7,082,387.69","-324,964.02","4,553,644.20","2,065,556.59","4,289,899.70","-564,300.27","2,803,114.15","2,675,298.82","-7,919,863.04","1,995,934.38","671,935.64","2,015,506.92","482,528,891.54","-679,658.51","-1,549,314.20","-2,264,586.32","-570,816.75","-350,513.57","-3,205,628.80","-6,093,081.44","-7,916,048.04","-152,790.69","-200,281.71","-498,519.44","-6,324,313.44",,"-309,856.74","-649,991.92","-649,991.92",,,1.00,1.00,,,,,,,
四、净利润,"11,330,746.79","26,838,659.90","24,698,680.33","58,941,639.79","45,148,405.64","51,658,468.50","36,769,495.01","-70,732,486.86","26,354,760.42","35,630,134.23","18,965,996.21","14,686,105.04","-29,755,794.81","-247,840,091.77","-283,941,461.56","-352,925,437.15","-72,667,567.32","-206,303,945.85","-349,168,498.33","-1,317,207,130.64","-92,322,032.98","-209,774,878.57","-365,009,128.47","5,917,398.23","-56,178,330.44","-109,368,364.35","-168,920,156.91","-468,841,249.25","-7,444,613.14","-29,749,029.98","-54,188,482.82","108,165,149.51","-10,340,340.48","-30,887,123.52","-72,845,408.80","-59,160,124.75","-22,715,259.65","-58,251,231.04","-94,713,831.67","-268,672,176.83","-21,338,663.30","-41,369,519.48","151,228,578.96"
其中:对联营企业和合营企业的投资权益,"-610,296.76","-2,372,941.49","1,001,473.61","-3,285,878.21","-590,615.83","4,098,566.83","1,493,615.94","-1,101,728.89",,,"1,931,398.99","1,603,812.43","1,779,628.63","471,414.14","1,814,985.42","-14,849,383.03","-823,498.51","-552,877.40","-938,693.58","-2,085,636.53","-10,770,182.75",,"-5,424,985.48",,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"5,883,233.33","16,509,950.04","14,226,837.43","56,047,527.52","27,380,308.86","32,461,403.37","20,056,205.21","-42,160,656.71","23,538,930.19","32,859,957.79","17,021,168.53","27,774,854.98","-26,319,606.92","-217,307,079.57","-249,669,297.45","-215,127,335.65","-54,746,332.31","-173,299,401.87","-302,849,687.17","-1,151,646,489.53","-85,526,072.34","-189,726,750.18","-327,662,081.34","64,021,480.05","-49,871,178.39","-98,412,661.42","-153,853,631.58","-365,679,191.94","-6,635,770.52","-27,222,547.30","-49,106,031.66","11,269,942.20","-8,769,262.02","-25,362,620.11","-64,553,942.27","-48,308,582.78","-22,442,614.68","-54,720,007.25","-91,255,014.13","-254,111,462.52","-20,725,628.91","-40,068,245.37","79,901,514.06"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"5,447,513.46","10,328,709.86","10,471,842.90","2,894,112.27","17,768,096.78","19,197,065.13","16,713,289.80","-28,571,830.15","2,815,830.23","2,770,176.44","1,944,827.68","-13,088,749.94","-3,436,187.89","-30,533,012.20","-34,272,164.11","-137,798,101.50","-17,921,235.01","-33,004,543.98","-46,318,811.16","-165,560,641.11","-6,795,960.64","-20,048,128.39","-37,347,047.13","-58,104,081.82","-6,307,152.05","-10,955,702.93","-15,066,525.33","-103,162,057.31","-808,842.62","-2,526,482.68","-5,082,451.16","96,895,207.31","-1,571,078.46","-5,524,503.41","-8,291,466.53","-10,851,541.97","-272,644.97","-3,531,223.79","-3,458,817.54","-14,560,714.31","-613,034.39","-1,301,274.11","71,327,064.90"
