科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"6,794,359.59","20,481,617.72","26,259,424.89","45,214,151.37","11,544,563.30","21,701,191.85","31,255,474.69","69,738,372.75","11,854,628.75","23,178,671.02","35,650,974.40","74,437,302.72","12,626,728.24","24,524,101.83","36,684,224.34","90,117,553.85","49,637,664.92","30,299,194.54","45,035,715.84","83,446,313.69","18,298,301.65","29,468,383.76","41,454,326.26","59,645,766.13","23,160,512.74","40,377,535.63","59,369,375.36","82,151,676.48","20,392,235.68","37,928,176.69","54,925,447.06","76,830,190.57","22,361,871.20","39,472,570.01","58,217,358.81","83,687,261.85","15,464,312.85","36,084,222.24","58,163,088.00","86,462,835.77","32,852,555.02","63,507,770.70","106,240,140.70","160,496,231.50","44,522,517.36","124,160,770.87"
取得借款收到的现金,"5,000,000.00","35,000,000.00","40,000,000.00","66,000,000.00","10,000,000.00","24,500,000.00","54,500,000.00","95,400,000.00","26,000,000.00","56,000,000.00","67,000,000.00","92,000,000.00",,"27,391,100.00","95,091,100.00","142,200,000.00",,"151,234,000.00","179,700,000.00","222,200,000.00","6,000,000.00","75,500,000.00","95,500,000.00","188,000,000.00",,"100,000,000.00","132,500,000.00","195,500,000.00","44,500,000.00","142,200,000.00","156,700,000.00","196,700,000.00",,"56,000,000.00","56,000,000.00","86,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00","10,000,000.00",,,,"10,000,000.00","34,000,000.00","34,000,000.00"
支付的各项税费,"7,012,065.67","14,151,002.34","19,956,753.21","27,710,933.15","15,597,701.31","33,723,169.78","41,451,092.75","44,714,960.83","7,837,882.70","19,927,634.36","36,380,494.21","56,372,501.81","19,364,492.21","52,666,116.62","74,436,792.17","96,275,052.16","18,134,148.84","44,312,542.26","58,459,449.51","62,786,610.93","10,020,473.46","19,683,655.58","24,718,727.23","35,999,817.30","7,907,885.18","19,938,451.95","30,155,747.87","40,806,630.39","3,860,266.85","14,471,528.91","18,633,991.95","27,394,043.37","6,715,763.69","13,955,324.73","18,348,852.96","28,069,089.46","4,561,902.27","31,804,051.43","45,595,115.59","48,556,097.31","18,933,028.15","23,816,526.75","37,325,224.13","41,476,063.09","16,732,588.76","36,046,125.11"
收到其他与筹资活动有关的现金,"491,050.00","1,626,483.21","1,626,483.21",,,"3,000,000.00","3,500,000.00",,,"6,926,633.49","13,926,633.49","1,926,633.49","89,316,481.90","3,000,000.00","3,000,000.00",,"1,388,850.00","12,031,669.19","12,237,315.19",,"17,990,863.41","17,000,000.00","17,000,000.00","20,000,000.00","4,000,000.00","4,000,008.44","4,000,008.44",,,"33,819,502.73","38,399,641.24","41,482,458.44","2,012,932.17","2,016,911.37","2,016,934.67","450,000.00",,,"130,000.00","45,024,622.29","4,487,413.55","6,737,413.55","6,737,413.55","160,501,386.59",,
支付其他与经营活动有关的现金,"10,054,144.25","24,163,602.81","45,291,187.79","42,145,954.53","21,709,118.36","38,711,609.25","51,713,629.35","99,748,676.76","24,448,612.29","77,483,908.09","131,013,469.32","196,584,323.62","71,575,795.22","170,532,078.81","264,770,914.11","306,483,728.38","49,790,424.34","156,871,700.18","217,582,877.33","211,862,391.15","7,380,352.44","16,801,490.14","27,451,983.96","33,873,859.57","10,532,737.83","23,610,289.13","31,571,546.84","40,886,387.01","6,682,825.13","12,845,205.14","22,569,622.57","24,176,422.58","6,341,284.17","13,613,309.88","19,126,993.30","27,688,393.42","7,024,182.34","32,635,963.96","59,964,330.85","67,239,219.89","57,628,213.39","124,701,957.80","193,576,159.85","206,710,570.90","49,244,289.30","78,013,877.00"
筹资活动现金流入小计,"136,928,720.20","168,064,153.41","173,064,153.41","197,048,375.18","10,000,000.00","27,500,000.00","58,000,000.00","91,933,145.36","173,475,520.00","210,402,153.49","231,402,153.49","244,402,153.49","89,316,481.90","33,391,100.00","135,947,200.00","192,306,100.00","1,388,850.00","169,265,669.19","205,287,315.19","238,550,000.00","23,990,863.41","92,900,000.00","112,900,000.00","529,249,500.00","4,000,000.00","104,000,008.44","136,500,008.44","195,500,000.00","44,500,000.00","181,954,502.73","201,034,641.24","244,117,458.44","2,012,932.17","58,016,911.37","58,016,934.67","86,450,000.00","10,000,000.00","12,450,000.00","1,007,069,992.37","1,057,844,614.66","4,487,413.55","7,717,413.55","16,052,413.55","171,971,386.59","34,000,000.00","34,000,000.00"
经营活动现金流出小计,"52,275,759.14","125,296,587.02","183,515,854.33","263,745,203.21","111,974,598.86","262,883,150.86","381,136,283.45","563,444,740.44","185,233,856.42","302,493,453.31","488,203,120.83","768,798,976.36","211,177,690.93","474,772,698.63","728,544,629.42","1,093,767,471.20","208,688,373.76","417,988,972.37","584,473,532.45","738,383,333.57","102,469,086.57","178,233,270.12","260,566,842.52","368,624,249.42","112,835,636.74","227,848,206.19","340,104,679.16","480,587,415.80","112,333,068.57","209,453,773.98","304,727,544.48","396,024,192.35","86,711,895.20","175,933,318.75","239,803,934.33","329,641,939.31","82,443,926.35","200,653,738.90","317,525,843.07","485,971,049.58","177,002,918.54","344,315,903.74","551,432,444.03","680,943,153.94","224,002,953.68","459,139,420.65"
偿还债务支付的现金,"5,000,000.00","20,000,000.00","25,000,000.00","43,500,000.00",,"14,500,000.00","55,760,000.00","102,960,000.00","20,000,000.00","50,000,000.00","61,000,000.00","86,900,000.00","25,000,000.00","42,300,000.00","57,004,504.87","104,503,762.97","1,196,592.60","150,357,438.51","178,700,000.00","182,574,962.46","6,000,000.00","30,500,000.00","62,500,000.00","179,197,337.68","18,200,000.00","142,400,000.00","152,900,000.00","237,745,000.00","10,000,000.00","111,075,000.00","154,075,000.00","191,200,000.00","7,000,000.00","108,000,000.00","123,500,000.00","247,200,000.00","28,500,000.00","33,500,000.00","137,500,000.00","137,500,000.00",,,,,,"308,610.64"
经营活动产生的现金流量净额,"-797,909.15","1,712,870.28","7,312,175.78","18,243,717.04","4,828,940.41","56,723,377.48","-15,325,241.43","-9,537,989.93","-7,612,074.49","-1,251,866.12","121,765.15","5,541,232.71","-6,089,813.38","-3,954,466.52","3,280,734.14","13,748,280.54","5,742,634.95","-7,514,066.72","-7,198,413.66","-3,086,953.13","-2,911,631.23","15,016,752.57","32,266,253.31","38,596,596.77","-10,855,110.14","-11,305,703.16","-33,892,300.05","-42,277,890.79","-3,992,210.50","-6,825,563.49","-12,706,607.86","1,243,892.86","-3,165,930.40","6,478,430.06","21,360,520.55","20,568,531.28","-19,309,085.35","-47,695,620.61","-46,367,621.90","22,037,147.38","-73,582,211.65","-79,652,779.88","-113,028,425.71","-30,910,947.64","-46,678,266.04","-105,922,278.20"
分配股利、利润或偿还利息支付的现金,"1,912,295.49","7,247,588.76","10,255,743.48","10,537,187.78","3,775,763.43","7,123,243.31","11,800,634.57","18,107,854.43","5,374,999.40","8,937,813.90","12,307,168.58","15,248,791.45","2,902,386.23","5,708,635.29","9,444,775.11","15,353,295.59","2,548,345.62","5,872,452.64","12,674,410.57","19,085,853.09","5,533,458.21","11,831,159.05","17,703,445.12","24,595,608.07","6,339,324.59","11,382,983.36","19,961,586.41","27,703,154.38","5,560,050.77","20,701,113.07","26,201,409.81","31,429,015.87","5,123,511.67","9,433,349.72","14,763,396.18","18,674,380.62","1,528,958.33","11,149,098.03","12,350,885.20","12,350,885.20",,,"655,786.15","664,605.59",,"745,357.05"
收回投资收到的现金,,,,,,"4,076,378.26","4,451,077.28","4,271,095.00",,"21,810.00","1,341,630.00","6,970,930.00","9,034,801.41","10,449,905.00","10,590,080.81","10,981,808.00",,,,"770,762.84","3,910,074.67","11,020,454.46","11,020,454.46","18,042,993.90","3,884,094.20","3,884,094.20","9,107,002.63","46,491,837.62","4,080,000.00",,,"5,000,000.00",,,"49,840,000.00","49,840,000.00",,"18,000,000.00","18,000,000.00","18,000,000.00",1.00,,,"19,671,462.73","1,665,844.66","1,665,844.66"
支付其他与筹资活动有关的现金,"8,601,691.39","27,570,492.11","32,970,492.11","62,370.00","7,200,000.00","10,800,000.00","16,208,000.00","3,600,000.00","3,946,895.00","17,209,867.03","21,350,072.44","7,929,394.84","86,504,548.22","1,435,426.35","1,525,626.85",,,"3,377,090.05","5,827,930.84","3,858,865.50","3,371,884.00","691,483.09","853,163.09","2,869,650.95","6,605,176.36","9,140,860.17","17,403,400.17","16,950,006.14","3,276,871.22","6,679,320.00","9,432,560.00","3,544,160.00","2,530,650.81","5,065,084.44","5,065,084.44","3,065,000.00",,"2,146,842.88","2,299,043.75","6,015,623.69","12,252,000.00","12,252,000.00","12,252,000.00","22,127,333.88",,"29,369,520.00"
取得投资收益收到的现金,,,,,,,,"187,366.62",,,"621,794.75","1,158,362.52","126,168.54","515,770.94","418,466.71","584,424.65",,"1,928,347.20","1,928,347.20","2,855,457.62",,"689,785.10","689,785.10","21,156,750.87","10,739,967.34","11,592,344.94","11,749,050.86","71,954,219.59",,"1,604,731.30","1,604,731.30","1,707,783.25",,"935,245.00","88,278,965.72","88,559,706.89",,"11,981,351.18","12,404,828.35","12,715,032.63","7,152,288.73","10,460,796.04","12,144,746.04","119,683,537.12","15,061,919.07","15,736,919.07"
筹资活动现金流出小计,"15,513,986.88","54,818,080.87","68,226,235.59","54,099,557.78","10,975,763.43","32,423,243.31","83,768,634.57","124,667,854.43","29,321,894.40","76,147,680.93","94,657,241.02","110,078,186.29","114,406,934.45","49,444,061.64","67,974,906.83","119,857,058.56","3,744,938.22","159,606,981.20","197,202,341.41","205,519,681.05","14,905,342.21","43,022,642.14","81,056,608.21","206,662,596.70","31,144,500.95","162,923,843.53","190,264,986.58","282,398,160.52","18,836,921.99","138,455,433.07","189,708,969.81","226,173,175.87","14,654,162.48","122,498,434.16","143,328,480.62","268,939,380.62","30,028,958.33","46,795,940.91","152,149,928.95","155,866,508.89","12,252,000.00","12,252,000.00","12,907,786.15","22,791,939.47",,"30,423,487.69"
处置固定资产、无形资产和其他长期资产收回的现金净额,"100,000.00","100,000.00","456,426.86","402,762.60",,,"100,000,000.00","117,960,587.92",,,,"16,000,000.00",,"252,681.00","369,342.00","6,427,674.35","1,100.00","1,100.00","241,100.00","2,441,100.00","210,000.00","241,686.31","241,686.31","135,493.31",,"7,000.00","757,000.00","1,618,000.00","28,000.00","28,000.00","32,720.00","43,704.00",420.00,"331,752.00","331,752.00","396,562.00","139,500.00","146,879.56","610,395.08","20,650,505.08","1,707.97","68,692.57","182,937.77","1,138,045.91","18,400.00","44,900.00"
筹资活动产生的现金流量净额,"121,414,733.32","113,246,072.54","104,837,917.82","142,948,817.40","-975,763.43","-4,923,243.31","-25,768,634.57","-32,734,709.07","144,153,625.60","134,254,472.56","136,744,912.47","134,323,967.20","-25,090,452.55","-16,052,961.64","67,972,293.17","72,449,041.44","-2,356,088.22","9,658,687.99","8,084,973.78","33,030,318.95","9,085,521.20","49,877,357.86","31,843,391.79","322,586,903.30","-27,144,500.95","-58,923,835.09","-53,764,978.14","-86,898,160.52","25,663,078.01","43,499,069.66","11,325,671.43","17,944,282.57","-12,641,230.31","-64,481,522.79","-85,311,545.95","-182,489,380.62","-20,028,958.33","-34,345,940.91","854,920,063.42","901,978,105.77","-7,764,586.45","-4,534,586.45","3,144,627.40","149,179,447.12","34,000,000.00","3,576,512.31"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"70,000,000.00","70,000,000.00","61,936,223.97",,,,"-3,710,022.03",,,,-42.66,,,,,,,,,,,,,,,,"346,096,796.74",,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"60,409,500.55",,,,,,,,,,,"3,686.76","60,000.00","60,000.00","25,000,000.00",,,,,"-1,381,969.59","2,753,573.56","2,753,573.56",,,"2,334,691.90","22,340,835.77","4,902,300.00",,,"5,000,000.00",,,,,,,"103,390,464.85","103,390,464.85","168,241,762.41","151,000,000.00","528,000,000.00","685,680,069.51","744,000,000.00","182,000,000.00","282,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"100,000.00","60,509,500.55","456,426.86","402,762.60",,"4,076,378.26","104,451,077.28","122,419,049.54",,"21,810.00","1,963,424.75","24,129,292.52","9,164,656.71","11,278,356.94","11,437,889.52","42,993,907.00","1,100.00","71,929,447.20","72,169,447.20","68,003,544.43","2,738,105.08","14,705,499.43","14,705,499.43","35,625,216.05","14,624,061.54","17,818,131.04","43,953,889.26","124,966,314.55","4,108,000.00","1,632,731.30","6,637,451.30","6,751,487.25",420.00,"1,266,997.00","138,450,717.72","138,796,268.89","139,500.00","133,518,695.59","134,405,688.28","219,607,300.12","158,153,997.70","538,529,488.61","698,007,753.32","1,230,589,842.50","198,746,163.73","299,447,663.73"
五、现金及现金等价物净增加额,"81,651,919.34","51,447,780.02","28,966,633.67","23,896,941.39","-28,879,114.44","19,106,387.93","10,156,875.73","4,633,458.45","128,005,012.96","118,645,716.00","102,383,484.45","88,912,397.41","-26,510,352.53","-48,598,967.58","-53,509,610.96","-21,275,103.02","-40,413,971.24","-30,348,460.20","-45,528,876.22","-76,815,089.11","2,509,686.96","23,229,304.25","14,938,986.56","282,885,466.88","-77,559,827.18","-107,764,652.26","-114,770,720.19","-75,876,994.18","-5,368,928.87","2,896,565.76","-51,886,145.89","-35,879,624.14","-27,900,463.90","-84,331,650.79","30,853,798.88","-87,955,481.65","-47,014,835.33","32,537,505.03","882,812,796.99","867,459,971.59","-262,144,614.70","-288,591,459.10","-443,887,866.53","-38,890,838.67","-377,554,272.55","-612,102,682.34"
购建固定资产、无形资产和其他长期资产支付的现金,"19,064,904.83","42,564,054.00","62,093,035.80","117,198,355.65","32,709,091.42","36,624,917.35","51,840,922.90","74,219,987.09","8,536,538.15","13,628,700.44","24,558,517.92","44,126,085.88","2,875,625.31","5,765,632.06","8,944,127.11","11,534,384.00","726,609.07","18,708,474.13","32,868,708.53","45,311,999.36","6,402,308.09","12,025,350.01","19,531,202.37","27,877,945.98","11,592,435.45","18,199,255.27","33,913,341.48","34,514,107.64","2,458,373.69","10,800,249.02","19,408,290.07","22,209,916.13","12,093,723.19","27,595,555.06","43,645,893.44","54,311,262.86","7,816,291.65","18,939,629.04","44,129,332.81","114,280,048.95","22,011,011.57","75,094,838.71","103,347,578.87","113,894,921.60","57,392,651.22","62,869,061.16"
期初现金及现金等价物余额,,,"29,334,332.91","29,334,332.91","53,231,274.30","53,231,274.30","53,231,274.30","53,231,274.30","57,864,732.75","57,864,732.75","57,864,732.75","146,777,130.16","146,777,130.16","146,777,130.16","146,777,130.16","146,777,130.16","125,502,027.14","125,502,027.14","125,502,027.14","125,502,027.14","48,686,938.03","48,686,938.03","48,686,938.03","48,686,938.03","337,011,097.31","331,572,404.91","331,572,404.91","331,572,404.91","255,695,410.73","255,695,410.73","255,695,410.73","255,695,410.73","219,815,786.59","219,815,786.59","219,815,786.59","219,815,786.59","131,860,304.94","131,860,304.94","131,860,304.94","131,860,304.94","1,002,188,356.47","1,002,188,356.47","1,002,188,356.47","999,320,276.53","960,429,437.86","960,429,437.86"
投资支付的现金,"20,000,000.00","81,456,609.35","21,546,850.99","20,000,000.00",,"81,360.00","284,880.00","292,905.00",,,"11,138,100.00","30,956,009.14","1,497,560.00","30,958,930.00","124,098,930.00","138,931,948.00","35,000,000.00","77,600,000.00","77,600,000.00","129,450,000.00",,"44,200,000.00","44,200,000.00","86,045,303.26","42,591,842.18","37,153,149.78","37,153,149.78","675,000.00","28,689,422.69",,"13,124,948.00","14,999,948.00",,,,"7,000,000.00",,,"16,016,000.00","4,200,000.00","16,800,000.00","18,785,000.00","277,610,500.00","125,117,807.39","504,065,000.00","630,201,000.00"
期末现金及现金等价物余额,"81,651,919.34","51,447,780.02","58,300,966.58","53,231,274.30","24,352,159.86","72,337,662.23","63,388,150.03","57,864,732.75","185,869,745.71","176,510,448.75","160,248,217.20","235,689,527.57","120,266,777.63","98,178,162.58","93,267,519.20","125,502,027.14","85,088,055.90","95,153,566.94","79,973,150.92","48,686,938.03","51,196,624.99","71,916,242.28","63,625,924.59","331,572,404.91","259,451,270.13","223,807,752.65","216,801,684.72","255,695,410.73","250,326,481.86","258,591,976.49","203,809,264.84","219,815,786.59","191,915,322.69","135,484,135.80","250,669,585.47","131,860,304.94","84,845,469.61","164,397,809.97","1,014,673,101.93","999,320,276.53","740,043,741.77","713,596,897.37","558,300,489.94","960,429,437.86","582,875,165.31","348,326,755.52"
