科目,2011-12-31,2012-12-31,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"533,463,716.38","984,013,021.07","1,142,898,696.70",,"1,864,012,679.17","2,011,434,465.23","1,369,479,121.64","1,469,490,088.11","1,649,847,466.63","1,269,571,549.65","1,434,222,383.09","1,686,302,184.24","1,504,578,547.20","1,425,341,717.49","997,813,721.90","861,805,839.50","924,833,408.64","1,218,792,846.37"
短期借款,,,,,,,,,,,"300,011,534.00","300,011,291.00",,"150,000,000.00","150,000,000.00","1,029.00","100,000,200.00",
交易性金融资产,,,,,,,"201,677.96","201,677.96","1,468,215.55",,,,,,,,,
交易性金融负债,,,,,,,,,,"338,818.97",,,,,,,,
应收票据,"50,203,515.28","37,502,048.25","51,268,510.02",,"89,964,834.00","22,606,189.00","31,119,133.72","25,073,626.10","7,284,306.00","8,697,386.00","10,771,456.00","9,365,000.00","12,894,882.59","3,295,080.00","29,650,000.00","11,420,000.00","11,750,000.00","19,099,700.00"
应付票据,,"14,850,000.00","13,950,000.00",,,,"19,600,000.00","29,900,000.00","708,800,000.00","549,600,000.00","61,600,000.00","76,100,000.00","69,300,000.00","34,300,000.00","39,100,000.00","43,500,000.00","43,200,000.00","59,500,000.00"
应收账款,"30,929,221.36","38,864,893.45","30,817,860.40",,"43,863,026.43","35,214,269.02","35,866,366.90","39,127,973.72","36,877,953.13","29,655,913.32","28,922,470.42","29,086,315.88","29,114,784.67","27,586,180.70","22,052,687.29","30,198,454.54","31,322,718.78","50,254,247.17"
应付账款,"122,705,334.33","90,775,876.79","89,954,600.43",,"104,500,428.35","68,454,348.27","68,238,092.06","84,382,174.02","74,812,520.28","61,268,102.93","50,848,150.37","53,508,754.56","66,136,631.90","59,202,669.10","84,325,097.13","64,600,894.58","82,216,898.62","119,416,106.76"
预付款项,"18,648,977.17","43,985,508.57","34,692,651.68",,"24,779,769.66","25,548,413.64","26,807,157.51","6,257,584.71","11,481,181.62","8,659,559.15","23,496,340.42","3,677,762.97","9,226,492.18","13,521,801.11","13,609,636.47","7,737,712.46","10,780,738.15","17,038,475.07"
预收款项,"270,373,462.78","303,146,371.42","378,701,809.96",,"141,677,954.74","157,669,062.14","329,620,505.73","188,697,591.81","102,786,123.62","135,259,808.23","314,670,430.04","100,924,325.87","100,835,708.29","164,026,012.40","486,294,080.18","112,365,773.95","181,793,528.13","333,170,895.76"
其他应收款,"26,085,208.33","11,599,793.53","15,256,874.22",,"23,954,494.17","19,447,658.06","12,616,777.25","11,601,827.27","9,816,796.17","8,203,832.34","9,974,994.35","8,275,502.58","8,548,494.07","7,491,330.58","16,254,280.03","8,841,025.56","7,820,926.78","9,405,443.48"
应付职工薪酬,"52,110,258.28","62,502,772.33","61,889,508.22",,"28,448,063.52","28,584,702.77","55,841,458.04","28,211,793.13","24,111,145.62","21,790,404.53","44,859,388.30","27,045,599.97","28,363,111.71","27,978,162.74","51,546,167.21","28,380,317.88","32,995,014.29","35,079,156.18"
应收关联公司款,,,,,,,,,,,,,,,,,,
应交税费,"150,290,453.75","132,212,083.97","87,017,955.61",,"110,264,152.61","99,262,741.25","87,694,561.53","116,984,719.90","124,878,961.07","115,657,323.11","114,402,019.72","191,006,659.31","217,680,215.50","206,428,766.78","163,623,312.74","218,231,532.94","239,231,181.89","223,220,915.94"
应收利息,,,,,,,,,"26,668,978.00","43,612,250.00",,,"6,746,100.00","10,152,500.00",,,"6,717,500.00","11,223,300.00"
应付利息,,,,,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,,
存货,"778,260,539.51","959,463,939.02","1,145,325,132.26",,"1,127,192,791.76","1,144,564,310.84","1,255,592,643.91","1,233,112,320.81","1,256,694,188.29","1,291,602,053.83","1,382,594,647.11","1,354,611,770.99","1,391,449,345.00","1,407,091,664.35","1,514,426,272.79","1,442,387,266.26","1,484,298,714.78","1,569,095,641.32"
其他应付款,"303,791,465.43","492,295,807.70","408,922,861.89",,"340,093,801.21","349,907,457.93","353,776,290.43","361,098,016.76","340,487,449.85","393,100,753.87","456,989,938.77","491,747,452.75","452,231,369.34","523,248,572.45","562,052,617.81","615,308,295.05","573,775,343.80","622,776,080.72"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,"299,750.00",,"136,250.00","118,979.00",,,,,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00"
一年内到期的非流动负债,,,"28,090,800.00",,"28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00","28,090,800.00",,,,
其他流动资产,,,,,,,"801,438,682.83","801,622,557.58","809,583,038.29","804,672,099.81","1,279,270,974.49","1,284,623,978.35","864,584,809.90","1,112,658,990.45","1,800,926,583.36","1,631,779,362.26","1,615,085,988.35","1,412,789,410.57"
其他流动负债,,,,,,,,,,,,,,,,,,
流动资产合计,"1,437,591,178.03","2,075,429,203.89","2,420,559,475.28","2,324,927,400.00","3,173,903,845.19","3,258,934,284.79","3,533,121,561.72","3,586,487,656.26","3,809,722,123.68","3,464,674,644.10","4,169,253,265.88","4,375,942,515.01","3,827,143,455.61","4,007,139,264.68","4,544,733,181.84","4,144,169,660.58","4,242,609,995.48","4,457,699,063.98"
流动负债合计,"899,270,974.57","1,095,782,912.21","1,068,527,536.11","928,153,700.00","753,075,200.43","731,969,112.36","942,861,707.79","837,365,095.62","1,403,967,000.44","1,305,106,011.64","1,371,472,261.20","1,268,434,883.46","962,637,836.74","1,193,274,983.47","1,536,941,275.07","1,082,387,843.40","1,253,212,166.73","1,393,163,155.36"
可供出售金融资产,,,,,,"5,800,000.00","5,800,000.00","111,800,000.00","436,800,000.00","766,800,000.00","251,800,000.00","251,800,000.00","316,306,062.00","478,806,062.00","483,359,689.50","667,859,689.50","650,309,689.50","614,530,039.50"
长期借款,,,,,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,
长期应付款,"84,272,400.00","56,181,600.00",,,,,,,,,,,,,,,,
长期股权投资,"5,800,000.00","5,800,000.00","5,800,000.00",,"5,800,000.00",,,,,,,,,"8,302,033.76","8,917,296.64","10,052,500.29","9,897,672.77","9,635,200.85"
专项应付款,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,
固定资产,"550,653,642.09","583,792,980.90","599,214,547.61",,"588,588,666.83","602,223,359.87","592,397,617.64","663,882,003.97","668,281,266.06","661,223,783.45","698,445,255.84","700,394,804.02","693,357,869.73","690,544,101.30","741,423,555.12","735,827,282.64","793,428,518.52","778,947,011.79"
