科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
货币资金,"265,262,224.44","513,591,889.00","473,695,178.67","239,469,016.89","476,081,025.47","411,198,570.92","314,188,026.14","237,708,393.27","226,094,384.99","857,035,124.69","403,148,785.40","608,272,842.71","625,817,512.35","319,540,318.10","472,509,210.45","337,594,104.76"
短期借款,"950,707,790.90","1,722,016,214.64","1,894,290,372.21","1,773,163,316.52","1,677,929,302.22","1,580,042,246.75","1,597,703,270.18","1,683,269,945.86","1,708,826,560.46","1,588,693,676.70","1,387,310,377.01","1,424,916,498.19","1,441,010,296.88","1,121,066,813.93","1,550,094,990.59","1,185,718,052.55"
交易性金融资产,,,"2,352,413.02",,,,,,,,,,,,,
交易性金融负债,,"672,436.47",,"995,889.43",,,,,,,,,,,,
应收票据,"162,387,064.34","146,367,788.99","161,362,573.79","205,622,054.31","162,594,745.28","101,390,549.16","119,874,432.33","99,283,830.14","96,062,668.34","68,607,606.81","65,990,390.54","39,176,734.16","60,369,026.03","77,827,722.67","158,296,779.98","129,169,941.52"
应付票据,,,,,,,"2,373,000.00","2,373,000.00",,,,,,,"4,928,848.72","407,817.83"
应收账款,"48,139,573.79","47,816,842.79","45,664,377.93","61,585,940.11","71,026,879.21","66,517,080.46","66,994,960.20","77,124,631.00","102,827,525.53","74,392,099.23","81,003,365.17","81,847,358.46","91,928,492.23","86,451,376.57","161,021,841.64","178,692,509.75"
应付账款,"8,993,664.79","7,914,609.24","9,518,661.68","10,626,218.44","9,856,826.65","8,655,056.46","8,433,692.60","6,680,630.38","9,530,003.41","9,670,942.09","13,045,786.77","9,431,747.14","10,089,114.65","29,948,019.26","72,872,649.10","122,015,904.71"
预付款项,"5,605,677.23","4,505,326.59","6,159,931.63","6,834,000.82","7,341,253.24","14,712,361.03","6,982,368.64","7,879,694.32","12,565,380.13","10,672,863.66","17,282,451.82","18,690,891.24","36,768,329.13","49,630,615.13","18,191,189.08","19,794,697.81"
预收款项,"128,944,222.03","171,708,906.76","110,679,718.39","109,128,828.28","108,383,103.70","115,814,929.58","113,701,619.37","108,590,917.98","91,765,388.62","104,133,366.54","110,236,136.70","131,681,352.98","136,560,007.67","156,619,366.74","165,970,905.68","279,364,644.59"
其他应收款,"1,011,222,788.39","1,839,880,271.47","1,849,279,109.75","1,758,309,640.50","1,947,869,694.33","1,562,026,493.95","1,670,921,131.39","1,907,719,209.73","2,123,005,199.44","2,034,200,887.89","2,123,287,827.10","2,253,923,052.26","2,243,596,487.53","2,150,838,938.46","2,337,987,925.88","2,489,009,600.24"
应付职工薪酬,"6,093,067.28","9,215,363.51","9,641,851.25","1,875,278.99","3,504,381.00","2,204,396.62","11,204,200.38","3,307,168.85","6,858,066.23","6,051,130.05","13,284,400.90","2,280,365.76","7,831,732.53","9,347,185.75","21,344,916.91","12,432,240.65"
应收关联公司款,,,,,,,,,,,,,,,,
应交税费,"13,077,580.44","13,302,951.32","9,983,051.80","9,593,445.41","6,769,015.33","3,372,999.11","7,855,988.12","9,763,239.32","8,841,865.74","6,435,778.44","10,197,465.64","6,456,921.63","11,729,888.71","17,333,636.40","35,512,593.62","22,875,968.23"
应收利息,,,,,,,,,,,,,,,,
