科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年度,2014年1-3月,2015年度
销售商品、提供劳务收到的现金,"5,746,672.80","10,966,642.00","26,681,876.20","3,942,932.00","7,604,515.00","12,731,812.60","22,479,283.01","4,273,951.30","9,468,995.10","14,285,266.80","24,285,408.20","3,486,986.11","7,876,482.21","13,107,163.51","20,317,881.64","3,417,077.68","6,252,847.89","12,145,945.19","17,989,460.53","3,721,678.27","7,320,174.63","12,289,829.26","14,848,173.71","16,155,120.07","1,757,831.48","12,381,835.92"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还,"156,988.90",,,"219,180.13",,,,,,,"43,969.83",,,,,,,,,,,,,,,
支付其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,757.79
收到其他与经营活动有关的现金,"1,075,732.31","5,560,239.19","16,954,781.79","2,030,767.15","4,502,923.31","12,516,584.08","30,068,232.01","5,240,837.55","14,160,931.97","19,785,330.40","26,861,594.06","11,238,221.97","18,035,887.37","24,766,592.18","11,579,437.52","6,632,119.18","5,551,673.47","11,698,473.32","9,800,197.67","3,487,651.65","7,952,088.98","11,971,526.79","8,123,213.48","19,402,293.80","3,390,563.52","463,099.41"
投资活动现金流出小计,,,"35,950.00",,,,"13,500.00",,,,"15,703.67",,,,"106,933.59",,,"8,200.00","51,950.00",,,,,,,757.79
经营活动现金流入小计,"6,979,394.01","16,526,881.19","43,636,657.99","6,192,879.28","12,107,438.31","25,248,396.68","52,547,515.02","9,514,788.85","23,629,927.07","34,070,597.20","51,190,972.09","14,725,208.08","25,912,369.58","37,873,755.69","31,897,319.16","10,049,196.86","11,804,521.36","23,844,418.51","27,789,658.20","7,209,329.92","15,272,263.61","24,261,356.05","22,971,387.19","35,557,413.87","5,148,395.00","12,844,935.33"
投资活动产生的现金流量净额,,,"224,050.00",,,,"19,216.65",,,,"416,296.33",,,,"-106,933.59",,,"-8,200.00","-50,400.00",,"1,119,816.53","1,188,192.60","1,199,223.94",,,"2,808,921.36"
购买商品、接受劳务支付的现金,"4,042,405.04","7,178,114.73","17,146,544.97","1,733,285.28","3,166,567.89","5,983,735.29","13,156,288.11","1,569,294.55","4,203,165.67","6,834,762.41","13,085,049.59","2,626,053.76","5,206,677.46","8,120,143.43","12,629,117.40","2,009,393.19","4,727,723.11","7,220,018.33","9,535,575.21","975,553.23","3,063,123.90","5,275,849.99","8,705,932.75","6,715,739.35","322,736.24","5,593,172.12"
吸收投资收到的现金,,,,,,,,,,,,,,,"378,805.90",,,,,,,,,,,
支付给职工以及为职工支付的现金,"1,161,929.49","2,152,899.49","4,257,200.70","992,384.92","1,814,162.44","2,795,317.93","4,000,782.01","1,075,958.50","1,918,123.35","2,776,629.00","3,970,529.37","1,034,848.28","1,957,218.08","3,039,982.86","3,642,452.18","1,018,148.74","2,158,017.89","3,250,195.40","3,969,539.82","712,091.25","1,471,599.78","2,211,489.64","3,018,921.61","1,916,265.65","389,536.71","1,869,372.16"
取得借款收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的各项税费,"415,055.67","643,786.19","336,203.03","299,092.71","839,093.45","1,218,384.17","1,815,678.44","443,603.23","806,678.99","1,128,829.86","1,688,360.47","490,398.72","860,441.10","1,279,302.93","1,767,706.52","238,432.22","495,150.59","1,198,963.94","2,612,995.66","419,793.39","974,535.13","1,332,922.48","1,987,903.94","1,698,253.82","132,129.57","1,246,932.71"
