科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
销售商品、提供劳务收到的现金,"193,926,716.89","174,868,012.92","179,625,639.13","94,635,663.18","144,602,545.18","200,689,892.31","36,330,558.62","100,078,067.46","165,258,437.42","211,871,300.33","42,937,221.46","99,076,252.88"
取得子公司及其他营业单位支付的现金净额,,,,,,,,,,,,
收到的税费返还,"19,593.81","36,402.15",,,,,,,,,,
支付其他与投资活动有关的现金,,,"2,000,000.00",,,"160,000,000.00","70,250,000.00","210,971,382.38","301,000,000.00","490,000,000.00","100,000,000.00","200,000,000.00"
收到其他与经营活动有关的现金,"6,036,106.82","2,653,519.69","7,327,939.10","3,637,481.78","3,118,908.98","3,939,333.30","2,216,932.40","3,688,267.44","5,727,825.80","11,444,516.68","518,378.71","4,673,020.97"
投资活动现金流出小计,"43,257,585.81","39,213,415.80","26,789,732.10","8,284,633.69","10,504,470.95","176,437,748.68","77,379,374.66","227,088,793.99","324,605,209.62","517,470,314.24","112,514,577.92","223,257,040.15"
经营活动现金流入小计,"199,982,417.52","177,557,934.76","186,953,578.23","98,273,144.96","147,721,454.16","204,629,225.61","38,547,491.02","103,766,334.90","170,986,263.22","223,315,817.01","43,455,600.17","103,749,273.85"
投资活动产生的现金流量净额,"-34,316,135.81","-38,073,415.80","-22,136,332.10","-7,764,633.69","-9,981,470.95","-175,914,748.68","-77,379,374.66","6,736,066.28","-81,775,349.35","-42,056,434.89","-82,026,214.60","168,571,034.73"
购买商品、接受劳务支付的现金,"84,426,841.43","28,361,636.47","43,641,764.23","30,256,676.44","48,241,386.88","68,687,246.60","18,574,128.53","33,822,336.67","46,508,155.02","64,335,539.26","12,058,454.00","36,143,560.63"
吸收投资收到的现金,,,,,,"279,779,600.00",,,,,,"4,150,000.00"
支付给职工以及为职工支付的现金,"36,072,711.69","34,373,868.23","37,136,607.99","23,124,822.56","33,923,025.79","46,218,963.53","13,061,588.79","25,747,492.49","37,575,102.33","50,506,645.82","12,432,195.97","29,047,076.15"
取得借款收到的现金,"20,000,000.00","10,000,000.00",,,,,,,,,,"3,200,000.00"
支付的各项税费,"25,058,177.64","29,946,274.98","32,831,529.64","14,678,004.44","21,096,438.69","27,350,231.61","7,715,026.72","15,271,052.16","20,995,571.17","29,954,499.40","7,101,016.28","16,617,302.70"
收到其他与筹资活动有关的现金,,,,,,,,,,,,
支付其他与经营活动有关的现金,"31,297,961.30","32,809,649.37","33,019,658.96","14,830,411.90","21,381,318.46","29,845,845.73","7,567,785.17","15,852,933.89","22,253,702.13","34,095,307.99","10,096,862.83","15,771,856.61"
筹资活动现金流入小计,"20,000,000.00","10,000,000.00",,,,"279,779,600.00",,,,,,"7,350,000.00"
经营活动现金流出小计,"176,855,692.06","125,491,429.05","146,629,560.82","82,889,915.34","124,642,169.82","172,102,287.47","46,918,529.21","90,693,815.21","127,332,530.65","178,891,992.47","41,688,529.08","97,579,796.09"
偿还债务支付的现金,"20,000,000.00","20,000,000.00",,,"10,000,000.00","10,000,000.00",,,,,,
经营活动产生的现金流量净额,"23,126,725.46","52,066,505.71","40,324,017.41","15,383,229.62","23,079,284.34","32,526,938.14","-8,371,038.19","13,072,519.69","43,653,732.57","44,423,824.54","1,767,071.09","6,169,477.76"
分配股利、利润或偿还利息支付的现金,"9,180,015.21","10,953,523.43","10,747,307.36","11,517,797.76","11,643,723.39","11,792,109.00","2,435.00","11,480,610.12","11,610,841.88","11,727,026.78","45,293.09","9,843,394.65"
收回投资收到的现金,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,600,000.00","499,884.70","420,695.80","411,496.10","761,496.10","12,979,419.50","600,000.00","600,000.00","600,000.00","600,000.00",,
取得投资收益收到的现金,"139,950.00","100,000.00","134,500.00","20,000.00","20,000.00","20,000.00",,"3,824,860.27","3,824,860.27","8,203,024.65","325,356.16","1,665,067.72"
筹资活动现金流出小计,"30,780,015.21","31,453,408.13","11,168,003.16","11,929,293.86","22,405,219.49","34,771,528.50","602,435.00","12,080,610.12","12,210,841.88","12,327,026.78","45,293.09","9,843,394.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,"3,000.00","3,000.00",,,"5,000.00","27,854.70",,
筹资活动产生的现金流量净额,"-10,780,015.21","-21,453,408.13","-11,168,003.16","-11,929,293.86","-22,405,219.49","245,008,071.50","-602,435.00","-12,080,610.12","-12,210,841.88","-12,327,026.78","-45,293.09","-2,493,394.65"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,054.85",-981.22,714.80,-115.10,-869.95,-869.95,,-193.79,-193.79,-193.79,,"-1,417.16"
收到其他与投资活动有关的现金,"8,801,500.00","1,040,000.00","4,518,900.00","500,000.00","500,000.00","500,000.00",,"230,000,000.00","239,000,000.00","467,183,000.00","30,163,007.16","390,163,007.16"
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"8,941,450.00","1,140,000.00","4,653,400.00","520,000.00","523,000.00","523,000.00",,"233,824,860.27","242,829,860.27","475,413,879.35","30,488,363.32","391,828,074.88"
五、现金及现金等价物净增加额,"-21,972,480.41","-7,461,299.44","7,020,396.95","-4,310,813.03","-9,308,276.05","101,619,391.01","-86,352,847.85","7,727,782.06","-50,332,652.45","-9,959,830.92","-80,304,436.60","172,245,700.68"
购建固定资产、无形资产和其他长期资产支付的现金,"43,257,585.81","39,213,415.80","22,989,732.10","8,284,633.69","10,504,470.95","16,437,748.68","7,129,374.66","16,117,411.61","23,605,209.62","27,470,314.24","12,514,577.92","23,257,040.15"
