科目,2007年1-3月,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"182,604,000,000.00","392,726,000,000.00","835,037,000,000.00","259,048,000,000.00","549,522,000,000.00","853,658,000,000.00","1,071,146,000,000.00","181,582,000,000.00","415,277,000,000.00","683,019,000,000.00","1,019,275,000,000.00","318,795,000,000.00","684,797,000,000.00","1,048,099,000,000.00","1,465,415,000,000.00","445,980,000,000.00","952,247,000,000.00","1,482,908,000,000.00","2,003,843,000,000.00","525,647,000,000.00","1,046,661,000,000.00","1,598,269,000,000.00","2,195,296,000,000.00","540,263,000,000.00","1,101,096,000,000.00","1,682,784,000,000.00","2,258,124,000,000.00","528,947,000,000.00","1,153,968,000,000.00","1,754,548,000,000.00","2,282,962,000,000.00","410,336,000,000.00","877,624,000,000.00","1,305,105,000,000.00","1,725,428,000,000.00","352,830,000,000.00","739,067,000,000.00","1,150,437,000,000.00","1,616,903,000,000.00","493,559,000,000.00","975,909,000,000.00","1,457,704,000,000.00","2,015,890,000,000.00"
二、营业利润,"51,781,000,000.00","105,934,000,000.00","193,958,000,000.00","38,138,000,000.00","70,725,000,000.00","116,767,000,000.00","149,332,000,000.00","24,419,000,000.00","63,929,000,000.00","107,804,000,000.00","144,765,000,000.00","44,690,000,000.00","89,114,000,000.00","137,738,000,000.00","193,086,000,000.00","53,872,000,000.00","99,532,000,000.00","146,485,000,000.00","184,517,000,000.00","52,826,000,000.00","86,205,000,000.00","124,290,000,000.00","165,431,000,000.00","48,265,000,000.00","66,748,000,000.00","105,241,000,000.00","151,711,000,000.00","45,701,000,000.00","92,543,000,000.00","132,373,000,000.00","153,877,000,000.00","9,072,000,000.00","37,363,000,000.00","46,673,000,000.00","56,430,000,000.00","-8,999,000,000.00","25,798,000,000.00","31,456,000,000.00","48,874,000,000.00","15,683,000,000.00","31,322,000,000.00","46,486,000,000.00","57,769,000,000.00"
减:营业成本,"99,971,000,000.00","223,140,000,000.00","487,112,000,000.00","168,787,000,000.00","361,287,000,000.00","552,395,000,000.00","683,677,000,000.00","110,650,000,000.00","248,922,000,000.00","409,681,000,000.00","633,100,000,000.00","206,422,000,000.00","448,217,000,000.00","690,353,000,000.00","970,209,000,000.00","300,751,000,000.00","656,752,000,000.00","1,039,942,000,000.00","1,425,284,000,000.00","377,041,000,000.00","767,155,000,000.00","1,183,866,000,000.00","1,634,819,000,000.00","392,949,000,000.00","837,762,000,000.00","1,279,567,000,000.00","1,701,840,000,000.00","386,785,000,000.00","866,314,000,000.00","1,331,682,000,000.00","1,735,354,000,000.00","311,016,000,000.00","655,690,000,000.00","984,100,000,000.00","1,300,419,000,000.00","274,088,000,000.00","566,904,000,000.00","889,907,000,000.00","1,235,707,000,000.00","391,809,000,000.00","777,147,000,000.00","1,153,646,000,000.00","1,584,245,000,000.00"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"11,611,000,000.00","26,853,000,000.00","68,678,000,000.00","28,878,000,000.00","61,891,000,000.00","98,083,000,000.00","116,460,000,000.00","23,797,000,000.00","54,393,000,000.00","90,953,000,000.00","129,756,000,000.00","40,967,000,000.00","86,064,000,000.00","128,997,000,000.00","177,666,000,000.00","60,046,000,000.00","129,370,000,000.00","194,320,000,000.00","258,027,000,000.00","63,478,000,000.00","124,319,000,000.00","182,903,000,000.00","246,078,000,000.00","62,368,000,000.00","119,935,000,000.00","176,629,000,000.00","238,663,000,000.00","56,762,000,000.00","115,354,000,000.00","172,346,000,000.00","227,774,000,000.00","50,976,000,000.00","102,961,000,000.00","151,825,000,000.00","200,255,000,000.00","46,760,000,000.00","92,084,000,000.00","136,555,000,000.00","187,846,000,000.00","47,890,000,000.00","94,633,000,000.00","145,945,000,000.00","196,095,000,000.00"
营业外收入,"505,000,000.00","1,441,000,000.00","3,098,000,000.00","537,000,000.00","5,614,000,000.00","14,725,000,000.00","18,067,000,000.00","415,000,000.00","1,079,000,000.00","1,576,000,000.00","3,681,000,000.00","396,000,000.00","1,028,000,000.00","2,728,000,000.00","4,162,000,000.00","524,000,000.00","1,484,000,000.00","2,292,000,000.00","9,480,000,000.00","2,218,000,000.00","4,616,000,000.00","6,985,000,000.00","11,578,000,000.00","2,711,000,000.00","30,098,000,000.00","34,860,000,000.00","38,735,000,000.00","2,805,000,000.00","5,864,000,000.00","9,181,000,000.00","13,274,000,000.00","2,230,000,000.00","4,248,000,000.00","6,021,000,000.00","12,956,000,000.00","1,954,000,000.00","4,188,000,000.00","6,820,000,000.00","10,635,000,000.00","2,132,000,000.00","1,986,000,000.00","3,215,000,000.00","3,612,000,000.00"
销售费用,"9,069,000,000.00","19,075,000,000.00","41,345,000,000.00","10,497,000,000.00","21,576,000,000.00","33,322,000,000.00","46,189,000,000.00","10,119,000,000.00","20,972,000,000.00","33,181,000,000.00","48,210,000,000.00","12,422,000,000.00","26,471,000,000.00","40,663,000,000.00","57,655,000,000.00","11,846,000,000.00","24,476,000,000.00","37,900,000,000.00","52,946,000,000.00","13,144,000,000.00","26,324,000,000.00","41,110,000,000.00","55,032,000,000.00","13,666,000,000.00","27,593,000,000.00","42,983,000,000.00","60,036,000,000.00","14,495,000,000.00","29,694,000,000.00","45,174,000,000.00","63,207,000,000.00","15,141,000,000.00","30,455,000,000.00","46,268,000,000.00","62,961,000,000.00","14,740,000,000.00","29,899,000,000.00","45,644,000,000.00","63,976,000,000.00","14,583,000,000.00","30,138,000,000.00","46,660,000,000.00","66,067,000,000.00"
减:营业外支出,"300,000,000.00","1,081,000,000.00","4,231,000,000.00","442,000,000.00","3,133,000,000.00","4,487,000,000.00","6,299,000,000.00","435,000,000.00","1,412,000,000.00","2,250,000,000.00","8,679,000,000.00","576,000,000.00","1,604,000,000.00","5,619,000,000.00","8,054,000,000.00","891,000,000.00","2,765,000,000.00","5,810,000,000.00","9,721,000,000.00","967,000,000.00","3,230,000,000.00","6,375,000,000.00","10,199,000,000.00","1,308,000,000.00","3,085,000,000.00","5,397,000,000.00","12,430,000,000.00","1,273,000,000.00","2,693,000,000.00","5,261,000,000.00","10,383,000,000.00","1,290,000,000.00","3,177,000,000.00","4,836,000,000.00","11,220,000,000.00","1,199,000,000.00","3,389,000,000.00","4,846,000,000.00","14,317,000,000.00","2,742,000,000.00","5,479,000,000.00","9,261,000,000.00","8,298,000,000.00"
管理费用,"10,571,000,000.00","21,475,000,000.00","49,324,000,000.00","13,157,000,000.00","29,562,000,000.00","44,319,000,000.00","53,211,000,000.00","10,741,000,000.00","24,752,000,000.00","36,746,000,000.00","57,213,000,000.00","14,296,000,000.00","31,496,000,000.00","47,326,000,000.00","63,417,000,000.00","19,732,000,000.00","38,459,000,000.00","55,853,000,000.00","77,124,000,000.00","18,525,000,000.00","38,354,000,000.00","59,624,000,000.00","83,936,000,000.00","19,466,000,000.00","42,656,000,000.00","66,067,000,000.00","90,564,000,000.00","20,030,000,000.00","42,265,000,000.00","63,035,000,000.00","84,595,000,000.00","20,098,000,000.00","42,391,000,000.00","60,517,000,000.00","79,659,000,000.00","20,420,000,000.00","40,376,000,000.00","58,534,000,000.00","75,958,000,000.00","18,649,000,000.00","36,047,000,000.00","54,829,000,000.00","77,565,000,000.00"
其中:非流动资产处置净损失,,"289,000,000.00","1,576,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
