科目,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
货币资金,"77,061,119.63","139,583,024.24","183,507,185.76","204,023,587.71","209,172,320.06","200,418,943.67","723,769,127.96","709,374,222.10","725,793,438.20","746,608,992.82","764,135,090.82","697,333,402.15","642,944,709.32","537,691,644.97"
短期借款,,,,,,,,,,,,,,
交易性金融资产,,,,,,,,,,,,,,
交易性金融负债,,,,,,,,,,,,,,
应收票据,,,,,,,,,,,,,,
应付票据,,,,,,,,,,,,,,
应收账款,"25,445,201.76","38,362,614.01","54,802,853.07","36,467,264.81","57,036,955.57","52,224,565.43","49,498,887.93","45,908,324.72","43,585,999.70","54,540,542.91","44,596,021.85","71,191,566.33","49,802,854.02","57,002,545.89"
应付账款,"137,020.12","5,191,375.05","5,940,347.63","6,646,982.08","5,720,545.49","6,338,021.23","13,270,586.02","11,748,218.35","14,169,901.58","14,477,692.55","17,537,288.80","21,169,293.67","16,975,136.85","14,925,359.78"
预付款项,"41,720,286.30","303,184.79","317,032.10","1,631,741.04","669,071.98","396,972.54","512,000.97","1,366,324.72","764,017.95","1,663,210.89","1,110,491.09","1,872,789.29","1,575,058.54","2,250,966.85"
预收款项,"1,529,323.00","904,996.62","162,529.61","20,860.61","21,670.61","145,420.61","3,931,915.56","26,738.51","170,187.18","210,503.58","412,571.11","1,334,904.82","638,296.76","780,081.94"
其他应收款,"82,297.93","927,035.66","1,046,560.36","1,256,836.86","1,489,606.96","1,848,832.11","420,342.89","669,995.63","994,002.08","558,047.70","478,865.48","467,789.81","561,569.61","492,090.58"
应付职工薪酬,"5,424,324.05","7,252,531.05","10,425,821.61","5,195,843.33","4,781,713.35","5,322,053.09","13,403,805.40","5,832,086.73","5,733,787.47","5,977,097.44","14,939,787.60","5,963,868.44","6,047,352.14","6,068,951.59"
应收关联公司款,,,,,,,,,,,,,,
应交税费,"6,625,940.24","1,640,295.72","1,735,866.82","817,498.78","1,199,745.24","2,710,275.61","2,094,765.78","673,693.09","1,835,771.54","1,091,633.07","1,116,575.03","1,830,990.88","2,615,440.73","1,681,699.32"
应收利息,,,,,,,,,,,,,,
应付利息,,,,,,,,,,,,,,
应收股利,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,
存货,,"26,145.27","874,898.63","960,148.04","748,777.90","894,538.40","825,819.51","234,764.58","454,207.70","289,727.62","570,564.76","632,290.13","571,429.79","541,249.35"
其他应付款,"5,533,916.17","8,380,209.79","10,732,933.20","9,149,197.78","10,312,968.60","14,006,087.88","29,700,642.76","23,273,120.73","10,032,884.84","13,790,551.07","14,550,433.41","12,256,504.27","16,564,400.15","19,222,827.43"
其中:消耗性生物资产,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,
一年内到期的非流动资产,"144,046.00","35,115.80","138,056.04","96,389.33","47,573.99","96,389.33","248,463.54","224,191.78","194,222.01","141,666.75","113,153.94","98,854.43","89,986.88","78,436.85"
一年内到期的非流动负债,,,,,,,,,,,,,,
其他流动资产,"2,603,260.73","2,869,384.88","6,436,401.47","6,085,646.01","8,891,370.59","8,730,234.40","6,539,112.90","10,507,589.11","8,894,537.44","7,028,729.98","43,714,519.91","100,260,892.75","159,997,212.98","275,828,464.66"
其他流动负债,,,,,,,,,,,,,,
流动资产合计,"147,056,212.35","182,106,504.65","247,122,987.43","250,521,613.80","278,055,677.05","264,610,475.88","781,813,755.70","768,285,412.64","780,680,425.08","810,830,918.67","854,718,707.85","871,857,584.89","855,542,821.14","873,885,399.15"
