科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
一、营业收入,"547,986,678.09","695,455,038.98","626,885,900.53","159,198,170.13","388,313,634.16","581,683,666.53","824,532,521.65","205,283,108.04","505,775,759.89","810,623,998.69","1,145,925,172.76","241,973,379.04","550,218,465.06","850,638,753.31","1,183,458,835.84","235,127,778.44","513,386,184.15","796,695,218.36","1,132,619,377.38","224,284,390.43","514,524,125.43","782,851,767.95","1,102,096,758.92","204,397,207.73","461,136,611.53","734,824,003.12","954,305,831.53","212,309,813.02","515,542,716.10","790,026,129.07","1,071,943,872.16","277,788,127.14","543,845,505.96","826,633,070.25","1,137,875,297.83"
二、营业利润,"38,709,300.50","33,698,239.00","68,285,636.21","8,661,952.70","20,805,653.09","26,202,567.30","34,843,332.85","7,152,754.67","12,969,313.92","18,577,261.07","35,920,317.66","21,193,545.71","46,067,754.23","83,288,881.37","131,397,203.58","34,726,030.67","77,240,854.03","122,226,689.21","170,530,842.30","36,355,026.04","76,009,981.92","108,248,473.36","146,970,084.39","25,104,833.48","58,858,521.16","98,542,314.24","118,153,775.80","16,560,653.30","46,145,689.71","59,409,025.76","41,019,472.79","8,784,218.50","68,266,705.56","81,580,282.06","122,393,475.44"
减:营业成本,"443,591,730.14","583,603,757.58","481,732,896.18","131,108,818.10","317,592,341.48","482,705,056.66","700,357,273.12","180,057,494.71","444,290,081.33","711,698,643.89","987,371,766.53","191,815,333.92","434,631,515.52","656,195,091.10","898,669,977.19","168,664,136.69","368,126,782.01","573,134,485.14","811,387,736.06","159,156,960.76","374,019,763.89","564,806,183.22","789,286,538.04","150,574,346.30","330,762,410.78","526,526,350.27","684,469,525.57","149,941,200.95","366,607,041.64","566,715,806.02","788,553,426.51","221,020,271.20","437,110,725.67","661,398,367.54","904,107,760.55"
加:补贴收入,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
营业税金及附加,"1,944,705.18","1,917,251.49","2,611,099.65","391,498.32","1,037,252.09","1,571,596.68","2,017,091.52","536,122.92","1,347,367.88","1,941,486.00","3,529,154.26","857,410.62","3,265,685.34","5,046,264.94","6,918,741.69","1,114,443.94","2,456,831.23","4,705,179.91","6,669,912.53","1,568,309.74","2,705,595.42","3,599,037.39","6,033,634.23","1,605,284.33","3,266,544.48","5,163,593.97","7,123,531.76","1,806,465.02","2,930,382.20","5,546,456.91","10,065,031.81","1,809,953.04","4,378,505.03","5,122,974.77","7,029,169.72"
营业外收入,"10,363,101.86","13,079,810.40","7,878,499.80","1,879,234.75","9,046,769.95","13,264,067.63","15,508,263.91","1,836,251.95","10,129,327.69","12,162,382.35","15,276,468.49","1,829,555.81","3,548,344.83","5,868,337.11","8,017,284.69","2,339,750.63","5,327,487.82","10,049,088.49","15,093,986.91","1,671,010.38","4,910,394.83","7,777,689.77","17,895,418.74","2,041,586.80","3,704,210.70","5,416,520.90","15,051,644.51","1,812,654.76","5,105,276.80","10,602,878.91","15,918,354.05","3,679,914.67","1,250,127.35","12,796,306.73","5,333,877.92"
销售费用,"23,963,897.88","27,041,048.68","30,041,741.82","6,434,765.78","21,672,486.69","32,810,022.20","46,772,238.30","7,664,253.78","20,638,207.93","35,525,997.58","58,058,015.62","15,130,518.61","33,611,927.36","54,028,252.21","75,867,414.91","13,698,187.98","30,324,680.96","48,494,238.08","74,116,804.10","14,074,322.11","29,264,150.88","47,397,706.39","72,699,878.29","11,772,966.77","26,822,670.69","43,223,996.91","62,747,395.36","14,851,425.82","39,474,360.84","62,030,045.63","92,926,548.82","15,871,849.92","35,670,606.47","54,151,791.70","76,858,705.72"
减:营业外支出,"989,282.36","1,942,785.27","1,332,279.99","476,626.36","303,432.39","690,364.72","2,002,713.25","421,518.50","699,784.12","1,026,231.47","2,251,471.60","313,569.65","723,494.20","1,601,722.60","2,646,686.88","438,018.66","1,363,409.17","1,757,984.58","2,264,440.99","621,488.41","1,398,199.19","1,485,804.08","2,096,716.22","399,014.58","778,689.40","1,570,172.51","2,850,862.34","951,687.54","3,055,757.30","4,111,264.29","5,713,356.98","1,485,255.51","1,698,597.30","1,798,357.21","2,683,240.38"
管理费用,"22,297,238.15","30,568,632.37","33,386,570.07","10,767,553.58","23,552,141.23","35,012,941.13","41,085,248.68","10,285,128.06","25,547,704.83","40,974,196.10","58,860,851.96","13,781,842.59","32,004,134.28","51,484,023.19","71,713,474.37","16,685,357.69","33,723,669.95","50,209,706.74","73,367,389.37","14,171,991.19","32,321,516.00","56,780,519.22","84,521,936.28","16,222,052.37","40,483,378.97","64,027,306.98","86,819,897.91","23,690,921.26","58,812,257.28","95,785,661.66","134,932,976.01","29,083,359.83","55,063,307.30","78,998,846.87","107,385,997.25"
其中:非流动资产处置净损失,,"874,025.11",,,,,,,,,"199,574.10",,"4,410.07",,"172,692.83",,,,,,,,681.34,,,"4,820.51","6,774.68","136,873.13","367,365.77","367,365.77","366,394.90","34,600.96","178,125.79","178,125.79",
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"15,581,381.40","16,172,967.77","8,750,180.51","1,792,516.57","1,827,091.09","1,061,090.23","360,901.90","-753,082.65","-1,614,690.18","-409,211.30","-2,506,092.11","-1,849,336.61","-3,412,852.83","-5,004,300.50","-4,727,263.58","-1,151,733.27","-1,313,499.92","-2,011,993.30","-2,654,890.93","-1,693,276.05","-2,935,039.99","-3,601,340.10","-3,663,916.84","-1,465,286.08","-3,406,467.07","-8,186,633.73","-11,286,225.31","2,940,357.70","94,244.03","102,571.46","-4,746,107.04","818,399.60","3,023,185.26","4,311,609.68","7,788,555.18"
